name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,12/31/1996
TotalAssets,"3,539,828,000","3,580,525,000","3,537,820,000","3,552,300,000","3,541,550,000","3,556,495,000","3,587,751,000","3,644,945,000","4,344,802,000","4,088,468,000","3,830,737,000","3,851,917,000","3,893,169,000","3,853,883,000","2,644,645,000","2,607,302,000","2,559,178,000","2,524,228,000","2,492,502,000","2,455,774,000","2,423,808,000","2,405,753,000","2,375,112,000","2,355,888,000","2,343,422,000","2,331,434,000","2,381,316,000","2,389,543,000","2,399,042,000","2,413,146,000","2,608,635,000","2,424,549,000","2,406,461,000","2,424,629,000","2,440,812,000","2,466,885,000","2,455,442,000","2,543,139,000","2,509,446,000","2,546,347,000","2,548,669,000","2,563,400,000","2,538,742,000","2,616,062,000","2,610,385,000","2,620,933,000","2,626,789,000","2,642,303,000","2,639,339,000","2,661,023,000","2,978,508,000","2,544,143,000","2,564,721,000","2,560,379,000","2,648,314,000","2,615,376,000","2,508,109,000","2,336,867,000","2,209,788,000","2,105,316,000","2,777,039,000","2,632,519,000","2,658,805,000","2,619,233,000","2,574,698,000","2,532,590,000","2,522,575,000","2,562,388,000","2,539,139,000","2,521,045,000","2,487,742,000","2,536,716,000","2,547,934,000","2,577,263,000","2,314,551,000","2,332,517,000","2,157,410,000","2,192,196,000","2,203,140,000","2,142,273,000","2,086,039,000","2,167,822,000","2,073,424,000","2,203,058,000","2,232,475,000","1,939,553,000","2,022,199,000","2,111,920,000","1,711,702,000","1,732,400,000","1,086,000,000","1,045,900,000","1,043,300,000","1,012,000,000","1,213,700,000","1,156,600,000","1,131,300,000","1,117,600,000","1,148,000,000","1,182,200,000"
	CurrentAssets,"428,515,000","390,694,000","334,635,000","301,079,000","282,290,000","241,000,000","184,971,000","336,466,000","905,509,000","709,628,000","380,743,000","405,273,000","418,175,000","311,122,000","313,688,000","283,355,000","274,228,000","258,463,000","209,188,000","188,616,000","176,196,000","159,419,000","182,520,000","216,496,000","223,508,000","172,937,000","193,678,000","194,242,000","205,834,000","181,025,000","410,426,000","201,130,000","182,716,000","163,983,000","190,832,000","188,678,000","168,406,000","211,245,000","139,462,000","134,238,000","131,332,000","144,656,000","127,810,000","215,018,000","202,514,000","212,850,000","273,341,000","357,868,000","315,203,000","305,576,000","600,948,000","142,816,000","138,931,000","108,578,000","175,539,000","154,226,000","123,317,000","94,845,000","124,500,000","154,565,000","767,735,000","737,671,000","751,083,000","783,728,000","200,240,000","188,289,000","186,782,000","228,184,000","207,712,000","214,013,000","176,708,000","220,948,000","212,160,000","240,547,000","276,433,000","279,825,000","175,860,000","195,700,000","261,503,000","174,832,000","118,220,000","183,310,000","190,173,000","247,333,000","338,902,000","215,653,000","246,997,000","290,311,000","185,790,000","164,000,000","186,300,000","175,200,000","183,800,000","189,200,000","177,300,000","156,000,000","146,200,000","151,400,000","171,900,000","187,300,000"
		CashCashEquivalentsAndShortTermInvestments,"128,436,000","140,688,000","53,155,000","71,612,000","67,138,000","56,697,000","52,162,000","82,376,000","662,156,000","362,430,000","101,786,000","103,842,000","94,873,000","103,437,000","86,025,000","61,779,000","59,040,000","57,557,000","62,672,000","49,610,000","33,979,000","59,128,000","35,858,000","50,732,000","57,150,000","56,291,000","40,340,000","41,319,000","52,999,000","76,408,000","279,533,000","77,843,000","55,417,000","61,579,000","52,090,000","44,400,000","44,848,000","97,170,000","24,230,000","29,504,000","19,862,000","44,388,000","12,122,000","111,363,000","86,968,000","124,420,000","135,946,000","183,316,000","179,495,000","180,033,000","468,445,000","28,385,000","19,994,000","1,043,000","47,041,000","32,046,000","15,883,000","23,592,000","38,635,000","62,337,000","428,639,000","451,190,000","398,315,000","391,619,000","36,975,000","83,448,000","32,853,000","31,470,000","41,397,000","72,492,000","36,026,000","54,585,000","80,840,000","120,965,000","24,772,000","49,919,000","30,196,000","98,632,000","166,082,000","73,208,000","14,788,000","10,846,000","40,868,000","133,310,000","155,817,000","35,852,000","37,012,000","79,959,000","17,373,000","18,700,000","8,900,000","11,300,000","11,100,000","18,700,000","13,900,000","10,100,000","9,100,000","8,700,000","11,700,000","13,700,000"
			CashAndCashEquivalents,"128,436,000","140,688,000","53,155,000","71,612,000","67,138,000","56,697,000","52,162,000","82,376,000","662,156,000","362,430,000","101,786,000","103,842,000","94,873,000","103,437,000","86,025,000","61,779,000","59,040,000","57,557,000","62,672,000","49,610,000","33,979,000","59,128,000","35,858,000","50,732,000","57,150,000","56,291,000","40,340,000","41,319,000","52,999,000","76,408,000","279,533,000","77,843,000","55,417,000","61,579,000","52,090,000","44,400,000","44,848,000","97,170,000","24,230,000","29,504,000","19,862,000","44,388,000","12,122,000","111,363,000","86,968,000","124,398,000","135,946,000","183,302,000","179,495,000","180,033,000","468,445,000","28,385,000","19,994,000","1,043,000","47,041,000","32,046,000","15,883,000","23,592,000","38,635,000","62,337,000","36,515,000","56,277,000","40,919,000","47,677,000","36,975,000","83,448,000","27,853,000","21,470,000","24,397,000","45,492,000","36,026,000","54,585,000","80,840,000","120,965,000","24,772,000","49,919,000","30,196,000","98,632,000","166,082,000","73,208,000","14,788,000","10,846,000","40,868,000","133,310,000","155,817,000","35,852,000","37,012,000","79,959,000","17,373,000","18,700,000","8,900,000","11,300,000","11,100,000","18,700,000","13,900,000","10,100,000","9,100,000","8,700,000","11,700,000","13,700,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","22,000",,"14,000",,,,,,,,,,,,,"392,124,000","394,913,000","357,396,000","343,942,000",,,"5,000,000","10,000,000","17,000,000","27,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"150,727,000","167,429,000","142,824,000","108,909,000","88,798,000","119,125,000","84,038,000","100,912,000","178,852,000","201,292,000","190,712,000","203,807,000","231,896,000","67,923,000","189,291,000","79,694,000","66,253,000","57,520,000","56,684,000","65,576,000","66,834,000","47,818,000","58,253,000","52,568,000","61,307,000","61,818,000","63,807,000","68,512,000","70,164,000","62,877,000","59,419,000","55,917,000","67,155,000","55,397,000","52,746,000","74,450,000","60,745,000","55,343,000","60,715,000","54,194,000","62,975,000","41,939,000","49,871,000","48,977,000","63,927,000","34,188,000","76,839,000","120,266,000","49,834,000","40,917,000","52,612,000","52,243,000","61,043,000","71,333,000","60,615,000","71,494,000","59,282,000","39,214,000","45,851,000","46,090,000","54,549,000","39,458,000","51,261,000","50,727,000","61,115,000","37,168,000","40,360,000","49,414,000","52,661,000","30,328,000","36,093,000","49,635,000","32,016,000","26,101,000","21,271,000","24,750,000","33,503,000","40,572,000","36,448,000","36,899,000","42,433,000","25,931,000","30,036,000","52,313,000","66,687,000","66,869,000","94,669,000","89,802,000","91,778,000","83,300,000","98,300,000","89,900,000","96,800,000","94,400,000","97,500,000","88,000,000","79,100,000","82,200,000","91,100,000","108,700,000"
			AccountsReceivable,"83,234,000","74,745,000","73,036,000","36,937,000","18,283,000","20,106,000","13,657,000","18,370,000","78,952,000","70,768,000","83,168,000","90,532,000","109,973,000","67,923,000","80,595,000","79,694,000","66,253,000","57,520,000","56,684,000","65,576,000","66,834,000","47,818,000","58,253,000","52,568,000","61,307,000","55,033,000","63,807,000","68,512,000","70,164,000","45,188,000","59,419,000","55,917,000","67,155,000","51,782,000","52,746,000","74,450,000","60,745,000","55,343,000","60,369,000","54,194,000","62,975,000","41,939,000","49,871,000","48,977,000","63,927,000","31,793,000","40,381,000","38,607,000","49,834,000","40,917,000","52,612,000","52,243,000","61,043,000","49,114,000","60,615,000","71,494,000","59,282,000","31,371,000","45,851,000","46,090,000","54,549,000","39,458,000","51,261,000","50,727,000","61,115,000","37,168,000","40,360,000","49,414,000","52,661,000","30,328,000","36,093,000","49,635,000","32,016,000","26,101,000","21,271,000","24,750,000","33,503,000","23,872,000","36,448,000","36,899,000","42,433,000","19,264,000","30,036,000","52,313,000","66,687,000","66,869,000",,,,"83,300,000",,,,"94,400,000",,,,,,
				GrossAccountsReceivable,,,,,,"22,290,000","15,181,000",,"80,107,000","71,596,000","84,035,000","91,285,000","110,712,000",,"81,415,000","80,456,000","66,976,000",,,,,,,,,,,,,,,,,,,,,"55,966,000","60,966,000","54,734,000","63,622,000","42,658,000","50,626,000","49,637,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,"-2,184,000","-1,524,000",,"-1,155,000","-828,000","-867,000","-753,000","-739,000",,"-820,000","-762,000","-723,000",,,,,,,,,,,,,,,,,,,,,"-623,000","-597,000","-540,000","-647,000","-719,000","-755,000","-660,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"346,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000",,,,,,,,,,,,,,,,,,,,,,
