name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993
TotalRevenue,"1,370,056,000","317,865,000","334,449,000","369,353,000","348,389,000","287,592,000","167,660,000","329,665,000","285,814,000","249,439,000","258,131,000","299,236,000","262,655,000","227,417,000","240,913,000","280,086,000","266,036,000","215,337,000","258,112,000","274,574,000","247,627,000","206,605,000","231,838,000","272,734,000","263,099,000","233,677,000","282,093,000","304,994,000","253,171,000","200,615,000","201,994,000","234,101,000","234,960,000","191,032,000","188,835,000","217,412,000","224,519,000","196,801,000","172,639,000","205,514,000","219,734,000","192,171,000","174,141,000","220,096,000","208,807,000","163,563,000","153,708,000","182,061,000","191,771,000","157,528,000","187,168,000","225,152,000","217,055,000","204,843,000","150,422,000","377,121,000","379,208,000","325,548,000","308,702,000","342,570,000","369,820,000","317,584,000","291,826,000","336,471,000","352,421,000","360,355,000","334,128,000","282,139,000","288,388,000","273,581,000","266,422,000","278,762,000","257,485,000","211,995,000","185,290,000","208,033,000","203,406,000","161,532,000","155,721,000","173,160,000","171,520,000","144,713,000","140,444,000","161,484,000","163,550,000","150,550,000","150,057,000","178,326,000","181,523,000","167,634,000","154,918,000","162,900,000","160,200,000","143,800,000","144,000,000","152,600,000","144,900,000","116,400,000","108,000,000","114,200,000","119,200,000","108,300,000","86,500,000","88,000,000","86,500,000","82,000,000","73,000,000","74,700,000","76,300,000","58,800,000","50,800,000","48,000,000","51,300,000","49,900,000","41,000,000","41,000,000"
	OperatingRevenue,"1,370,056,000","317,865,000","334,449,000","369,353,000","348,389,000","287,592,000","167,660,000","329,665,000","285,814,000","249,439,000","258,131,000","299,236,000","262,655,000","227,417,000","240,913,000","280,086,000","266,036,000","215,337,000","258,112,000","274,574,000","247,627,000","206,605,000","231,838,000","272,734,000","263,099,000","233,677,000","282,093,000","304,994,000","253,171,000","200,615,000","201,994,000","234,101,000","234,960,000","191,032,000","188,835,000","217,412,000","224,519,000","196,801,000","172,639,000","205,514,000","219,734,000","192,171,000","174,141,000","220,096,000","208,807,000","163,563,000","153,708,000","182,061,000","191,771,000","157,528,000","187,168,000","225,152,000","217,055,000","204,843,000","150,422,000","377,121,000","379,208,000","325,548,000","308,702,000","342,570,000","369,820,000","317,584,000","291,826,000","336,471,000","352,421,000","360,355,000","334,128,000","282,139,000","288,388,000","273,581,000","266,422,000","278,762,000","257,485,000","211,995,000","185,290,000","208,033,000","203,406,000","161,532,000","155,721,000","173,160,000","171,520,000","144,713,000","140,444,000","161,484,000","163,550,000","150,550,000","150,057,000","178,326,000","181,523,000","167,634,000","154,918,000","162,900,000","160,200,000","143,800,000","144,000,000","152,600,000","144,900,000","116,400,000","108,000,000","114,200,000","119,200,000","108,300,000","86,500,000","88,000,000","86,500,000","82,000,000","73,000,000","74,700,000","76,300,000","58,800,000","50,800,000","48,000,000","51,300,000","49,900,000","41,000,000","41,000,000"
CostOfRevenue,"1,075,219,000","253,021,000","268,639,000","286,101,000","267,458,000","227,574,000","125,405,000","244,222,000","213,556,000","193,052,000","197,276,000","222,658,000","199,097,000","183,517,000","187,653,000","209,807,000","195,533,000","167,019,000","201,383,000","205,839,000","185,802,000","157,350,000","177,956,000","204,847,000","196,895,000","183,521,000","230,547,000","243,598,000","209,052,000","170,700,000","173,514,000","192,523,000","194,837,000","161,168,000","153,383,000","175,650,000","179,813,000","160,624,000","140,514,000","165,286,000","178,008,000","156,690,000","147,462,000","177,133,000","163,379,000","133,518,000","135,097,000","150,758,000","152,705,000","128,113,000","159,073,000","178,732,000","179,604,000","191,830,000","131,568,000","298,210,000","296,617,000","269,798,000","260,884,000","278,796,000","304,146,000","265,933,000","240,237,000","266,660,000","275,156,000","288,832,000","276,251,000","228,133,000","231,922,000","223,449,000","219,770,000","216,742,000","199,183,000","169,235,000","150,029,000","164,967,000","162,765,000","132,386,000","125,686,000","138,517,000","136,123,000","117,499,000","115,257,000","131,154,000","125,557,000","116,395,000","115,862,000","136,991,000","139,732,000","127,970,000","117,893,000","124,200,000","123,000,000","111,400,000","113,400,000","121,300,000","114,800,000","93,600,000","88,200,000","94,000,000","97,100,000","87,600,000","69,500,000","70,400,000","69,000,000","66,600,000","60,800,000","63,500,000","64,000,000","47,700,000","41,500,000","39,100,000","41,900,000","41,200,000",,
GrossProfit,"294,837,000","64,844,000","65,810,000","83,252,000","80,931,000","60,018,000","42,255,000","85,443,000","72,258,000","56,387,000","60,855,000","76,578,000","63,558,000","43,900,000","53,260,000","70,279,000","70,503,000","48,318,000","56,729,000","68,735,000","61,825,000","49,255,000","53,882,000","67,887,000","66,204,000","50,156,000","51,546,000","61,396,000","44,119,000","29,915,000","28,480,000","41,578,000","40,123,000","29,864,000","35,452,000","41,762,000","44,706,000","36,177,000","32,125,000","40,228,000","41,726,000","35,481,000","26,679,000","42,963,000","45,428,000","30,045,000","18,611,000","31,303,000","39,066,000","29,415,000","28,095,000","46,420,000","37,451,000","13,013,000","18,854,000","78,911,000","82,591,000","55,750,000","47,818,000","63,774,000","65,674,000","51,651,000","51,589,000","69,811,000","77,265,000","71,523,000","57,877,000","54,006,000","56,466,000","50,132,000","46,652,000","62,020,000","58,302,000","42,760,000","35,261,000","43,066,000","40,641,000","29,146,000","30,035,000","34,643,000","35,397,000","27,214,000","25,187,000","30,330,000","37,993,000","34,155,000","34,195,000","41,335,000","41,791,000","39,664,000","37,025,000","38,700,000","37,200,000","32,400,000","30,600,000","31,300,000","30,100,000","22,800,000","19,800,000","20,200,000","22,100,000","20,700,000","17,000,000","17,600,000","17,500,000","15,400,000","12,200,000","11,200,000","12,300,000","11,100,000","9,300,000","8,900,000","9,400,000","8,700,000",,
OperatingExpense,"181,169,000","43,649,000","42,724,000","45,274,000","49,522,000","47,203,000","28,705,000","41,584,000","37,667,000","41,197,000","41,608,000","45,158,000","36,952,000","33,334,000","33,261,000","40,875,000","38,229,000","34,475,000","33,935,000","33,042,000","36,895,000","39,576,000","43,123,000","41,524,000","40,427,000","36,549,000","42,163,000","38,002,000","32,918,000","20,945,000","24,325,000","23,186,000","25,393,000","29,531,000","29,299,000","24,754,000","28,423,000","30,981,000","26,301,000","24,479,000","25,433,000","28,458,000","33,494,000","24,602,000","28,038,000","22,823,000","29,311,000","25,840,000","27,373,000","27,013,000","27,514,000","31,565,000","27,156,000","30,680,000","29,968,000","43,405,000","43,816,000","37,448,000","38,078,000","38,409,000","38,281,000","35,210,000","31,123,000","33,679,000","38,950,000","40,561,000","35,426,000","28,929,000","27,188,000","29,236,000","28,699,000","33,117,000","30,721,000","24,551,000","21,918,000","25,776,000","23,185,000","18,433,000","19,770,000","19,885,000","19,877,000","17,597,000","19,325,000","20,479,000","20,027,000","24,413,000","23,305,000","24,067,000","24,375,000","25,346,000","24,056,000","23,300,000","21,800,000","20,700,000","18,900,000","19,400,000","17,800,000","14,300,000","12,700,000","12,600,000","12,800,000","12,000,000","9,500,000","9,300,000","9,200,000","8,800,000","7,600,000","6,700,000","6,300,000","6,000,000","5,500,000","5,200,000","5,200,000","5,000,000",,
	SellingGeneralAndAdministration,"181,169,000","43,649,000","42,724,000","45,274,000","49,522,000","47,203,000","28,705,000","41,584,000","37,667,000","41,197,000","41,608,000","45,158,000","36,952,000","33,334,000","33,261,000","40,875,000","38,229,000","34,475,000","33,935,000","33,042,000","36,895,000","39,576,000","43,123,000","41,524,000","40,427,000","36,549,000","42,163,000","38,002,000","32,918,000","20,945,000","24,325,000","23,186,000","25,393,000","29,531,000","29,299,000","24,754,000","28,423,000","30,981,000","26,301,000","24,479,000","25,433,000","28,458,000","33,494,000","24,602,000","28,038,000","22,823,000","29,311,000","25,840,000","27,373,000","27,013,000","27,514,000","31,565,000","27,156,000","30,680,000","29,968,000","43,405,000","43,816,000","37,448,000","38,078,000","38,409,000","38,281,000","35,210,000","31,123,000","33,679,000","38,950,000","40,561,000","35,426,000","28,929,000","27,188,000","29,236,000","28,699,000","33,117,000","30,721,000","24,551,000","21,918,000","25,776,000","23,185,000","18,433,000","19,770,000","19,885,000","19,877,000","17,597,000","19,325,000","20,479,000","20,027,000","18,743,000","17,880,000","18,595,000","19,200,000","20,230,000","19,304,000","18,800,000","17,600,000","16,700,000","15,000,000","15,800,000","14,600,000","11,700,000","10,400,000","10,500,000","10,600,000","10,100,000","7,900,000","7,700,000","7,600,000","7,400,000","6,300,000","5,500,000","5,200,000","5,100,000","4,700,000","4,200,000","4,400,000","4,200,000",,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,912,000","5,670,000","5,425,000","5,472,000","5,175,000","5,116,000","4,752,000","4,500,000","4,200,000","4,000,000","3,900,000","3,600,000","3,200,000","2,600,000","2,300,000","2,100,000","2,200,000","1,900,000","1,600,000","1,600,000","1,600,000","1,400,000","1,300,000","1,200,000","1,100,000","900,000","800,000","1,000,000","800,000","800,000",,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,912,000","5,670,000","5,425,000","5,472,000","5,175,000","5,116,000","4,752,000","4,500,000","4,200,000","4,000,000","3,900,000","3,600,000","3,200,000","2,600,000","2,300,000","2,100,000","2,200,000","1,900,000","1,600,000","1,600,000","1,600,000","1,400,000","1,300,000","1,200,000","1,100,000","900,000","800,000","1,000,000","800,000","800,000",,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-5,912,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"113,668,000","21,195,000","23,086,000","37,978,000","31,409,000","12,815,000","13,550,000","43,859,000","34,591,000","15,190,000","19,247,000","31,420,000","26,606,000","10,566,000","19,999,000","29,404,000","32,274,000","13,843,000","22,794,000","35,693,000","24,930,000","9,679,000","10,759,000","26,363,000","25,777,000","13,607,000","9,383,000","23,394,000","11,201,000","8,970,000","4,155,000","18,392,000","14,730,000","333,000","6,153,000","17,008,000","16,283,000","5,196,000","5,824,000","15,749,000","16,293,000","7,023,000","-6,815,000","18,361,000","17,390,000","7,222,000","-10,700,000","5,463,000","11,693,000","2,402,000","581,000","14,855,000","10,295,000","-17,667,000","-11,114,000","35,506,000","38,775,000","18,302,000","9,740,000","25,365,000","27,393,000","16,441,000","20,466,000","36,132,000","38,315,000","30,962,000","22,451,000","25,077,000","29,278,000","20,896,000","17,953,000","28,903,000","27,581,000","18,209,000","13,343,000","17,290,000","17,456,000","10,713,000","10,265,000","14,758,000","15,520,000","9,617,000","5,862,000","9,851,000","17,966,000","9,742,000","10,890,000","17,268,000","17,416,000","14,318,000","12,969,000","15,400,000","15,400,000","11,700,000","11,700,000","11,900,000","12,300,000","8,500,000","7,100,000","7,600,000","9,300,000","8,700,000","7,500,000","8,300,000","8,300,000","6,600,000","4,600,000","4,500,000","6,000,000","5,100,000","3,800,000","3,700,000","4,200,000","3,700,000","-114,700,000","41,000,000"
