name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000
OperatingCashFlow,"995,500,000","-51,700,000","646,300,000","21,800,000","379,100,000","198,300,000","656,300,000","90,000,000","-39,100,000","-115,600,000","556,000,000","5,700,000","189,500,000","3,200,000","618,300,000","-19,300,000","410,200,000","155,500,000","534,800,000","-103,800,000","323,800,000","201,900,000","366,200,000","-38,100,000","249,400,000","199,200,000","302,000,000","8,000,000","186,600,000","167,200,000","444,700,000","138,900,000","316,073,000","104,867,000","400,370,000","164,100,000","374,567,000","209,395,000","627,838,000","202,174,000","282,822,000","102,797,000","611,104,000","224,966,000","220,646,000","227,409,000","407,760,000","177,456,000","181,525,000","205,116,000","363,697,000","240,539,000","270,196,000","206,942,000","255,532,000","76,482,000","323,040,000","85,418,000","389,662,000","125,241,000","256,764,000","96,695,000","344,898,000","80,745,000","195,246,000","97,709,000","249,014,000","54,634,000","145,901,000","105,845,000","234,649,000","57,868,000","146,400,000","99,568,000","174,164,000","28,435,000","57,015,000","38,079,000","118,896,000","7,634,000","26,583,000","-201,000","90,709,000","-9,154,000","17,227,000","27,976,000","77,881,000","1,245,000"
	CashFlowFromContinuingOperatingActivities,"995,500,000","-51,700,000","646,300,000","21,800,000","379,100,000","198,300,000","656,300,000","90,000,000","-39,100,000","-115,600,000","556,000,000","5,700,000","189,500,000","3,200,000","618,300,000","-19,300,000","410,200,000","155,500,000","534,800,000","-103,800,000","323,800,000","201,900,000","366,200,000","-38,100,000","249,400,000","199,200,000","302,000,000","8,000,000","186,600,000","167,200,000","444,700,000","138,900,000","316,073,000","104,867,000","400,370,000","164,100,000","374,567,000","209,395,000","627,838,000","202,174,000","282,822,000","102,797,000","611,104,000","224,966,000","220,646,000","227,409,000","407,760,000","177,456,000","181,525,000","205,116,000","363,697,000","240,539,000","270,196,000","206,942,000","255,532,000","76,482,000","323,040,000","85,418,000","389,662,000","125,241,000","256,764,000","96,695,000","344,898,000","80,745,000","195,246,000","97,709,000","249,014,000","54,634,000","145,901,000","105,845,000","234,649,000","57,868,000","146,400,000","99,568,000","174,164,000","28,435,000","57,015,000","38,079,000","118,896,000","7,634,000","26,583,000","-201,000","90,709,000","-9,154,000","17,227,000","27,976,000","77,881,000","1,245,000"
		NetIncomeFromContinuingOperations,"867,300,000","122,700,000","317,900,000","226,900,000","199,800,000","91,700,000","311,000,000","231,700,000","-293,800,000","-677,100,000","298,800,000","20,000,000","148,900,000","117,400,000","254,800,000","122,300,000","211,700,000","140,300,000","63,200,000","-17,700,000","151,700,000","122,200,000","199,700,000","117,400,000","81,500,000","112,500,000","170,100,000","96,400,000","11,700,000","88,100,000","183,500,000","119,100,000","75,275,000","190,740,000","297,438,000","217,883,000","221,343,000","238,932,000","352,764,000","221,381,000","251,430,000","225,002,000","347,495,000","214,983,000","202,481,000","186,015,000","303,428,000","188,876,000","195,527,000","157,636,000","240,950,000","140,827,000","145,793,000","114,859,000","216,906,000","145,811,000","213,524,000","162,408,000","252,317,000","154,806,000","160,612,000","149,964,000","227,473,000","125,616,000","117,642,000","108,846,000","174,174,000","93,615,000","97,565,000","89,239,000","134,123,000","67,725,000","65,670,000","58,311,000","95,438,000","42,329,000","29,864,000","31,853,000","62,431,000","22,480,000","17,306,000","11,817,000","44,166,000","12,538,000","9,242,000","7,993,000","39,204,000","7,591,000"
		OperatingGainsLosses,"53,700,000","0",,,"0","0","0","-13,200,000",,,,,,,,,,,,,,,,,,"1,400,000","2,700,000","5,400,000","20,800,000","11,200,000","8,800,000","18,900,000",,,,,,,,,,,,,,,,,,"4,639,000","-2,587,000","-5,251,000",,"3,593,000","4,534,000","-932,000",,,,"6,126,000",,,,,,"-6,984,000","-23,145,000","-11,327,000","22,354,000","1,142,000","52,909,000","19,597,000","51,455,000","18,194,000","40,005,000","14,847,000","15,735,000","4,228,000","18,652,000","2,888,000","5,087,000","7,012,000","4,497,000","570,000","1,005,000","-225,000","52,000","4,950,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,"1,400,000","2,700,000","5,400,000","20,800,000","11,200,000","8,800,000","18,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"0","0","0","0","0","0","0","-13,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"199,600,000","48,500,000","48,800,000","50,800,000","51,500,000","64,800,000","51,200,000","51,200,000","53,400,000","69,900,000","60,800,000","64,200,000","78,400,000","63,500,000","65,300,000","61,000,000","71,700,000","62,300,000","60,800,000","65,500,000","64,100,000","48,500,000","47,900,000","52,300,000","54,000,000","49,500,000","52,700,000","54,400,000","54,600,000","47,400,000","46,500,000","43,300,000","51,252,000","45,169,000","47,975,000","44,964,000","47,321,000","38,785,000","40,777,000","36,104,000","34,176,000","33,651,000","33,028,000","32,054,000","31,257,000","30,370,000","31,228,000","32,251,000","32,733,000","32,578,000","28,053,000","33,380,000","31,191,000","30,731,000","30,401,000","30,691,000","25,756,000","25,809,000","24,411,000","24,728,000","21,329,000","20,642,000","20,084,000","18,832,000","17,081,000","16,409,000","17,636,000","13,989,000","13,863,000","15,454,000","14,296,000","13,420,000","12,315,000","12,016,000","9,678,000","8,845,000","9,308,000","7,416,000","7,027,000","6,480,000","6,822,000","6,375,000","6,362,000","5,935,000","7,139,000","5,545,000","5,829,000","5,618,000"
			DepreciationAndAmortization,"199,600,000","48,500,000","48,800,000","50,800,000","51,500,000","64,800,000","51,200,000","51,200,000","53,400,000","69,900,000","60,800,000","64,200,000","78,400,000","63,500,000","65,300,000","61,000,000","71,700,000","62,300,000","60,800,000","65,500,000","64,100,000","48,500,000","47,900,000","52,300,000","54,000,000","49,500,000","52,700,000","54,400,000","54,600,000","47,400,000","46,500,000","43,300,000","51,252,000","45,169,000","47,975,000","44,964,000","47,321,000","38,785,000",,,"34,176,000","33,651,000","33,028,000","32,054,000","31,257,000","30,370,000","31,228,000","32,251,000","32,733,000","32,578,000","28,053,000","33,380,000","31,191,000","30,731,000","30,401,000","30,691,000","25,756,000","25,809,000","24,411,000","24,728,000","21,329,000","20,642,000","20,084,000","18,832,000","17,081,000","16,409,000","17,636,000","13,989,000","13,863,000","15,454,000","14,296,000","13,420,000","12,315,000","12,016,000","9,678,000","8,845,000","9,308,000","7,416,000","7,027,000","6,480,000","6,822,000","6,375,000","6,362,000","5,935,000","7,139,000","5,545,000","5,829,000","5,618,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,412,000","5,892,000","5,744,000","6,910,000",,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-37,000","470,000","191,000","229,000",,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-37,000","470,000","191,000","229,000",,,
		DeferredTax,"85,700,000","0","17,600,000","-12,400,000","80,500,000","13,300,000","26,600,000","-67,800,000","-82,400,000","-27,500,000","28,300,000","-34,100,000","-7,000,000","10,500,000","13,800,000","17,200,000","-11,600,000","55,300,000","-71,000,000","-23,600,000","15,000,000","50,300,000","7,900,000","4,800,000","-69,700,000","8,700,000","-11,500,000","20,200,000","4,800,000","-1,900,000","-3,400,000","22,000,000","-51,134,000","1,054,000","10,913,000","16,380,000","885,000","-12,067,000","-3,196,000","7,858,000","28,320,000","-24,965,000","-10,076,000","34,289,000","27,952,000","-3,488,000","5,364,000","9,896,000","12,931,000","-15,596,000","-5,417,000","-9,047,000","13,002,000","16,328,000","-4,890,000","-10,780,000","19,968,000","-8,210,000","-30,903,000","2,238,000","12,638,000","1,490,000","-819,000","-6,671,000","-31,709,000","16,107,000","-4,781,000","-2,560,000","-65,288,000","13,506,000","703,000","-5,168,000","11,817,000","-16,000","-65,000","-90,000","8,867,000","0","-19,000","-70,000","-5,042,000","76,000","-333,000","330,000","-6,291,000","0","2,226,000","-1,732,000"
			DeferredIncomeTax,"85,700,000","0","17,600,000","-12,400,000","80,500,000","13,300,000","26,600,000","-67,800,000","-82,400,000","-27,500,000","28,300,000","-34,100,000","-7,000,000","10,500,000","13,800,000","17,200,000","-11,600,000","55,300,000","-71,000,000","-23,600,000","15,000,000","50,300,000","7,900,000","4,800,000","-69,700,000","8,700,000","-11,500,000","20,200,000","4,800,000","-1,900,000","-3,400,000","22,000,000","-51,134,000","1,054,000","10,913,000","16,380,000","885,000","-12,067,000","-3,196,000","7,858,000","28,320,000","-24,965,000","-10,076,000","34,289,000","27,952,000","-3,488,000","5,364,000","9,896,000","12,931,000","-15,596,000","-5,417,000","-9,047,000","13,002,000","16,328,000","-4,890,000","-10,780,000","19,968,000","-8,210,000","-30,903,000","2,238,000","12,638,000","1,490,000","-819,000","-6,671,000","-31,709,000","16,107,000","-4,781,000","-2,560,000","-65,288,000","13,506,000","703,000","-5,168,000","11,817,000","-16,000","-65,000","-90,000","8,867,000","0","-19,000","-70,000","-5,042,000","76,000","-333,000","330,000","-6,291,000","0","2,226,000","-1,732,000"
		AssetImpairmentCharge,"0",,,,"0","45,800,000","0","0","115,900,000","622,000,000","0","75,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
