name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,12/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006
TotalAssets,"18,891,100,000","17,333,000,000","16,934,000,000","17,435,100,000","16,689,100,000","15,923,600,000","15,475,400,000","15,572,900,000","15,974,100,000","16,741,100,000","15,937,600,000","16,140,900,000","16,249,300,000","16,107,500,000","13,279,000,000","13,673,500,000","5,549,584,000","5,539,516,000","5,598,621,000","5,618,401,000","5,659,083,000","5,706,971,000","5,622,460,000","5,688,839,000","5,790,712,000","5,802,242,000","5,777,223,000","2,836,371,000","2,206,739,000","2,285,322,000","2,169,859,000","2,222,431,000","2,228,367,000","2,275,324,000","2,292,832,000","2,282,617,000","2,306,105,000","2,362,905,000","2,381,263,000","2,438,849,000","1,217,270,000","1,207,608,000","1,248,504,000","1,286,235,000","1,287,893,000","1,275,726,000","1,245,639,000","1,248,612,000","1,205,101,000","1,185,641,000","1,165,854,000","1,127,353,000","1,190,495,000","1,198,394,000","1,177,600,000","1,161,411,000","1,152,521,000"
	CurrentAssets,"4,127,700,000","4,252,200,000","3,776,400,000","4,127,800,000","3,199,200,000","2,298,500,000","1,821,700,000","1,943,800,000","2,336,700,000","2,785,900,000","2,055,100,000","2,003,700,000","1,977,100,000","2,048,100,000","2,136,800,000","2,348,300,000","386,197,000","359,457,000","389,068,000","378,968,000","407,396,000","415,112,000","413,907,000","409,385,000","436,689,000","675,066,000","723,971,000","847,755,000","219,830,000","235,172,000","198,851,000","200,026,000","201,162,000","221,176,000","217,403,000","212,341,000","205,386,000","206,917,000","208,652,000","265,491,000","107,342,000","95,559,000","135,564,000","143,782,000","136,756,000","139,690,000","145,508,000","148,757,000","79,925,000","69,268,000","95,895,000","75,721,000","69,475,000","67,817,000","58,619,000","59,715,000","51,236,000"
		CashCashEquivalentsAndShortTermInvestments,"558,100,000","564,000,000","351,100,000","247,100,000","253,700,000","209,300,000","184,500,000","261,900,000","373,700,000","152,800,000","157,500,000","131,300,000","154,600,000","166,700,000","732,200,000","785,100,000","74,077,000","64,057,000","103,279,000","90,370,000","108,842,000","117,558,000","101,800,000","95,222,000","101,826,000","434,159,000","503,810,000","729,808,000","88,330,000","109,577,000","75,080,000","73,520,000","78,371,000","84,470,000","81,575,000","60,586,000","68,838,000","86,160,000","80,255,000","134,472,000","41,944,000","40,318,000","76,175,000","82,642,000","70,835,000","84,843,000","86,975,000","88,886,000","21,189,000","19,055,000","52,461,000","29,299,000","19,175,000","16,190,000","13,210,000","11,733,000","11,718,000"
			CashAndCashEquivalents,"558,100,000","564,000,000","351,100,000","247,100,000","253,700,000","209,300,000","184,500,000","261,900,000","373,700,000","152,800,000","157,500,000","131,300,000","154,600,000","166,700,000","732,200,000","785,100,000","74,077,000","64,057,000","103,279,000","90,370,000","108,842,000","117,558,000","101,800,000","95,222,000","101,826,000","434,159,000","503,810,000","729,808,000","88,330,000","109,577,000","75,080,000","73,520,000","78,371,000","84,470,000","81,575,000","60,586,000","68,838,000","86,160,000","80,255,000","134,472,000","41,944,000","40,318,000","76,175,000","82,642,000","70,835,000","84,843,000","86,975,000","88,886,000","21,189,000","19,055,000","52,461,000","29,299,000","19,175,000","16,190,000","13,210,000","11,733,000","11,718,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"88,330,000","109,577,000","75,080,000","73,520,000","78,371,000","84,470,000","81,575,000","60,586,000","68,838,000","86,160,000",,,"41,944,000","40,318,000",,,,,,,,,,,,,,,
		Receivables,"3,374,000,000","3,496,500,000","3,229,400,000","3,660,000,000","2,731,700,000","1,895,800,000","1,448,900,000","1,486,900,000","1,787,400,000","2,419,600,000","1,716,300,000","1,709,300,000","1,654,000,000","1,714,900,000","1,229,000,000","1,376,400,000","276,018,000","243,900,000","238,677,000","235,811,000","247,553,000","241,307,000","237,495,000","239,428,000","262,753,000","169,951,000","154,980,000","94,733,000","103,802,000","94,359,000","90,122,000","89,428,000","87,787,000","91,221,000","85,871,000","97,372,000","91,496,000","91,690,000","91,898,000","85,120,000","53,167,000","47,201,000","44,547,000","44,728,000","55,676,000","45,531,000","44,834,000","52,640,000","50,906,000","42,269,000","37,628,000","38,318,000","39,546,000","41,552,000","36,941,000","39,904,000","31,695,000"
			AccountsReceivable,"791,900,000","521,900,000","715,200,000","711,800,000","691,400,000","478,900,000","664,100,000","692,500,000","701,200,000","488,500,000","666,400,000","675,700,000","696,400,000","516,400,000","625,000,000","610,400,000","271,466,000","179,019,000","246,388,000","244,364,000","254,413,000","172,642,000","242,810,000","243,385,000","266,366,000","130,394,000","157,526,000","97,123,000","106,346,000","58,223,000","92,809,000","91,940,000","90,125,000","57,634,000","88,828,000","100,237,000","93,747,000","62,673,000","91,898,000","85,120,000","53,167,000","47,201,000","44,547,000","44,728,000","55,676,000","45,531,000","44,834,000","44,744,000","44,367,000","41,600,000","37,628,000","38,318,000","39,546,000","41,552,000","36,941,000","36,660,000","31,695,000"
				GrossAccountsReceivable,"810,800,000",,"733,500,000","729,900,000","691,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,818,000","87,545,000","55,188,000","49,207,000","46,797,000","47,151,000",,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-18,900,000",,"-18,300,000","-18,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,920,000","-2,425,000","-2,021,000","-2,006,000","-2,250,000","-2,423,000",,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,896,000","6,539,000","669,000",,,,,,"3,244,000","0"
			OtherReceivables,"2,582,100,000","2,992,500,000","2,514,200,000","2,948,200,000","2,057,200,000","1,433,700,000","801,100,000","810,800,000","1,100,800,000","1,944,300,000","1,061,600,000","1,044,200,000","967,500,000","1,207,900,000","614,300,000","776,400,000","11,942,000","71,620,000",,,,"74,609,000",,,,"42,514,000",,,,"38,377,000",,,,"36,087,000",,,,"31,376,000",,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,"-17,900,000",,,"-16,900,000","-16,800,000","-16,300,000","-16,400,000","-14,600,000","-13,200,000","-11,700,000","-10,600,000","-9,900,000","-9,400,000","-10,300,000","-10,400,000","-7,390,000","-6,739,000","-7,711,000","-8,553,000","-6,860,000","-5,944,000","-5,315,000","-3,957,000","-3,613,000","-2,957,000","-2,546,000","-2,390,000","-2,544,000","-2,241,000","-2,687,000","-2,512,000","-2,338,000","-2,500,000","-2,957,000","-2,865,000","-2,251,000","-2,359,000",,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"192,200,000","187,500,000","192,200,000","216,800,000","209,400,000","187,500,000","182,300,000","186,600,000","167,300,000","204,500,000","174,300,000","157,000,000","162,900,000","160,100,000","161,800,000","177,200,000","35,559,000","50,908,000","46,520,000","50,907,000","48,930,000","54,131,000","72,496,000","71,917,000","69,292,000","68,138,000","53,075,000","18,879,000","23,593,000","26,784,000","28,247,000","30,234,000","27,940,000","36,499,000","43,466,000","46,242,000","34,892,000","21,199,000","28,712,000","33,109,000","10,202,000","6,002,000","13,644,000","15,144,000","9,019,000","8,174,000","12,232,000","5,243,000","6,057,000","6,164,000","4,892,000","4,327,000","9,585,000","9,129,000","8,185,000","8,078,000","7,823,000"
		RestrictedCash,"3,400,000","4,200,000","3,700,000","3,900,000","4,400,000","5,900,000","6,000,000","8,400,000","8,300,000","9,000,000","7,000,000","6,100,000","5,600,000","6,400,000","13,800,000","9,600,000","543,000","592,000","592,000","1,880,000","2,071,000","2,116,000","2,116,000","2,818,000","2,818,000","2,818,000","3,208,000","1,478,000","1,478,000","1,477,000","1,477,000","1,477,000","1,477,000","2,460,000","2,460,000","2,460,000","2,460,000","2,460,000","2,460,000","1,149,000","1,149,000","1,149,000",,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"0","8,898,000","2,857,000","2,627,000","2,975,000","3,925,000","5,367,000","5,587,000","6,526,000","4,031,000","5,681,000","7,700,000","5,408,000","5,327,000","11,641,000","880,000","889,000","1,198,000","1,268,000","1,226,000","1,142,000","1,467,000","1,988,000","1,773,000","1,780,000","914,000",,"1,169,000","946,000","283,000",,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,"0","8,898,000","2,857,000","2,627,000","2,975,000","3,925,000","5,367,000","5,587,000","6,526,000","4,031,000","5,681,000","7,700,000","5,408,000","5,327,000","11,641,000","880,000","889,000","1,198,000","1,268,000","1,226,000","1,142,000","1,467,000","1,988,000","1,773,000","1,780,000","914,000",,"1,169,000","946,000","283,000",,
		OtherCurrentAssets,,,,,,"1,227,400,000","781,500,000","786,500,000","1,073,100,000","1,729,900,000","1,045,700,000","1,026,700,000","954,800,000","1,014,700,000","604,300,000","769,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,777,000",,,,,
	TotalNonCurrentAssets,"14,763,400,000","13,080,800,000","13,157,600,000","13,307,300,000","13,489,900,000","13,625,100,000","13,653,700,000","13,629,100,000","13,637,400,000","13,955,200,000","13,882,500,000","14,137,200,000","14,272,200,000","14,059,400,000","11,142,200,000","11,325,200,000","5,163,387,000","5,180,059,000","5,209,553,000","5,239,433,000","5,251,687,000","5,291,859,000","5,208,553,000","5,279,454,000","5,354,023,000","5,127,176,000","5,053,252,000","1,988,616,000","1,986,909,000","2,050,150,000","1,971,008,000","2,022,405,000","2,027,205,000","2,054,148,000","2,075,429,000","2,070,276,000","2,100,719,000","2,155,988,000","2,172,611,000","2,173,358,000","1,109,928,000","1,112,049,000","1,112,940,000","1,142,453,000","1,151,137,000","1,136,036,000","1,100,131,000","1,099,855,000","1,125,176,000","1,116,373,000","1,069,959,000","1,051,632,000","1,121,020,000","1,130,577,000","1,118,981,000","1,101,696,000","1,101,285,000"
		NetPPE,"647,700,000","673,200,000","697,400,000","717,700,000","741,900,000","763,600,000","773,700,000","781,100,000","794,400,000","841,700,000","851,500,000","860,500,000","889,400,000","553,200,000","556,300,000","581,700,000","101,994,000","100,956,000","103,580,000","100,908,000","81,927,000","80,395,000","71,128,000","69,557,000","69,211,000","67,143,000","72,026,000","51,324,000","52,810,000","54,277,000","53,507,000","53,212,000","53,213,000","51,697,000","53,317,000","53,703,000","53,083,000","55,039,000","51,054,000","51,033,000","14,293,000","14,304,000","13,750,000","13,964,000","13,845,000","13,570,000","13,164,000","13,312,000","13,707,000","14,036,000","12,792,000","14,030,000","13,040,000","12,201,000","11,260,000","11,110,000","10,019,000"
			GrossPPE,"1,115,500,000","1,123,900,000","1,136,400,000","1,147,800,000","1,152,700,000","1,169,300,000","1,155,800,000","1,135,600,000","1,122,600,000","1,152,100,000","1,131,500,000","1,113,200,000","1,114,400,000","749,000,000","719,500,000","715,700,000","208,834,000","201,337,000","199,252,000","197,197,000","173,530,000","165,415,000","153,103,000","152,133,000","146,145,000","137,784,000","137,468,000","114,323,000","111,790,000","110,740,000","105,265,000","103,249,000","102,152,000","98,685,000","97,292,000","93,933,000","90,674,000","89,258,000","82,968,000","81,498,000","42,867,000","41,270,000","39,124,000","39,489,000","37,837,000","36,012,000","34,117,000","33,272,000","32,600,000","31,273,000","28,643,000","25,830,000","22,054,000","19,795,000","18,358,000","17,328,000","15,018,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"42,500,000","49,800,000","53,700,000","54,300,000","54,200,000","48,000,000","47,100,000","46,500,000","46,500,000","47,500,000","39,300,000","39,700,000","40,100,000","54,800,000","54,000,000","58,300,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000","2,655,000",,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"293,000,000","307,500,000","310,300,000","311,300,000","311,200,000","307,400,000","302,900,000","297,900,000","295,100,000","302,200,000","303,600,000","303,300,000","304,400,000","309,500,000","302,000,000","302,900,000","61,354,000","59,935,000","59,974,000","59,455,000","45,218,000","42,749,000","37,539,000","37,042,000","36,845,000","37,855,000","36,761,000","28,953,000","28,405,000","28,521,000","27,204,000","27,337,000","28,794,000","30,053,000","29,937,000","29,687,000","29,374,000","28,557,000",,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"488,900,000","475,400,000","465,000,000","458,700,000","448,100,000","463,100,000","452,600,000","433,900,000","423,000,000","427,100,000","417,400,000","403,700,000","397,000,000","384,700,000","363,500,000","354,500,000","144,825,000","138,747,000","136,623,000","135,087,000","125,657,000","120,011,000","112,909,000","112,436,000","106,645,000","97,274,000","98,052,000","82,715,000","80,730,000","79,564,000","75,406,000","73,257,000","70,703,000","65,977,000","64,700,000","61,591,000","58,645,000","58,046,000","51,930,000","51,708,000","36,223,000","34,802,000","32,605,000","33,629,000","32,187,000","30,407,000","28,754,000","27,932,000","27,187,000","25,915,000","23,576,000","20,978,000","17,532,000","16,363,000","15,774,000",,"12,168,000"
				OtherProperties,"291,100,000","291,200,000","307,400,000","323,500,000","339,200,000","350,800,000","353,200,000","357,300,000","358,000,000","375,300,000","371,200,000","366,500,000","372,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,218,000",
				Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,383,000","27,135,000","6,644,000","6,468,000","6,519,000","5,860,000","5,650,000","5,605,000","5,363,000","5,340,000","5,413,000","5,358,000","5,067,000","4,852,000","4,522,000","3,432,000","2,584,000","14,110,000","2,850,000"
			AccumulatedDepreciation,"-467,800,000","-450,700,000","-439,000,000","-430,100,000","-410,800,000","-405,700,000","-382,100,000","-354,500,000","-328,200,000","-310,400,000","-280,000,000","-252,700,000","-225,000,000","-195,800,000","-163,200,000","-134,000,000","-106,840,000","-100,381,000","-95,672,000","-96,289,000","-91,603,000","-85,020,000","-81,975,000","-82,576,000","-76,934,000","-70,641,000","-65,442,000","-62,999,000","-58,980,000","-56,463,000","-51,758,000","-50,037,000","-48,939,000","-46,988,000","-43,975,000","-40,230,000","-37,591,000","-34,219,000","-31,914,000","-30,465,000","-28,574,000","-26,966,000","-25,374,000","-25,525,000","-23,992,000","-22,442,000","-20,953,000","-19,960,000","-18,893,000","-17,237,000","-15,851,000","-11,800,000","-9,014,000","-7,594,000","-7,098,000","-6,218,000","-4,999,000"
		GoodwillAndOtherIntangibleAssets,"13,553,300,000","11,609,300,000","11,979,700,000","12,121,000,000","12,244,200,000","12,113,100,000","12,387,000,000","12,380,100,000","12,360,700,000","12,455,400,000","12,561,100,000","12,774,500,000","12,914,300,000","12,861,900,000","10,082,200,000","10,227,200,000","5,037,276,000","5,049,600,000","5,103,807,000","5,136,389,000","5,167,418,000","5,185,428,000","5,135,354,000","5,207,879,000","5,282,952,000","5,039,253,000","4,980,276,000","1,935,400,000","1,932,801,000","1,961,661,000","1,915,995,000","1,968,156,000","1,972,984,000","1,965,577,000","2,021,379,000","2,015,473,000","2,045,950,000","2,064,036,000","2,117,673,000","2,111,164,000","1,094,915,000","1,096,634,000","1,098,563,000","1,127,829,000","1,136,656,000","1,121,780,000","1,086,318,000","1,085,984,000","1,111,138,000","1,101,838,000","1,057,167,000","1,037,602,000","1,107,980,000","1,118,376,000","1,107,721,000","1,090,586,000","1,091,266,000"
			Goodwill,"9,055,200,000","8,045,500,000","8,041,900,000","8,080,800,000","8,078,100,000","8,078,700,000","7,984,200,000","7,939,700,000","7,859,700,000","7,959,900,000","7,825,700,000","7,886,100,000","7,882,400,000","7,858,000,000","6,507,600,000","6,530,400,000","3,711,181,000","3,707,823,000","3,692,573,000","3,676,586,000","3,659,631,000","3,652,733,000","3,616,060,000","3,636,495,000","3,655,005,000","3,549,212,000","3,501,892,000","1,558,785,000","1,541,768,000","1,573,227,000","1,523,971,000","1,547,504,000","1,533,941,000","1,541,386,000","1,542,947,000","1,526,428,000","1,536,038,000","1,559,607,000","1,531,009,000","1,512,624,000","937,409,000","931,639,000","924,835,000","945,079,000","944,968,000","926,668,000","895,182,000","886,982,000","900,021,000","885,517,000","853,147,000","822,409,000","860,690,000","862,410,000","844,484,000","826,086,000","820,470,000"
			OtherIntangibleAssets,"4,498,100,000","3,563,800,000","3,937,800,000","4,040,200,000","4,166,100,000","4,034,400,000","4,402,800,000","4,440,400,000","4,501,000,000","4,495,500,000","4,735,400,000","4,888,400,000","5,031,900,000","5,003,900,000","3,574,600,000","3,696,800,000","1,326,095,000","1,341,777,000","1,411,234,000","1,459,803,000","1,507,787,000","1,532,695,000","1,519,294,000","1,571,384,000","1,627,947,000","1,490,041,000","1,478,384,000","376,615,000","391,033,000","388,434,000","392,024,000","420,652,000","439,043,000","424,191,000","478,432,000","489,045,000","509,912,000","504,429,000","586,664,000","598,540,000","157,506,000","164,995,000","173,728,000","182,750,000","191,688,000","195,112,000","191,136,000","199,002,000","211,117,000","216,321,000","204,020,000","215,193,000","247,290,000","255,966,000","263,237,000","264,500,000","270,796,000"
		InvestmentsAndAdvances,"482,200,000","478,900,000","399,100,000","392,600,000","422,100,000","409,100,000","408,300,000","389,000,000","403,700,000","394,900,000","408,000,000","445,100,000","429,800,000","429,800,000","474,800,000","483,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"323,700,000","321,600,000","239,500,000","242,100,000","266,200,000","225,600,000","270,300,000","275,800,000","289,400,000","311,500,000","327,200,000","362,700,000","340,000,000","341,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,"308,600,000","306,100,000","219,700,000","219,800,000","228,500,000","225,600,000","224,100,000","222,700,000","228,200,000","234,800,000","232,200,000","236,300,000","239,300,000","239,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,"15,100,000","15,500,000","19,800,000","22,300,000","37,700,000",,"46,200,000","53,100,000","61,200,000","76,700,000","95,000,000","126,400,000","100,700,000","102,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
