name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
TotalRevenue,"739,748,000","209,933,000","189,244,000","178,733,000","161,838,000","189,371,000","161,731,000","136,928,000"
	OperatingRevenue,"739,748,000","209,933,000","189,244,000","178,733,000","161,838,000","189,371,000","161,731,000","136,928,000"
CostOfRevenue,"526,790,000","156,025,000","129,752,000","128,878,000","112,135,000","127,629,000","107,325,000","91,263,000"
GrossProfit,"212,958,000","53,908,000","59,492,000","49,855,000","49,703,000","61,742,000","54,406,000","45,665,000"
OperatingExpense,"164,426,000","41,118,000","50,933,000","38,425,000","33,950,000","40,623,000","47,923,000","39,362,000"
	SellingGeneralAndAdministration,"135,542,000","33,915,000","43,693,000","31,189,000","26,745,000","33,433,000","41,102,000","33,311,000"
	DepreciationAmortizationDepletionIncomeStatement,"28,884,000","7,203,000","7,240,000","7,236,000","7,205,000","7,190,000","6,821,000","6,051,000"
		DepreciationAndAmortizationInIncomeStatement,"28,884,000","7,203,000","7,240,000","7,236,000","7,205,000","7,190,000","6,821,000","6,051,000"
OperatingIncome,"48,532,000","12,790,000","8,559,000","11,430,000","15,753,000","21,119,000","6,483,000","6,303,000"
NetNonOperatingInterestIncomeExpense,"-31,540,000","-6,022,000","-6,272,000","-12,547,000","-6,699,000","-5,367,000","-4,983,000","-4,293,000"
	InterestExpenseNonOperating,"31,540,000","6,022,000","6,272,000","12,547,000","6,699,000","5,367,000","4,983,000","4,293,000"
OtherIncomeExpense,,,"-10,665,000",,,,,
	SpecialIncomeCharges,,,"-10,665,000","0",,,"0","0"
		OtherSpecialCharges,,,"10,665,000",,,,,
PretaxIncome,"-3,390,000","6,768,000","-8,378,000","-1,117,000","-663,000","15,752,000","1,500,000","2,010,000"
TaxProvision,"2,346,000","2,711,000","-4,538,000","3,497,000","676,000","4,040,000","1,979,000","-226,000"
NetIncomeCommonStockholders,"-5,736,000","4,057,000","-3,840,000","-4,614,000","10,157,000","11,712,000","4,824,000","2,236,000"
	NetIncome,"-5,736,000","4,057,000","-3,840,000","-4,614,000","-1,339,000","11,712,000","-479,000","2,236,000"
		NetIncomeIncludingNoncontrollingInterests,"-5,736,000","4,057,000","-3,840,000","-4,614,000","-1,339,000","11,712,000","-479,000","2,236,000"
			NetIncomeContinuousOperations,"-5,736,000","4,057,000","-3,840,000","-4,614,000","-1,339,000","11,712,000","-479,000","2,236,000"
DilutedNIAvailtoComStockholders,"-5,736,000","4,057,000","-3,840,000","-4,614,000","10,157,000","11,712,000","4,824,000","2,236,000"
BasicEPS,,"0.04","-0.04","-0.06",,"0.12",,"0.023"
DilutedEPS,,"0.04","-0.04","-0.06",,"0.12",,"0.023"
BasicAverageShares,,"100,892,547","100,289,965","74,058,447",,"97,392,447",,"97,392,447"
DilutedAverageShares,,"101,262,103","100,289,965","74,058,447",,"97,392,447",,"97,392,447"
TotalOperatingIncomeAsReported,"28,150,000","12,790,000","-2,106,000","11,430,000","6,036,000","21,119,000","6,483,000","6,303,000"
TotalExpenses,"691,216,000","197,143,000","180,685,000","167,303,000","146,085,000","168,252,000","155,248,000","130,625,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-5,736,000","4,057,000","-3,840,000","-4,614,000","-1,339,000","11,712,000","-479,000","2,236,000"
NormalizedIncome,"6,493,200","4,057,000","3,945,450","-4,614,000","-1,339,000","11,712,000","-479,000","2,236,000"
InterestExpense,"31,540,000","6,022,000","6,272,000","12,547,000","6,699,000","5,367,000","4,983,000","4,293,000"
NetInterestIncome,"-31,540,000","-6,022,000","-6,272,000","-12,547,000","-6,699,000","-5,367,000","-4,983,000","-4,293,000"
EBIT,"28,150,000","12,790,000","-2,106,000","11,430,000","6,036,000","21,119,000","6,483,000","6,303,000"
EBITDA,"66,138,000"
ReconciledCostOfRevenue,"517,686,000","153,673,000","127,482,000","126,620,000","109,911,000","125,440,000","105,096,000","89,027,000"
ReconciledDepreciation,"37,988,000","9,555,000","9,510,000","9,494,000","9,429,000","9,379,000","9,050,000","8,287,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-5,736,000","4,057,000","-3,840,000","-4,614,000","-1,339,000","11,712,000","-479,000","2,236,000"
TotalUnusualItemsExcludingGoodwill,"-20,382,000",,"-10,665,000","0",,,"0","0"
TotalUnusualItems,"-20,382,000",,"-10,665,000","0",,,"0","0"
NormalizedEBITDA,"86,520,000","22,345,000","18,069,000","20,924,000","15,465,000","30,498,000","15,533,000","14,590,000"
TaxRateForCalcs,"0.4","0.4","0.27","0.27","0.27","0.256","0.27","0.27"
TaxEffectOfUnusualItems,"-8,152,800","0","-2,879,550","0","0","0","0","0"
