name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019
OperatingCashFlow,"1,912,000","17,406,000","1,577,000","-24,603,000","7,532,000","6,875,000","-921,000","-22,172,000","17,478,000","18,195,000","-1,807,000","-8,141,000","17,092,000"
	CashFlowFromContinuingOperatingActivities,"1,912,000","17,406,000","1,577,000","-24,603,000","7,532,000","6,875,000","-921,000","-22,172,000","17,478,000","18,195,000","-1,807,000","-8,141,000","17,092,000"
		NetIncomeFromContinuingOperations,"-11,510,000","-5,764,000","-879,000","692,000","-5,559,000","-357,000","-6,364,000","-4,651,000","-21,479,000","-1,999,000","-2,440,000","-4,014,000","-2,823,000"
		DepreciationAmortizationDepletion,"20,887,000","5,121,000","5,169,000","5,238,000","5,359,000","5,387,000","5,386,000","5,372,000","5,558,000","5,250,000","5,104,000","5,004,000","5,016,000"
			DepreciationAndAmortization,"20,887,000","5,121,000","5,169,000","5,238,000","5,359,000","5,387,000","5,386,000","5,372,000","5,558,000","5,250,000","5,104,000","5,004,000","5,016,000"
				Depreciation,"2,746,000","623,000","660,000","704,000","759,000","790,000","800,000","787,000","793,000","828,000","785,000","737,000","668,000"
				AmortizationCashFlow,"18,141,000","4,498,000","4,509,000","4,534,000","4,600,000","4,597,000","4,586,000","4,585,000","4,765,000","4,422,000","4,319,000","4,267,000","4,348,000"
					AmortizationOfIntangibles,"18,141,000","4,498,000","4,509,000","4,534,000","4,600,000","4,597,000","4,586,000","4,585,000","4,765,000","4,422,000","4,319,000","4,267,000","4,348,000"
		DeferredTax,"827,000","-65,000","-291,000","1,288,000","-105,000","-161,000","-344,000","-171,000","-544,000","-169,000","4,000","19,000","211,000"
			DeferredIncomeTax,"827,000","-65,000","-291,000","1,288,000","-105,000","-161,000","-344,000","-171,000","-544,000","-169,000","4,000","19,000","211,000"
		AssetImpairmentCharge,,,,"817,000","1,921,000","654,000","-4,000","14,000","2,824,000","137,000","-32,000","-40,000","158,000"
		ProvisionandWriteOffofAssets,,"54,000","1,372,000","817,000",,,,,,,,,
		StockBasedCompensation,"10,301,000","2,407,000","3,110,000","1,212,000","3,572,000","1,697,000","4,516,000","3,092,000","19,704,000","480,000","488,000","436,000","576,000"
		OtherNonCashItems,"-2,007,000","-696,000","-65,000","-1,740,000","494,000","-2,569,000","-103,000","-6,646,000","140,000","-123,000","195,000","55,000","774,000"
		ChangeInWorkingCapital,"-21,855,000","16,349,000","-6,839,000","-32,110,000","745,000","2,224,000","-4,008,000","-19,182,000","11,275,000","14,619,000","-5,126,000","-9,601,000","13,180,000"
