name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001
TotalAssets,"21,617,500,000","23,456,400,000","24,008,600,000","24,223,200,000","24,026,600,000","24,417,700,000","24,025,500,000","23,647,600,000","25,512,900,000","24,638,700,000","24,315,200,000","24,205,700,000","24,289,000,000","24,126,800,000","25,382,000,000","25,490,800,000","27,181,200,000","25,964,500,000","26,417,500,000","26,459,200,000","26,987,800,000","26,684,400,000","27,036,500,000","25,971,300,000","26,297,300,000","27,219,500,000","26,689,100,000","27,204,000,000","17,190,100,000","9,634,700,000","9,670,900,000","9,638,300,000","9,380,100,000","9,580,600,000","9,357,400,000","9,097,400,000","8,744,600,000","9,012,400,000","8,784,100,000","8,616,500,000","8,603,700,000","8,515,300,000","8,198,800,000","8,249,200,000","8,117,700,000","7,999,900,000","8,003,700,000","7,827,300,000","7,822,000,000","7,785,500,000","7,648,100,000","7,462,100,000","7,231,900,000","7,239,000,000","7,078,800,000","6,942,400,000","6,919,200,000","6,633,700,000","6,367,200,000","6,320,800,000","6,097,900,000","5,974,400,000","5,908,500,000","5,963,600,000","5,917,200,000","5,721,900,000","5,621,600,000","5,551,500,000","5,591,400,000","5,695,500,000","5,326,700,000","5,307,300,000","5,190,000,000","5,156,000,000","1,244,400,000","1,142,800,000","978,800,000","858,900,000","863,400,000","855,100,000","790,200,000","745,000,000","738,100,000","644,400,000"
	CurrentAssets,"4,516,800,000","4,885,000,000","5,312,400,000","5,356,800,000","5,000,100,000","5,083,300,000","5,152,600,000","4,706,800,000","6,370,900,000","4,723,900,000","4,401,500,000","4,391,200,000","4,499,200,000","4,427,400,000","4,513,300,000","4,475,200,000","5,775,300,000","4,515,300,000","4,433,300,000","4,424,100,000","5,079,900,000","4,663,600,000","4,698,100,000","5,050,600,000","5,082,000,000","5,862,900,000","6,394,700,000","6,751,500,000","11,917,200,000","4,289,000,000","4,332,700,000","4,229,800,000","4,046,700,000","4,197,700,000","3,837,200,000","3,591,700,000","3,464,000,000","3,708,700,000","3,631,900,000","3,478,300,000","3,322,500,000","3,276,600,000","3,073,300,000","3,108,300,000","3,030,700,000","3,009,700,000","3,007,300,000","2,982,800,000","2,873,800,000","2,738,000,000","2,448,800,000","2,328,700,000","2,195,700,000","2,178,600,000","2,333,300,000","2,208,100,000","2,222,600,000","2,082,700,000","1,899,900,000","1,949,300,000","1,886,600,000","1,746,200,000","1,706,300,000","1,792,400,000","1,826,400,000","1,575,600,000","1,500,500,000","1,492,200,000","1,478,500,000","1,560,900,000","1,303,000,000","1,328,100,000","1,361,500,000","1,338,700,000","814,000,000","754,800,000","574,700,000","612,400,000","612,500,000","609,900,000","553,900,000","508,600,000","501,300,000","452,100,000"
		CashCashEquivalentsAndShortTermInvestments,"435,800,000","478,500,000","919,600,000","1,042,400,000","724,300,000","802,100,000","967,300,000","713,400,000","2,433,600,000","617,900,000","512,500,000","403,100,000","586,800,000","542,800,000","524,600,000","481,200,000","1,765,400,000","524,400,000","480,800,000","450,000,000","1,039,500,000","634,100,000","488,700,000","976,300,000","1,010,200,000","1,623,900,000","1,810,200,000","1,883,600,000","9,281,900,000","1,695,800,000","1,747,100,000","1,698,000,000","1,588,100,000","1,807,600,000","1,505,800,000","1,235,800,000","1,201,200,000","1,555,900,000","1,488,900,000","1,335,900,000","1,229,100,000","1,223,800,000","977,900,000","945,500,000","866,200,000","934,000,000","981,600,000","986,700,000","871,400,000","758,100,000","439,700,000","277,500,000","212,800,000","212,600,000","542,400,000","388,100,000","476,000,000","463,900,000","313,000,000","358,700,000","326,000,000","265,700,000","275,600,000","335,800,000","403,800,000","233,200,000","91,800,000","78,800,000","57,000,000","154,600,000","45,300,000","76,900,000","108,700,000","77,500,000","177,000,000","115,000,000","33,400,000","15,700,000","20,800,000","26,400,000","20,800,000","18,400,000","23,400,000",
			CashAndCashEquivalents,"435,800,000","478,500,000","919,600,000","1,042,400,000","724,300,000","802,100,000","967,300,000","713,400,000","2,433,600,000","617,900,000","512,500,000","403,100,000","586,800,000","542,800,000","524,600,000","481,200,000","1,765,400,000","524,400,000","480,800,000","450,000,000","1,039,500,000","634,100,000","475,300,000","976,300,000","996,800,000","1,459,300,000","1,466,900,000","1,424,600,000","8,793,500,000","1,083,300,000","967,300,000","968,700,000","882,700,000","1,080,600,000","917,400,000","709,900,000","657,000,000","884,300,000","801,500,000","651,000,000","674,000,000","768,300,000","553,000,000","624,100,000","575,600,000","668,900,000","918,600,000","953,700,000","821,200,000","691,700,000","439,700,000","277,500,000","212,800,000","212,600,000","542,400,000","388,100,000","476,000,000","463,900,000","313,000,000","358,700,000","326,000,000","265,700,000","275,600,000","335,800,000","403,800,000","233,200,000","91,800,000","78,800,000","57,000,000","154,600,000","45,300,000","76,900,000","108,700,000","77,500,000","177,000,000","115,000,000","33,400,000","15,700,000","20,800,000","26,400,000","20,800,000","18,400,000","23,400,000",
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,"0","13,400,000","0","13,400,000","164,600,000","343,300,000","459,000,000","488,400,000","612,500,000","779,800,000","729,300,000","705,400,000","727,000,000","588,400,000","525,900,000","544,200,000","671,600,000","687,400,000","684,900,000","555,100,000","455,500,000","424,900,000","321,400,000","290,600,000","265,100,000","63,000,000","33,000,000","50,200,000","66,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,254,200,000","1,404,900,000","1,392,000,000","1,420,400,000","1,380,200,000","1,452,700,000","1,340,700,000","1,064,500,000","1,039,100,000","1,363,900,000","1,150,800,000","1,247,100,000","1,225,300,000","1,275,800,000","1,262,700,000","1,335,300,000","1,418,500,000","1,494,600,000","1,318,500,000","1,423,000,000","1,600,100,000","1,604,400,000","1,603,600,000","1,593,300,000","1,568,200,000","1,446,500,000","1,385,100,000","1,490,300,000","869,800,000","912,100,000","947,600,000","950,200,000","939,100,000","936,600,000","898,900,000","942,500,000","912,500,000","884,600,000","874,900,000","906,700,000","895,000,000","838,800,000","827,900,000","888,400,000","876,300,000","775,900,000","757,800,000","765,100,000","767,100,000","751,400,000","743,200,000","768,700,000","725,600,000","732,800,000","691,600,000","782,500,000","759,300,000","674,300,000","652,100,000","689,700,000","692,500,000","625,500,000","589,400,000","639,200,000","592,100,000","524,200,000","541,100,000","573,400,000","570,600,000","524,800,000","489,400,000","531,100,000","526,500,000","486,400,000","254,700,000","259,100,000","237,400,000","214,800,000","204,700,000","218,900,000","196,200,000","181,700,000","191,100,000","196,900,000"
			AccountsReceivable,"1,254,200,000","1,404,900,000","1,392,000,000","1,420,400,000","1,380,200,000","1,452,700,000","1,340,700,000","1,064,500,000","1,039,100,000","1,363,900,000","1,150,800,000","1,247,100,000","1,225,300,000","1,275,800,000","1,262,700,000","1,335,300,000","1,418,500,000","1,494,600,000","1,318,500,000","1,423,000,000","1,600,100,000","1,604,400,000","1,603,600,000","1,593,300,000","1,568,200,000","1,446,500,000","1,385,100,000","1,490,300,000","869,800,000","912,100,000","947,600,000","950,200,000","939,100,000","936,600,000","898,900,000","942,500,000","912,500,000","884,600,000","874,900,000","906,700,000","895,000,000","838,800,000","827,900,000","888,400,000","876,300,000","775,900,000",,"765,100,000","767,100,000","751,400,000","743,200,000","768,700,000","725,600,000","732,800,000","691,600,000","782,500,000","759,300,000","674,300,000","652,100,000","689,700,000","692,500,000","625,500,000","589,400,000","639,200,000","592,100,000","524,200,000","541,100,000","573,400,000","570,600,000","524,800,000","489,400,000","531,100,000","526,500,000","486,400,000","254,700,000","259,100,000","237,400,000","214,800,000","204,700,000","218,900,000","196,200,000","181,700,000","191,100,000",
				GrossAccountsReceivable,,"1,479,500,000",,,,"1,528,500,000",,,,,,,,"1,341,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-74,600,000",,,,"-75,800,000",,,,,,,,"-65,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"2,132,100,000","2,394,500,000","2,517,400,000","2,533,000,000","2,511,700,000","2,450,700,000","2,492,200,000","2,496,500,000","2,463,200,000","2,385,000,000","2,362,300,000","2,344,500,000","2,310,200,000","2,256,500,000","2,219,500,000","2,158,500,000","2,125,900,000","2,081,800,000","2,084,200,000","2,023,900,000","1,977,000,000","1,959,400,000","2,070,000,000","1,962,100,000","2,082,900,000","2,254,100,000","2,357,800,000","2,441,400,000","1,217,000,000","1,169,000,000","1,177,500,000","1,147,200,000","1,125,900,000","1,074,500,000","1,081,900,000","1,052,900,000","1,039,100,000","995,300,000","994,100,000","956,000,000","937,000,000","929,800,000","968,400,000","975,100,000","958,400,000","936,400,000","925,400,000","885,800,000","896,500,000","913,200,000","972,100,000","980,900,000","947,000,000","928,300,000","843,000,000","800,700,000","756,600,000","727,800,000","732,200,000","682,900,000","658,800,000","638,300,000","630,900,000","606,100,000","599,500,000","583,700,000","586,600,000","568,000,000","551,900,000","536,000,000","506,400,000","504,000,000","503,800,000","527,700,000","294,000,000","280,800,000","265,900,000","257,600,000","253,200,000","241,100,000","219,800,000","200,000,000","187,600,000","168,700,000"
