name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000
TotalRevenue,"783,231,000","197,201,000","195,249,000","195,166,000","195,615,000","195,431,000","199,326,000","205,631,000","220,316,000","249,697,000","245,987,000","244,949,000","238,390,000","236,159,000","233,159,000","232,372,000","226,870,000","212,040,000","208,935,000","197,853,000","197,982,000","189,885,000","193,780,000","195,849,000","204,145,000","213,295,000","-1,064,307,000","649,501,000","683,832,000","729,082,000","793,628,000","723,832,000","739,270,000","643,008,000","735,680,000","776,003,000","837,344,000","811,377,000","838,922,000","718,704,000","630,735,000","626,514,000","702,941,000","704,478,000","657,572,000","618,479,000","615,780,000","625,623,000","643,822,000","576,308,000","654,715,000","679,706,000","677,968,000","737,893,000","830,391,000","795,962,000","812,211,000","740,089,000","822,769,000","753,529,000","334,587,000","239,363,000","252,991,000","246,932,000","218,716,000","229,068,000","181,128,000","207,684,000","193,636,000","192,676,000","191,884,000","184,874,000","190,708,000","170,167,000","175,682,000","152,227,000","154,588,000","164,584,000","154,582,000","151,464,000","187,941,000","177,379,000","174,308,000","140,314,000","99,134,000","60,014,000","38,853,000","34,760,000"
	OperatingRevenue,"783,231,000","197,201,000","195,249,000","195,166,000","195,615,000","195,431,000","199,326,000","205,631,000","220,316,000","249,697,000","245,987,000","244,949,000","238,390,000","236,159,000","233,159,000","232,372,000","226,870,000","212,040,000","208,935,000","197,853,000","197,982,000","189,885,000","193,780,000","195,849,000","204,145,000","213,295,000","-1,064,307,000","649,501,000","683,832,000","729,082,000","793,628,000","723,832,000","739,270,000","643,008,000","735,680,000","776,003,000","837,344,000","811,377,000","838,922,000","718,704,000","630,735,000","626,514,000","702,941,000","704,478,000","657,572,000","618,479,000","615,780,000","625,623,000","643,822,000","576,308,000","654,715,000","679,706,000","677,968,000","737,893,000","830,391,000","795,962,000","812,211,000","740,089,000","822,769,000","753,529,000","334,587,000","239,363,000","252,991,000","246,932,000","218,716,000","229,068,000","181,128,000","207,684,000","193,636,000","192,676,000","191,884,000","184,874,000","190,708,000","170,167,000","175,682,000","152,227,000","154,588,000","164,584,000","154,582,000","151,464,000","187,941,000","177,379,000","174,308,000","140,314,000","99,134,000","60,014,000","38,853,000","34,760,000"
CostOfRevenue,"541,181,000","136,178,000","134,721,000","137,212,000","133,070,000","132,860,000","132,510,000","133,432,000","140,925,000","163,464,000","161,386,000","161,975,000","158,218,000","162,743,000","163,115,000","162,878,000","161,933,000","151,387,000","154,884,000","157,900,000","149,100,000","145,601,000","146,728,000","144,594,000","145,115,000","152,468,000","-867,684,000","504,663,000","531,316,000","555,878,000","608,616,000","555,603,000","595,252,000","495,044,000","582,197,000","612,527,000","661,436,000","668,743,000","950,343,000","508,024,000","436,400,000","435,667,000","515,797,000","515,112,000","481,160,000","433,304,000","426,335,000","430,650,000","434,372,000","365,715,000","437,583,000","449,802,000","449,656,000","476,920,000","523,300,000","509,608,000","566,396,000","458,343,000","554,034,000","526,011,000","205,044,000","133,044,000","144,723,000","132,732,000","114,378,000","127,223,000","94,487,000","121,702,000","114,484,000","113,020,000","114,186,000","111,126,000","113,921,000","97,587,000","103,770,000","84,028,000","85,907,000","97,833,000","89,766,000","83,746,000","118,500,000","106,124,000","106,179,000","80,840,000","56,709,000","33,186,000","17,980,000","15,189,000"
GrossProfit,"242,050,000","61,023,000","60,528,000","57,954,000","62,545,000","62,571,000","66,816,000","72,199,000","79,391,000","86,233,000","84,601,000","82,974,000","80,172,000","73,416,000","70,044,000","69,494,000","64,937,000","60,653,000","54,051,000","39,953,000","48,882,000","44,284,000","47,052,000","51,255,000","59,030,000","60,827,000","-196,623,000","144,838,000","152,516,000","173,204,000","185,012,000","168,229,000","144,018,000","147,964,000","153,483,000","163,476,000","175,908,000","142,634,000","-111,421,000","210,680,000","194,335,000","190,847,000","187,144,000","189,366,000","176,412,000","185,175,000","189,445,000","194,973,000","209,450,000","210,593,000","217,132,000","229,904,000","228,312,000","260,973,000","307,091,000","286,354,000","245,815,000","281,746,000","268,735,000","227,518,000","129,543,000","106,319,000","108,268,000","114,200,000","104,338,000","101,845,000","86,641,000","85,982,000","79,152,000","79,656,000","77,698,000","73,748,000","76,787,000","72,580,000","71,912,000","68,199,000","68,681,000","66,751,000","64,816,000","67,718,000","69,441,000","71,255,000","68,129,000","59,474,000","42,425,000","26,828,000","20,873,000","19,571,000"
OperatingExpense,"109,856,000","27,773,000","27,167,000","28,839,000","26,077,000","25,084,000","27,048,000","18,681,000","28,745,000","30,626,000","30,594,000","29,526,000","28,618,000","28,989,000","21,108,000","26,298,000","26,649,000","27,508,000","29,660,000","29,108,000","25,162,000","27,553,000","25,865,000","25,874,000","28,080,000","34,651,000","-120,765,000","82,124,000","83,874,000","86,686,000","94,658,000","94,806,000","95,712,000","92,578,000","88,354,000","93,723,000","91,117,000","84,979,000","-157,418,000","170,784,000","183,043,000","183,384,000","176,638,000","181,987,000","184,868,000","181,759,000","204,082,000","183,791,000","201,099,000","175,826,000","114,425,000","157,624,000","172,283,000","184,457,000","148,896,000","188,819,000","187,754,000","180,136,000","165,913,000","140,158,000","72,594,000","70,604,000","64,306,000","61,303,000","59,474,000","56,380,000","47,451,000","46,071,000","44,462,000","42,835,000","41,368,000","40,888,000","40,404,000","37,605,000","38,239,000","52,713,000","37,159,000","47,888,000","47,034,000","45,640,000","44,589,000","43,155,000","40,498,000","36,649,000","27,793,000","16,416,000","12,846,000","11,971,000"
	SellingGeneralAndAdministration,"109,856,000","27,773,000","27,167,000","28,839,000","26,077,000","25,084,000","27,048,000","18,681,000","28,745,000","30,626,000","30,594,000","29,526,000","28,618,000","28,989,000","21,108,000","26,298,000","26,649,000","27,508,000","29,660,000","29,108,000","25,162,000","27,553,000","25,865,000","25,874,000","28,080,000","34,651,000","-120,765,000","82,124,000","83,874,000","86,686,000","94,658,000","94,806,000","95,712,000","92,578,000","88,354,000","93,723,000","91,117,000","84,979,000","101,850,000","85,536,000","94,134,000","96,076,000","84,940,000","90,969,000","92,192,000","91,281,000","91,809,000","88,229,000","94,166,000","84,051,000","84,529,000","81,600,000","86,380,000","91,518,000","95,178,000","94,533,000","95,339,000","89,687,000","83,998,000","73,025,000","36,802,000","35,741,000","32,571,000","30,149,000","29,461,000","26,581,000","21,012,000","20,438,000","20,072,000","19,224,000","18,245,000","18,215,000","18,165,000","16,101,000","17,324,000","31,727,000","17,540,000","32,162,000","32,723,000","31,590,000","31,314,000","30,922,000","28,786,000","25,269,000","17,341,000","8,286,000","5,764,000","4,144,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,"50,087,000","48,409,000","45,482,000","44,106,000","43,381,000","43,779,000","43,331,000","44,455,000","46,080,000","47,463,000","47,248,000","47,772,000","51,095,000","52,068,000","51,896,000","53,927,000","-55,930,000","94,924,000","94,325,000","95,808,000","90,337,000","98,256,000","111,956,000","85,522,000","82,803,000","81,305,000","80,751,000","82,646,000","91,579,000","85,248,000","88,909,000","87,308,000","91,698,000","91,018,000","92,676,000","90,478,000","105,012,000","98,503,000","106,188,000","91,775,000","97,028,000","87,781,000","85,903,000","92,939,000","96,452,000","94,286,000","92,415,000","90,449,000","81,915,000","67,133,000","35,792,000","34,863,000","31,735,000","31,154,000","30,013,000","29,799,000","26,439,000","25,633,000","24,390,000","23,611,000","23,123,000","22,673,000","22,239,000","21,504,000","20,915,000","20,986,000","19,619,000","15,726,000","14,311,000","14,050,000","13,275,000","12,233,000","11,712,000","11,380,000","10,452,000","8,130,000","7,082,000","7,827,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,"50,087,000","48,409,000","45,482,000","44,106,000","43,381,000","43,779,000","43,331,000","44,455,000","46,080,000","47,463,000","47,248,000","47,772,000","51,095,000","52,068,000","51,896,000","53,927,000","-55,930,000","94,924,000","94,325,000","95,808,000","90,337,000","98,256,000","111,956,000","85,522,000","82,803,000","81,305,000","80,751,000","82,646,000","91,579,000","85,248,000","88,909,000","87,308,000","91,698,000","91,018,000","92,676,000","90,478,000","105,012,000","98,503,000","106,188,000","91,775,000","97,028,000","87,781,000","85,903,000","92,939,000","96,452,000","94,286,000","92,415,000","90,449,000","81,915,000","67,133,000","35,792,000","34,863,000","31,735,000","31,154,000","30,013,000","29,799,000","26,439,000","25,633,000","24,390,000","23,611,000","23,123,000","22,673,000","22,239,000","21,504,000","20,915,000","20,986,000","19,619,000","15,726,000","14,311,000","14,050,000","13,275,000","12,233,000","11,712,000","11,380,000","10,452,000","8,130,000","7,082,000","7,827,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-44,122,000","-15,439,000",,,,,"-2,941,000","745,000",,,"-11,757,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"132,194,000","33,250,000","33,361,000","29,115,000","36,468,000","37,487,000","39,768,000","53,518,000","50,646,000","55,607,000","54,007,000","53,448,000","51,554,000","44,427,000","48,936,000","43,196,000","38,288,000","33,145,000","24,391,000","10,845,000","23,720,000","16,731,000","21,187,000","25,381,000","30,950,000","26,176,000","-75,858,000","62,714,000","68,642,000","86,518,000","90,354,000","73,423,000","48,306,000","55,386,000","65,129,000","69,753,000","84,791,000","57,655,000","45,997,000","39,896,000","11,292,000","7,463,000","10,506,000","7,379,000","-8,456,000","3,416,000","-14,637,000","11,182,000","8,351,000","34,767,000","102,707,000","72,280,000","56,029,000","76,516,000","158,195,000","97,535,000","58,061,000","101,610,000","102,822,000","87,360,000","56,949,000","35,715,000","43,962,000","52,897,000","44,864,000","45,465,000","39,190,000","39,911,000","34,690,000","36,821,000","36,330,000","32,860,000","36,383,000","34,975,000","33,673,000","15,486,000","31,522,000","18,863,000","17,782,000","22,078,000","24,852,000","28,100,000","27,631,000","22,825,000","14,632,000","10,412,000","8,027,000","7,600,000"
