name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
TotalAssets,"5,943,414,000","5,942,110,000","5,650,109,000","5,395,568,000","5,069,782,000","4,829,683,000","4,415,091,000","4,025,857,000","3,964,840,000","2,500,702,000","2,350,380,000","2,346,017,000","2,234,430,000","2,052,458,000","1,928,405,000","1,916,589,000","1,782,731,000","1,777,856,000","1,697,623,000","1,551,187,000","1,459,293,000","1,396,151,000","1,358,893,000","1,251,273,000","1,207,560,000","1,158,633,000","1,079,562,000","1,028,581,000","1,028,405,000","987,997,000","948,289,000","885,433,000","885,641,000","832,147,000","759,206,000","703,894,000","726,245,000","756,312,000","768,164,000","744,163,000","670,436,000","649,264,000","585,920,000","547,049,000","496,982,000","476,943,000","445,235,000","408,692,000","373,552,000","355,240,000","330,784,000","307,794,000","289,277,000","279,341,000","216,520,000","217,169,000","231,050,000","222,761,000","206,894,000","182,355,000","157,039,000","151,558,000","156,891,000","141,757,000","144,988,000","142,110,000","145,014,000","145,235,000","136,671,000","130,712,000","125,184,000","114,956,000","103,704,000","102,202,000","95,850,000","91,795,000","89,663,000","92,856,000","78,589,000","91,946,000","104,329,000","118,218,000","130,737,000","148,216,000","171,551,000"
	CurrentAssets,"2,480,768,000","2,494,075,000","2,455,307,000","2,231,825,000","2,115,555,000","1,849,538,000","1,473,247,000","1,149,244,000","1,576,525,000","1,633,419,000","1,505,579,000","1,457,374,000","1,439,113,000","1,302,479,000","1,224,182,000","1,260,999,000","1,168,776,000","1,157,003,000","1,101,003,000","1,003,222,000","918,167,000","952,978,000","911,768,000","825,407,000","783,003,000","732,010,000","711,733,000","657,906,000","657,312,000","657,160,000","615,672,000","554,512,000","552,177,000","544,676,000","482,259,000","442,093,000","527,331,000","485,793,000","484,246,000","435,135,000","385,496,000","384,816,000","327,134,000","286,573,000","417,941,000","388,611,000","357,942,000","331,097,000","284,610,000","261,299,000","237,538,000","213,748,000","193,005,000","177,907,000","173,554,000","174,384,000","191,150,000","184,517,000","167,147,000","138,425,000","115,240,000","108,089,000","126,664,000","111,923,000","113,532,000","111,586,000","117,397,000","119,605,000","110,927,000","106,834,000","99,683,000","89,868,000","79,112,000","77,114,000","71,559,000","65,764,000","63,783,000","65,832,000","47,618,000","59,307,000","70,537,000","81,583,000","93,319,000","108,513,000","136,167,000"
		CashCashEquivalentsAndShortTermInvestments,"1,012,868,000","1,171,342,000","1,237,822,000","1,086,357,000","1,131,698,000","960,843,000","615,532,000","404,359,000","790,696,000","868,627,000","782,373,000","720,922,000","774,510,000","735,359,000","605,157,000","712,622,000","662,743,000","721,542,000","679,067,000","601,968,000","545,586,000","640,256,000","612,966,000","571,813,000","548,078,000","527,295,000","484,755,000","438,542,000","444,801,000","454,658,000","425,496,000","365,530,000","366,443,000","369,993,000","323,579,000","278,430,000","366,720,000","334,871,000","328,049,000","283,551,000","240,379,000","248,070,000","210,414,000","175,362,000","316,936,000","303,279,000","272,320,000","244,799,000","205,398,000","186,465,000","154,940,000","143,077,000","124,684,000","110,166,000","114,255,000","110,062,000","132,363,000","127,890,000","109,991,000","79,145,000","65,593,000","64,044,000","85,932,000","69,754,000","71,783,000","74,219,000","79,344,000","73,014,000","69,238,000","69,659,000","63,734,000","56,099,000","47,896,000","47,231,000","39,248,000","35,107,000","33,997,000","38,245,000","22,411,000","35,182,000","48,999,000","63,044,000","76,608,000","86,943,000","112,515,000"
			CashAndCashEquivalents,"926,119,000","1,099,370,000","1,237,822,000","1,086,357,000","1,131,698,000","960,843,000","615,532,000","404,359,000","790,696,000","550,425,000","490,362,000","423,500,000","588,001,000","636,899,000","420,860,000","547,993,000","498,003,000","449,511,000","362,613,000","358,182,000","261,027,000","389,275,000","419,948,000","167,706,000","154,418,000","167,714,000","174,040,000","161,753,000","189,978,000","199,871,000","180,676,000","167,471,000","182,766,000","242,953,000","175,839,000","164,497,000","328,745,000","306,386,000","304,907,000","262,799,000","224,361,000","240,675,000","202,229,000","168,607,000","308,608,000","294,664,000","264,924,000","235,801,000","190,407,000","166,487,000","135,961,000","122,182,000","97,051,000","87,100,000","79,756,000","64,339,000","113,680,000","89,119,000","87,969,000","65,594,000","56,209,000","55,113,000","74,034,000","57,486,000","71,783,000","74,219,000","77,354,000","73,014,000","68,988,000","69,659,000","63,215,000","56,099,000","47,816,000","44,939,000","37,250,000","31,715,000","33,997,000","35,552,000","16,746,000","27,116,000","36,169,000","50,550,000","65,394,000","39,501,000","56,605,000"
				CashFinancial,"689,175,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"236,944,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"86,749,000","71,972,000",,,,"0","0","0","0","318,202,000","292,011,000","297,422,000","186,509,000","98,460,000","184,297,000","164,629,000","164,740,000","272,031,000","316,454,000","243,786,000","284,559,000","250,981,000","193,018,000","404,107,000","393,660,000","359,581,000","310,715,000","276,789,000","254,823,000","254,787,000","244,820,000","198,059,000","183,677,000","127,040,000","147,740,000","113,933,000","37,975,000","28,485,000","23,142,000","20,752,000","16,018,000","7,395,000","8,185,000","6,755,000","8,328,000","8,615,000","7,396,000","8,998,000","14,991,000","19,978,000","18,979,000","20,895,000","27,633,000","23,066,000","34,499,000","45,723,000","18,683,000","38,771,000","22,022,000","13,551,000","9,384,000","8,931,000","11,898,000","12,268,000",,,"1,990,000",,"250,000",,"519,000",,"80,000","2,292,000","1,998,000","3,392,000",,"2,693,000","5,665,000","8,066,000","12,830,000","12,494,000","11,214,000","47,442,000","55,910,000"
		Receivables,"1,085,833,000","897,198,000","855,037,000","808,079,000","718,957,000","708,355,000","695,760,000","567,109,000","616,046,000","620,976,000","596,624,000","619,678,000","479,281,000","439,009,000","420,276,000","374,371,000","361,459,000","322,825,000","321,328,000","291,694,000","267,128,000","247,415,000","244,992,000","192,660,000","178,000,000","158,550,000","148,395,000","146,466,000","138,159,000","129,751,000","130,047,000","131,028,000","126,183,000","113,250,000","109,179,000","112,367,000","108,672,000","98,992,000","105,902,000","102,149,000","94,441,000","91,537,000","86,648,000","82,130,000","73,904,000","65,430,000","63,811,000","62,930,000","58,801,000","54,537,000","55,035,000","53,236,000","51,665,000","52,362,000","48,872,000","51,173,000","47,475,000","44,850,000","46,002,000","47,237,000","38,203,000","33,635,000","32,607,000","32,790,000","32,057,000","29,305,000","29,155,000","35,207,000","31,875,000","28,809,000","27,663,000","25,737,000","23,256,000","21,265,000","20,794,000","18,573,000","17,078,000","16,766,000","16,072,000","15,938,000","14,473,000","11,556,000","9,368,000","9,875,000","6,718,000"
			AccountsReceivable,"950,892,000","897,198,000","855,037,000","808,079,000","718,957,000","657,704,000","626,046,000","473,314,000","533,004,000","550,291,000","531,816,000","520,094,000","479,281,000","439,009,000","420,276,000","374,371,000","361,459,000","322,825,000","321,328,000","291,694,000","267,128,000","247,415,000","244,992,000","192,660,000","178,000,000","158,550,000","148,395,000","146,466,000","138,159,000","129,751,000","130,047,000","131,028,000","126,183,000","113,250,000","109,179,000","112,367,000","108,672,000","98,992,000","105,902,000","102,149,000","94,441,000","91,537,000","86,648,000","82,130,000","73,904,000","65,430,000","63,811,000","62,930,000","58,801,000","54,537,000","55,035,000","53,236,000","51,665,000","52,362,000","48,872,000","51,173,000","47,475,000","44,850,000","46,002,000","47,237,000","38,203,000","33,635,000","32,607,000","32,790,000","32,057,000","29,305,000","29,155,000","35,207,000","31,875,000","28,809,000","27,663,000","25,737,000","23,256,000","21,265,000","20,794,000","18,573,000","17,078,000","16,766,000","16,072,000","15,938,000","14,473,000","11,556,000","9,368,000","9,875,000","6,718,000"
				GrossAccountsReceivable,"960,656,000","906,443,000","864,211,000","817,506,000","728,839,000","667,943,000","639,762,000","490,413,000","544,061,000","557,047,000","537,388,000","525,092,000","482,848,000","441,387,000","422,887,000","377,100,000","364,194,000","330,003,000","327,171,000","297,146,000","272,381,000","251,725,000","248,917,000","195,788,000","180,770,000","161,022,000","150,198,000","148,014,000","142,320,000","131,314,000","131,860,000","132,997,000","127,981,000","114,983,000","110,903,000","113,468,000","109,919,000","101,476,000","107,283,000","103,356,000","95,286,000","92,317,000","87,065,000","82,654,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
