name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,12/31/1995
TotalAssets,"2,307,370,000","2,326,028,000","2,347,299,000","2,417,707,000","2,421,749,000","2,498,278,000","2,505,474,000","2,484,669,000","2,514,151,000","2,596,731,000","2,613,511,000","2,620,222,000","2,607,321,000","2,347,730,000","2,378,475,000","2,366,844,000","2,339,148,000","2,362,837,000","2,366,490,000","2,361,562,000","2,432,290,000","2,246,941,000","2,431,546,000","2,314,368,000","2,314,387,000","2,411,952,000","2,908,000,000","2,934,196,000","2,648,324,000","2,700,698,000","2,744,956,000","2,701,110,000","2,559,995,000","2,544,280,000","2,511,906,000","2,474,749,000","2,666,331,000","3,386,580,000","3,711,957,000","3,688,805,000","3,664,943,000","3,582,347,000","3,552,009,000","3,560,637,000","3,577,069,000","3,592,020,000","3,645,259,000","3,606,573,000","3,730,947,000","3,779,533,000","3,971,090,000","4,025,362,000","5,062,688,000","5,070,338,000","5,819,494,000","5,734,445,000","5,587,970,000","5,452,353,000","4,546,040,000","4,267,149,000","4,159,771,000","4,290,187,000","3,709,947,000","1,880,587,000","1,742,851,000","1,660,864,000","1,559,899,000","1,458,586,000","1,368,169,000","1,038,758,000","944,173,000","939,121,000","888,948,000","882,842,000","870,395,000","848,615,000","839,124,000","867,032,000","802,878,000","678,006,000","555,462,000","473,122,000","429,237,000","371,914,000","363,174,000","347,488,000","323,420,000","248,036,000","240,913,000","243,700,000","230,100,000","196,100,000","181,500,000","164,200,000","157,900,000","151,700,000","140,300,000","125,600,000","114,400,000","90,200,000","76,700,000","83,100,000","44,900,000"
	CurrentAssets,"503,730,000","529,538,000","507,977,000","519,631,000","488,937,000","525,645,000","521,285,000","478,253,000","430,600,000","438,468,000","512,346,000","489,937,000","450,643,000","450,928,000","529,939,000","496,714,000","441,530,000","451,643,000","531,357,000","554,508,000","657,890,000","522,782,000","679,010,000","645,281,000","647,246,000","684,035,000","696,424,000","733,035,000","620,272,000","694,273,000","829,072,000","818,265,000","752,385,000","743,647,000","738,872,000","774,120,000","864,462,000","804,107,000","963,336,000","1,006,931,000","992,111,000","944,242,000","748,627,000","757,232,000","767,612,000","740,854,000","669,276,000","595,048,000","528,783,000","565,560,000","765,753,000","651,544,000","965,819,000","950,307,000","761,015,000","698,084,000","702,847,000","727,269,000","613,213,000","551,448,000","651,332,000","923,900,000","514,908,000","380,661,000","331,191,000","372,053,000","368,690,000","365,350,000","509,730,000","253,961,000","193,565,000","184,299,000","136,395,000","130,650,000","135,395,000","122,697,000","131,931,000","106,190,000","94,377,000","148,410,000","93,868,000","113,364,000","110,155,000","86,150,000","116,853,000","123,277,000","114,537,000","52,507,000","64,472,000","87,900,000","75,300,000","64,500,000","79,000,000","73,100,000","65,300,000","60,000,000","49,700,000","50,000,000","48,400,000","31,200,000","21,500,000","29,200,000","13,300,000"
		CashCashEquivalentsAndShortTermInvestments,"229,744,000","253,515,000","237,549,000","243,911,000","204,802,000","291,320,000","259,334,000","178,367,000","159,351,000","208,431,000","286,340,000","261,142,000","220,023,000","279,459,000","325,092,000","288,490,000","273,985,000","266,592,000","356,889,000","390,435,000","537,726,000","356,647,000","482,106,000","492,190,000","488,184,000","494,192,000","468,936,000","500,062,000","415,302,000","476,492,000","546,529,000","501,457,000","470,079,000","478,200,000","480,181,000","513,527,000","625,650,000","437,100,000","583,794,000","649,503,000","620,449,000","546,465,000","375,355,000","414,189,000","440,531,000","391,085,000","325,480,000","270,001,000","212,178,000","270,673,000","410,506,000","261,930,000","251,585,000","223,613,000","35,761,000","23,148,000","176,119,000","89,555,000","50,436,000","106,390,000","202,709,000","491,659,000","127,785,000","38,278,000","37,833,000","91,080,000","150,497,000","199,689,000","362,267,000","91,142,000","49,859,000","67,308,000","5,094,000","6,378,000","2,712,000","386,000",,,,"43,596,000","4,103,000","37,123,000","36,854,000","23,472,000","56,693,000","44,838,000","49,727,000",,"14,432,000","11,300,000","16,900,000","15,900,000","39,600,000","32,800,000","19,800,000","18,200,000","11,200,000","13,000,000","13,000,000","600,000","1,100,000","200,000","200,000"
			CashAndCashEquivalents,"229,744,000","253,515,000","237,549,000","243,911,000","204,802,000","291,320,000","259,334,000","178,367,000","159,351,000","208,431,000","286,340,000","261,142,000","220,023,000","279,459,000","325,092,000","288,490,000","273,985,000","266,592,000","356,889,000","390,435,000","537,726,000","356,647,000","482,106,000","492,190,000","488,184,000","494,192,000","468,936,000","500,062,000","415,302,000","476,492,000","546,529,000","501,457,000","470,079,000","478,200,000","480,181,000","513,527,000","625,650,000","437,100,000","583,794,000","649,503,000","620,449,000","546,465,000","375,355,000","414,189,000","440,531,000","391,085,000","325,480,000","270,001,000","212,178,000","270,673,000","410,506,000","261,930,000","251,585,000","223,613,000","35,761,000","23,148,000","176,119,000","89,555,000","50,436,000","96,390,000","183,134,000","206,264,000","127,785,000","38,278,000","37,833,000","91,080,000","150,497,000","199,689,000","362,267,000","91,142,000","49,859,000","67,308,000","5,094,000","6,378,000","2,712,000","386,000",,,,"43,596,000","4,103,000","37,123,000","36,854,000","23,472,000","56,693,000","44,838,000","49,727,000",,"14,432,000","11,300,000","9,300,000","15,900,000","39,600,000","32,800,000","19,800,000","18,200,000","11,200,000","13,000,000","13,000,000","600,000","1,100,000","200,000","200,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"0","0",,,"0","0",,,,,,,,,,,,"10,000,000","19,575,000","285,395,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,600,000",,,,,,,,,,,,
		Receivables,"171,534,000","174,697,000","165,255,000","169,149,000","176,573,000","185,248,000","214,390,000","213,852,000","169,984,000","126,197,000","177,835,000","177,304,000","180,206,000","125,704,000","158,743,000","159,432,000","122,205,000","143,283,000","138,465,000","129,167,000","89,687,000","124,378,000","151,417,000","116,189,000","84,308,000","115,020,000","169,063,000","183,247,000","167,136,000","162,549,000","228,155,000","272,342,000","233,903,000","184,950,000","179,067,000","198,982,000","178,360,000","201,360,000","258,348,000","241,569,000","266,764,000","281,252,000","237,807,000","242,622,000","225,423,000","234,050,000","224,375,000","214,538,000","206,524,000","172,678,000","218,563,000","247,268,000","443,704,000","600,469,000","576,876,000","512,737,000","413,088,000","527,703,000","463,513,000","385,453,000","393,020,000","376,091,000","299,980,000","284,278,000","233,880,000","228,058,000","148,961,000","124,885,000","110,261,000","114,709,000","98,945,000","90,581,000","101,077,000","96,607,000","97,101,000","86,813,000","89,853,000","75,418,000","68,574,000","68,584,000","68,525,000","56,186,000","51,241,000","44,494,000","39,967,000","54,840,000","39,529,000","33,921,000","30,183,000","51,600,000","45,800,000","36,000,000","26,400,000","31,100,000","35,600,000","31,800,000","30,400,000","32,000,000","29,500,000","26,000,000","17,000,000","26,200,000","10,900,000"
			AccountsReceivable,"141,778,000","144,137,000","136,704,000","125,569,000","132,314,000","132,233,000","157,834,000","165,941,000","147,120,000","75,646,000","91,707,000","79,916,000","102,072,000","67,932,000","91,001,000","79,791,000","77,956,000","113,336,000","90,480,000","83,555,000","50,904,000","101,825,000","75,995,000","59,888,000","57,804,000","76,287,000","114,285,000","120,659,000","108,377,000","104,724,000","125,718,000","189,445,000","132,219,000","156,925,000","150,625,000","163,486,000","142,793,000","152,233,000","198,046,000","187,904,000","237,417,000","238,781,000","221,162,000","212,406,000","191,293,000","177,293,000","176,396,000","175,240,000","159,732,000","154,824,000","185,519,000","215,116,000","385,090,000","551,664,000","576,876,000","512,737,000","404,008,000","512,132,000","407,725,000","368,226,000","385,631,000","370,709,000","299,980,000","284,278,000","233,880,000","197,046,000","148,961,000","124,885,000","110,261,000","114,709,000","98,945,000","72,169,000","86,317,000","96,607,000","90,424,000","81,200,000","59,153,000","52,808,000","68,574,000","68,584,000","56,872,000","56,186,000","44,519,000","41,466,000","36,879,000","54,840,000","39,529,000","33,921,000",,,,,,,,,,,,,,,
				GrossAccountsReceivable,"143,129,000","145,614,000","138,114,000","127,117,000","133,979,000","135,702,000","161,006,000","169,150,000","148,491,000",,,"79,916,000","102,072,000","67,932,000","93,753,000","82,543,000","80,708,000","116,088,000","93,232,000","86,307,000","53,888,000","103,603,000","76,110,000","60,204,000","58,154,000","76,637,000","122,060,000","128,184,000","113,537,000","109,459,000","131,689,000","195,416,000","133,590,000","159,159,000","156,746,000","167,486,000","147,947,000","157,385,000","202,890,000","191,971,000","241,484,000","242,848,000","225,292,000","216,801,000",,"181,820,000","180,815,000","175,659,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,351,000","-1,477,000","-1,410,000","-1,548,000","-1,665,000","-3,469,000","-3,172,000","-3,209,000","-1,371,000",,,"0","0","0","-2,752,000","-2,752,000","-2,752,000","-2,752,000","-2,752,000","-2,752,000","-2,984,000","-1,778,000","-115,000","-316,000","-350,000","-350,000","-7,775,000","-7,525,000","-5,160,000","-4,735,000","-5,971,000","-5,971,000","-1,371,000","-2,234,000","-6,121,000","-4,000,000","-5,154,000","-5,152,000","-4,844,000","-4,067,000","-4,067,000","-4,067,000","-4,130,000","-4,395,000",,"-4,527,000","-4,419,000","-419,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
