name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
TotalRevenue,"3,480,815,000","920,131,000","866,065,000","826,764,000","867,856,000","855,160,000","785,141,000","755,936,000","694,184,000","196,792,000","0","0","0","0","0","0","0","0"
	OperatingRevenue,"3,480,815,000","920,131,000","866,065,000","826,764,000","867,856,000","855,160,000","785,141,000","755,936,000","694,184,000","196,792,000","0","0","0","0","0","0","0","0"
CostOfRevenue,"1,634,879,000","423,402,000","409,024,000","399,182,000","403,271,000","408,367,000","382,250,000","376,676,000","364,314,000","84,066,000",,,,,,,,
GrossProfit,"1,845,936,000","496,729,000","457,041,000","427,582,000","464,585,000","446,793,000","402,891,000","379,260,000","329,870,000","112,726,000",,,,,,,,
OperatingExpense,"1,694,292,000","437,933,000","425,371,000","413,580,000","417,406,000","401,028,000","371,425,000","372,527,000","359,749,000","244,419,000","1,115,000","1,138,000","251,000","971,000","126,000","31,000","31,000","45,000"
	SellingGeneralAndAdministration,"734,554,000","186,282,000","187,275,000","183,041,000","177,955,000","187,606,000","161,959,000","171,606,000","165,474,000","37,389,000","1,115,000","1,138,000","251,000","971,000","126,000","31,000","31,000","45,000"
		GeneralAndAdministrativeExpense,"58,152,000",,,,,,,"50,023,000","45,772,000","10,127,000","1,115,000","1,138,000","251,000","971,000","126,000","31,000","31,000","45,000"
			OtherGandA,"58,152,000",,,,,,,"50,023,000","45,772,000","10,127,000","1,115,000","1,138,000","251,000","971,000","126,000","31,000","31,000","45,000"
		SellingAndMarketingExpense,"205,116,000",,,,,,,"171,606,000","165,474,000","37,389,000",,,,,,,,
	ResearchAndDevelopment,"277,930,000","72,306,000","67,314,000","67,070,000","71,240,000","58,926,000","58,323,000","54,052,000","55,734,000","11,559,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"681,808,000","179,345,000","170,782,000","163,469,000","168,211,000","154,496,000","151,143,000","146,869,000","138,541,000","30,838,000",,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"681,808,000","179,345,000","170,782,000","163,469,000","168,211,000","154,496,000","151,143,000","146,869,000","138,541,000","30,838,000",,,,,,,,
	OtherTaxes,"0",,,,,,,,,"164,633,000",,,,,,,,
	OtherOperatingExpenses,,,,,,,,"3,564,000","5,895,000","-31,349,000",,,,,,,,
OperatingIncome,"151,644,000","58,796,000","31,670,000","14,002,000","47,179,000","45,765,000","31,466,000","6,733,000","-29,879,000","-131,693,000","-1,115,000","-1,138,000","-251,000","-971,000","-126,000","-31,000","-31,000","-45,000"
NetNonOperatingInterestIncomeExpense,"-234,244,000","-56,960,000","-58,433,000","-59,466,000","-59,386,000","-59,508,000","-61,439,000","-61,627,000","-62,667,000","30,924,000","999,000","-48,575,000",,,"0","0",,
	InterestIncomeNonOperating,,,,,,,,,,,"601,000","644,000",,,"0","0",,
	InterestExpenseNonOperating,"234,244,000","56,960,000","58,433,000","59,466,000","59,386,000","59,508,000","61,439,000","61,627,000","62,667,000","15,003,000","793,000","856,000",,,"0","0",,
	TotalOtherFinanceCost,,,,,,,,,,"-31,349,000","-1,191,000","48,363,000",,,,,,
OtherIncomeExpense,"-23,401,000","-8,044,000","-7,824,000","-7,689,000","152,000","-3,123,000","27,607,000","-1,116,000","20,391,000","-908,802,000","66,091,000","-57,842,000","-39,450,000","-4,492,000","-17,342,000","-25,343,000","-22,271,000","-29,331,000"
	GainOnSaleOfSecurity,,,,,,,,,,"-55,768,000","74,084,000","-2,435,000",,,,,,
	EarningsFromEquityInterest,"0",,,,,"0","0","0","0","-276,216,000","-8,764,000","-56,179,000","-39,554,000","-4,682,000","-17,468,000","-25,374,000","-22,302,000","-29,376,000"
	SpecialIncomeCharges,"-3,885,000","0","-1,653,000","-2,232,000","0","-2,634,000","26,072,000","-763,000","30,545,000","-561,164,000",,,,,,,,
		RestructuringAndMergernAcquisition,,,,,,"0","0","-550,000","-2,450,000",,,,,,,,,
		ImpairmentOfCapitalAssets,"0",,,,,,,,,"561,164,000",,,,,,,,
		OtherSpecialCharges,"3,885,000","0","1,653,000","2,232,000",,"1,290,000","6,145,000","1,489,000",,,,,,,,,,
		GainOnSaleOfBusiness,"0","0","0","0","0","-1,344,000","32,217,000","176,000","28,095,000",,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-19,516,000","-8,044,000","-6,171,000","-5,457,000","152,000","-489,000","1,535,000","-353,000","-10,154,000","-15,654,000","771,000","772,000","104,000","190,000","126,000","31,000","31,000","45,000"
PretaxIncome,"-106,001,000","-6,208,000","-34,587,000","-53,153,000","-12,055,000","-16,866,000","-2,366,000","-56,010,000","-72,155,000","-1,009,571,000","65,975,000","-107,555,000","-39,701,000","-5,463,000","-17,468,000","-25,374,000","-22,302,000","-29,376,000"
TaxProvision,"-48,611,000","-13,298,000","-10,115,000","-16,749,000","-8,450,000","-3,776,000","-4,562,000","-13,388,000","-13,461,000","-142,690,000","15,240,000","-13,620,000","-2,184,000","-1,931,000","-5,080,000","-6,783,000","-4,801,000","-7,879,000"
NetIncomeCommonStockholders,"-57,390,000","7,090,000","-24,472,000","-36,404,000","-3,605,000","-13,090,000","2,196,000","-42,622,000","-58,694,000","-866,881,000","50,735,000","-93,935,000","-37,517,000","-3,532,000","-12,388,000","-18,591,000","-17,501,000","-21,497,000"
	NetIncome,"-57,390,000","7,090,000","-24,472,000","-36,404,000","-3,605,000","-13,090,000","2,196,000","-42,622,000","-58,694,000","-866,881,000","50,735,000","-93,935,000","-37,517,000","-3,532,000","-12,388,000","-18,591,000","-17,501,000","-21,497,000"
		NetIncomeIncludingNoncontrollingInterests,"-57,390,000","7,090,000","-24,472,000","-36,404,000","-3,605,000","-13,090,000","2,196,000","-42,622,000","-58,694,000","-866,881,000","50,735,000","-93,935,000","-37,517,000","-3,532,000","-12,388,000","-18,591,000","-17,501,000","-21,497,000"
			NetIncomeContinuousOperations,"-57,390,000","7,090,000","-24,472,000","-36,404,000","-3,605,000","-13,090,000","2,196,000","-42,622,000","-58,694,000","-866,881,000","50,735,000","-93,935,000","-37,517,000","-3,532,000","-12,388,000","-18,591,000","-17,501,000","-21,497,000"
DilutedNIAvailtoComStockholders,"-57,390,000","7,090,000","-24,472,000","-36,404,000","-3,605,000","-13,090,000","2,196,000","-42,622,000","-58,694,000","-866,881,000","50,735,000","-93,935,000","-37,517,000","-3,532,000","-12,388,000","-18,591,000","-17,501,000","-21,497,000"
BasicEPS,,,"-0.08","-0.11","-0.01",,"0.01","-0.13","-0.18","-1.64","0.35","-0.66","-0.5",,"-0.105","-0.157","-0.148",
DilutedEPS,,,"-0.08","-0.11","-0.01",,"0.01","-0.13","-0.18","-1.64","0.35","-0.66","-0.5",,"-0.105","-0.157","-0.148",
BasicAverageShares,,,"324,381,353","324,060,460","322,546,171",,"321,013,595","320,638,116","320,052,943","186,342,936","143,392,295","142,223,836","75,474,654",,"118,331,796","118,331,796","118,331,796",
DilutedAverageShares,,,"324,381,353","324,060,460","322,546,171",,"324,815,524","320,638,116","320,052,943","186,342,936","146,201,860","142,223,836","75,474,654",,"118,331,796","118,331,796","118,331,796",
TotalOperatingIncomeAsReported,"136,811,000","52,830,000","28,710,000","11,132,000","44,142,000","41,677,000","62,727,000","3,345,000","-7,679,000","-661,508,000","76,000","-49,501,000","-251,000","-971,000","-126,000","-31,000","-31,000","-45,000"
TotalExpenses,"3,329,171,000","861,335,000","834,395,000","812,762,000","820,677,000","809,395,000","753,675,000","749,203,000","724,063,000","328,485,000","1,115,000","1,138,000","251,000","971,000","126,000","31,000","31,000","45,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-57,390,000","7,090,000","-24,472,000","-36,404,000","-3,605,000","-13,090,000","2,196,000","-42,622,000","-58,694,000","-866,881,000","50,735,000","-93,935,000","-37,517,000","-3,532,000","-12,388,000","-18,591,000","-17,501,000","-21,497,000"
NormalizedIncome,"-55,059,000","7,090,000","-23,301,676","-34,875,080","-3,605,000","-11,045,706.154","-16,836,560","-42,041,357","-83,527,085","-337,144,479.149","-6,235,596","-91,808,351.076","-37,517,000","-3,532,000","-12,388,000","-18,591,000","-17,501,000","-21,497,000"
InterestIncome,,,,,,,,,,,"601,000","644,000",,,"0","0",,
InterestExpense,"234,244,000","56,960,000","58,433,000","59,466,000","59,386,000","59,508,000","61,439,000","61,627,000","62,667,000","15,003,000","793,000","856,000",,,"0","0",,
