name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999
TotalAssets,"1,128,650,000","1,321,338,000","1,089,886,000","1,076,679,000","1,107,320,000","1,222,260,000","934,659,000","774,435,000","748,629,000","826,220,000","664,955,000","606,440,000","614,948,000","685,461,000","540,605,000","570,889,000","570,353,000","648,763,000","512,333,000","552,470,000","539,798,000","619,000,000","602,663,000","506,514,000","536,570,000","635,342,000","605,151,000","501,946,000","513,157,000","594,092,000","314,446,000","267,569,000","260,985,000","283,713,000","301,679,000","250,073,000","269,525,000","285,145,000","288,143,000","264,848,000","265,252,000","281,365,000","284,592,000","256,951,000","254,795,000","270,808,000","275,587,000","256,086,000","269,665,000","311,877,000","300,339,000","286,127,000","332,136,000","442,440,000","454,164,000","371,338,000","364,363,000","401,618,000","376,837,000","352,507,000","358,381,000","367,794,000","383,791,000","346,634,000","254,320,000","291,186,000","258,922,000","251,952,000","265,672,000","282,518,000","251,769,000","261,552,000","218,775,000","239,261,000","205,679,000","214,796,000","207,236,000","223,410,000","197,369,000","207,157,000","192,332,000","197,218,000","183,913,000","195,257,000","200,400,000","213,983,000","211,449,000","224,641,000","248,461,000","280,300,000","270,000,000","182,400,000"
	CurrentAssets,"381,856,000","572,871,000","385,503,000","400,059,000","448,532,000","563,444,000","274,934,000","378,630,000","353,681,000","431,593,000","268,398,000","303,238,000","320,512,000","390,199,000","244,429,000","273,021,000","282,269,000","359,587,000","220,212,000","257,402,000","251,237,000","284,867,000","268,810,000","166,659,000","202,075,000","299,654,000","269,076,000","159,968,000","189,892,000","268,896,000","139,364,000","91,818,000","94,634,000","117,241,000","144,821,000","92,649,000","114,140,000","134,970,000","137,368,000","115,741,000","119,363,000","134,845,000","129,174,000","100,825,000","104,265,000","121,289,000","119,851,000","97,678,000","119,372,000","153,047,000","138,702,000","122,078,000","147,207,000","191,098,000","183,331,000","109,550,000","140,092,000","175,413,000","149,281,000","123,984,000","135,347,000","136,977,000","153,641,000","114,196,000","90,254,000","128,551,000","92,089,000","101,410,000","155,605,000","174,874,000","139,363,000","149,992,000","115,117,000","129,431,000","91,850,000","91,563,000","97,838,000","120,714,000","85,436,000","90,611,000","90,410,000","94,273,000","76,109,000","88,821,000","112,546,000","127,946,000","125,892,000","134,905,000","158,506,000","188,900,000","198,600,000","121,200,000"
		CashCashEquivalentsAndShortTermInvestments,"93,025,000","271,068,000","3,785,000","173,573,000","256,783,000","370,586,000","11,012,000","240,506,000","232,115,000","295,561,000","34,174,000","172,923,000","206,377,000","257,685,000","27,016,000","147,240,000","173,069,000","232,589,000","9,139,000","149,732,000","56,765,000","113,992,000","6,755,000","27,826,000","61,696,000","108,444,000","1,987,000","27,940,000","52,721,000","101,220,000","2,158,000","5,203,000","1,314,000","3,260,000","3,642,000","154,000","17,004,000","26,964,000","5,829,000","28,854,000","24,876,000","30,078,000","5,707,000","21,442,000","16,824,000","17,708,000","9,056,000","27,843,000","38,023,000","46,389,000","2,977,000","29,562,000","31,734,000","51,104,000","3,490,000","12,124,000","38,329,000","65,412,000","3,821,000","16,087,000","10,158,000","25,998,000","9,698,000","24,599,000","18,583,000","60,872,000","10,557,000","46,608,000","91,880,000","105,880,000","74,133,000","103,374,000","76,842,000","92,566,000","48,244,000","61,218,000","60,692,000","82,102,000","46,488,000","63,399,000","60,804,000","65,803,000","45,825,000","63,896,000","82,660,000","97,080,000","97,482,000","111,624,000","128,589,000","153,700,000","174,200,000","99,200,000"
			CashAndCashEquivalents,"93,025,000","271,068,000","3,785,000","173,573,000","256,783,000","370,586,000","11,012,000","240,506,000","232,115,000","295,561,000","34,174,000","172,923,000","206,377,000","257,685,000","27,016,000","147,240,000","173,069,000","232,589,000","9,139,000","149,732,000","56,765,000","113,992,000","6,755,000","27,826,000","61,696,000","108,444,000","1,987,000","27,940,000","52,721,000","101,220,000","2,158,000","5,203,000","1,314,000","3,260,000","3,642,000","154,000","17,004,000","26,964,000","5,829,000","28,854,000","24,876,000","30,078,000","5,707,000","21,442,000","16,824,000","17,708,000","9,056,000","27,843,000","38,023,000","46,389,000","2,977,000","29,562,000","31,734,000","51,104,000","3,490,000","12,124,000","38,329,000","65,412,000","3,821,000","16,087,000","10,158,000","25,998,000","9,698,000","24,599,000","18,583,000","60,872,000","10,557,000","39,961,000","71,601,000","86,794,000","50,790,000","80,824,000","70,447,000","84,696,000","28,854,000","49,079,000","48,562,000","71,149,000","25,143,000","40,601,000","60,804,000","65,803,000","45,825,000","63,896,000","82,660,000","97,080,000","97,482,000","111,624,000","128,589,000","153,700,000","174,200,000","99,200,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,647,000","20,279,000","19,086,000","23,343,000","22,550,000","6,395,000","7,870,000","19,390,000","12,139,000","12,130,000","10,953,000","21,345,000","22,798,000",,,,,,,,,,,,
		Receivables,"40,881,000","77,797,000","30,635,000","20,831,000","39,121,000","72,590,000","31,993,000","15,178,000","26,217,000","44,561,000","36,062,000","12,374,000","19,166,000","48,400,000","30,735,000","12,935,000","22,514,000","44,424,000","35,710,000","14,073,000","21,549,000","57,866,000","42,821,000","19,123,000","30,307,000","78,206,000","53,889,000","19,170,000","32,970,000","74,387,000","24,861,000","13,339,000","17,092,000","38,043,000","30,072,000","14,957,000","24,706,000","36,407,000","26,751,000","14,968,000","21,477,000","30,659,000","24,501,000","15,278,000","20,331,000","40,168,000","22,058,000","13,943,000","23,266,000","35,467,000","20,554,000","11,335,000","17,054,000","42,860,000","35,324,000","13,443,000","17,206,000","27,293,000","20,915,000","17,010,000","21,750,000","30,413,000","19,993,000","13,153,000","13,095,000","15,536,000","12,926,000","10,619,000","13,263,000","20,660,000","9,761,000","9,013,000","9,246,000","15,686,000","9,343,000","7,767,000","9,826,000","15,367,000","9,290,000","9,345,000","11,381,000","11,474,000","9,286,000","8,209,000","9,475,000","12,632,000","8,765,000","8,382,000","9,983,000","17,800,000","8,800,000","9,300,000"
			AccountsReceivable,"40,881,000","77,797,000","30,635,000","20,831,000","39,121,000","72,590,000","31,993,000","15,178,000","26,217,000","44,561,000","36,062,000","12,374,000","19,166,000","48,400,000","30,735,000","12,935,000","22,514,000","44,424,000","35,710,000","14,073,000","21,549,000","57,866,000","42,821,000","19,123,000","30,307,000","78,206,000","28,889,000","16,191,000","31,493,000","59,442,000","24,861,000","13,339,000","17,092,000","38,043,000","30,072,000","14,957,000","24,706,000","36,407,000",,,,,,,,,,,,,,,,"42,860,000","35,324,000",,"17,206,000","27,293,000","20,915,000","17,010,000","21,750,000","30,413,000","19,993,000","13,153,000","13,095,000","15,536,000","12,926,000","10,619,000","13,263,000","20,660,000","9,761,000","9,013,000","9,246,000","15,686,000","9,343,000","7,767,000","9,826,000","15,367,000","9,290,000","9,345,000","11,381,000","11,474,000","9,286,000","8,209,000","9,475,000","12,632,000","8,765,000","8,382,000","9,983,000","17,800,000","8,800,000","9,300,000"
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000,000","2,979,000","1,477,000","14,945,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"214,444,000","191,050,000","282,439,000","153,863,000","122,385,000","89,389,000","192,613,000","97,760,000","74,037,000","68,032,000","172,513,000","92,361,000","74,377,000","64,006,000","160,680,000","88,825,000","68,906,000","60,567,000","148,420,000","75,862,000","63,713,000","93,412,000","191,382,000","103,328,000","95,406,000","95,009,000","188,034,000","93,163,000","82,350,000","70,808,000","95,957,000","58,520,000","61,441,000","57,913,000","91,548,000","55,756,000","59,877,000","58,435,000","85,182,000","55,744,000","59,374,000","59,600,000","81,950,000","51,314,000","52,528,000","50,389,000","70,990,000","45,121,000","45,010,000","43,641,000","74,471,000","45,854,000","80,541,000","79,957,000","119,809,000","67,283,000","67,370,000","62,650,000","83,163,000","62,051,000","66,343,000","58,787,000","74,535,000","52,954,000","43,297,000","38,967,000","46,312,000","28,675,000","28,658,000","27,675,000","33,358,000","19,625,000","23,131,000","18,429,000","29,322,000","20,370,000","24,417,000","20,408,000","24,861,000","15,647,000","16,209,000","15,070,000","19,150,000","14,885,000","15,973,000","13,723,000","15,040,000","10,569,000","14,025,000","11,200,000","10,100,000","7,500,000"
			RawMaterials,"76,505,000","62,832,000","92,624,000","62,538,000","54,387,000","41,495,000","68,626,000","45,445,000","31,344,000","23,958,000","51,184,000","38,006,000","32,012,000","25,548,000","50,826,000","37,320,000","30,406,000","29,155,000","51,503,000","29,453,000","6,311,000","31,341,000","54,531,000","34,491,000","37,389,000","33,957,000","55,763,000","33,889,000","34,048,000","5,876,000","24,919,000","19,095,000","22,968,000","21,140,000","10,407,000","18,385,000","19,165,000","19,038,000","23,551,000","18,721,000","18,551,000","17,076,000","11,805,000","9,243,000","8,715,000","9,534,000","9,529,000","8,120,000","6,614,000","6,174,000",,"5,476,000","5,200,000","18,718,000","20,764,000",,"15,007,000","4,761,000","18,619,000","15,027,000","15,925,000","15,630,000","17,795,000","12,895,000","4,982,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
