name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,09/30/2011
TotalAssets,"406,818,000","440,594,000","438,791,000","450,436,000","467,767,000","481,012,000","486,132,000","511,704,000","513,501,000","510,974,000","489,829,000","473,484,000","461,578,000","454,216,000","414,227,000","379,085,000","354,654,000","340,719,000","326,637,000","275,837,000","278,958,000","278,379,000","281,277,000","281,934,000","281,595,000","278,379,000","246,013,000","237,774,000","245,884,000","215,427,000","155,415,000","159,514,000","108,346,000","110,158,000","116,973,000","119,671,000","125,627,000","72,483,000","52,162,000","54,326,000","26,096,000"
	CurrentAssets,"341,869,000","326,957,000","319,021,000","321,155,000","428,219,000","445,942,000","436,837,000","413,381,000","402,709,000","440,508,000","401,848,000","451,262,000","423,840,000","423,310,000","380,389,000","339,893,000","305,677,000","247,626,000","237,819,000","206,115,000","190,591,000","224,065,000","232,156,000","241,790,000","242,665,000","209,021,000","170,641,000","172,640,000","177,784,000","185,096,000","107,975,000","111,678,000","99,349,000","94,378,000","104,713,000","97,866,000","111,664,000","60,951,000","47,308,000","50,781,000","25,099,000"
		CashCashEquivalentsAndShortTermInvestments,"280,327,000","259,052,000","244,002,000","256,824,000","375,947,000","386,196,000","386,649,000","370,000,000","355,255,000","373,785,000","335,236,000","389,248,000","370,157,000","345,788,000","308,730,000","273,227,000","256,723,000","220,442,000","223,669,000","192,015,000","175,573,000","209,358,000","210,084,000","218,465,000","220,422,000","180,019,000","145,205,000","154,286,000","165,472,000","104,022,000","90,764,000","95,887,000","94,770,000","91,895,000","101,480,000","94,546,000","109,111,000","45,485,000","43,762,000","46,764,000","23,329,000"
			CashAndCashEquivalents,"40,989,000","99,068,000","57,206,000","4,601,000","77,126,000","55,095,000","87,131,000","99,855,000","74,338,000","27,558,000","51,230,000","94,206,000","106,030,000","74,365,000","63,902,000","42,477,000","66,926,000","68,053,000","65,675,000","22,263,000","19,211,000","20,618,000","16,577,000","24,789,000","56,360,000","46,233,000","21,726,000","19,844,000","25,751,000","34,130,000","30,699,000","26,374,000","18,101,000","4,426,000","8,859,000","18,878,000","74,464,000","20,735,000","10,511,000","3,961,000","6,837,000"
			OtherShortTermInvestments,"239,338,000","159,984,000","186,796,000","252,223,000","298,821,000","331,101,000","299,518,000","270,145,000","280,917,000","346,227,000","284,006,000","295,042,000","264,127,000","271,423,000","244,828,000","230,750,000","189,797,000","152,389,000","157,994,000","169,752,000","156,362,000","188,740,000","193,507,000","193,676,000","164,062,000","133,786,000","123,479,000","134,442,000","139,721,000","69,892,000","60,065,000","69,513,000","76,669,000","87,469,000","92,621,000","75,668,000","34,647,000","24,750,000","33,251,000","42,803,000","16,492,000"
		Receivables,"47,464,000","56,399,000","60,831,000","52,194,000","20,132,000","31,743,000","23,492,000","18,653,000","27,619,000","52,570,000","51,313,000","44,367,000","39,631,000","69,886,000","67,205,000","57,262,000","44,049,000","23,109,000","10,614,000","7,511,000","8,959,000","10,417,000","12,841,000","13,978,000","13,004,000","18,878,000","15,722,000","13,100,000","8,631,000","78,508,000","4,494,000","2,658,000","2,602,000","1,208,000","1,592,000","1,857,000","1,437,000","14,876,000","2,942,000","3,489,000","261,000"
			AccountsReceivable,"18,716,000","27,648,000","23,576,000","21,624,000","20,132,000","31,743,000","23,492,000","18,653,000","27,619,000","52,570,000","51,313,000","44,367,000","39,631,000","69,886,000","67,205,000","57,262,000","44,049,000","23,109,000","10,614,000","7,511,000","8,959,000","10,417,000","12,841,000","13,978,000","13,004,000","17,869,000","15,289,000","11,724,000","7,081,000","76,626,000","1,724,000","399,000","998,000","279,000","808,000","876,000","669,000","14,333,000","1,049,000","1,973,000","261,000"
			TaxesReceivable,"28,748,000","28,751,000","37,255,000","30,570,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,"1,009,000","433,000","1,376,000","1,550,000","1,882,000","2,770,000","2,259,000","1,604,000","929,000","784,000","981,000","768,000","543,000","1,893,000","1,516,000",
		PrepaidAssets,"14,078,000","11,506,000","14,188,000","12,137,000","32,140,000","28,003,000","26,696,000","24,728,000","19,835,000","14,153,000","15,299,000","17,647,000","14,052,000","7,636,000","4,454,000","9,404,000","4,905,000","4,075,000","3,536,000","6,589,000","6,059,000","4,290,000","9,231,000","8,200,000","7,658,000","8,543,000","8,267,000","3,497,000","2,230,000","1,218,000","1,594,000","1,950,000","1,977,000","1,275,000","1,641,000","1,463,000","1,116,000","590,000","604,000","528,000","369,000"
