name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
OperatingCashFlow,"-483,883","-293,150","-24,275","-43,404","-123,054","-1,300,098"
	CashFlowFromContinuingOperatingActivities,"-483,883","-293,150","-24,275","-43,404","-123,054","-1,300,098"
		NetIncomeFromContinuingOperations,"14,283,640","5,644,807","-601,682","4,692,412","4,548,103","2,159,259"
		OperatingGainsLosses,"-16,352,792","-6,126,704","192,616","-5,534,849","-4,883,855","-2,329,367"
			GainLossOnInvestmentSecurities,"-16,352,792","-6,126,704","192,616","-5,534,849","-4,883,855","-2,329,367"
		OtherNonCashItems,,,"-55,324","0","0","3,456"
		ChangeInWorkingCapital,"1,640,593","188,747","440,115","799,033","212,698","-1,133,446"
			ChangeInPrepaidAssets,"580,065","94,017","172,501","176,189","137,358","-1,193,283"
			ChangeInPayablesAndAccruedExpense,"1,060,528","94,730","267,614","622,844","75,340","59,837"
				ChangeInPayable,"17,918","-113,013","37,614","48,144","45,173","55,004"
					ChangeInTaxPayable,"548","-133,699","33,973","50,411","49,863","47,899"
						ChangeInIncomeTaxPayable,"548","-133,699","33,973","50,411","49,863","47,899"
					ChangeInAccountPayable,"20,355","20,686",,,,"4,120"
				ChangeInAccruedExpense,"1,042,610","207,743","230,000","574,700","30,167","4,833"
InvestingCashFlow,"0","0","0","0","0","-414,000,000"
	CashFlowFromContinuingInvestingActivities,"0","0","0","0","0","-414,000,000"
		NetOtherInvestingChanges,,,"0","0","0","-414,000,000"
FinancingCashFlow,"-4,433","0","0","0","-4,433","416,314,161"
	CashFlowFromContinuingFinancingActivities,"-4,433","0","0","0","-4,433","416,314,161"
		NetIssuancePaymentsOfDebt,"0","0","0","0","0","-135,794"
			NetLongTermDebtIssuance,"0","0","0","0","0","-135,794"
				LongTermDebtPayments,"0","0","0","0","0","-135,794"
		NetCommonStockIssuance,"0","0","0","0","0","425,280,000"
			CommonStockIssuance,"0","0","0","0","0","425,280,000"
		NetOtherFinancingCharges,,,"0","0","-4,433","-8,830,045"
EndCashPosition,"525,747","525,747","818,897","843,172","886,576","1,014,063"
	ChangesInCash,"-488,316","-293,150","-24,275","-43,404","-127,487","1,014,063"
	BeginningCashPosition,"1,014,063","818,897","843,172","886,576","1,014,063","0"
IssuanceOfCapitalStock,"0","0","0","0","0","425,280,000"
RepaymentOfDebt,"0","0","0","0","0","-135,794"
FreeCashFlow,"-483,883","-293,150","-24,275","-43,404","-123,054","-1,300,098"
