name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014
OperatingCashFlow,"-43,730,000","-21,014,000","-25,301,000","-7,006,000","9,591,000","-23,204,000","37,578,000","-17,013,000","-19,610,000","-15,112,000","-15,805,000","-22,096,000","-15,517,000","-16,099,000","-12,290,000","-14,860,000","-8,878,000","-12,478,000","-4,810,000","-3,888,000","-2,643,000","-8,097,000","-5,570,000","-3,073,000","1,669,000","-2,056,000","-2,627,000","-1,831,000","-2,667,000","-2,544,000","1,096,000","93,000"
	CashFlowFromContinuingOperatingActivities,"-43,730,000","-21,014,000","-25,301,000","-7,006,000","9,591,000","-23,204,000","37,578,000","-17,013,000","-19,610,000","-15,112,000","-15,805,000","-22,096,000","-15,517,000","-16,099,000","-12,290,000","-14,860,000","-8,878,000","-12,478,000","-4,810,000","-3,888,000","-2,643,000","-8,097,000","-5,570,000","-3,073,000","1,669,000","-2,056,000","-2,627,000","-1,831,000","-2,667,000","-2,544,000","1,096,000","93,000"
		NetIncomeFromContinuingOperations,"-75,888,000","-36,255,000","-32,538,000","-6,666,000","-429,000","-18,163,000","33,646,000","-23,767,000","-21,548,000","-8,262,000","-20,263,000","-31,033,000","-23,962,000","-22,078,000","-16,994,000","-15,958,000","-13,618,000","-15,086,000","-6,861,000","-9,090,000","-2,684,000","-11,435,000","-4,578,000","-1,115,000","2,322,000","-888,000","-3,512,000","-1,462,000","-55,000","-376,000","502,000","3,458,000"
		OperatingGainsLosses,,,"0",,,,,,,,,,,"-1,028,000","-678,000","-300,000","-172,000","-83,000","-5,000","16,000","0","1,366,000","1,092,000","47,000","-3,000","-379,000","-250,000","377,000","538,000","615,000","16,000","17,000"
			GainLossOnSaleOfPPE,,,"0",,,,,,,,,,,,,,,,,,,,"1,000","0","0","0","1,000","0","0","2,000","1,000","3,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,"-1,028,000","-678,000","-300,000","-172,000","-83,000","-5,000","16,000","0","1,366,000","1,091,000","47,000","-3,000","-379,000","-251,000","377,000","538,000","613,000","15,000","14,000"
		DepreciationAmortizationDepletion,"2,412,000","573,000","385,000","669,000","911,000","125,000","144,000","138,000","137,000","140,000","140,000","135,000","124,000","115,000","106,000","91,000","64,000","54,000","47,000","46,000","51,000","39,000","58,000","58,000","60,000","57,000","59,000","69,000","72,000","74,000","75,000","77,000"
			DepreciationAndAmortization,"2,412,000","573,000","385,000","669,000","911,000","125,000","144,000","138,000","137,000","140,000","140,000","135,000","124,000","115,000","106,000","91,000","64,000","54,000","47,000","46,000","51,000","39,000","58,000","58,000","60,000","57,000","59,000","69,000","72,000","74,000","75,000","77,000"
				Depreciation,"2,412,000","573,000","385,000","669,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AmortizationOfSecurities,"487,000","161,000","100,000","100,000","126,000","167,000","222,000","178,000","69,000","-8,000","-184,000","-523,000",,,,,,,,,,,,,,,,,,,,
