name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017
TotalAssets,"230,965,000","232,800,000","252,859,000","279,208,000","311,158,000","349,464,000","384,413,000","271,441,000","226,108,000","254,534,000","281,805,000","308,137,000","346,159,000","321,965,000","347,101,000","365,129,000","224,775,000","47,492,000"
	CurrentAssets,"198,757,000","196,446,000","217,512,000","244,810,000","275,564,000","333,249,000","378,413,000","264,493,000","213,055,000","241,627,000","268,340,000","296,458,000","334,956,000","313,750,000","341,528,000","363,869,000","222,453,000","47,104,000"
		CashCashEquivalentsAndShortTermInvestments,"145,577,000","182,201,000","200,183,000","225,866,000","264,025,000","323,482,000","364,395,000","252,398,000","204,206,000","233,380,000","258,745,000","287,447,000","326,533,000","307,304,000","337,863,000","359,190,000","221,108,000","45,555,000"
			CashAndCashEquivalents,"63,324,000","122,470,000","190,183,000","167,953,000","119,856,000","114,038,000","85,874,000","123,456,000","106,336,000","46,928,000","68,809,000","82,810,000","82,629,000","71,976,000","69,663,000","285,518,000","221,108,000","45,555,000"
			OtherShortTermInvestments,"82,253,000","59,731,000","10,000,000","57,913,000","144,169,000","209,444,000","278,521,000","128,942,000","97,870,000","186,452,000","189,936,000","204,637,000","243,904,000","235,328,000","268,200,000","73,672,000",,
		Receivables,"29,440,000","3,985,000","3,224,000","2,551,000",,,,,,,,,,,,,,
			AccountsReceivable,"29,440,000","3,985,000","3,224,000","2,551,000",,,,,,,,,,,,,,
				GrossAccountsReceivable,,,"3,236,000","2,787,000",,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,"-12,000","-236,000",,,,,,,,,,,,,,
		Inventory,"13,223,000","3,675,000","5,606,000","6,381,000","2,189,000",,,,,,,,,,,,,
			RawMaterials,"0","0","0","0","0",,,,,,,,,,,,,
			WorkInProcess,"148,000","0","4,183,000","4,165,000","0",,,,,,,,,,,,,
			FinishedGoods,"13,075,000","3,675,000","1,423,000","2,216,000","2,189,000",,,,,,,,,,,,,
		PrepaidAssets,"10,517,000","6,585,000","8,499,000","9,802,000","9,140,000","9,557,000","14,018,000","12,095,000","8,849,000","8,247,000","9,595,000","9,011,000","8,423,000","6,446,000","3,665,000","4,416,000","1,240,000","1,444,000"
		RestrictedCash,,"0","0","210,000","210,000","210,000",,,,,,,,"0","0","263,000","105,000","105,000"
	TotalNonCurrentAssets,"32,208,000","36,354,000","35,347,000","34,398,000","35,594,000","16,215,000","6,000,000","6,948,000","13,053,000","12,907,000","13,465,000","11,679,000","11,203,000","8,215,000","5,573,000","1,260,000","2,322,000","388,000"
		NetPPE,"7,290,000","8,384,000","9,296,000","8,835,000","9,797,000","10,617,000","5,739,000","6,533,000","7,433,000","8,325,000","8,627,000","8,862,000","9,537,000","6,356,000","2,360,000","350,000","126,000","125,000"
			GrossPPE,"13,564,000","14,299,000","15,105,000","14,271,000","14,817,000","15,347,000","9,902,000","10,047,000","10,352,000","10,650,000","10,386,000","10,160,000","10,327,000","6,675,000","2,426,000","403,000","168,000","177,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
				MachineryFurnitureEquipment,"407,000","403,000","411,000","411,000","411,000","411,000","396,000","391,000","391,000","391,000","316,000","360,000","359,000","340,000","185,000","184,000","168,000","177,000"
				OtherProperties,"9,064,000","9,799,000","10,788,000","9,988,000","10,584,000","11,168,000","5,879,000","6,029,000","6,334,000","6,612,000","6,471,000","6,442,000","6,673,000","3,107,000",,,,
				ConstructionInProgress,"162,000","166,000","30,000","0","155,000","101,000","0","0","0","20,000","374,000","133,000","70,000","552,000","2,241,000","219,000",,
				Leases,"3,931,000","3,931,000","3,876,000","3,872,000","3,667,000","3,667,000","3,627,000","3,627,000","3,627,000","3,627,000","3,225,000","3,225,000","3,225,000","2,676,000",,,,
			AccumulatedDepreciation,"-6,274,000","-5,915,000","-5,809,000","-5,436,000","-5,020,000","-4,730,000","-4,163,000","-3,514,000","-2,919,000","-2,325,000","-1,759,000","-1,298,000","-790,000","-319,000","-66,000","-53,000","-42,000","-52,000"
		GoodwillAndOtherIntangibleAssets,"19,000,000","19,250,000","19,500,000","19,750,000","20,000,000",,,,,,,,,,,,,
			OtherIntangibleAssets,"19,000,000","19,250,000","19,500,000","19,750,000","20,000,000",,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,,,,,,,,,,,,,,"1,830,000",,,
		NonCurrentDeferredAssets,,"0","0","0","0","10,000","3,000","205,000","5,410,000","4,372,000","4,628,000","2,607,000","1,456,000","1,649,000","1,173,000","700,000","1,986,000","263,000"
			NonCurrentDeferredTaxesAssets,,"0","0","0","0","10,000","3,000","0","5,410,000","4,372,000","4,628,000","2,607,000","1,456,000","1,216,000","1,173,000","700,000","378,000","238,000"
		OtherNonCurrentAssets,"5,918,000","8,720,000","6,551,000","5,813,000","5,797,000","5,588,000","258,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000","210,000",
TotalLiabilitiesNetMinorityInterest,"64,721,000","47,763,000","38,811,000","43,423,000","40,462,000","37,529,000","25,904,000","21,025,000","20,274,000","29,111,000","29,894,000","32,940,000","39,640,000","42,698,000","28,188,000","23,330,000","19,298,000","137,200,000"
	CurrentLiabilities,"50,354,000","44,824,000","34,427,000","38,782,000","35,453,000","31,846,000","24,892,000","20,552,000","19,342,000","27,830,000","27,560,000","30,178,000","36,892,000","42,554,000","28,021,000","23,144,000","19,268,000","17,430,000"
		PayablesAndAccruedExpenses,"37,336,000","30,983,000","21,823,000","27,328,000","25,949,000","21,998,000","16,653,000","13,808,000","14,197,000","19,019,000","19,840,000","24,534,000","32,598,000","36,658,000","24,861,000","20,986,000","18,425,000","15,860,000"
			Payables,"3,383,000","1,868,000","1,649,000","4,156,000","2,763,000","503,000","3,925,000","2,373,000","4,274,000","5,693,000","6,440,000","9,338,000","6,890,000","10,918,000","4,668,000","561,000","2,796,000","1,218,000"
				AccountsPayable,"3,383,000","1,868,000","1,649,000","4,156,000","2,763,000","503,000","3,925,000","2,373,000","4,274,000","5,693,000","6,440,000","9,338,000","6,890,000","10,918,000","4,668,000","561,000","2,796,000","1,218,000"
			CurrentAccruedExpenses,"33,953,000","29,115,000","20,174,000","23,172,000","23,186,000","21,495,000","12,728,000","11,435,000","9,923,000","13,326,000","13,400,000","15,196,000","25,708,000","25,740,000","20,193,000","20,425,000","15,629,000","14,642,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"4,934,000","8,916,000","8,354,000","7,892,000","7,130,000","7,704,000","6,747,000","5,064,000","3,456,000","7,089,000","6,110,000","3,983,000","2,910,000","5,678,000","3,160,000","2,158,000","843,000","1,570,000"
		CurrentDebtAndCapitalLeaseObligation,"3,311,000","3,381,000","3,246,000","2,636,000","2,374,000","2,107,000","1,492,000","1,680,000","1,689,000","1,697,000","1,610,000","1,496,000","1,384,000",,,,,
			CurrentCapitalLeaseObligation,"3,311,000","3,381,000","3,246,000","2,636,000","2,374,000","2,107,000","1,492,000","1,680,000","1,689,000","1,697,000","1,610,000","1,496,000","1,384,000",,,,,
		OtherCurrentLiabilities,"4,773,000","1,544,000","1,004,000","926,000",,"37,000",,,,"25,000",,"165,000","1,384,000","218,000",,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"14,367,000","2,939,000","4,384,000","4,641,000","5,009,000","5,683,000","1,012,000","473,000","932,000","1,281,000","2,334,000","2,762,000","2,748,000","144,000","167,000","186,000","30,000","119,770,000"
		LongTermDebtAndCapitalLeaseObligation,"2,096,000","2,669,000","3,499,000","3,500,000","4,200,000","4,878,000","55,000","139,000","551,000","955,000","1,391,000","1,819,000","2,239,000",,,,,
			LongTermCapitalLeaseObligation,"2,096,000","2,669,000","3,499,000","3,500,000","4,200,000","4,878,000","55,000","139,000","551,000","955,000","1,391,000","1,819,000","2,239,000",,,,,
		NonCurrentDeferredLiabilities,"12,000,000",,,,,,,,,,,,,"144,000","167,000","186,000","30,000","0"
			NonCurrentDeferredRevenue,"12,000,000",,,,,,,,,,,,,,,,,
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,,,"0","0","0","0","119,770,000"
		OtherNonCurrentLiabilities,"271,000","270,000","885,000","1,141,000","809,000","805,000","957,000","334,000","381,000","326,000","943,000","943,000","509,000",,,,,
TotalEquityGrossMinorityInterest,"166,244,000","185,037,000","214,048,000","235,785,000","270,696,000","311,935,000","358,509,000","250,416,000","205,834,000","225,423,000","251,911,000","275,197,000","306,519,000","279,267,000","318,913,000","341,799,000","205,477,000","-89,708,000"
	StockholdersEquity,"166,244,000","185,037,000","214,048,000","235,785,000","270,696,000","311,935,000","358,509,000","250,416,000","205,834,000","225,423,000","251,911,000","275,197,000","306,519,000","279,267,000","318,913,000","341,799,000","205,477,000","-89,708,000"
		CapitalStock,"19,000","18,000","18,000","18,000","18,000","18,000","18,000","16,000","15,000","15,000","15,000","15,000","15,000","13,000","13,000","13,000","11,000","1,000"
			CommonStock,"19,000","18,000","18,000","18,000","18,000","18,000","18,000","16,000","15,000","15,000","15,000","15,000","15,000","13,000","13,000","13,000","11,000","1,000"
		AdditionalPaidInCapital,"866,935,000","860,482,000","853,139,000","844,260,000","837,656,000","829,424,000","822,301,000","670,371,000","588,090,000","581,467,000","576,129,000","572,318,000","566,542,000","473,483,000","470,600,000","469,018,000","312,446,000","1,289,000"
		RetainedEarnings,"-700,607,000","-675,397,000","-639,064,000","-608,520,000","-566,957,000","-517,473,000","-463,816,000","-419,980,000","-382,511,000","-356,092,000","-324,295,000","-297,237,000","-260,046,000","-194,225,000","-151,645,000","-127,239,000","-106,980,000","-90,998,000"
		GainsLossesNotAffectingRetainedEarnings,"-103,000","-66,000","-45,000","27,000","-21,000","-34,000","6,000","9,000","240,000","33,000","62,000","101,000","8,000","-4,000","-55,000","7,000",,
			OtherEquityAdjustments,,,,,,,,,,"33,000","62,000","101,000","8,000","-4,000","-55,000","7,000",,
TotalCapitalization,"166,244,000","185,037,000","214,048,000","235,785,000","270,696,000","311,935,000","358,509,000","250,416,000","205,834,000","225,423,000","251,911,000","275,197,000","306,519,000","279,267,000","318,913,000","341,799,000","205,477,000","-89,708,000"
CommonStockEquity,"166,244,000","185,037,000","214,048,000","235,785,000","270,696,000","311,935,000","358,509,000","250,416,000","205,834,000","225,423,000","251,911,000","275,197,000","306,519,000","279,267,000","318,913,000","341,799,000","205,477,000","-89,708,000"
CapitalLeaseObligations,"5,407,000","6,050,000","6,745,000","6,136,000","6,574,000","6,985,000","1,547,000","1,819,000","2,240,000","2,652,000","3,001,000","3,315,000","3,623,000",,,,,
NetTangibleAssets,"147,244,000","165,787,000","194,548,000","216,035,000","250,696,000","311,935,000","358,509,000","250,416,000","205,834,000","225,423,000","251,911,000","275,197,000","306,519,000","279,267,000","318,913,000","341,799,000","205,477,000","-89,708,000"
WorkingCapital,"148,403,000","151,622,000","183,085,000","206,028,000","240,111,000","301,403,000","353,521,000","243,941,000","193,713,000","213,797,000","240,780,000","266,280,000","298,064,000","271,196,000","313,507,000","340,725,000","203,185,000","29,674,000"
InvestedCapital,"166,244,000","185,037,000","214,048,000","235,785,000","270,696,000","311,935,000","358,509,000","250,416,000","205,834,000","225,423,000","251,911,000","275,197,000","306,519,000","279,267,000","318,913,000","341,799,000","205,477,000","-89,708,000"
TangibleBookValue,"147,244,000","165,787,000","194,548,000","216,035,000","250,696,000","311,935,000","358,509,000","250,416,000","205,834,000","225,423,000","251,911,000","275,197,000","306,519,000","279,267,000","318,913,000","341,799,000","205,477,000","-89,708,000"
TotalDebt,"5,407,000","6,050,000","6,745,000","6,136,000","6,574,000","6,985,000","1,547,000","1,819,000","2,240,000","2,652,000","3,001,000","3,315,000","3,623,000",,,,,
