name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,03/31/2008,03/31/2007
OperatingCashFlow,"-19,013,000","-11,186,000","660,000","-192,000","-8,295,000","-6,440,000","-1,492,000","-3,474,000","-10,073,000","-1,425,000","-3,661,000","-990,000","-5,058,000","-2,851,000","-720,000","-1,233,000","-7,956,000","-4,185,000","7,605,000","-4,810,000","-7,949,000","-3,609,000","4,322,000","-7,210,000","-32,000","219,000","7,049,000","481,000","-4,125,000","-3,838,000","4,974,000","1,686,000","-3,934,000","-2,405,000","-3,905,000","-8,533,000","-7,073,000","-3,487,000","-4,737,000","-3,863,000","-3,885,000","593,000","-2,896,000","2,749,000","-7,629,000","7,286,000","-331,000","2,661,000","-6,688,000","-12,025,000","6,846,000","-6,068,000","-1,096,000","-8,368,000","2,301,000","-17,834,000","-7,426,000"
	CashFlowFromContinuingOperatingActivities,"-19,013,000","-11,186,000","660,000","-192,000","-8,295,000","-6,440,000","-1,492,000","-3,474,000","-10,073,000","-1,425,000","-3,661,000","-990,000","-5,058,000","-2,851,000","-720,000","-1,233,000","-7,956,000","-4,185,000","7,605,000","-4,810,000","-7,949,000","-3,609,000","4,322,000","-7,210,000","-32,000","219,000","7,049,000","481,000","-4,125,000","-3,838,000","4,974,000","1,686,000","-3,934,000","-2,405,000","-3,905,000","-8,533,000","-7,073,000","-3,487,000","-4,737,000","-3,863,000","-3,885,000","593,000","-2,896,000","2,749,000","-7,629,000","7,286,000","-331,000","2,661,000","-6,688,000","-12,025,000","6,846,000","-6,068,000","-1,096,000","-8,368,000","2,301,000","-17,834,000","-7,426,000"
		NetIncomeFromContinuingOperations,"-20,567,000","-8,356,000","-10,190,000","2,244,000","-4,265,000","-9,068,000","-3,920,000","-6,094,000","-6,344,000","-7,652,000","-635,000","343,000","-6,507,000","-5,136,000","-461,000","-1,988,000","-3,735,000","-4,694,000","970,000","-10,226,000","-6,280,000","-7,460,000","-5,260,000","1,437,000","2,239,000","-6,974,000","-2,053,000","5,394,000","-5,360,000","-5,562,000","345,000","-4,562,000","-8,479,000","-6,375,000","-9,814,000","-9,261,000","-12,605,000","-9,623,000",,,,,,,,"-3,471,000","-494,000","-2,732,000","-3,946,000","-1,369,000","-5,180,000","-6,158,000","-2,858,000","-6,093,000","-6,327,000","-13,909,000","-5,096,000"
		OperatingGainsLosses,"-2,068,000","-245,000","-1,280,000","-198,000","-345,000","-132,000",,,,,"1,000","525,000",,,,,"0","1,000","14,000","-2,000","-2,000","-1,000","-7,000","-8,000","0","-27,000","37,000","0","0","-5,000","226,000","-37,000","-12,000","-826,000",,"-79,000","33,000","108,000","1,458,000","-16,000","30,000","79,000","18,000","-28,000",,,,,,,"100,000",,,,"1,000",,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","-760,000",,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,"0",,,,"-1,000","-1,000","0","8,000","-1,000","0","1,000","14,000","-2,000","-2,000","-1,000","-7,000","-8,000","0","-27,000","37,000","0","0","-5,000","139,000","-37,000","-12,000","-66,000","1,520,000","-79,000","33,000","108,000","1,458,000","-16,000","30,000","79,000","18,000","-28,000",,,"148,000",,,,"100,000",,,,"1,000","0","0"
			GainLossOnInvestmentSecurities,"-2,068,000","-245,000","-1,280,000","-198,000","-345,000","-132,000",,,,,"-1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"7,054,000","2,415,000","1,824,000","1,439,000","1,376,000","1,308,000","1,187,000","1,131,000","1,106,000","1,130,000","1,208,000","1,170,000","1,101,000","1,078,000","335,000","309,000","265,000","238,000","247,000","241,000","228,000","326,000","650,000","1,285,000","1,302,000","1,309,000","1,309,000","1,333,000","1,365,000","1,402,000","1,475,000","1,445,000","1,905,000","1,860,000","2,480,000","2,610,000","2,586,000","2,642,000","2,930,000","3,137,000","3,231,000","3,119,000","3,006,000","2,847,000","2,782,000","2,836,000","2,609,000","1,960,000","1,902,000","1,838,000","1,698,000","1,623,000","1,463,000","1,345,000","1,214,000","1,044,000","566,000"
			DepreciationAndAmortization,"7,054,000","2,415,000","1,824,000","1,439,000","1,376,000","1,308,000","1,187,000","1,131,000","1,106,000","1,130,000","1,208,000","1,170,000","1,101,000","1,078,000","335,000","309,000","265,000","238,000","247,000","241,000","228,000","326,000","650,000","1,285,000","1,302,000","1,309,000","1,309,000","1,333,000","1,365,000","1,402,000","1,475,000","1,445,000","1,905,000","1,860,000","2,480,000","2,610,000","2,586,000","2,642,000","2,930,000","3,137,000","3,231,000","3,119,000","3,006,000","2,847,000","2,782,000","2,836,000","2,609,000","1,960,000","1,902,000","1,838,000","1,698,000","1,623,000","1,463,000","1,345,000","1,214,000","1,044,000","566,000"
				Depreciation,"7,054,000","2,415,000","1,824,000","1,439,000","1,376,000","1,308,000","1,187,000","1,131,000","1,106,000","1,130,000","1,208,000","1,170,000","1,101,000","1,078,000","335,000",,,,"247,000","241,000","228,000","326,000","369,000","441,000","459,000","465,000","466,000","489,000","522,000","558,000","632,000","601,000","1,062,000","1,016,000","1,637,000","1,766,000","1,743,000","1,798,000","2,086,000","2,278,000","2,341,000","2,203,000","2,077,000","1,918,000","1,865,000","1,895,000","1,948,000","1,860,000","1,787,000","1,651,000","1,450,000","1,376,000","1,216,000","1,130,000","1,118,000","806,000","404,000"
