name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"5,731,364,000","5,336,666,000","5,367,265,000","5,333,989,000","5,240,657,000","5,237,973,000","5,332,528,000","5,510,078,000","5,879,791,000","4,448,680,000","4,583,604,000","4,594,904,000","4,563,928,000","4,544,145,000","4,601,224,000","4,442,154,000","4,522,157,000","4,419,891,000","4,307,287,000","4,656,928,000","4,593,130,000","4,485,842,000","3,417,280,000","2,271,670,000","2,515,397,000","2,370,543,000","2,344,310,000","2,391,617,000","2,455,100,000","2,340,588,000","2,178,509,000","2,086,425,000","2,065,168,000","2,025,203,000","2,010,963,000","1,691,435,000","1,781,813,000","1,826,848,000","1,931,904,000","1,917,828,000","1,565,569,000","1,698,005,000","1,591,355,000","1,443,685,000","1,388,347,000","1,389,035,000","1,250,564,000","1,167,642,000","1,226,961,000","1,250,327,000","1,224,154,000","1,307,808,000","1,399,766,000","1,402,704,000","1,279,001,000","1,243,686,000","1,075,467,000","1,050,479,000","933,751,000","836,683,000","779,522,000","884,287,000","773,422,000","430,163,000","423,500,400","449,084,900","396,631,300","377,684,300","368,074,800","341,393,000","302,932,800","288,321,600","280,512,700","306,722,000","242,262,000","226,866,000","204,994,200","212,251,600","176,588,000","171,590,100","173,718,400","199,852,100","166,313,000","166,422,500","178,981,700","187,684,500","141,542,100","127,142,600","119,413,100","132,100,000","100,800,000","95,100,000","94,900,000","111,300,000","88,100,000","84,800,000","85,600,000","98,400,000","55,300,000","50,100,000","51,900,000","63,600,000","39,400,000","38,500,000","36,300,000","40,600,000","30,500,000","30,700,000","32,500,000","38,300,000","30,900,000","30,200,000","31,000,000","36,400,000","29,100,000","28,300,000","28,300,000","34,600,000","27,900,000","27,200,000","27,200,000","32,000,000","31,200,000","28,700,000","27,600,000","27,800,000","28,600,000","28,900,000"
	CurrentAssets,"733,562,000","458,573,000","484,694,000","429,813,000","335,259,000","308,248,000","361,585,000","427,467,000","720,411,000","304,030,000","341,412,000","325,827,000","213,156,000","274,460,000","256,792,000","218,303,000","264,455,000","401,224,000","334,702,000","396,218,000","411,771,000","399,825,000","1,368,045,000","319,135,000","528,052,000","332,049,000","326,293,000","250,950,000","374,719,000","340,719,000","157,209,000","213,568,000","293,602,000","325,813,000","404,374,000","177,247,000","152,659,000","171,949,000","117,158,000","153,870,000","159,973,000","173,050,000","195,532,000","127,901,000","152,805,000","176,823,000","131,026,000","116,417,000","172,108,000","177,370,000","151,379,000","215,767,000","286,436,000","296,737,000","236,633,000","290,028,000","170,068,000","191,793,000","141,546,000","132,155,000","128,367,000","271,014,000","82,079,000","112,134,000","129,477,000","168,701,200","154,305,700","144,602,100","132,259,600","120,629,600","96,082,700","92,278,600","88,559,500","111,367,600","68,266,600","57,264,300","67,181,300","71,659,400","42,428,500","39,954,800","41,181,900","64,705,400","39,517,900","49,311,200","71,056,000","78,752,700","40,693,400","28,692,400","29,145,200","42,300,000","23,100,000","20,100,000","22,600,000","44,000,000","31,400,000","32,200,000","37,900,000","53,900,000","17,100,000","14,400,000","16,900,000","28,600,000","8,700,000","11,300,000","9,200,000","13,200,000","4,900,000","5,200,000","7,000,000","12,100,000","6,600,000","6,500,000","8,400,000","13,500,000","7,200,000","6,400,000","6,200,000","12,100,000","6,200,000","5,600,000","5,700,000","10,200,000","9,600,000","7,400,000","6,000,000","5,600,000","6,300,000","6,300,000"
		CashCashEquivalentsAndShortTermInvestments,"171,157,000","33,829,000","99,922,000","109,749,000","59,067,000","2,623,000","3,818,000","1,191,000","61,244,000","963,000","4,567,000","1,474,000","1,112,000","1,398,000","1,369,000","1,425,000","45,923,000","180,675,000","136,429,000","202,291,000","257,514,000","244,100,000","1,197,692,000","109,099,000","238,545,000","850,000","3,690,000","1,376,000","67,494,000","16,066,000","18,242,000","40,357,000","147,194,000","193,243,000","298,488,000","43,212,000","2,494,000","2,457,000","2,907,000","5,956,000","1,655,000","8,238,000","32,310,000","6,771,000","14,699,000","54,372,000","13,299,000","58,951,000","74,617,000","31,944,000","91,252,000","119,785,000","180,499,000","167,831,000","47,404,000","33,260,000","26,202,000","84,751,000","28,612,000","21,586,000","61,576,000","194,326,000","8,220,000","54,778,000","80,530,000","90,110,100","64,801,600","96,519,900","94,629,100","77,070,400","58,859,700","48,857,200","55,640,100","78,512,900","40,537,500","31,075,600","39,750,500","48,263,000","23,930,500","21,767,600","26,051,500","47,892,300","22,030,400","26,349,900","44,594,000","46,872,000","13,736,800","5,456,900","13,838,100","29,100,000","9,600,000","9,100,000","14,400,000","34,900,000","22,000,000","23,600,000","30,800,000","46,600,000","10,300,000","8,500,000","11,300,000","20,600,000","2,700,000","5,200,000","5,700,000","10,100,000","2,300,000","2,400,000","4,000,000","8,900,000","3,100,000","2,500,000","4,800,000","10,600,000","4,000,000","3,400,000","3,400,000","9,200,000","3,200,000","2,700,000","3,000,000","7,100,000","7,100,000","5,200,000","3,300,000","2,500,000","2,600,000","2,400,000"
			CashAndCashEquivalents,"171,157,000","33,829,000","99,922,000","109,749,000","59,067,000","2,623,000","3,818,000","1,191,000","61,244,000","963,000","4,567,000","1,474,000","1,112,000","1,398,000","1,369,000","1,425,000","45,923,000","180,675,000","136,429,000","202,291,000","207,624,000","244,100,000","1,197,692,000","109,099,000","238,545,000","850,000","3,690,000","1,376,000","67,494,000","16,066,000","18,242,000","40,357,000","147,194,000","193,243,000","298,488,000","43,212,000","2,494,000","2,457,000","2,907,000","5,956,000","1,655,000","8,238,000","32,310,000","6,771,000","14,699,000","54,372,000","13,299,000","19,447,000","26,460,000","31,944,000","22,140,000","21,904,000","41,132,000","50,950,000","47,404,000","33,260,000","26,202,000","84,751,000","28,612,000","21,586,000","61,576,000","194,326,000","8,220,000","54,778,000","80,530,000","90,110,100","64,801,600","96,519,900","94,629,100","77,070,400","58,859,700","48,857,200","55,640,100","78,512,900","40,537,500","31,075,600","39,750,500","48,263,000","23,930,500","21,767,600","26,051,500","47,892,300","22,030,400","26,349,900","44,594,000","46,872,000","13,736,800","5,456,900","13,838,100","29,100,000","9,600,000","9,100,000","14,400,000","34,900,000","22,000,000","23,600,000","30,800,000","46,600,000","10,300,000","8,500,000","11,300,000","20,600,000","2,700,000","5,200,000","5,700,000","10,100,000","2,300,000","2,400,000","4,000,000","8,900,000","3,100,000","2,500,000","4,800,000","10,600,000","4,000,000","3,400,000","3,400,000","9,200,000","3,200,000","2,700,000","3,000,000","7,100,000","7,100,000","5,200,000","3,300,000","2,500,000","2,600,000","2,400,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,"49,890,000",,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","39,504,000","48,157,000","0","69,112,000","97,881,000","139,367,000","116,881,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"537,056,000","398,605,000","368,611,000","307,201,000","256,837,000","244,251,000","207,151,000","196,314,000","270,012,000","266,354,000","253,077,000","277,321,000","190,844,000","181,434,000","241,155,000","195,317,000","181,025,000","197,598,000","167,276,000","135,203,000","122,484,000","152,183,000","99,895,000","107,350,000","100,053,000","104,274,000","106,776,000","90,005,000","98,151,000","131,716,000","105,682,000","123,352,000","112,508,000","100,699,000","60,965,000","88,761,000","70,909,000","69,722,000","54,446,000","63,783,000","73,553,000","68,441,000","83,881,000","66,478,000","77,501,000","66,765,000","60,766,000","53,062,000","90,266,000","92,175,000","47,262,000","67,095,000","76,647,000","86,430,000","86,933,000","150,750,000","95,256,000","71,561,000","55,487,000","61,456,000","46,737,000","51,835,000","43,834,000","40,692,000","36,563,700","57,013,300","56,143,500","35,311,900","29,931,700","33,902,800","25,667,500","31,360,300","24,517,900","22,523,600","21,659,500","19,602,900","21,589,800","15,336,500","12,532,000","13,367,300","10,482,000","10,752,600","12,032,100","16,958,300","19,817,000","23,648,000","18,885,800","16,430,300","11,856,600","10,300,000","10,700,000","8,800,000","6,100,000","6,000,000","7,100,000","6,600,000","5,200,000","4,900,000","5,000,000","4,900,000","4,400,000","6,700,000","4,700,000","5,000,000","2,600,000","2,000,000","1,600,000","1,900,000","1,900,000","2,000,000","2,100,000","2,800,000","2,700,000","2,000,000","2,300,000","2,200,000","2,000,000","2,100,000","2,100,000","2,100,000","2,000,000","2,100,000","1,600,000","1,600,000","2,000,000","2,100,000","2,800,000","3,000,000"
			AccountsReceivable,"523,029,000","368,991,000","343,022,000","281,207,000","220,121,000","178,147,000","207,151,000","196,314,000","270,012,000","149,758,000","253,077,000","277,321,000","190,844,000","155,756,000","241,155,000","195,317,000","181,025,000","154,260,000","167,276,000","135,203,000","122,484,000","106,311,000","99,895,000","107,350,000","100,053,000","41,873,000","106,776,000","90,005,000","98,151,000","50,043,000","105,682,000","123,352,000","112,508,000","79,081,000","60,965,000","88,761,000","70,909,000","52,888,000","54,446,000","56,345,000","73,553,000","68,441,000","83,881,000","66,478,000","77,501,000","65,426,000","60,766,000","53,062,000","62,450,000","64,447,000","47,262,000","67,095,000","76,647,000","86,430,000","86,933,000","150,750,000","95,256,000","71,561,000","55,487,000","61,456,000","46,737,000","51,835,000","43,834,000","40,692,000","36,563,700","57,013,300","56,143,500","35,311,900","29,931,700","33,902,800","25,667,500","31,360,300","24,517,900","22,523,600","21,659,500","19,602,900","21,589,800",,"12,532,000","13,367,300","10,482,000","10,752,600","12,032,100","16,958,300","19,817,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,362,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-921,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,336,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
