name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992
TotalAssets,"946,216,000","854,691,000","875,248,000","879,632,000","535,591,000","552,394,000","523,538,000","436,769,000","394,641,000","391,399,000","333,446,000","361,434,000","341,227,000","345,955,000","340,421,000","358,196,000","367,619,000","374,874,000","383,786,000","317,268,000","319,543,000","328,224,000","342,137,000","329,628,000","309,912,000","294,622,000","277,231,000","289,885,000","290,659,000","288,661,000","280,636,000","279,915,000","228,957,000","240,724,000","237,636,000","237,717,000","207,486,000","209,636,000","191,485,000","197,033,000","215,468,000","169,918,000","183,630,000","156,885,000","158,529,000","170,672,000","150,529,000","157,231,000","137,942,000","158,626,000","162,688,000","149,172,000","134,958,000","164,358,000","185,476,000","210,367,000","223,942,000","242,862,000","253,188,000","262,863,000","268,308,000","186,499,000","206,652,000","223,841,000","240,594,000","254,756,000","265,520,000","281,630,000","298,930,000","312,700,000","236,510,000","253,989,000","278,519,000","295,718,000","223,363,000","236,127,000","248,948,000","271,297,000","289,803,000","308,021,000","319,401,000","327,797,000","334,020,000","334,265,000","85,515,000","90,149,000","91,028,000","76,110,000","76,588,000","20,100,000","19,800,000","20,500,000","22,300,000","28,600,000","26,800,000","27,600,000","23,700,000","20,700,000","21,400,000","21,400,000","21,200,000","21,800,000","23,500,000","23,400,000","24,500,000","24,300,000","23,800,000","22,600,000","23,900,000","24,400,000","22,500,000","22,200,000","21,100,000","20,300,000","20,700,000","20,100,000","20,900,000","20,900,000","21,500,000","20,900,000"
	CurrentAssets,"595,226,000","509,016,000","543,386,000","574,232,000","245,557,000","278,409,000","233,981,000","146,794,000","111,378,000","124,786,000","84,319,000","96,374,000","104,263,000","117,134,000","130,303,000","162,551,000","181,604,000","193,522,000","203,510,000","144,599,000","158,054,000","180,481,000","202,469,000","233,964,000","222,768,000","205,166,000","203,898,000","225,146,000","225,832,000","223,129,000","217,031,000","216,727,000","168,082,000","177,216,000","189,329,000","182,277,000","153,820,000","160,365,000","145,926,000","149,085,000","165,630,000","118,195,000","132,948,000","111,991,000","118,520,000","127,605,000","102,209,000","101,896,000","80,138,000","109,947,000","119,679,000","104,456,000","88,137,000","108,772,000","118,020,000","133,457,000","165,899,000","189,826,000","201,005,000","209,278,000","215,010,000","126,641,000","133,709,000","130,766,000","137,777,000","153,148,000","161,894,000","210,683,000","236,830,000","245,451,000","178,866,000","181,357,000","217,696,000","218,235,000","160,792,000","178,415,000","188,468,000","210,120,000","234,739,000","261,913,000","262,091,000","274,462,000","289,225,000","311,447,000","66,746,000","75,263,000","79,405,000","66,547,000","67,803,000","11,100,000","10,400,000","10,900,000","12,600,000","17,600,000","15,900,000","16,700,000","12,700,000","9,500,000","10,200,000","10,000,000","10,300,000","10,900,000","12,900,000","13,000,000","14,300,000","13,900,000","13,000,000","12,300,000","13,500,000","14,100,000","12,200,000","11,900,000","11,300,000","10,700,000","11,000,000","10,700,000","11,300,000","11,300,000","11,800,000","10,900,000"
		CashCashEquivalentsAndShortTermInvestments,"467,774,000","376,963,000","432,213,000","468,565,000","139,086,000","178,570,000","149,867,000","66,284,000","29,087,000","38,254,000","9,434,000","16,018,000","14,889,000","27,750,000","39,291,000","48,663,000","66,973,000","76,776,000","49,294,000","35,683,000","46,454,000","57,646,000","84,187,000","94,150,000","81,982,000","76,944,000","58,852,000","65,520,000","82,985,000","84,664,000","83,710,000","107,938,000","64,254,000","78,468,000","67,696,000","81,359,000","56,039,000","86,271,000","57,514,000","73,766,000","60,262,000","41,532,000","63,431,000","49,520,000","55,047,000","65,622,000","45,486,000","52,725,000","27,124,000","50,558,000","64,827,000","53,010,000","42,373,000","43,568,000","68,449,000","77,666,000","113,497,000","136,500,000","153,631,000","167,542,000","178,728,000","93,360,000","107,533,000","102,096,000","109,113,000","122,096,000","136,032,000","179,150,000","207,129,000","220,438,000","152,395,000","154,657,000","166,604,000","184,682,000","134,750,000","152,341,000","161,024,000","180,535,000","205,996,000","231,405,000","234,394,000","252,092,000","274,760,000","300,259,000","58,976,000","68,787,000","74,754,000","62,289,000","64,486,000","6,500,000","6,200,000","5,300,000","7,000,000","10,300,000","10,300,000","10,300,000","7,700,000","4,700,000","6,800,000","7,000,000","6,700,000","4,700,000","7,600,000","5,500,000","6,000,000","6,400,000","5,400,000","8,400,000","10,500,000","4,600,000","2,000,000","5,800,000","6,100,000","6,500,000","6,700,000","5,800,000","6,200,000","5,900,000","5,800,000","7,100,000"
			CashAndCashEquivalents,"467,774,000","376,963,000","432,213,000","468,565,000","139,086,000","178,570,000","149,867,000","66,284,000","29,087,000","38,254,000","9,434,000","16,018,000","14,889,000","27,750,000","39,291,000","48,663,000","66,973,000","76,776,000","49,294,000","35,683,000","46,454,000","57,646,000","84,187,000","94,150,000","81,982,000","76,944,000","58,852,000","65,520,000","82,985,000","84,664,000","83,710,000","107,938,000","64,254,000","78,468,000","67,696,000","81,359,000","56,039,000","86,271,000","57,514,000","73,766,000","60,262,000","37,030,000","51,415,000","31,480,000","36,980,000","26,085,000","20,467,000","15,728,000","24,112,000","45,543,000","57,823,000","32,958,000","17,071,000","16,298,000","38,043,000","50,920,000","68,940,000","81,865,000","92,997,000","106,100,000","107,269,000","17,789,000","26,247,000","19,480,000","29,262,000","21,815,000","22,702,000","16,814,000","16,042,000","168,744,000","45,759,000","66,794,000","67,099,000","82,940,000","41,000,000","65,670,000","67,806,000","83,060,000","102,495,000","131,334,000","142,013,000","223,825,000","256,870,000","292,704,000","48,910,000","68,787,000","74,754,000","62,289,000","64,486,000","6,500,000","6,200,000","5,300,000","7,000,000","10,300,000","10,300,000","10,300,000","7,700,000","4,700,000","6,800,000","7,000,000","6,700,000","4,700,000","7,600,000","5,500,000","6,000,000","6,400,000","5,400,000","8,400,000","10,500,000","4,600,000","2,000,000","5,800,000","6,100,000","6,500,000","6,700,000","5,800,000","6,200,000","5,900,000","5,800,000","7,100,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","4,502,000","12,016,000","18,040,000","18,067,000","39,537,000","25,019,000","36,997,000","3,012,000","5,015,000","7,004,000","20,052,000","25,302,000","27,270,000","30,406,000","26,746,000","44,557,000","54,635,000","60,634,000","61,442,000","71,459,000","75,571,000","81,286,000","82,616,000","79,851,000","100,281,000","113,330,000","162,336,000","191,087,000","51,694,000","106,636,000","87,863,000","99,505,000","101,742,000","93,750,000","86,671,000","93,218,000","97,475,000","103,501,000","100,071,000","92,381,000","28,267,000","17,890,000","7,555,000","10,066,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"25,671,000","44,260,000","23,654,000","22,872,000","19,807,000","18,264,000","17,604,000","15,281,000","13,592,000","13,116,000","10,976,000","11,891,000","22,920,000","20,708,000","23,039,000","39,430,000","46,189,000","44,081,000","68,521,000","26,316,000","24,836,000","25,619,000","25,600,000","30,182,000","44,420,000","46,029,000","61,375,000","56,034,000","44,198,000","61,189,000","64,904,000","40,084,000","35,131,000","34,406,000","49,594,000","40,749,000","29,713,000","20,101,000","35,984,000","20,240,000","47,036,000","23,892,000","21,950,000","16,692,000","19,879,000","23,288,000","18,066,000","13,897,000","18,110,000","24,013,000","22,920,000","18,427,000","14,359,000","30,376,000","16,096,000","19,780,000","12,861,000","10,402,000","12,629,000","10,161,000","10,425,000","7,957,000","10,191,000","9,886,000","9,355,000","10,577,000","10,062,000","12,799,000","8,821,000","7,721,000","7,599,000","6,021,000","6,995,000","11,548,000","4,948,000","7,264,000","9,748,000","9,187,000","10,438,000","6,768,000","4,027,000","7,253,000","7,110,000","6,334,000","4,518,000","4,184,000","3,459,000","3,156,000","2,113,000","2,300,000","2,300,000","4,100,000","4,100,000","5,200,000","3,800,000","4,700,000","4,200,000","4,100,000","2,800,000","2,200,000","2,800,000","3,400,000","2,800,000","2,400,000","2,700,000","2,200,000","3,200,000","3,100,000","2,200,000","6,400,000","7,400,000","5,300,000","4,200,000","3,200,000","4,200,000","4,400,000","4,500,000","4,400,000","4,700,000","2,900,000"
			AccountsReceivable,"15,466,000","30,702,000","14,730,000","14,182,000","12,147,000","10,021,000","9,563,000","7,364,000","6,117,000","5,593,000","3,292,000","3,705,000","11,842,000","8,321,000","9,280,000","25,404,000","17,601,000","16,727,000","43,007,000","5,725,000","5,601,000","9,355,000","7,874,000","9,983,000","9,577,000","11,396,000","19,764,000","19,129,000","11,225,000","11,421,000","11,388,000","7,045,000","16,926,000","17,248,000","18,130,000","20,065,000","14,979,000","10,381,000","25,984,000","20,240,000","47,036,000","23,892,000","21,950,000","16,692,000","19,879,000","23,288,000","18,066,000","13,897,000","18,110,000","24,013,000","22,920,000","18,427,000","14,359,000","30,376,000","16,096,000","19,780,000","12,861,000","10,402,000","10,063,000","10,161,000","10,425,000","7,957,000","9,402,000","9,886,000","9,355,000","10,577,000","10,062,000","12,799,000","8,821,000","7,721,000","7,599,000","6,021,000","6,995,000","11,548,000","4,948,000","7,264,000","9,748,000","9,187,000","10,438,000","6,768,000","4,027,000","7,253,000","7,110,000","6,334,000","4,518,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,,"30,702,000",,,,,,,,,"3,292,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,570,000",,,,"22,505,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"0",,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"-586,000",,,,"-555,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,"0","0",,"1,007,000","892,000","731,000","633,000","585,000","719,000","677,000","561,000","529,000","529,000","396,000","575,000","478,000","399,000","320,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"10,205,000","13,558,000","8,924,000","8,690,000","7,660,000","8,243,000","8,041,000","7,917,000","7,475,000","7,523,000","7,684,000","8,186,000","11,078,000","12,387,000","13,759,000","14,026,000","28,588,000","27,354,000","25,514,000","20,591,000","19,235,000","16,264,000","16,719,000","19,307,000","34,112,000","34,000,000","41,026,000","36,186,000","32,296,000","49,207,000","52,987,000","32,510,000","17,809,000","16,583,000","30,986,000","20,285,000","14,414,000","9,720,000","10,586,000",,,,,,,,,,,,,,,,,,,,"2,566,000",,,,"789,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-586,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"82,878,000","65,386,000","67,074,000","60,413,000","58,920,000","61,901,000","50,971,000","51,502,000","54,945,000","58,433,000","56,694,000","59,830,000","57,043,000","54,802,000","53,575,000","60,114,000","55,255,000","59,868,000","74,496,000","71,984,000","75,585,000","82,268,000","73,806,000","78,204,000","66,222,000","60,276,000","65,754,000","75,571,000","71,877,000","56,620,000","55,895,000","55,761,000","55,713,000","51,852,000","56,185,000","47,233,000","49,871,000","47,048,000","47,701,000","48,995,000","52,686,000","46,304,000","40,101,000","38,732,000","36,199,000","32,352,000","33,404,000","30,574,000","30,284,000","31,422,000","25,433,000","25,033,000","22,833,000","26,074,000","24,523,000","27,116,000","30,953,000","35,411,000","29,581,000","23,911,000","20,686,000","20,904,000","14,121,000","14,688,000","14,065,000","14,130,000","12,141,000","13,267,000","15,797,000","13,285,000","14,619,000","14,941,000","15,987,000","17,584,000","15,954,000","15,699,000","12,421,000","17,754,000","13,981,000","16,416,000","18,290,000","11,282,000","6,334,000","3,950,000","2,247,000","1,025,000","305,000","250,000","311,000","1,200,000","1,200,000","100,000","100,000","300,000",,"400,000","100,000","100,000",,"100,000","100,000","100,000","100,000","800,000","1,100,000","700,000","200,000","400,000","300,000","300,000","100,000","700,000","700,000","700,000",,"400,000","400,000","800,000","1,200,000","600,000"
			RawMaterials,,,,,,,,,,,"25,466,000","24,564,000","25,228,000","27,993,000","24,467,000","22,479,000","19,355,000","23,616,000","20,065,000","22,525,000","24,286,000","27,010,000","25,286,000","28,739,000","28,079,000","28,162,000","29,103,000","34,853,000","38,401,000","28,962,000","25,460,000","23,173,000","21,046,000","19,563,000","20,599,000","21,385,000","20,385,000","20,022,000","17,683,000","18,642,000","17,791,000","20,610,000","18,303,000","18,376,000","17,805,000","15,648,000","15,509,000","14,833,000","14,366,000","17,752,000","15,945,000","14,629,000","12,804,000","14,499,000","18,952,000","11,946,000","11,323,000","10,361,000","8,682,000","10,814,000","6,586,000","4,201,000","5,571,000","5,598,000","4,184,000","4,061,000","4,772,000",,,"595,000","1,663,000","938,000","1,820,000","4,577,000","3,611,000","7,655,000","6,516,000","11,113,000",,,"10,695,000",,"3,519,000","2,817,000","1,891,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,,,,,,,,,,,"31,228,000","35,266,000","31,815,000","26,809,000","29,108,000","37,635,000","35,900,000","36,252,000","54,431,000","49,459,000","51,299,000","55,258,000","48,520,000","49,465,000","38,143,000","32,114,000","36,651,000","40,718,000","33,476,000","27,658,000","30,435,000","32,588,000","34,667,000","32,289,000","35,586,000","25,848,000","29,486,000","27,026,000","30,018,000","30,353,000","34,895,000","25,694,000","21,798,000","22,210,000","20,540,000","19,754,000","22,786,000","22,478,000","23,027,000","13,670,000","9,488,000","10,404,000","10,029,000","11,575,000","5,571,000","15,170,000","19,630,000","25,050,000","20,899,000","13,097,000","14,100,000","16,703,000","8,550,000","9,090,000","9,881,000","10,069,000","7,369,000",,,"12,690,000","12,956,000","14,003,000","14,167,000","13,007,000","12,343,000","8,044,000","5,905,000","6,641,000",,,"7,595,000",,"2,815,000","1,133,000","356,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,854,000","-2,146,000","-3,050,000","-4,891,000","-6,737,000","-7,109,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"13,602,000","9,764,000","9,177,000","12,170,000","10,317,000","7,422,000","6,306,000","7,640,000","5,672,000","6,805,000","5,921,000","7,232,000","7,612,000","8,145,000","8,495,000","8,912,000","7,809,000","7,438,000","6,442,000","5,882,000","6,459,000",,"9,022,000","5,914,000","7,242,000","6,368,000","6,171,000","9,214,000","9,730,000","9,190,000","6,870,000","7,908,000","8,082,000","5,997,000","10,307,000","7,389,000","7,508,000",,,,,,,,,,,,,,,,,,,,,,"1,091,000",,,,"1,099,000",,,,,,,,,,,,,,,,,,,"3,835,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"5,301,000","12,643,000","11,268,000","10,212,000","17,427,000","12,252,000","9,233,000","6,087,000","8,082,000","8,178,000","3,473,000","1,381,000","1,743,000","5,601,000","5,806,000","5,303,000","5,249,000","5,230,000","4,628,000","4,605,000","4,591,000","9,439,000","9,437,000","9,436,000","9,029,000","6,370,000","6,288,000","6,968,000","6,968,000","5,625,000","5,523,000","4,908,000","4,889,000","6,194,000","5,053,000","5,053,000","10,689,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,"0","22,000","56,000","128,000","97,000","129,000","129,000","129,000","129,000","129,000","129,000",,"417,000","446,000","493,000","240,000","198,000","200,000","129,000","129,000","129,000","128,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000","117,000","117,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000","117,000","117,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"13,602,000",,"9,177,000",,"10,317,000","7,422,000","6,306,000",,,"6,805,000","-2,179,000",,,,"8,592,000",,"7,938,000",,"6,571,000",,,"5,509,000","10,446,000","15,632,000","13,380,000","8,939,000","5,260,000","11,639,000","9,945,000","5,712,000","7,528,000",,"13,000","299,000","494,000","494,000",,"6,945,000","4,727,000","6,084,000","5,646,000","6,467,000","7,466,000","7,047,000","7,395,000","6,343,000","5,253,000","4,700,000","4,620,000","3,954,000","6,499,000","7,986,000","8,572,000","8,754,000","8,952,000","8,895,000","8,588,000","7,513,000","4,073,000","7,664,000","5,171,000","4,420,000","765,000","4,096,000","5,244,000","6,345,000","3,659,000","5,467,000","5,083,000","4,007,000","4,253,000","5,738,000","28,110,000","4,421,000","5,140,000","3,111,000","5,275,000","2,644,000","4,324,000","7,324,000","5,380,000",,"996,000","787,000","888,000","1,267,000","887,000","852,000","893,000","1,100,000","700,000","1,400,000","1,400,000","1,800,000","1,800,000","1,300,000","700,000","600,000","600,000","700,000","700,000","2,700,000","2,400,000","4,300,000","4,500,000","4,600,000","4,200,000","400,000","500,000","2,800,000","2,700,000","100,000","300,000","300,000","100,000","100,000","200,000","200,000","100,000","300,000"
