name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002
TotalAssets,"969,769,000","984,557,000","1,008,749,000","1,010,747,000","852,962,000","1,000,477,000","1,000,914,000","1,005,401,000","913,625,000","932,124,000","932,344,000","949,065,000","797,003,000","739,850,000","757,319,000","700,229,000","716,453,000","710,588,000","729,860,000","732,439,000","732,675,000","737,892,000","617,622,000","626,378,000","665,096,000","662,816,000","672,906,000","682,388,000","714,046,000","761,775,000","784,461,000","822,787,000","725,247,000","755,101,000","692,253,000","621,372,000","616,237,000","606,531,000","592,885,000","595,217,000","597,289,000","597,651,000","578,104,000","587,896,000","572,908,000","376,103,000","369,531,000","357,973,000","356,358,000","354,995,000","354,349,000","351,067,000","346,835,000","347,841,000","391,087,000","416,471,000","444,379,000","455,325,000","464,292,000","463,667,000","335,458,000","336,876,000","348,514,000","363,590,000","333,118,000","351,373,000","368,349,000","382,509,000","374,287,000","378,586,000","373,263,000","383,310,000","407,489,000","344,440,000","364,207,000","371,827,000","390,692,000","407,677,000","405,465,000","411,665,000","394,182,000"
	CurrentAssets,"395,190,000","409,577,000","436,118,000","454,555,000","316,270,000","456,337,000","475,353,000","497,116,000","456,562,000","475,728,000","474,373,000","485,993,000","333,850,000","350,337,000","358,507,000","296,736,000","307,549,000","306,118,000","310,310,000","313,152,000","317,838,000","327,623,000","202,280,000","208,047,000","247,393,000","251,339,000","260,036,000","276,527,000","311,969,000","339,641,000","364,254,000","405,821,000","320,654,000","354,271,000","346,321,000","278,942,000","274,202,000","281,253,000","271,069,000","274,731,000","269,527,000","273,287,000","258,688,000","264,733,000","260,936,000","88,639,000","82,617,000","85,554,000","88,123,000","86,851,000","83,315,000","88,861,000","96,724,000","99,916,000","136,692,000","158,372,000","184,261,000","206,229,000","209,294,000","207,072,000","74,259,000","68,114,000","71,338,000","78,092,000","42,189,000","51,577,000","54,396,000","58,573,000","42,431,000","32,141,000","25,640,000","27,241,000","39,012,000","17,961,000","27,787,000","15,832,000","28,350,000","51,126,000","63,179,000","82,804,000","110,391,000"
		CashCashEquivalentsAndShortTermInvestments,"281,485,000","319,609,000","351,879,000","373,963,000","237,980,000","371,301,000","393,293,000","417,026,000","375,116,000","399,422,000","396,271,000","409,279,000","259,138,000","276,093,000","284,558,000","224,282,000","236,026,000","247,011,000","250,765,000","256,492,000","263,196,000","274,319,000","148,151,000","154,967,000","196,050,000","203,591,000","207,290,000","224,494,000","260,050,000","287,790,000","311,779,000","349,835,000","263,747,000","304,866,000","304,775,000","237,335,000","234,960,000","247,285,000","232,064,000","237,227,000","232,294,000","238,207,000","224,051,000","227,246,000","225,342,000","56,283,000","47,835,000","52,435,000","55,008,000","55,929,000","51,114,000","60,072,000","67,177,000","71,353,000","109,212,000","129,170,000","155,417,000","177,833,000","180,891,000","182,404,000","48,273,000","42,722,000","49,094,000","54,812,000","21,241,000","31,166,000","36,309,000","39,513,000","17,667,000","14,353,000","9,397,000","14,839,000","24,098,000","11,990,000","19,562,000","7,031,000","17,137,000","42,829,000","54,082,000","73,987,000","102,068,000"
			CashAndCashEquivalents,"281,485,000","319,609,000","351,879,000","373,963,000","237,980,000","371,301,000","393,293,000","417,026,000","375,116,000","399,422,000","396,271,000","409,279,000","259,138,000","276,093,000","284,558,000","224,282,000","236,026,000","247,011,000","250,765,000","256,492,000","263,196,000","274,319,000","148,151,000","154,967,000","196,050,000","203,591,000","207,290,000","224,494,000","260,050,000","287,790,000","311,779,000","349,835,000","263,747,000","304,866,000","304,775,000","237,335,000","234,960,000","247,285,000","232,064,000","237,227,000","232,294,000","238,207,000","224,051,000","227,246,000","225,342,000","56,283,000","47,835,000","52,435,000","55,008,000","55,929,000","51,114,000","60,072,000","67,177,000","71,291,000","109,050,000","129,008,000","154,605,000","177,021,000","180,241,000","181,754,000","48,273,000","42,642,000","49,014,000","54,182,000","20,611,000","29,883,000","35,555,000","38,592,000","17,312,000","13,844,000","8,796,000","13,000,000","23,434,000","7,875,000","11,031,000","6,255,000","12,739,000","39,314,000","51,669,000","71,179,000","98,109,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","62,000","162,000","162,000","812,000","812,000","650,000","650,000",,"80,000","80,000","630,000","630,000","1,283,000","754,000","921,000","355,000","509,000","601,000","1,839,000","664,000","4,115,000","8,531,000","776,000","4,398,000","3,515,000","2,413,000","2,808,000","3,959,000"
		Receivables,"41,662,000","41,938,000","43,672,000","43,751,000","41,234,000","44,185,000","42,053,000","40,560,000","42,964,000","40,484,000","41,292,000","40,684,000","39,258,000","41,709,000","40,993,000","39,482,000","38,015,000","39,096,000","39,118,000","34,754,000","33,698,000","33,598,000","33,487,000","32,379,000","31,528,000","30,718,000","30,991,000","30,972,000","29,761,000","33,089,000","31,770,000","33,505,000","33,126,000","30,628,000","28,703,000","27,179,000","26,831,000","23,990,000","27,980,000","25,652,000","24,915,000","25,029,000","24,774,000","26,352,000","24,477,000","23,702,000","24,497,000","22,620,000","22,861,000","22,877,000","24,090,000","20,563,000","21,391,000","22,174,000","21,050,000","22,004,000","21,348,000","21,760,000","22,528,000","18,124,000","19,818,000","20,053,000","18,725,000","19,106,000","16,192,000","16,452,000","14,289,000","14,439,000","15,643,000","13,564,000","12,291,000","7,968,000","8,162,000","5,066,000","5,694,000","5,101,000","5,546,000","5,516,000","5,432,000","5,093,000","2,178,000"
			AccountsReceivable,"41,662,000","41,938,000","43,672,000","43,751,000","41,234,000","44,185,000","42,053,000","40,560,000","42,964,000","40,484,000","41,292,000","40,684,000","39,258,000","41,709,000","40,993,000","39,482,000","38,015,000","39,096,000","39,118,000","34,754,000","33,698,000","33,598,000","33,487,000","32,379,000","31,528,000","30,718,000","30,991,000","30,972,000","29,761,000","33,089,000","31,770,000","33,505,000","33,126,000","30,628,000","28,703,000","27,179,000","26,831,000","23,990,000","27,980,000","25,652,000","24,915,000","25,029,000","24,774,000","26,352,000","24,477,000","23,702,000","24,497,000","22,620,000","22,861,000","22,877,000","24,090,000","20,563,000","21,391,000","22,174,000","21,050,000","22,004,000","21,348,000","21,760,000","22,528,000","18,124,000","19,818,000","20,053,000","18,725,000","19,106,000","16,192,000","16,452,000","14,289,000","14,439,000","15,643,000","13,564,000","12,291,000","7,968,000","8,162,000","5,066,000","5,694,000","5,101,000","5,546,000","5,516,000","5,432,000","5,093,000","2,178,000"
				GrossAccountsReceivable,"43,138,000","43,448,000","45,085,000","45,424,000","42,691,000","46,106,000","44,257,000","42,675,000","44,940,000","42,255,000","43,050,000","42,466,000","40,611,000","42,972,000","42,607,000","40,613,000","39,125,000","40,595,000","41,162,000","36,485,000","35,241,000","35,332,000","35,291,000","33,481,000","30,287,000","32,475,000","32,580,000","32,844,000","31,663,000","34,796,000","33,782,000","35,322,000","35,318,000","32,499,000","30,608,000","29,058,000","28,590,000","27,073,000","30,802,000","28,566,000","27,942,000","28,374,000","27,367,000",,,,"28,353,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,476,000","-1,510,000","-1,413,000","-1,673,000","-1,457,000","-1,921,000","-2,204,000","-2,115,000","-1,976,000","-1,771,000","-1,758,000","-1,782,000","-1,353,000","-1,263,000","-1,614,000","-1,131,000","-1,110,000","-1,499,000","-2,044,000","-1,731,000","-1,543,000","-1,734,000","-1,804,000","-1,102,000","1,241,000","-1,757,000","-1,589,000","-1,872,000","-1,902,000","-1,707,000","-2,012,000","-1,817,000","-2,192,000","-1,871,000","-1,905,000","-1,879,000","-1,759,000","-3,083,000","-2,822,000","-2,914,000","-3,027,000","-3,345,000","-2,593,000",,,,"-3,856,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","3,856,000","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0",,"0","0","0",,"0","0","0","0",,,"0","0","0","0"
