name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,06/30/2011
TotalAssets,"2,372,000,000","2,289,000,000","2,312,000,000","2,387,000,000","2,232,000,000","1,969,000,000","1,996,000,000","2,249,000,000","2,427,000,000","1,984,000,000","2,468,000,000","2,566,000,000","2,395,000,000","2,167,000,000","2,192,000,000","2,304,000,000","2,240,000,000","2,272,000,000","2,348,000,000","2,472,000,000","2,274,000,000","2,238,000,000","2,277,000,000","2,385,000,000","2,214,000,000","2,128,000,000","2,198,000,000","2,277,000,000","2,094,000,000","1,959,000,000","1,956,000,000","1,831,000,000","1,615,000,000","1,473,014,000","1,448,153,000","1,455,585,000","1,341,678,000","1,299,194,000","1,259,283,000","1,187,253,000","914,428,000","835,886,000","850,594,000"
	CurrentAssets,"1,043,000,000","940,000,000","960,000,000","1,006,000,000","845,000,000","573,000,000","613,000,000","853,000,000","1,012,000,000","533,000,000","1,181,000,000","1,271,000,000","1,082,000,000","915,000,000","926,000,000","1,040,000,000","983,000,000","993,000,000","1,042,000,000","1,180,000,000","1,003,000,000","950,000,000","966,000,000","1,107,000,000","964,000,000","865,000,000","943,000,000","1,012,000,000","894,000,000","747,000,000","792,000,000","855,000,000","645,000,000","630,285,000","647,752,000","611,472,000","583,824,000","632,494,000","699,583,000","630,421,000","355,321,000","278,322,000","298,488,000"
		CashCashEquivalentsAndShortTermInvestments,"781,000,000","723,000,000","682,000,000","775,000,000","674,000,000","418,000,000","446,000,000","698,000,000","798,000,000","319,000,000","933,000,000","966,000,000","811,000,000","670,000,000","663,000,000","678,000,000","650,000,000","708,000,000","763,000,000","904,000,000","746,000,000","730,000,000","727,000,000","853,000,000","692,000,000","661,000,000","686,000,000","711,000,000","623,000,000","563,000,000","576,000,000","638,000,000","461,000,000","482,368,000","432,355,000","396,095,000","406,144,000","486,485,000","548,372,000","478,241,000","208,625,000","183,532,000","132,691,000"
			CashAndCashEquivalents,"781,000,000","723,000,000","682,000,000","775,000,000","674,000,000","418,000,000","446,000,000","698,000,000","798,000,000","319,000,000","838,000,000","901,000,000","771,000,000","655,000,000","663,000,000","666,000,000","635,000,000","673,000,000","750,000,000","887,000,000","731,000,000","612,000,000","611,000,000","766,000,000","653,000,000","614,000,000","567,000,000","583,000,000","505,000,000","455,000,000","491,000,000","587,000,000","319,000,000","351,148,000","276,358,000","200,058,000","211,867,000","367,515,000","548,372,000","478,241,000","208,625,000","183,532,000","111,724,000"
				CashFinancial,,,,,,,,,"291,000,000",,"828,000,000","870,000,000","672,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,"507,000,000",,"10,000,000","31,000,000","99,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,"0","95,000,000","65,000,000","40,000,000","15,000,000","0","12,000,000","15,000,000","35,000,000","13,000,000","17,000,000","15,000,000","118,000,000","116,000,000","87,000,000","39,000,000","47,000,000","119,000,000","128,000,000","118,000,000","108,000,000","85,000,000","51,000,000","142,000,000","131,220,000","155,997,000","196,037,000","194,277,000","118,970,000",,,,"0","20,967,000"
		Receivables,"229,000,000","191,000,000","250,000,000","206,000,000","147,000,000","133,000,000","141,000,000","129,000,000","185,000,000","183,000,000","218,000,000","270,000,000","236,000,000","212,000,000","237,000,000","300,000,000","281,000,000","260,000,000","254,000,000","252,000,000","232,000,000","189,000,000","221,000,000","230,000,000","244,000,000","180,000,000","224,000,000","267,000,000","229,000,000","151,000,000","180,000,000","185,000,000","163,000,000","127,153,000","195,613,000","191,292,000","160,467,000","129,673,000","135,629,000","137,031,000","132,042,000","82,017,000","152,306,000"
			AccountsReceivable,"132,000,000","105,000,000","151,000,000","114,000,000","73,000,000","70,000,000","80,000,000","69,000,000","154,000,000","176,000,000","212,000,000","261,000,000","227,000,000","205,000,000","237,000,000","300,000,000","281,000,000","230,000,000","254,000,000","252,000,000","232,000,000","189,000,000","221,000,000","230,000,000","244,000,000","180,000,000","224,000,000","243,000,000","229,000,000","151,000,000","180,000,000","185,000,000","151,000,000","97,034,000","111,138,000","137,981,000","113,319,000","81,459,000","103,080,000","96,873,000","98,584,000","67,936,000","77,274,000"
				GrossAccountsReceivable,"161,000,000","133,000,000","183,000,000",,,"103,000,000",,,"184,000,000","201,000,000","242,000,000",,,"233,000,000","256,000,000","318,000,000","298,000,000","246,000,000","269,000,000","263,000,000","241,000,000","198,000,000","230,000,000","236,000,000","250,000,000","186,000,000","232,000,000","251,000,000","236,000,000","158,000,000","186,000,000","189,000,000","154,000,000","100,334,000","114,469,000","140,899,000","116,149,000","84,277,000","105,562,000","100,171,000","102,351,000","73,306,000","82,458,000"
