name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,06/30/2007,06/30/2006
OperatingCashFlow,"204,431,000","93,071,000","119,842,000","-131,510,000","123,028,000","91,079,000","34,576,000","-114,533,000","77,390,000","24,290,000","65,549,000","-86,814,000","68,310,000","48,411,000","73,977,000","-49,092,000","50,216,000","56,148,000","57,485,000","-60,222,000","51,353,000","27,124,000","70,181,000","-59,930,000","60,656,000","48,173,000","36,890,000","-23,941,000","73,622,000","38,834,000","34,645,000","-27,016,000","41,971,000","60,954,000","24,465,000","-3,913,000","36,077,000","27,164,000","49,266,000","-17,214,000","46,521,000","5,937,000","15,494,000","-34,961,000","40,189,000","19,957,000","11,906,000","-4,839,000","21,465,000","24,238,000","13,235,000","-3,415,000","1,700,000","12,367,000","1,628,000","-22,550,000","9,594,000","6,734,000","-1,761,000","2,488,000"
	CashFlowFromContinuingOperatingActivities,"204,431,000","93,071,000","119,842,000","-131,510,000","123,028,000","91,079,000","34,576,000","-114,533,000","77,390,000","24,290,000","65,549,000","-86,814,000","68,310,000","48,411,000","73,977,000","-49,092,000","50,216,000","56,148,000","57,485,000","-60,222,000","51,353,000","27,124,000","70,181,000","-59,930,000","60,656,000","48,173,000","36,890,000","-23,941,000","73,622,000","38,834,000","34,645,000","-27,016,000","41,971,000","60,954,000","24,465,000","-3,913,000","36,077,000","27,164,000","49,266,000","-17,214,000","46,521,000","5,937,000","15,494,000","-34,961,000","40,189,000","19,957,000","11,906,000","-4,839,000","21,465,000","24,238,000","13,235,000","-3,415,000","1,700,000","12,367,000","1,628,000","-22,550,000","9,594,000","6,734,000","-1,761,000","2,488,000"
		NetIncomeFromContinuingOperations,"89,535,000","42,919,000","42,004,000","-5,883,000","10,495,000","23,789,000","24,501,000","12,666,000","4,888,000","8,754,000","20,594,000","-9,730,000","3,317,000","18,462,000","23,712,000","-8,282,000","9,347,000","13,043,000","13,189,000","-8,159,000","-6,603,000","8,882,000","10,899,000","-13,637,000","-334,000","13,665,000","7,884,000","-12,664,000","-12,575,000","16,527,000","11,963,000","-6,589,000","11,952,000","15,512,000","-4,250,000","-5,098,000","1,251,000","11,419,000","9,320,000","4,544,000","1,193,000","6,686,000","3,881,000","4,349,000","-3,462,000","5,265,000","7,710,000","2,152,000","-1,737,000","6,093,000","9,589,000","6,942,000","-666,000","3,547,000","3,520,000","5,914,000","17,103,000","2,460,000","-4,347,000","-5,873,000"
		DepreciationAmortizationDepletion,"98,503,000","24,137,000","25,180,000","24,147,000","25,039,000","23,600,000","23,161,000","18,277,000","19,301,000","18,414,000","17,230,000","17,146,000","18,141,000","17,038,000","17,710,000","18,511,000","17,648,000","18,426,000","18,550,000","20,636,000","17,955,000","19,950,000","18,695,000","17,680,000","17,603,000","17,587,000","16,470,000","16,565,000","31,528,000","17,764,000","17,629,000","16,880,000","16,776,000","18,017,000","34,524,000","16,950,000","17,561,000","16,282,000","16,233,000","15,661,000","15,721,000","14,644,000","14,676,000","12,992,000","12,471,000","10,951,000","10,120,000","9,392,000","7,396,000","6,052,000","6,080,000","6,233,000","5,921,000","5,941,000","4,527,000","4,446,000","3,709,000","3,679,000","2,786,000","1,412,000"
			DepreciationAndAmortization,"98,503,000","24,137,000","25,180,000","24,147,000","25,039,000","23,600,000","23,161,000","18,277,000","19,301,000","18,414,000","17,230,000","17,146,000","18,141,000","17,038,000","17,710,000","18,511,000","17,648,000","18,426,000","18,550,000","20,636,000","17,955,000","19,950,000","18,695,000","17,680,000","17,603,000","17,587,000","16,470,000","16,565,000","31,528,000","17,764,000","17,629,000","16,880,000","16,776,000","18,017,000","34,524,000","16,950,000","17,561,000","16,282,000","16,233,000","15,661,000","15,721,000","14,644,000","14,676,000","12,992,000","12,471,000","10,951,000","10,120,000","9,392,000","7,396,000","6,052,000","6,080,000","6,233,000","5,921,000","5,941,000","4,527,000","4,446,000","3,709,000","3,679,000","2,786,000","1,412,000"
		DeferredTax,"6,865,000","564,000","524,000","5,484,000","293,000","-3,119,000","-2,690,000","8,065,000","-2,456,000","805,000","-3,430,000","3,776,000","-1,634,000","-1,007,000","469,000","5,865,000","963,000","-4,927,000","-7,816,000","7,765,000","-6,806,000","-4,382,000","-4,168,000","8,291,000","-3,266,000","-6,297,000","-1,444,000","7,189,000","-7,243,000","-1,355,000","-2,008,000","7,512,000","-7,308,000","8,256,000","-4,684,000","-3,450,000","-578,000","6,866,000","5,994,000","3,488,000","726,000","3,138,000","4,132,000","2,301,000","-2,351,000","5,302,000","5,669,000","2,358,000","-1,883,000","4,498,000","4,294,000","4,949,000","58,000","3,440,000","2,412,000","3,674,000","-17,646,000","2,168,000",,
			DeferredIncomeTax,"6,865,000","564,000","524,000","5,484,000","293,000","-3,119,000","-2,690,000","8,065,000","-2,456,000","805,000","-3,430,000","3,776,000","-1,634,000","-1,007,000","469,000","5,865,000","963,000","-4,927,000","-7,816,000","7,765,000","-6,806,000","-4,382,000","-4,168,000","8,291,000","-3,266,000","-6,297,000","-1,444,000","7,189,000","-7,243,000","-1,355,000","-2,008,000","7,512,000","-7,308,000","8,256,000","-4,684,000","-3,450,000","-578,000","6,866,000","5,994,000","3,488,000","726,000","3,138,000","4,132,000","2,301,000","-2,351,000","5,302,000","5,669,000","2,358,000","-1,883,000","4,498,000","4,294,000","4,949,000","58,000","3,440,000","2,412,000","3,674,000","-17,646,000","2,168,000",,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,"-3,335,000","804,000","439,000","2,092,000","10,113,000","1,269,000","804,000","1,925,000","293,000","537,000","643,000","1,352,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"5,973,000","2,317,000","4,578,000","152,000","-1,074,000","1,253,000","1,507,000","4,875,000","2,970,000","256,000","-64,000","-280,000","3,471,000","2,114,000","294,000","446,000","2,062,000","605,000","971,000","451,000","386,000","3,812,000","337,000","698,000","1,826,000","183,000","569,000","2,264,000","8,555,000","652,000","598,000","471,000","394,000","421,000","4,341,000","50,000","414,000","1,039,000","1,089,000","397,000","2,380,000","-251,000","530,000","201,000","2,182,000",,,,,,,,,,,,,,,"-239,000"
		StockBasedCompensation,"22,976,000","5,576,000","602,000","8,286,000","8,512,000","12,854,000","9,074,000","8,893,000","5,824,000","6,086,000","6,177,000","5,522,000","4,562,000","3,950,000","4,140,000","4,024,000","5,964,000","4,557,000","7,217,000","3,079,000","8,041,000","5,265,000","4,598,000","4,694,000","4,857,000","4,218,000","4,954,000","4,587,000","7,828,000","4,502,000","4,796,000","4,173,000","6,629,000","3,989,000","8,530,000","3,680,000","4,541,000","4,053,000","2,908,000","2,872,000","2,728,000","2,615,000","2,530,000","2,194,000","2,013,000","2,054,000","1,986,000","3,413,000","1,387,000","1,069,000","1,596,000","1,882,000","790,000",,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,"0",,,"-41,000","0","-147,000","-103,000","0","0","0","-6,000","-834,000","103,000","226,000","387,000","-1,547,000","-744,000","1,601,000","-385,000","-4,476,000","-1,881,000","-1,446,000","-1,086,000","4,411,000","-57,000","-521,000","-711,000","489,000","-4,135,000","-1,186,000","-122,000","269,000","-2,010,000","-1,862,000","-332,000","92,000",,,,,,,
		OtherNonCashItems,"31,701,000","4,508,000","6,699,000","9,734,000","10,760,000","9,349,000","9,833,000","12,011,000","7,973,000","4,489,000","2,975,000","4,141,000","-1,306,000","1,320,000","1,039,000","2,932,000",,,,,,,,,,,,,,,,,,,,,,,,"415,000",,,,"416,000",,"-127,000","385,000","653,000","455,000","394,000","242,000","58,000","614,000","2,315,000","-1,465,000","-1,561,000","1,520,000","402,000",,
		ChangeInWorkingCapital,"-51,122,000","13,050,000","40,255,000","-173,430,000","69,003,000","23,353,000","-30,810,000","-179,320,000","38,890,000","-14,514,000","22,067,000","-107,389,000","41,759,000","6,534,000","26,613,000","-72,588,000","12,745,000","23,640,000","24,935,000","-86,086,000","28,563,000","-7,672,000","39,163,000","-79,478,000","39,677,000","18,280,000","7,814,000","-43,228,000","43,163,000","641,000","1,441,000","-49,850,000","21,479,000","15,503,000","-15,597,000","-15,660,000","17,364,000","-10,614,000","15,583,000","-43,505,000","20,253,000","-21,729,000","-9,318,000","-56,703,000","29,758,000","78,000","-12,778,000","-22,685,000","15,578,000","8,142,000","-6,704,000","-23,147,000","-5,370,000","1,660,000","-6,812,000","-35,023,000","4,908,000","-1,975,000","-286,000","6,826,000"
			ChangeInReceivables,"-1,486,000","9,534,000","84,657,000","-150,263,000","54,586,000","11,211,000","-11,917,000","-196,953,000","38,415,000","-16,537,000","16,115,000","-75,765,000","43,510,000","-1,031,000","43,814,000","-107,930,000","28,207,000","35,982,000","38,502,000","-90,704,000","33,255,000","-11,551,000","45,422,000","-94,871,000","51,984,000","6,583,000","30,737,000","-74,841,000","79,529,000","-9,006,000","18,137,000","-90,552,000","39,290,000","17,238,000","16,874,000","-85,659,000","47,841,000","-12,211,000","34,959,000","-98,297,000","44,858,000","-8,363,000","17,589,000","-118,354,000","36,918,000","8,901,000","8,112,000","-69,741,000","22,774,000","6,507,000","6,556,000","-54,297,000","22,761,000","7,326,000","6,323,000","-58,409,000","14,186,000","440,000","9,244,000","10,546,000"
				ChangesInAccountReceivables,"-1,486,000","9,534,000","84,657,000","-150,263,000","54,586,000","11,211,000","-11,917,000","-196,953,000","38,415,000","-16,537,000","16,115,000","-75,765,000","43,510,000","-1,031,000","43,814,000","-107,930,000","28,207,000","35,982,000","38,502,000","-90,704,000","33,255,000","-11,551,000","45,422,000","-94,871,000","51,984,000","6,583,000","30,737,000","-74,841,000","79,529,000","-9,006,000","18,137,000","-90,552,000","39,290,000","17,238,000","16,874,000","-85,659,000","47,841,000","-12,211,000","34,959,000","-98,297,000","44,858,000","-8,363,000","17,589,000","-118,354,000","36,918,000","8,901,000","8,112,000","-69,741,000","22,774,000","6,507,000","6,556,000","-54,297,000","22,761,000",,,,,,,"10,546,000"
			ChangeInInventory,"-3,399,000","-3,977,000","10,684,000","1,260,000","-11,366,000","-4,567,000","744,000","-23,975,000","-16,421,000","-2,316,000","11,498,000","-8,942,000","-7,941,000","685,000","10,373,000","-6,438,000","-14,935,000","-22,000","-451,000","11,607,000","-11,795,000","-1,277,000","-1,343,000","14,067,000","-14,633,000","1,625,000","-1,387,000","12,644,000","-12,679,000","1,676,000","-1,830,000","15,686,000","-12,669,000","2,033,000","534,000","16,374,000","-15,166,000","54,000","-1,516,000","9,699,000","-11,483,000","-7,776,000","-1,747,000","12,088,000","-11,856,000","-2,114,000","-411,000","9,760,000","-3,833,000","-1,023,000","-2,049,000","11,745,000","-8,870,000","-10,910,000","1,619,000","6,632,000","-12,230,000","-176,000","-7,171,000","-4,515,000"
			ChangeInPrepaidAssets,,,,,,,,,,,,,,,,"664,000","7,619,000","-16,142,000","10,873,000","-27,040,000","7,651,000","6,820,000","16,631,000","-19,454,000","-1,482,000","4,286,000","8,318,000","-18,172,000","-862,000","70,000","11,060,000","-15,781,000","2,913,000","-1,420,000","2,111,000","-1,081,000","10,438,000","-1,214,000","-5,416,000","-3,431,000","3,220,000","-604,000","-592,000","-2,808,000","-182,000","-2,426,000","207,000","2,764,000","1,153,000","-2,156,000","-2,111,000","3,441,000","-3,261,000","-611,000","-1,118,000","828,000","-2,364,000","372,000","-363,000","334,000"
			ChangeInPayablesAndAccruedExpense,"-14,499,000","-6,011,000","-31,660,000","-3,720,000","26,892,000","10,793,000","-31,866,000","29,010,000","15,017,000","-355,000","-10,789,000","-2,662,000","26,392,000","4,736,000","-18,259,000","15,600,000","7,970,000","1,786,000","-17,557,000","-2,627,000","17,775,000","3,310,000","-13,148,000","-7,583,000","22,188,000","4,531,000","-25,869,000","10,747,000","3,928,000","12,387,000","-25,710,000","349,000","13,977,000","8,388,000","-35,214,000","27,420,000","-7,142,000","3,688,000","-7,222,000","11,787,000","8,554,000","-4,309,000","-16,428,000","18,960,000","12,328,000","-882,000","-14,760,000","8,631,000","3,636,000","8,839,000","-6,235,000","-631,000","-3,476,000","6,560,000","-5,852,000","-367,000","7,944,000","-1,129,000","2,893,000","2,053,000"
				ChangeInPayable,"-6,918,000","49,000","-25,554,000","-1,256,000","19,843,000","6,289,000","-38,095,000","30,893,000","13,853,000","-5,925,000","-11,745,000","-2,396,000","23,308,000","294,000","-19,426,000","15,998,000","6,879,000","-109,000","-17,274,000","8,168,000","15,130,000","-2,273,000","-12,817,000","5,277,000","10,174,000","-1,015,000","-25,547,000","12,488,000","9,787,000","3,398,000","-25,007,000","10,630,000","7,019,000","8,069,000","-34,083,000","28,773,000","1,861,000","-138,000","-13,257,000","9,419,000","6,695,000","-2,973,000","-11,601,000","10,673,000","6,876,000","-1,023,000","-15,993,000","12,866,000","585,000","4,372,000","-2,727,000","96,000","-4,076,000",,,,,,,"972,000"
					ChangeInAccountPayable,"-6,918,000","49,000","-25,554,000","-1,256,000","19,843,000","6,289,000","-38,095,000","30,893,000","13,853,000","-5,925,000","-11,745,000","-2,396,000","23,308,000","294,000","-19,426,000","15,998,000","6,879,000","-109,000","-17,274,000","8,168,000","15,130,000","-2,273,000","-12,817,000","5,277,000","10,174,000","-1,015,000","-25,547,000","12,488,000","9,787,000","3,398,000","-25,007,000","10,630,000","7,019,000","8,069,000","-34,083,000","28,773,000","1,861,000","-138,000","-13,257,000","9,419,000","6,695,000","-2,973,000","-11,601,000","10,673,000","6,876,000","-1,023,000","-15,993,000","12,866,000","585,000","4,372,000","-2,727,000","96,000","-4,076,000",,,,,,,"972,000"
				ChangeInAccruedExpense,"-7,581,000","-6,060,000","-6,106,000","-2,464,000","7,049,000","4,504,000","6,229,000","-1,883,000","1,164,000","5,570,000","956,000","-266,000","3,084,000","4,442,000","1,167,000","-398,000","1,091,000","1,895,000","-283,000","-10,795,000","2,645,000","5,583,000","-331,000","-12,860,000","12,014,000","5,546,000","-322,000","-1,741,000","-5,859,000","8,989,000","-703,000","-10,281,000","6,958,000","319,000","-1,131,000","-1,353,000","-9,003,000","3,826,000","6,035,000","2,368,000","1,859,000","-1,336,000","-4,827,000","8,287,000","5,452,000","141,000","1,233,000","-4,235,000","3,051,000","4,467,000","-3,508,000","-727,000","600,000",,,,,,,"1,081,000"
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,"-215,000","926,000","-3,674,000","2,824,000","-1,451,000","1,747,000","-3,077,000","2,751,000","307,000","2,433,000","-2,661,000","1,140,000","-161,000","2,547,000","-6,105,000","2,261,000","-398,000","5,016,000","-8,524,000","-310,000","2,394,000","4,440,000","-5,842,000","-1,625,000","1,564,000","3,589,000","-8,788,000","169,000","-836,000","1,266,000","-2,424,000","-2,547,000","294,000","1,093,000","-4,039,000","-2,463,000",,,,,,,
			ChangeInOtherCurrentLiabilities,"-21,274,000","-5,237,000","-5,341,000","-5,321,000","-5,375,000","-5,286,000","-5,199,000","-5,165,000","-4,973,000","-4,062,000","-2,016,000","-2,073,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4,367,000","-7,142,000","25,987,000","-6,154,000","-4,319,000","-3,958,000","20,634,000","-10,061,000","-2,129,000","-8,181,000","20,705,000","-2,554,000","-1,712,000",,
