name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
OperatingCashFlow,"59,526,000","17,866,000","29,940,000","26,745,000","-15,025,000","23,826,000","-96,993,000","-27,138,000","-46,583,000","38,027,000","-11,278,000","69,804,000","11,691,000","-6,156,000","9,585,000","-62,867,000","17,176,000","-46,205,000","64,465,000","-6,597,000","16,435,000","-14,047,000","19,840,000","20,787,000","26,769,000","-2,408,000","17,519,000","21,387,000","32,344,000","33,606,000","10,112,000","15,622,000","10,047,000","-6,809,000","15,218,000","5,251,000","-2,395,000","-284,000","6,407,000","3,692,000","8,060,000","11,893,000","5,121,000","2,180,000","1,299,000","1,331,000","590,000"
	CashFlowFromContinuingOperatingActivities,"59,989,000","17,866,000","30,342,000","26,754,000","-14,973,000","24,574,000","40,207,000","-27,138,000","-46,583,000","38,027,000","-11,278,000","69,804,000","11,691,000","-6,156,000","9,585,000","-62,867,000","17,176,000","-46,205,000","64,465,000","-6,597,000","16,435,000","-14,047,000","19,840,000","20,787,000","26,769,000","-2,408,000","17,519,000","21,387,000","32,344,000","33,606,000","10,112,000","15,622,000","10,047,000","-6,809,000","15,218,000","5,251,000","-2,395,000","-284,000","6,407,000","3,692,000","8,060,000","11,893,000","5,121,000","2,180,000","1,299,000","1,331,000","590,000"
		NetIncomeFromContinuingOperations,"184,669,000","22,196,000","209,137,000","19,730,000","-66,394,000","-5,884,000","-16,080,000","138,278,000","-85,979,000","-84,778,000","-22,351,000","-22,891,000","-83,963,000","-16,799,000","-59,688,000","-37,717,000","-37,207,000","-27,419,000","-41,138,000","-45,281,000","-44,209,000","-41,367,000","-26,932,000","-33,273,000","-40,194,000","-24,106,000","-33,879,000","-28,870,000","-24,772,000","-20,092,000","-24,111,000","-24,899,000","-18,662,000","-16,866,000","-22,105,000","-18,718,000","-55,989,000","-14,477,000","-19,104,000",,,,,,,,
		OperatingGainsLosses,"79,819,000","14,000","20,000","123,000","79,662,000","4,297,000","0","-1,339,000","305,000","1,098,000","5,605,000","3,821,000","61,146,000","1,241,000","24,902,000","1,574,000","4,842,000","1,687,000","1,420,000","4,063,000","1,312,000","2,165,000","2,964,000","695,000","16,053,000","277,000","969,000","927,000","388,000","760,000","1,900,000","1,003,000","300,000","186,000","979,000","30,000","36,304,000","50,000","471,000","-9,024,000","192,000","313,000","508,000","323,000","113,000","211,000","610,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0",,,,,,,,
		DepreciationAmortizationDepletion,"15,156,000","3,791,000","3,658,000","4,160,000","3,547,000","4,117,000","4,049,000","-71,243,000","48,690,000","32,670,000","28,809,000","29,292,000","29,967,000","30,749,000","33,170,000","32,590,000","31,938,000","35,919,000","48,669,000","35,824,000","30,562,000","30,435,000","29,600,000","26,779,000","24,906,000","24,357,000","25,222,000","22,224,000","20,813,000","18,777,000","16,866,000","17,016,000","14,882,000","15,687,000","14,291,000","13,664,000","13,709,000","13,845,000","10,214,000","9,266,000","9,162,000","8,265,000","8,243,000","8,051,000","8,263,000","8,116,000","8,317,000"
			DepreciationAndAmortization,"15,156,000","3,791,000","3,658,000","4,160,000","3,547,000","4,117,000","4,049,000","-71,243,000","48,690,000","32,670,000","28,809,000","29,292,000","29,967,000","30,749,000","33,170,000","32,590,000","31,938,000","35,919,000","48,669,000","35,824,000","30,562,000","30,435,000","29,600,000","26,779,000","24,906,000","24,357,000","25,222,000","22,224,000","20,813,000","18,777,000","16,866,000","17,016,000","14,882,000","15,687,000","14,291,000","13,664,000","13,709,000","13,845,000","10,214,000","9,266,000","9,162,000","8,265,000","8,243,000","8,051,000","8,263,000","8,116,000","8,317,000"
		DeferredTax,"-185,528,000","1,887,000","-187,467,000","57,000","-5,000","95,000","-366,000","45,000","44,000","45,000","45,000","44,000","45,000","44,000","45,000","45,000","-48,000","-3,863,000","-3,018,000","210,000","210,000","317,000","209,000","210,000","210,000","210,000","207,000","207,000","206,000","207,000","207,000","207,000","207,000","207,000","168,000","251,000","201,000","201,000","201,000","200,000","201,000","201,000","359,000","192,000","193,000","192,000","175,000"
			DeferredIncomeTax,"-185,528,000","1,887,000","-187,467,000","57,000","-5,000","95,000","-366,000","45,000","44,000","45,000","45,000","44,000","45,000","44,000","45,000","45,000","-48,000","-3,863,000","-3,018,000","210,000","210,000","317,000","209,000","210,000","210,000","210,000","207,000","207,000","206,000","207,000","207,000","207,000","207,000","207,000","168,000","251,000","201,000","201,000","201,000","200,000","201,000","201,000","359,000","192,000","193,000","192,000","175,000"
		AssetImpairmentCharge,,,,,,,,,"987,000","49,389,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"528,000","259,000","229,000","70,000","-30,000","15,000","23,000","-10,827,000","5,111,000","6,764,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"15,503,000","4,007,000","3,201,000","5,403,000","2,892,000","1,849,000","-475,000","1,124,000","3,164,000","3,995,000","3,800,000","4,066,000","4,318,000","4,327,000","4,381,000","3,932,000","4,213,000","4,386,000","4,814,000","5,283,000","5,394,000","4,330,000","4,635,000","5,000,000","3,788,000","4,198,000","4,456,000","4,544,000","3,214,000","3,085,000","3,084,000","2,914,000","2,214,000","1,604,000","2,453,000","1,385,000","905,000","878,000","959,000","891,000","846,000","849,000","542,000","451,000","399,000","403,000","314,000"
		OtherNonCashItems,"4,355,000","1,062,000","1,059,000","1,052,000","1,182,000","1,787,000","5,134,000","5,032,000","4,889,000","4,745,000","4,580,000","4,444,000","4,924,000","6,023,000","5,392,000","5,856,000","3,464,000","-13,728,000","5,439,000","5,649,000","5,537,000","5,404,000","5,378,000","5,250,000","4,515,000","5,364,000","5,236,000","5,099,000","4,633,000","1,756,000","721,000","755,000","861,000","836,000","839,000","822,000","785,000","386,000","393,000","10,617,000","-5,613,000","-4,593,000","-7,815,000","-8,920,000","-7,362,000","-11,028,000","-10,776,000"
		ChangeInWorkingCapital,"-54,513,000","-15,350,000","505,000","-3,841,000","-35,827,000","18,298,000","47,922,000","-37,832,000","-23,794,000","24,099,000","-31,766,000","51,028,000","-4,746,000","-31,741,000","1,383,000","-69,147,000","9,974,000","-43,187,000","48,279,000","-12,345,000","17,629,000","-15,331,000","3,986,000","16,126,000","17,491,000","-12,708,000","13,057,000","17,256,000","27,862,000","29,113,000","11,445,000","18,626,000","10,245,000","-8,463,000","18,593,000","7,817,000","1,690,000","-1,167,000","8,250,000","5,392,000","3,232,000","6,858,000","3,284,000","2,083,000","-307,000","3,437,000","1,950,000"
