name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,05/31/2015,03/31/2015,02/28/2015
TotalAssets,"387,796,000","391,262,000","256,729,000","272,124,000","311,568,000","279,935,000","220,312,000","201,841,000","201,337,000","201,220,000","121,332,000","139,725,000","124,183,000","118,885,000","81,483,000","119,500,000","145,161,000","122,171,000","158,223,896","158,140,540","173,485,073","173,271,209","173,208,869","173,312,832","173,798,263","173,553,652","173,625,541","173,667,039","173,655,065","371,970","372,000"
	CurrentAssets,"282,554,000","286,762,000","211,747,000","226,701,000","267,160,000","233,220,000","175,722,000","161,058,000","160,082,000","176,921,000","115,188,000","133,176,000","118,170,000","112,904,000","75,592,000","107,609,000","133,778,000","112,112,000","15,301","242,551","257,968","219,219","236,387","396,241","955,493","975,400","1,060,975","1,131,808","1,155,065","98,595","125,000"
		CashCashEquivalentsAndShortTermInvestments,"158,046,000","119,571,000","103,015,000","110,387,000","153,163,000","87,575,000","83,410,000","72,672,000","57,632,000","37,952,000","41,725,000","49,847,000","32,264,000","24,771,000","23,488,000","24,853,000","22,116,000","21,950,000","1,551","1,551","1,551","1,551","2,470","132,324","871,920","967,449","1,045,663","1,110,063","1,130,665","98,595","125,000"
			CashAndCashEquivalents,"158,046,000","119,571,000","103,015,000","110,387,000","153,163,000","87,575,000","83,410,000","72,672,000","57,632,000","37,952,000","41,725,000","49,847,000","32,264,000","24,771,000","23,488,000","24,853,000","22,116,000","21,950,000","1,551","1,551","1,551","1,551","2,470","132,324","871,920","967,449","1,045,663","1,110,063","1,130,665","98,595","125,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,595",
		Receivables,"91,288,000","138,515,000","76,258,000","85,665,000","83,928,000","119,651,000","67,335,000","63,475,000","75,242,000","113,393,000","61,829,000","71,423,000","76,629,000","80,599,000","42,546,000","63,416,000","71,024,000","63,525,000","33,711,000",,,,,,,,,,,,
			AccountsReceivable,"91,288,000","135,447,000","76,258,000","85,665,000","83,928,000","117,937,000","67,335,000","63,475,000","75,242,000","111,574,000","61,829,000","71,423,000","63,642,000","80,599,000","42,546,000","63,416,000","71,024,000","63,525,000",,,,,,,,,,,,,
				GrossAccountsReceivable,"92,080,000","136,023,000","76,824,000","86,625,000","85,016,000","118,660,000","68,224,000","64,666,000","76,522,000","113,182,000","62,306,000","71,926,000","63,938,000","81,088,000","42,806,000","63,709,000","71,105,000","63,576,000","33,766,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-792,000","-576,000","-566,000","-960,000","-1,088,000","-723,000","-889,000","-1,191,000","-1,280,000","-1,608,000","-477,000","-503,000","-296,000","-489,000","-260,000","-293,000","-81,000","-51,000","-55,000",,,,,,,,,,,,
			TaxesReceivable,,"3,068,000",,,,"1,714,000",,,,"1,819,000",,,,,,,,"1,292,000",,,,,,,,,,,,,
