name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017
TotalRevenue,"1,624,000,000","351,000,000","340,000,000","471,000,000","463,000,000","330,000,000","324,000,000","439,000,000","417,000,000","294,000,000","300,000,000","407,000,000","388,000,000","270,000,000","280,000,000","377,000,000","354,000,000","247,000,000","258,000,000","346,000,000"
	OperatingRevenue,"1,624,000,000","351,000,000","340,000,000","471,000,000","463,000,000","330,000,000","324,000,000","439,000,000","417,000,000","294,000,000","300,000,000","407,000,000","388,000,000","270,000,000","280,000,000","377,000,000","354,000,000","247,000,000","258,000,000","346,000,000"
CostOfRevenue,"844,000,000","207,000,000","199,000,000","217,000,000","221,000,000","181,000,000","186,000,000","225,000,000","200,000,000","147,000,000","161,000,000","201,000,000","183,000,000","143,000,000","154,000,000","202,000,000","195,000,000","134,000,000","136,000,000","168,000,000"
GrossProfit,"780,000,000","144,000,000","140,000,000","254,000,000","242,000,000","148,000,000","137,000,000","215,000,000","218,000,000","147,000,000","139,000,000","206,000,000","205,000,000","128,000,000","124,000,000","176,000,000","160,000,000","113,000,000","121,000,000","179,000,000"
OperatingExpense,"552,000,000","133,000,000","127,000,000","146,000,000","145,000,000","127,000,000","118,000,000","136,000,000","135,000,000","113,000,000","101,000,000","110,000,000","110,000,000","95,000,000","85,000,000","95,000,000","92,000,000","85,000,000","75,000,000","86,000,000"
	SellingGeneralAndAdministration,"518,000,000","125,000,000","119,000,000","138,000,000","136,000,000","118,000,000","109,000,000","129,000,000","125,000,000","105,000,000","95,000,000","104,000,000","104,000,000","89,000,000","79,000,000","90,000,000","87,000,000","81,000,000","71,000,000","82,000,000"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,"80,000,000","90,000,000",,,"71,000,000","82,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"34,000,000","8,000,000","8,000,000","8,000,000","9,000,000","9,000,000","9,000,000","7,000,000","10,000,000","8,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","5,000,000","4,000,000","4,000,000","4,000,000"
		DepreciationAndAmortizationInIncomeStatement,"34,000,000","8,000,000","8,000,000","8,000,000","9,000,000","9,000,000","9,000,000","7,000,000","10,000,000","8,000,000","6,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","5,000,000","4,000,000","4,000,000","4,000,000"
			DepreciationIncomeStatement,,,,,,,,,,,,,,,"4,000,000","3,000,000",,,"2,000,000","2,000,000"
			Amortization,,,,,,,,,,,,,,,"2,000,000","2,000,000",,,"2,000,000","2,000,000"
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,"2,000,000","2,000,000",,,"2,000,000","2,000,000"
OperatingIncome,"228,000,000","11,000,000","13,000,000","108,000,000","97,000,000","21,000,000","19,000,000","79,000,000","83,000,000","34,000,000","38,000,000","96,000,000","95,000,000","33,000,000","39,000,000","81,000,000","68,000,000","28,000,000","46,000,000","93,000,000"
NetNonOperatingInterestIncomeExpense,"-32,000,000","-7,000,000","-7,000,000","-7,000,000","-12,000,000","-13,000,000","-14,000,000","-14,000,000","-17,000,000","-13,000,000","-9,000,000","-16,000,000","-16,000,000","-16,000,000","-16,000,000","-7,000,000","1,000,000","1,000,000","1,000,000","1,000,000"
	InterestIncomeNonOperating,,,"0","0","0","0","0","0","-3,000,000","2,000,000","6,000,000","0","0","0","0","0","1,000,000","1,000,000","1,000,000","1,000,000"
