name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999
EndCashPosition,"93,025,000","93,025,000","271,068,000","3,785,000","173,573,000","256,783,000","370,586,000","11,012,000","240,506,000","232,115,000","295,561,000","34,174,000","172,923,000","206,377,000","257,685,000","27,016,000","147,240,000","173,069,000","232,589,000","9,139,000","149,732,000","56,765,000","113,992,000","6,755,000","27,826,000","61,696,000","108,444,000","1,987,000","27,940,000","52,721,000","101,220,000","2,158,000","5,203,000","1,314,000","3,260,000","3,642,000","154,000","17,004,000","26,964,000","5,829,000","28,854,000","24,876,000","30,078,000","5,707,000","21,442,000","16,824,000","17,708,000","9,056,000","27,843,000","38,023,000","46,389,000","2,977,000","29,562,000","31,734,000","51,104,000","3,490,000","12,124,000","38,329,000","65,412,000","3,821,000","16,087,000","10,158,000","25,998,000","9,698,000","24,599,000","18,583,000","60,872,000","10,557,000","39,961,000","71,601,000","86,794,000","50,790,000","80,824,000","70,447,000","84,696,000","28,854,000","49,079,000","48,562,000","71,149,000","25,143,000","40,601,000","60,804,000","65,803,000","45,825,000","63,896,000","82,660,000","97,080,000","97,482,000","111,624,000","128,589,000","153,700,000","174,200,000"
	ChangesInCash,"-163,758,000","-178,043,000","267,283,000","-169,788,000","-83,210,000","-113,803,000","359,574,000","-229,494,000","8,391,000","-63,446,000","261,387,000","-138,749,000","-33,454,000","-51,308,000","230,669,000","-120,224,000","-25,829,000","-59,520,000","223,450,000","-140,593,000","92,967,000","-57,227,000","107,237,000","-21,071,000","-33,870,000","-46,748,000","106,457,000","-25,953,000","-24,781,000","-48,499,000","99,062,000","-3,045,000","3,889,000","-1,946,000","-382,000","3,488,000","-16,850,000","-9,960,000","21,135,000","-23,025,000","3,978,000","-5,202,000","24,371,000","-15,735,000","4,618,000","-884,000","8,652,000","-18,787,000","-10,180,000","-8,366,000","43,412,000","-26,585,000","-2,172,000","-19,370,000","47,614,000","-8,634,000","-26,205,000","-27,083,000","61,591,000","-12,266,000","5,929,000","-15,840,000","16,300,000","-14,901,000","6,016,000","-42,289,000","50,315,000","-29,404,000","-31,640,000","-15,193,000","36,004,000","-30,034,000","10,377,000","-14,249,000","55,842,000","-20,225,000","517,000","-22,587,000","46,006,000","-15,458,000","-20,203,000","-4,999,000","19,978,000","-18,071,000","-18,764,000","-14,420,000","-402,000","-14,142,000","-16,965,000","-25,194,000","-20,500,000","75,100,000"
	BeginningCashPosition,"256,783,000","271,068,000","3,785,000","173,573,000","256,783,000","370,586,000","11,012,000","240,506,000","232,115,000","295,561,000","34,174,000","172,923,000","206,377,000","257,685,000","27,016,000","147,240,000","173,069,000","232,589,000","9,139,000","149,732,000","56,765,000","113,992,000","6,755,000","27,826,000","61,696,000","108,444,000","1,987,000","27,940,000","52,721,000","101,220,000","2,158,000","5,203,000","1,314,000","3,260,000","3,642,000","154,000","17,004,000","26,964,000","5,829,000","28,854,000","24,876,000","30,078,000","5,707,000","21,442,000","16,824,000","17,708,000","9,056,000","27,843,000","38,023,000","46,389,000","2,977,000","29,562,000","31,734,000","51,104,000","3,490,000","12,124,000","38,329,000","65,412,000","3,821,000","16,087,000","10,158,000","25,998,000","9,698,000","24,599,000","18,583,000","60,872,000","10,557,000","39,961,000","71,601,000","86,794,000","50,790,000","80,824,000","70,447,000","84,696,000","28,854,000","49,079,000","48,562,000","71,149,000","25,143,000","40,601,000","60,804,000","65,803,000","45,825,000","63,896,000","82,660,000","97,080,000","97,482,000","111,624,000","128,589,000","153,700,000","174,200,000","99,200,000"
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-100,000"
CapitalExpenditure,"-76,343,000","-15,337,000","-21,486,000","-11,122,000","-28,398,000","-11,113,000","-8,750,000","-6,958,000","-12,421,000","-11,570,000","-6,353,000","-4,359,000","-15,715,000","-5,059,000","-6,879,000","-4,907,000","-17,497,000","-6,945,000","-4,830,000","-4,034,000","-14,900,000","-5,500,000","-8,550,000","-4,703,000","-13,916,000","-6,970,000","-6,828,000","-6,224,000","-11,626,000","-6,019,000","-10,454,000","-4,473,000","-8,527,000","-4,626,000","-5,701,000","-4,131,000","-4,926,000","-5,990,000","-4,675,000","-4,453,000","-5,318,000","-3,297,000","-4,897,000","-3,792,000","-5,979,000","-3,358,000","-5,230,000","-2,450,000","-4,941,000","-4,030,000","-3,787,000","-2,283,000","-534,000",,"-6,503,000","-7,113,000","-8,327,000","-3,336,000","-3,947,000","-4,332,000","-4,478,000","-3,088,000","-4,331,000","-6,146,000","-3,446,000","-3,962,000","-5,887,000","-7,196,000","-5,228,000","-2,453,000","-2,708,000","-2,945,000","-4,710,000","-1,570,000","-2,063,000","-2,233,000","-5,589,000","-1,158,000","-1,560,000","-1,962,000","-5,524,000",,"-5,218,000","-1,486,000","-5,147,000","-1,685,000","-5,868,000","-3,091,000","-5,141,000","-4,860,000","-6,100,000","-5,800,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","114,000",,"628,000","2,363,000","846,000","734,000","999,000","132,000","138,000","237,000","142,000","57,000","122,000","779,000","109,000","499,000","146,000","737,000","384,000","776,000","229,000","571,000","238,000","225,000","108,000","848,000","1,018,000","334,000","418,000","350,000","0","0","25,000","59,000","140,000","-100,000","115,800,000"
IssuanceOfDebt,"125,000,000","0","125,000,000","0","0","0","45,000,000","220,000,000","0","0",,,"2,250,000","0",,,"0","0","30,000,000","0","0","0","56,000,000","125,000,000","0","0","36,097,000","141,903,000","0","-286,000","177,786,000","62,000,000","7,000,000","32,000,000","14,000,000","74,000,000","15,000,000","0","10,000,000","37,000,000","0","0","16,000,000","40,000,000","0","0","10,000,000","30,000,000","0","0","20,000,000","29,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RepaymentOfDebt,"-142,500,000","-5,000,000","-135,000,000","0","-2,500,000","-2,497,000","-72,500,000","-97,500,000","-1,250,000","-1,250,000","-21,250,000","-1,250,000","0","-2,875,000","-32,156,000","-2,156,000","-2,157,000","-2,156,000","-31,438,000","-1,437,000","-1,451,000","-1,437,000","-180,000,000","-3,563,000","-3,563,000","-3,561,000","-168,734,000","-16,685,000","-3,416,000","-3,672,000","-165,842,000","-53,000","-7,050,000","-34,995,000","-82,007,000","-3,000,000","-32,958,000","-3,750,000","-50,795,000","-3,753,000","-3,832,000","-4,166,000","-58,236,000","-6,248,000","-4,341,000","-3,470,000","-43,499,000","-3,480,000","-15,477,000","-5,818,000","-54,480,000","-5,572,000","-29,096,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,"-42,332,000","-9,267,000","-16,456,000","-9,065,000","-7,544,000","-2,355,000","-11,382,000","-1,088,000","-13,000","-5,637,000","-4,999,000","-31,000","-1,000","-1,360,000","-9,365,000","-4,040,000","-101,000","-990,000","-6,765,000","-4,320,000","-2,458,000","-1,455,000","-3,858,000","-2,964,000","-2,265,000","-1,726,000","-6,515,000","-4,717,000","-2,630,000","-719,000","-3,870,000","-1,141,000","-894,000","-893,000","-4,834,000","-1,696,000","-678,000","-3,772,000","-4,196,000","-953,000","-1,352,000","-814,000",,,"-353,000","-3,000",,,"-206,000","-334,000",,,"0","-418,000",,,"0",,,,"-151,000","-33,000",,,"0","0","0","-1,324,000","-7,638,000","0","-1,002,000","-1,173,000",,,,,,,,,,,,,,,,,,,,
FreeCashFlow,"-82,536,000","-162,457,000","314,526,000","-161,286,000","-73,319,000","-109,549,000","398,605,000","-97,666,000","9,654,000","-56,384,000","268,581,000","-117,137,000","-34,620,000","-47,637,000","242,127,000","-114,330,000","-23,729,000","-56,538,000","231,638,000","-126,336,000","-15,098,000","-54,285,000","236,285,000","-139,545,000","-33,261,000","-41,596,000","245,047,000","-146,455,000","-22,855,000","-47,259,000","227,278,000","-64,003,000","10,440,000","1,116,000","73,833,000","-65,835,000","2,984,000","-394,000","66,073,000","-54,062,000","11,970,000","-250,000","67,449,000","-56,298,000","12,943,000","3,896,000","42,195,000","-45,326,000","8,613,000","-14,041,000","79,834,000","-49,419,000","26,895,000","-10,994,000","74,263,000","-74,241,000","7,179,000","-24,355,000","101,440,000","-46,304,000","17,205,000","-24,855,000","73,189,000","-51,241,000","13,063,000","-41,600,000","57,036,000","-34,252,000","-2,219,000","-11,331,000","38,700,000","-28,055,000","24,263,000","-15,335,000","45,153,000","-22,528,000","15,585,000","-18,006,000","34,137,000","-22,466,000","1,162,000","-2,860,000","16,953,000","-15,641,000","1,542,000","-12,866,000","4,309,000","-21,406,000","-14,626,000","-27,787,000","2,600,000","-16,500,000"
