name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004
OperatingCashFlow,"-9,582,000","-188,622,000","99,940,000","40,866,000","38,234,000","-50,419,000","231,817,000","-11,247,000","11,934,000","-24,702,000","-13,912,000","24,772,000","-109,958,000","-141,566,000","-133,611,000","-21,489,000","-156,885,000","63,015,000","-95,029,000","9,021,000","55,902,000","11,706,000","-79,883,000","23,398,000","453,000","-82,353,000","-35,849,000","101,857,000","-66,314,000","-114,055,000","7,581,000","13,007,000","-82,966,000","35,847,000","98,936,000","98,251,000","-45,879,000","-47,714,000","-105,339,000","-45,915,000","-24,994,000","-17,687,000","-66,964,000","-92,889,000","-4,497,000","24,825,000","-47,608,000","14,985,000","-48,571,000","-12,056,000","59,113,000","50,225,000","68,071,000","48,519,000","54,884,000","-31,659,000","-58,131,000","7,379,000","-92,365,804","11,003,575","-65,299,059","-54,448,712","-36,094,208","-42,973,153","-15,097,217","2,912,966","-46,518,801","-41,983,110","-52,460,271","-15,718,697","-16,912,361","-877,149"
	CashFlowFromContinuingOperatingActivities,"-123,800,000",,,,,,,,"11,934,000","-24,702,000","-13,912,000","24,772,000","-109,958,000","-141,566,000","-133,611,000","-21,489,000","-156,885,000","63,015,000","-95,029,000","9,021,000","55,902,000","11,706,000","-79,883,000","23,398,000","453,000","-82,353,000","-35,849,000","101,857,000","-66,314,000","-114,055,000","7,581,000","13,007,000","-82,966,000","35,847,000","98,936,000","98,250,000","-45,878,000","-47,714,000","-105,339,000","-45,915,000","-24,994,000","-17,687,000","-66,964,000","-92,889,000","-4,497,000","24,825,000","-47,608,000","14,985,000","-48,571,000","-12,056,000","59,113,000","50,225,000","68,071,000","48,519,000","54,884,000","-31,659,000","-58,131,000","7,379,000","-92,365,804","11,003,575","-65,299,059","-54,448,712","-36,094,208","-42,973,153","-15,097,217","2,912,966","-46,518,801","-41,983,110","-52,460,271","-15,718,697","-16,912,361","-877,149"
		NetIncomeFromContinuingOperations,"106,656,000","-3,336,000","3,712,000","23,549,000","82,731,000","64,163,000","151,172,000","43,047,000","61,765,000","-28,723,000","44,611,000","19,271,000","48,131,000","61,585,000","-17,138,000","35,628,000","52,060,000","5,946,000","18,365,000","33,072,000","33,149,000","-5,588,000","14,121,000","30,812,000","9,475,000","14,295,000","14,170,000","4,076,000","2,751,000","21,919,000","20,635,000","15,177,000","13,191,000","22,185,000","24,897,000","36,981,000","20,879,000","16,689,000","24,861,000","4,745,000","48,000","17,105,000","17,573,000","6,223,000","24,318,000","-1,178,000","11,720,000","-7,823,000","-4,629,000","5,714,000","8,459,000","13,690,000","-13,059,000","4,482,000","-10,938,000","12,538,000","8,358,000","11,037,000","20,630,032","7,178,116","8,269,770","6,331,082","3,939,595","1,572,638","3,366,369","2,504,996","-199,524","1,561,924","709,795","32,370","-546,055","-335,823"
		OperatingGainsLosses,"704,350,000",,,,,,,,"97,881,000","171,355,000","174,004,000","156,073,000","202,918,000","65,921,000","87,959,000","90,468,000","146,747,000","282,276,000","151,064,000","161,655,000","215,809,000","143,982,000","99,387,000","116,332,000","139,166,000","81,681,000","130,538,000","223,833,000","76,730,000","76,291,000","184,581,000","117,777,000","66,928,000","137,077,000","153,723,000","138,448,000","128,720,000","77,389,000","382,980,000","-47,277,000","-47,433,000","-23,579,000","-81,935,000","-101,926,000","-12,379,000","13,491,000","-48,305,000","28,562,000","-64,077,000","-8,397,000","56,756,000","57,182,000","61,336,000","45,427,000","573,000","1,651,000","-5,666,000","799,000","-3,307,412","2,652,173","-1,030,006","-1,105,755","2,098,906","-1,206,306","-12,059","-1,750,076","543,398","-677,090",,,,
			GainLossOnInvestmentSecurities,"-1,319,230,000","-307,348,000","-386,691,000","-363,234,000","-261,957,000","-371,963,000","-228,117,000","-267,619,000","-155,633,000","-147,233,000","-237,456,000","-147,009,000","-369,575,000","-262,424,000","-204,638,000","-140,942,000","-348,559,000","-214,586,000","-269,384,000","-152,293,000","-188,387,000","-113,404,000","-197,906,000","-127,398,000","-144,545,000","-160,483,000","-173,317,000","-130,083,000","-149,512,000","-211,312,000","-197,113,000","-117,038,000","-164,917,000","-110,170,000","-66,704,000","-67,199,000","-199,664,000","-135,540,000","-363,442,000","-45,228,000","-47,433,000","-23,579,000","-333,867,000","-101,926,000","-12,379,000","13,491,000","-231,270,000","13,418,000","-64,077,000","-8,397,000","-227,057,000","57,182,000","61,336,000","45,427,000","-309,759,000","1,651,000","-8,624,000","3,757,000","-372,730,531","2,701,218","-1,365,634","-816,053","-189,335,838","-3,486,847","1,192,495","-674,089","1,025,092","-677,090",,,,
		DepreciationAmortizationDepletion,"337,000",,,,,,,,"96,000","126,000","87,000","74,000","50,000","51,000","52,000","53,000","48,000","46,000","48,000","48,000","53,000","52,000","50,000","48,000","48,000","56,000","41,000","41,000","53,000","58,000","105,000","55,000","52,000","54,000","90,000","74,000","20,000","68,000","77,000","71,000","70,000","71,000","80,000","88,000","91,000","89,000","102,000","103,000","100,000","95,000","93,000","91,000","92,000","91,000","20,439,000","-921,000","-1,308,000","-908,000","-812,095","-603,304","-769,302","-614,299","-2,932,846","1,783,707","-542,836","-598,574","-332,780","-171,389","-252,055","-10,340","2,963","2,682"
			DepreciationAndAmortization,"277,000","54,000","62,000","68,000","93,000","94,000","96,000","97,000","96,000","126,000","87,000","74,000","50,000","51,000","52,000","53,000","48,000","46,000","48,000","48,000","53,000","52,000","50,000","48,000","48,000","56,000","41,000","41,000","53,000","58,000","105,000","55,000","52,000","54,000","90,000","74,000","20,000","68,000","77,000","71,000","70,000","71,000","80,000","88,000","91,000","89,000","102,000","103,000","100,000","95,000","93,000","91,000","92,000","91,000","3,443,000","-921,000","-1,308,000","-908,000","2,190,905","-603,304","-769,302","-614,299","-577,112","1,783,707","-542,836","-598,574","-332,780","-171,389","-252,055","-10,340","2,963","2,682"
				Depreciation,"277,000","54,000","62,000","68,000","93,000","94,000","96,000","97,000","96,000","126,000","87,000","74,000","50,000","51,000","52,000","53,000","48,000","46,000","48,000","48,000","53,000","52,000","50,000","48,000","48,000","56,000","41,000","41,000","53,000","58,000","105,000","55,000","52,000","54,000","90,000","74,000","20,000","68,000","77,000","71,000","70,000","71,000","80,000","88,000","91,000","89,000","102,000","103,000","100,000","95,000","93,000","91,000","92,000","91,000",,,,,,,,,,,,,,,,"3,764","2,963","2,682"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-14,104","0","0"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-14,104","0","0"
