name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991
OperatingCashFlow,"745,830,000","114,706,000","209,964,000","187,205,000","233,955,000","124,422,000","218,934,000","193,116,000","208,142,000","27,871,000","155,413,000","132,265,000","137,102,000","34,378,000","135,648,000","110,708,000","118,830,000","34,898,000","121,126,000","110,684,000","110,192,000","31,274,000","100,115,000","100,315,000","110,915,000","23,226,000","73,896,000","76,946,000","80,166,000","-14,644,000","27,303,000","93,263,000","81,762,000","33,518,000","66,267,000","79,727,000","79,318,000","20,684,000","76,794,000","74,688,000","63,616,000","15,184,000","57,182,000","75,208,000","63,092,000","25,218,000","48,850,000","54,898,000","55,880,000","19,205,000","59,449,000","44,622,000","58,257,000","12,624,000","33,494,000","41,674,000","70,929,000","-2,789,000","39,931,000","32,057,000","64,523,000","-1,387,000","38,414,000","26,624,000","47,811,000","-3,023,000","40,047,000","38,420,000","37,803,000","282,000","27,172,000","24,311,000","33,228,000","10,668,000","25,399,000","26,166,000","36,046,000","29,544,000","9,327,000","40,165,000","29,306,000","24,455,000","15,756,000","22,245,000","15,322,000","-6,959,000","9,206,000","9,727,000","9,469,000","-162,000","19,700,000","10,600,000","24,000,000","-1,700,000","4,600,000","13,600,000","19,200,000","8,700,000","3,600,000","2,000,000","10,700,000","-2,800,000","3,700,000","-600,000","10,700,000","-5,800,000","-3,800,000","5,600,000","-700,000","5,700,000","2,500,000","4,100,000","6,100,000","2,100,000","1,500,000","1,200,000","2,700,000","2,000,000","800,000","700,000","-1,300,000","-300,000","500,000","1,000,000"
	CashFlowFromContinuingOperatingActivities,"745,830,000","114,706,000","209,964,000","187,205,000","233,955,000","124,422,000","218,934,000","193,116,000","208,142,000","27,871,000","155,413,000","132,265,000","137,102,000","34,378,000","135,648,000","110,708,000","118,830,000","34,898,000","121,126,000","110,684,000","110,192,000","31,274,000","100,115,000","100,315,000","110,915,000","23,226,000","73,896,000","76,946,000","80,166,000","-14,644,000","27,303,000","93,263,000","81,762,000","33,518,000","66,267,000","79,727,000","79,318,000","20,684,000","76,794,000","74,688,000","63,616,000","15,184,000","57,182,000","75,208,000","63,092,000","25,218,000","48,850,000","54,898,000","55,880,000","19,205,000","59,449,000","44,622,000","58,257,000","12,624,000","33,494,000","41,674,000","70,929,000","-2,789,000","39,931,000","32,057,000","64,523,000","-1,387,000","38,414,000","26,624,000","47,811,000","-3,023,000","40,047,000","38,420,000","37,803,000","282,000","27,172,000","24,311,000","33,228,000","10,668,000","25,399,000","26,166,000","36,046,000","29,544,000","9,327,000","40,165,000","29,306,000","24,455,000","15,756,000","22,245,000","15,322,000","-6,959,000","9,206,000","9,727,000","9,469,000","-162,000","19,700,000","10,600,000","24,000,000","-1,700,000","4,600,000","13,600,000","19,200,000","8,700,000","3,600,000","2,000,000","10,700,000","-2,800,000","3,700,000","-600,000","10,700,000","-5,800,000","-3,800,000","5,600,000","-700,000","5,700,000","2,500,000","4,100,000","6,100,000","2,100,000","1,500,000","1,200,000","2,700,000","2,000,000","800,000","700,000","-1,300,000","-300,000","500,000","1,000,000"
		NetIncomeFromContinuingOperations,"734,520,000","193,965,000","162,771,000","175,178,000","202,606,000","204,289,000","174,958,000","146,321,000","148,996,000","111,856,000","90,544,000","108,838,000","125,701,000","102,709,000","85,677,000","93,214,000","108,680,000","89,476,000","38,290,000","70,514,000","85,407,000","69,058,000","52,371,000","56,452,000","67,206,000","46,025,000","44,390,000","44,229,000","56,938,000","46,578,000","25,951,000","52,163,000","57,244,000","46,593,000","43,237,000","45,692,000","53,998,000","44,867,000","43,360,000","42,873,000","51,320,000","40,734,000","37,998,000","38,496,000","48,654,000","36,606,000","36,380,000","34,715,000","37,197,000","33,028,000","30,961,000","31,536,000","33,667,000","26,071,000","23,555,000","25,699,000","39,364,000","27,551,000","25,528,000","25,795,000","21,664,000","21,027,000","24,672,000","24,953,000","25,780,000","18,273,000","20,027,000","20,604,000","19,933,000","17,690,000","16,935,000","19,696,000","23,910,000","17,791,000","12,365,000","15,973,000","16,690,000","12,062,000","12,757,000","12,483,000","12,964,000","7,185,000","9,828,000","10,217,000","9,966,000","7,609,000","9,801,000","9,269,000","9,528,000","8,034,000","8,900,000","8,400,000","8,000,000","7,300,000","-30,100,000","6,000,000","5,100,000","3,800,000","-3,100,000","-16,800,000","-2,100,000","900,000","9,200,000","8,500,000","7,900,000","7,000,000","7,100,000","5,400,000","5,000,000","4,000,000","4,300,000","3,600,000","2,600,000","2,800,000","3,700,000","2,600,000","2,000,000","1,400,000","1,700,000","1,500,000","1,200,000","500,000","1,300,000","1,000,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000",,,"-586,000","-104,000","168,000","286,000","19,000","141,000","-3,284,000","49,000","62,000","83,000","134,000","155,000","16,000","310,000","-2,901,000","58,000","350,000","1,092,000","-1,850,000","147,000",,,,,,,,,,,"0","0","1,769,000","-1,921,000","2,111,000","2,319,000","2,401,000","830,000","375,000","84,000","2,547,000","4,652,000","8,792,000","11,561,000","-6,000","195,000","1,744,000","-2,650,000","0","1,836,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-33,000",,,"18,000","-18,000","-50,000","149,000","44,000","27,000","32,000","49,000","62,000","83,000","134,000","155,000","16,000","310,000","99,000","58,000","350,000","1,092,000","150,000","147,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58,000",,,"93,000","-86,000","218,000","137,000","-25,000","114,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"106,050,000","26,511,000","27,695,000","26,467,000","25,377,000","25,057,000","24,561,000","24,651,000","23,582,000","23,204,000","22,589,000","22,446,000","21,621,000","21,355,000","20,604,000","20,878,000","20,892,000","20,804,000","21,520,000","20,727,000","20,586,000","20,307,000","20,241,000","19,767,000","19,664,000","18,546,000","17,729,000","18,283,000","16,790,000","16,154,000","15,278,000","15,521,000","14,695,000","13,394,000","13,466,000","13,773,000","13,844,000","13,513,000","13,918,000","12,799,000","12,986,000","12,705,000","12,814,000","12,045,000","11,879,000","11,464,000","11,839,000","11,485,000","11,386,000","11,246,000","12,555,000","12,506,000","11,665,000","13,047,000","12,649,000","12,190,000","12,585,000","11,395,000","11,562,000","10,267,000","10,224,000","9,047,000","8,079,000","7,528,000","7,551,000","6,658,000","6,278,000","6,138,000","6,137,000","5,816,000","5,237,000","5,128,000","3,748,000","4,314,000","4,640,000","4,412,000","4,933,000","4,912,000","4,763,000","5,679,000","5,008,000","4,674,000","6,825,000","5,082,000","5,173,000","5,149,000","5,379,000","4,727,000","4,845,000","4,530,000","4,400,000","4,300,000","4,200,000","4,300,000","4,200,000","3,800,000","3,300,000","4,600,000","3,900,000","3,700,000","3,800,000","3,000,000","3,400,000","3,500,000","1,400,000","2,100,000","1,300,000","1,700,000","1,500,000","1,200,000","1,400,000","1,000,000","1,000,000","1,100,000","600,000","1,000,000","1,200,000","1,000,000","500,000","1,000,000","1,100,000","900,000","500,000","100,000"
			DepreciationAndAmortization,"106,050,000","26,511,000","27,695,000","26,467,000","25,377,000","25,057,000","24,561,000","24,651,000","23,582,000","23,204,000","22,589,000","22,446,000","21,621,000","21,355,000","20,604,000","20,878,000","20,892,000","20,804,000","21,520,000","20,727,000","20,586,000","20,307,000","20,241,000","19,767,000","19,664,000","18,546,000","17,729,000","18,283,000","16,790,000","16,154,000","15,278,000","15,521,000","14,695,000","13,394,000","13,466,000","13,773,000","13,844,000","13,513,000","13,918,000","12,799,000","12,986,000","12,705,000","12,814,000","12,045,000","11,879,000","11,464,000","11,839,000","11,485,000","11,386,000","11,246,000","12,555,000","12,506,000","11,665,000","13,047,000","12,649,000","12,190,000","12,585,000","11,395,000","11,562,000","10,267,000","10,224,000","9,047,000","8,079,000","7,528,000","7,551,000","6,658,000","6,278,000","6,138,000","6,137,000","5,816,000","5,237,000","5,128,000","3,748,000","4,314,000","4,640,000","4,412,000","4,933,000","4,912,000","4,763,000","5,679,000","5,008,000","4,674,000","6,825,000","5,082,000","5,173,000","5,149,000","5,379,000","4,727,000","4,845,000","4,530,000","4,400,000","4,300,000","4,200,000","4,300,000","4,200,000","3,800,000","3,300,000","4,600,000","3,900,000","3,700,000","3,800,000","3,000,000","3,400,000","3,500,000","1,400,000","2,100,000","1,300,000","1,700,000","1,500,000","1,200,000","1,400,000","1,000,000","1,000,000","1,100,000","600,000","1,000,000","1,200,000","1,000,000","500,000","1,000,000","1,100,000","900,000","500,000","100,000"
		DeferredTax,"-13,649,000","-5,028,000","-7,426,000","-144,000","-1,051,000","5,244,000","-34,719,000","-6,021,000","-195,000","2,853,000","3,759,000","-1,023,000","132,000","3,294,000","-11,641,000","4,212,000","5,633,000","3,005,000","-7,480,000","-3,129,000","750,000","1,941,000","14,638,000","4,727,000","-1,004,000","2,520,000","9,792,000","-2,594,000","-2,620,000","565,000","7,559,000","-1,504,000","-4,390,000","-835,000","3,057,000","272,000","-2,425,000","1,169,000","-109,000","-528,000","-1,795,000","462,000",,,"-109,000","2,501,000",,,,,"-435,000",,,"1,465,000","6,560,000","-1,107,000","1,180,000","-999,000","-864,000","-3,864,000","-2,507,000","-1,839,000","-2,050,000","-949,000","-1,758,000","-1,378,000","-2,817,000","-727,000","-677,000","-256,000","1,548,000","1,269,000","-915,000","2,697,000","-3,013,000","901,000","460,000","460,000","3,389,000","120,000","361,000","-120,000","-1,499,000","373,000","373,000","373,000","2,306,000","835,000","604,000","-364,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-13,649,000","-5,028,000","-7,426,000","-144,000","-1,051,000","5,244,000","-34,719,000","-6,021,000","-195,000","2,853,000","3,759,000","-1,023,000","132,000","3,294,000","-11,641,000","4,212,000","5,633,000","3,005,000","-7,480,000","-3,129,000","750,000","1,941,000","14,638,000","4,727,000","-1,004,000","2,520,000","9,792,000","-2,594,000","-2,620,000","565,000","7,559,000","-1,504,000","-4,390,000","-835,000","3,057,000","272,000","-2,425,000","1,169,000","-109,000","-528,000","-1,795,000","462,000",,,"-109,000","2,501,000",,,,,"-435,000",,,"1,465,000","6,560,000","-1,107,000","1,180,000","-999,000","-864,000","-3,864,000","-2,507,000","-1,839,000","-2,050,000","-949,000","-1,758,000","-1,378,000","-2,817,000","-727,000","-677,000","-256,000","1,548,000","1,269,000","-915,000","2,697,000","-3,013,000","901,000","460,000","460,000","3,389,000","120,000","361,000","-120,000","-1,499,000","373,000","373,000","373,000","2,306,000","835,000","604,000","-364,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
