name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013
OperatingCashFlow,"278,300,000","145,300,000","105,600,000","71,500,000","-44,100,000","87,600,000","73,500,000","99,700,000","63,400,000","133,000,000","106,500,000","72,200,000","143,900,000","139,900,000","59,300,000","140,000,000","119,100,000","190,500,000","24,200,000","127,800,000","143,800,000","113,800,000","86,600,000","86,800,000","113,200,000","181,100,000","20,600,000","5,200,000","107,700,000","53,900,000","85,000,000","21,300,000","109,300,000","61,800,000","79,300,000","7,900,000","86,600,000"
	CashFlowFromContinuingOperatingActivities,"412,100,000","147,600,000","105,900,000","71,000,000","87,600,000","106,600,000","47,600,000","99,700,000","95,900,000","122,200,000","88,000,000","64,400,000","99,300,000","139,900,000","59,300,000","140,000,000","119,100,000","190,500,000","24,200,000","127,800,000","143,800,000","113,800,000","86,600,000","86,800,000","113,200,000","181,100,000","20,600,000","5,200,000","107,700,000","53,900,000","85,000,000","21,300,000","109,300,000","61,800,000","79,300,000","7,900,000","86,600,000"
		NetIncomeFromContinuingOperations,"258,800,000","67,700,000","65,400,000","73,700,000","52,000,000","862,900,000","70,100,000","58,000,000","46,800,000","59,500,000","24,100,000","84,100,000","-153,000,000","101,700,000","90,900,000","92,300,000","101,600,000","97,800,000","106,200,000","83,100,000","60,900,000","78,800,000","83,600,000","79,200,000","60,200,000","55,700,000","69,700,000","61,200,000","42,700,000","62,000,000","42,500,000","39,100,000","51,900,000","69,300,000","52,200,000","53,500,000","47,900,000"
		OperatingGainsLosses,"29,400,000","3,000,000","1,400,000","-900,000","28,100,000","19,600,000","1,800,000","3,400,000",,,,,,,,,,,,,,,,,,,,,"0","-200,000","200,000","800,000","800,000","1,000,000","900,000","1,000,000","1,700,000"
			EarningsLossesFromEquityInvestments,"8,100,000","3,000,000","1,400,000","1,200,000","2,500,000","19,600,000","1,800,000","3,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-200,000","200,000","800,000","800,000","1,000,000","900,000","1,000,000","1,700,000"
		DepreciationAmortizationDepletion,"119,300,000","32,800,000","31,300,000","27,600,000","27,600,000","24,600,000","21,600,000","24,900,000","27,000,000","24,500,000","24,600,000","23,500,000","18,400,000","26,100,000","25,600,000","19,700,000","20,500,000","19,600,000","19,500,000","19,500,000","18,300,000","17,600,000","17,300,000","17,100,000","18,400,000","16,900,000","14,700,000","14,000,000","19,400,000","5,400,000","33,600,000","18,100,000","16,700,000","17,700,000","17,000,000","16,500,000","15,800,000"
			DepreciationAndAmortization,"119,300,000","32,800,000","31,300,000","27,600,000","27,600,000","24,600,000","21,600,000","24,900,000","27,000,000","24,500,000","24,600,000","23,500,000","18,400,000","26,100,000","25,600,000","19,700,000","20,500,000","19,600,000","19,500,000","19,500,000","18,300,000","17,600,000","17,300,000","17,100,000","18,400,000","16,900,000","14,700,000","14,000,000","19,400,000","5,400,000","33,600,000","18,100,000","16,700,000","17,700,000","17,000,000","16,500,000","15,800,000"
		DeferredTax,"31,400,000","800,000","200,000","300,000","30,100,000","-1,800,000","0","2,500,000","-10,000,000","0","14,900,000","0","-25,600,000","16,200,000","-3,500,000","7,800,000","-1,300,000","3,300,000","-14,400,000","2,300,000","20,600,000","-4,700,000","-1,900,000","6,900,000","-11,400,000","-11,200,000","1,100,000","17,900,000","-23,300,000","-4,400,000","-2,100,000","4,500,000","-1,500,000","-9,100,000","-2,400,000","-3,200,000","-7,400,000"
			DeferredIncomeTax,"31,400,000","800,000","200,000","300,000","30,100,000","-1,800,000","0","2,500,000","-10,000,000","0","14,900,000","0","-25,600,000","16,200,000","-3,500,000","7,800,000","-1,300,000","3,300,000","-14,400,000","2,300,000","20,600,000","-4,700,000","-1,900,000","6,900,000","-11,400,000","-11,200,000","1,100,000","17,900,000","-23,300,000","-4,400,000","-2,100,000","4,500,000","-1,500,000","-9,100,000","-2,400,000","-3,200,000","-7,400,000"
		AssetImpairmentCharge,"0",,,,,,,,"0","0",,,"1,100,000","3,300,000",,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"56,900,000","17,100,000","17,200,000","11,300,000","11,300,000","10,400,000","8,200,000","13,100,000","6,800,000","1,300,000","8,600,000","2,900,000","15,500,000","8,200,000","3,500,000","3,300,000","7,800,000","6,900,000","12,900,000","8,100,000","23,100,000","11,800,000","10,700,000","9,800,000","10,900,000","12,700,000","7,000,000","5,800,000","8,400,000","8,600,000","8,000,000","5,400,000","6,000,000","5,200,000","5,900,000","3,900,000","2,700,000"
