name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,"952,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,023,000","1,021,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,591,192",,,"3,333,098",,,,,,,,,,,,,,,,,,,,,,,,,"533,114",,"473,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"722,000","764,000","764,000","764,000","997,000","1,007,000","989,000","764,000","764,000","764,000","764,000","764,000","764,000","764,000","764,000","764,000","764,000","764,000","768,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,517,158","3,475,599",,"3,270,193","3,243,901","3,222,853","3,212,916","3,204,195","3,203,281","3,058,631","2,475,169","2,462,152","2,333,138","2,311,841","2,311,841","2,311,841","2,311,982","2,311,982","2,311,982","2,812,969","2,626,506","2,589,150","2,585,152","2,558,371","2,486,748","2,393,774","1,657,416",,"495,488",,"331,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"36,298,000","31,517,000","29,791,000","27,522,000","24,702,000","24,111,000","22,523,000","16,930,000","15,448,000","15,122,000","14,214,000","6,941,000","6,362,000","5,448,000","5,156,000","4,429,000","4,605,000","4,272,000","4,111,000","3,732,000","3,418,000","3,218,000","3,353,000","3,080,000","2,961,000","2,808,000","2,722,000","2,651,661","2,551,446","2,270,347","2,267,094","2,217,096","2,175,604","2,116,017","2,035,224","1,944,341","1,978,138","1,937,238","14,412,156","13,643,165","13,593,460","5,401,457","5,230,825","5,071,169","5,040,729","4,877,496","4,801,316","4,743,761","4,471,438","4,383,903","4,159,404","4,040,970","3,986,426","3,770,181","3,685,327","3,498,101","3,098,837","2,887,957","2,730,102","2,545,023","2,437,594","2,392,874","2,098,543","1,956,241","1,938,674","1,753,144","1,466,986","1,360,152","1,453,167","1,438,947","1,437,897","1,557,254","1,779,592","1,778,108","1,774,805","1,677,089","1,654,526","1,634,585","1,629,959","1,521,254","1,519,625","1,518,365","1,463,528","1,576,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"173,670,000","172,985,000","121,268,000","103,109,000","71,566,000","68,703,000","63,643,000","61,688,000","61,725,000","62,020,000","56,039,000","50,046,000","42,567,000","24,092,000","23,405,000","23,199,000","22,497,000","21,904,000","19,543,000","16,471,000","15,501,000","15,214,000","14,750,000","14,682,000","14,418,000","13,758,000","13,513,000","13,526,113","12,983,947","13,115,630","13,998,021","14,233,972","13,939,322","13,684,954","13,485,039","12,909,696","12,963,808","12,802,978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"54,344,000","38,446,000","14,723,000","7,942,000","19,349,000","14,927,000","6,416,000","7,565,000","4,703,000","6,707,000","5,721,000","7,343,000","6,826,000","12,906,000","10,086,000","4,532,000","3,052,000","2,581,000","3,286,000","1,604,000","1,142,000","1,264,000","1,382,000","621,000","282,000","425,000","228,000","76,519","45,056","3,847,746","1,596,606","302,996","35,168","21,647","3,383,870","1,043,170","383,353","338,814","294,982","188,993","367,424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,"56,745,000","52,505,000","51,778,000","49,666,000","32,127,000","31,331,000","29,776,000","28,824,000","28,652,000","23,905,000","22,953,000","22,936,000","22,782,000","16,259,000","15,940,000","15,770,000","15,740,000","15,673,000","15,743,000","15,272,000","15,196,000","14,592,000","14,444,000","13,557,000","13,365,000","13,306,000","13,258,000","13,249,754","13,230,820","9,108,214","9,139,408","9,212,684","9,207,709","8,973,615","5,258,050","5,190,360","5,246,962","5,200,271","5,179,119","5,078,898","5,148,334","3,887,476","3,887,476","3,879,130","3,876,630","3,876,630","3,862,016","3,855,616","3,855,616","3,852,243","3,852,243","3,845,247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-75,354,000","-70,717,000","-64,688,000","-54,357,000","-50,488,000","-49,056,000","-44,814,000","-40,513,000","-37,254,000","-35,379,000","-32,835,000","-31,427,000","-29,613,000","-28,312,000","-27,015,000","-25,724,000","-25,007,000","-23,800,000","-22,416,000","-21,083,000","-19,884,000","-19,332,000","-18,994,000","-18,233,000","-17,415,000","-16,496,000","-15,748,000","-15,040,331","-14,201,629","-13,815,697","-13,810,261","-13,416,575","-12,911,214","-12,287,010","-11,871,114","-11,249,880","-10,879,103","-10,326,840","-9,769,919","-9,043,027","-8,445,025","-7,516,817","-7,155,674","-6,793,984","-6,606,539","-6,186,215","-5,823,687","-5,466,354","-5,209,249","-4,869,575","-4,539,148","-4,216,430","-4,194,258","-3,914,230","-3,656,266","-3,417,941","-3,210,100","-3,002,520","-2,802,239","-2,613,081","-2,458,984","-2,326,451","-2,198,936","-2,074,049","-2,033,808","-1,950,372","-1,856,802","-1,766,585","-1,829,914","-1,740,407","-1,649,211","-1,689,625","-2,308,286","-2,205,912","-2,108,663","-2,013,828","-1,919,538","-1,828,765","-1,755,793","-1,721,732","-1,678,534","-1,629,542","-1,546,993","-1,464,195","-1,375,604","-1,322,839","-1,274,767","-1,187,343","-1,100,000","-1,000,000","-900,000","-900,000","-800,000","-700,000","-700,000","-600,000","-500,000","-500,000","-400,000","-300,000","-300,000","-300,000","-200,000","-200,000","-16,300,000","-16,100,000","-15,700,000","-15,300,000","-10,200,000","-9,600,000","-9,000,000","-8,300,000","-7,600,000","-7,100,000","-6,700,000","-6,100,000","-5,700,000","-5,900,000","-5,200,000","-4,800,000","-4,500,000","-4,100,000","-3,900,000","-3,700,000","-3,400,000","-3,200,000","-3,000,000","-2,800,000","-2,000,000","-1,500,000","-1,000,000","-1,300,000"
		GoodwillAndOtherIntangibleAssets,"1,189,416,000","1,197,636,000","1,173,722,000","894,142,000","899,187,000","905,405,000","697,428,000","673,466,000","676,908,000","680,965,000","685,134,000","689,991,000","459,043,000","462,173,000","463,511,000","466,277,000","470,262,000","472,086,000","474,068,000","89,992,000","89,006,000","89,354,000","49,832,000","50,212,000","26,801,000","27,101,000","27,500,000","27,940,220","28,198,030","28,821,142","29,492,095","30,293,809","6,909,105","7,181,632","7,475,532","7,492,990","7,904,819","8,176,012","8,370,533","8,170,789","8,802,130","2,126,083","2,170,771","2,215,458","2,260,146","2,304,833","2,349,520","2,394,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000","600,000","600,000",,,,,,,,,,,,,
			Goodwill,"859,488,000","860,362,000","833,559,000","617,593,000","617,517,000","618,305,000","482,043,000","468,725,000","468,382,000","468,413,000","468,845,000","469,510,000","326,395,000","326,735,000","326,977,000","327,095,000","327,989,000","327,333,000","326,652,000","60,979,000","59,784,000","59,548,000","31,161,000","31,026,000","14,346,000","14,346,000","14,346,000","14,346,057","14,314,822","14,184,835","14,144,045","14,174,045","994,000","994,000","994,000","994,000","994,000","994,000","994,000","994,000","994,000","994,000","994,000","994,000","994,000","994,000","994,000","994,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"329,928,000","337,274,000","340,163,000","276,549,000","281,670,000","287,100,000","215,385,000","204,741,000","208,526,000","212,552,000","216,289,000","220,481,000","132,648,000","135,438,000","136,534,000","139,182,000","142,273,000","144,753,000","147,416,000","29,013,000","29,222,000","29,806,000","18,671,000","19,186,000","12,455,000","12,755,000","13,154,000","13,594,163","13,883,208","14,636,307","15,348,050","16,119,764","5,915,105","6,187,632","6,481,532","6,498,990","6,910,819","7,182,012","7,376,533","7,176,789","7,808,130","1,132,083","1,176,771","1,221,458","1,266,146","1,310,833","1,355,520","1,400,208",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000","600,000","600,000",,,,,,,,,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,,,,,,,,,,,,"0",,"0","1,217,000","1,633,000","1,651,000","1,223,468","1,814,358","3,550,210","10,007,186","11,896,949","10,904,518","12,218,602","4,114,450","4,645,288","6,148,089","9,914,855","12,417,051","10,850,675","9,985,685","8,453,736","15,050,402","11,878,201","9,164,317","3,258,084","3,503,663","6,011,697","12,867,734","17,384,153","14,331,605","15,101,239",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,,,,,,,,,,,,,,,,,,,,,,"0",,"0","1,217,000","1,633,000","1,651,000","1,223,468","1,814,358","3,550,210","10,007,186","11,896,949","10,904,518","12,218,602","4,114,450","4,645,288","6,148,089","9,914,855","12,417,051","10,850,675","9,985,685","8,453,736","15,050,402","11,878,201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"1,611,000","1,903,000","1,542,000","1,714,000","2,000,000","2,481,000","2,192,000","4,831,000","2,904,000","2,920,000","3,917,000","3,917,000","3,917,000","4,355,000",,,,,,,,,,,,,,,,"0","0","0","176,742","184,848","114,788","1,563,606","2,669,762","2,557,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
