name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996
					ChangeInTaxPayable,,,,,,,,,,,,,,,,,,"3,995,000",,,,,"4,446,000","-1,540,000",,,"1,630,000",,,,"764,000",,,"9,224,000","1,208,000","-1,618,000","-3,638,000","11,847,000","3,324,000","-7,494,000","-15,579,000","15,443,000","-2,864,000","-2,848,000","-17,034,000","21,467,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,,,,"3,995,000",,,,,"4,446,000","-1,540,000",,,"1,630,000",,,,"764,000",,,"9,224,000","1,208,000","-1,618,000","-3,638,000","11,847,000","3,324,000","-7,494,000","-15,579,000","15,443,000","-2,864,000","-2,848,000","-17,034,000","21,467,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,,,,,,,,,,,,,,,,"-10,312,000",,"-867,000",,,,,,,,,,,,,,,,,,,,,,,,,,"6,211,000","4,503,000","-559,000","-12,862,000","15,493,000","2,551,000","2,246,000","2,625,000","20,000","3,275,000","-3,864,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,230,000","-2,100,000","-4,780,000","-920,000","1,596,000","3,081,000","-1,039,000","-391,000","3,062,000","179,000","377,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,"-3,441,000","-6,374,000","-858,000","3,202,000","589,000","-9,897,000","-23,642,000","-2,346,000","-3,017,000","-3,321,000","-668,000","383,000","-244,000","-1,060,000","1,545,000","2,127,000","-835,000","931,000","1,624,000","-2,560,000","-220,000","629,000","-54,000","-2,429,000","-26,000","-1,440,000","2,603,000","-955,000","-216,000","2,573,000","-2,123,000","-1,781,000","116,000","926,000","766,000","-828,000","851,000","1,645,000","-138,000","-2,349,000","1,314,000","-957,000","1,812,000","-1,706,000","1,115,000","-1,989,000","1,716,000","-1,251,000","-575,000","-1,043,000","-1,302,000","4,000","24,000","1,042,000","-93,000","-826,000","-355,000","-943,000","4,398,000","-3,492,000","948,000","-1,237,000","201,000","2,306,000","-2,912,000","-1,305,000","495,000","890,000","-69,000","-682,000","-137,000","408,000","-423,000","-722,000","-198,000","-777,000","325,000","-549,000","770,000","104,000","-443,000","-548,000","3,151,000","-896,000","187,000","-25,000","812,000","76,000","369,000","-358,000","400,000","-400,000","0","-100,000","-400,000","400,000","-300,000","200,000",,,,"100,000","1,200,000","-1,100,000"
			ChangeInOtherCurrentLiabilities,"-7,964,000","-1,573,000","-1,714,000","-2,118,000","-2,559,000","-978,000","-1,245,000","-1,519,000","-1,480,000","-1,445,000","-1,039,000","-1,326,000","101,000","-1,187,000","-451,000","-1,008,000","-282,000","-1,065,000","-153,000","-6,111,000","-2,852,000","-335,000","-2,516,000","-904,000","-2,000,000","-2,380,000","-1,675,000","310,000","-1,128,000","-1,131,000","-1,609,000","-4,808,000","-4,451,000","-3,505,000","29,144,000","209,000","18,000","147,000","14,121,000","-1,998,000","1,858,000","-14,061,000","752,000","6,586,000","-7,305,000","11,808,000","-3,603,000","19,252,000","-805,000","16,464,000","7,165,000","29,065,000","-1,754,000","456,000","-8,346,000","25,028,000","-6,530,000","13,244,000","26,732,000","-12,064,000","3,372,000","13,466,000","6,076,000","17,134,000","-12,342,000","12,398,000","1,109,000","12,072,000","-8,183,000","7,424,000","-1,572,000","18,285,000","-9,281,000","9,877,000","2,097,000","11,219,000","-7,881,000","7,511,000","298,000","10,871,000","-9,886,000","6,955,000","-5,405,000","11,863,000","-11,190,000","10,280,000","-5,067,000","10,267,000","-9,257,000","7,571,000","-6,300,000","9,900,000","-7,800,000","5,800,000","-7,000,000","10,000,000","-5,900,000","4,500,000","-4,900,000","7,900,000","-4,900,000","2,600,000",,
			ChangeInOtherWorkingCapital,"6,214,000","50,672,000","-54,881,000","5,691,000","4,732,000","59,649,000","-18,655,000","-12,816,000","2,910,000","14,446,000","5,915,000","8,290,000","-13,889,000","8,058,000","10,415,000","-28,892,000","-6,805,000","5,302,000","6,980,000","153,000","-7,895,000","9,927,000","5,923,000","1,462,000","-5,712,000","3,072,000","5,989,000","-600,000","-1,118,000","10,051,000","4,511,000","-4,025,000","-670,000","12,923,000","2,994,000","-581,000","-3,639,000","11,578,000","-19,923,000","661,000","105,000","-154,000","4,529,000","64,000","100,000","213,000","9,235,000","-9,826,000","-21,072,000","19,502,000","320,000","-9,239,000","-12,939,000","18,422,000","-6,367,000","1,037,000","-6,088,000","-5,111,000","-11,711,000","9,923,000","-9,975,000","-2,000","1,629,000","-4,011,000","982,000","-965,000",,,,"29,000",,,"41,000","115,000",,"-238,000",,,,"-103,000","41,000","-12,000",,"1,000",,,"-92,000","-20,000","21,000","147,000","0","-200,000",,,,,,,,,,,,
InvestingCashFlow,"-31,063,000","-8,761,000","-12,501,000","-2,788,000","-7,013,000","-10,792,000","-627,642,000","-5,398,000","-2,818,000","-6,334,000","-24,510,000","-4,074,000","-7,013,000","-2,469,000","-16,551,000","155,284,000","-4,363,000","-4,233,000","-3,478,000","-6,138,000","-4,594,000","-3,841,000","-5,660,000","-3,649,000","-7,821,000","-3,666,000","-3,105,000","-2,530,000","-4,223,000","-2,834,000","-2,844,000","-1,739,000","-1,323,000","-996,000","-1,611,000","-2,121,000","-2,626,000","-2,368,000","-6,568,000","-8,294,000","-5,821,000","-4,050,000","-12,104,000","-6,825,000","-6,678,000","1,002,000","14,216,000","2,940,000","-10,669,000","-12,361,000","-8,542,000","-9,319,000","-6,734,000","-6,921,000","-5,733,000","-25,681,000","-35,084,000","71,657,000","-2,964,000","-4,548,000","2,282,000","-3,885,000","-4,250,000","-2,859,000","-2,730,000","-33,344,000","-22,536,000","-1,946,000","-6,185,000","-1,608,000","-2,622,000","-2,931,000","-2,787,000","-2,280,000","-2,818,000","3,321,000","-3,693,000","-6,692,000","-7,031,000","-7,451,000","-7,846,000","-12,785,000","-1,458,000","3,869,000","-5,529,000","46,970,000","-2,690,000","-2,083,000","-1,251,000","-3,059,000","-1,700,000","-2,100,000","-2,600,000","1,300,000","-3,600,000","-5,800,000","-1,700,000","-4,100,000","-4,200,000","-1,200,000","-16,600,000","-2,000,000","-1,300,000","-14,000,000"
	CashFlowFromContinuingInvestingActivities,"-31,063,000","-8,761,000","-12,501,000","-2,788,000","-7,013,000","-10,792,000","-627,642,000","-5,398,000","-2,818,000","-6,334,000","-24,510,000","-4,074,000","-7,013,000","-2,469,000","-16,551,000","155,284,000","-4,363,000","-4,233,000","-3,478,000","-6,138,000","-4,594,000","-3,841,000","-5,660,000","-3,649,000","-7,821,000","-3,666,000","-3,105,000","-2,530,000","-4,223,000","-2,834,000","-2,844,000","-1,739,000","-1,323,000","-996,000","-1,611,000","-2,121,000","-2,626,000","-2,368,000","-6,568,000","-8,294,000","-5,821,000","-4,050,000","-12,104,000","-6,825,000","-6,678,000","1,002,000","14,216,000","2,940,000","-10,669,000","-12,361,000","-8,542,000","-9,319,000","-6,734,000","-6,921,000","-5,733,000","-25,681,000","-35,084,000","71,657,000","-2,964,000","-4,548,000","2,282,000","-3,885,000","-4,250,000","-2,859,000","-2,730,000","-33,344,000","-22,536,000","-1,946,000","-6,185,000","-1,608,000","-2,622,000","-2,931,000","-2,787,000","-2,280,000","-2,818,000","3,321,000","-3,693,000","-6,692,000","-7,031,000","-7,451,000","-7,846,000","-12,785,000","-1,458,000","3,869,000","-5,529,000","46,970,000","-2,690,000","-2,083,000","-1,251,000","-3,059,000","-1,700,000","-2,100,000","-2,600,000","1,300,000","-3,600,000","-5,800,000","-1,700,000","-4,100,000","-4,200,000","-1,200,000","-16,600,000","-2,000,000","-1,300,000","-14,000,000"
		NetPPEPurchaseAndSale,"-38,138,000","-9,686,000","-11,798,000","-6,166,000","-10,488,000","-12,650,000","-12,025,000","-9,322,000","-11,207,000","-14,258,000","-10,920,000","-8,910,000","-10,103,000","-8,756,000","-11,519,000","-7,432,000","-4,363,000","-4,233,000","-3,478,000","-6,138,000","-4,594,000","-3,841,000","-5,660,000","-3,649,000","-1,821,000","-2,031,000","-3,105,000","-2,530,000","-4,223,000","-2,834,000","-2,844,000","-1,739,000","-1,323,000","-996,000","-1,611,000","-2,121,000","-2,626,000","-2,368,000","-6,568,000","-8,294,000","-5,821,000","-4,050,000","-5,104,000","-6,825,000","-6,678,000","-11,384,000","-13,948,000","-9,420,000","-10,477,000","-12,170,000","-8,331,000","-9,077,000","-6,439,000","-6,584,000","-5,325,000","-5,300,000","-4,904,000","-5,128,000","-2,964,000","-4,548,000","2,282,000","-3,885,000","-4,250,000","-2,859,000","-2,730,000","-3,344,000","-2,536,000","-1,946,000","-6,185,000","-1,608,000","-2,622,000","-2,931,000","-2,787,000","-2,280,000","-2,818,000","3,186,000","-1,693,000","-692,000","-1,031,000","-1,451,000","-1,846,000","-12,785,000","-1,200,000","-776,000","-1,771,000","-2,527,000","-1,560,000","-1,507,000","-746,000","-575,000","-1,000,000","-1,900,000","-1,600,000","-400,000","-600,000","-1,600,000","-900,000","-4,300,000","-400,000","-1,000,000","-500,000","-400,000","-3,900,000","-700,000"
