name,ttm,03/31/2022,09/30/2021,06/30/2021
MarketCap,"314,754,300","315,392,100","318,051,750","284,495,400"
EnterpriseValue,"314,830,762","315,468,562","318,128,212","284,495,400"
EnterprisesValueEBITDARatio,,"-75.087","-1,208.019","-1,989,478.322"
