name,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,02/28/2019
TotalAssets,"1,285,529,000","1,263,352,000","1,269,794,000","891,492,000","475,510,000","467,495,000","266,877,000","120,482,000","124,414,000","68,877,000","65,762,000"
	CurrentAssets,"409,137,000","407,556,000","417,610,000","453,457,000","453,981,000","444,513,000","242,837,000","96,754,000","100,101,000","46,207,000","46,885,000"
		CashCashEquivalentsAndShortTermInvestments,"365,853,000","365,982,000","384,003,000","425,506,000","433,884,000","418,938,000","222,111,000","77,682,000","84,321,000","39,654,000","42,701,000"
			CashAndCashEquivalents,"365,853,000","365,982,000","384,003,000","325,508,000","433,884,000","418,938,000","222,111,000","77,682,000","84,321,000","39,654,000","42,701,000"
			OtherShortTermInvestments,,,,"99,998,000",,,,,,,
		Receivables,"30,801,000","25,903,000","18,720,000","18,022,000","11,837,000","16,766,000","10,770,000","3,205,000","1,189,000","384,000","436,000"
			AccountsReceivable,"21,116,000","21,641,000","15,845,000","15,311,000","9,112,000","15,432,000","10,661,000","2,971,000","294,000","351,000","371,000"
			OtherReceivables,"9,685,000","4,262,000","2,875,000","2,711,000","2,725,000","1,334,000","109,000","234,000","895,000","33,000","65,000"
		PrepaidAssets,"9,468,000","12,714,000","12,023,000","7,435,000","5,957,000","6,598,000","8,014,000","14,193,000","12,944,000","4,704,000","2,840,000"
		CurrentDeferredAssets,"3,015,000","2,957,000","2,864,000","2,494,000","2,303,000","2,211,000","1,942,000","1,674,000","1,647,000","1,465,000","908,000"
	TotalNonCurrentAssets,"876,392,000","855,796,000","852,184,000","438,035,000","21,529,000","22,982,000","24,040,000","23,728,000","24,313,000","22,670,000","18,877,000"
		NetPPE,"44,923,000","11,965,000","12,181,000","12,157,000","9,227,000","10,496,000","11,728,000","12,598,000","13,625,000","11,811,000","15,274,000"
			GrossPPE,"94,893,000",,,,"53,507,000",,,,"64,233,000",,"60,229,000"
				MachineryFurnitureEquipment,"61,767,000",,,,"53,507,000",,,,"64,233,000",,"60,229,000"
				OtherProperties,"33,126,000",,,,,,,,,,
			AccumulatedDepreciation,"-49,970,000",,,,"-44,280,000",,,,"-50,608,000",,"-44,955,000"
		GoodwillAndOtherIntangibleAssets,"822,586,000","834,710,000","830,826,000","417,675,000","4,617,000","4,980,000","5,342,000","5,705,000","6,067,000","6,430,000",
			Goodwill,"577,896,000","579,581,000","575,660,000","214,177,000","4,013,000","4,013,000","4,013,000","4,013,000","4,013,000","4,013,000",
			OtherIntangibleAssets,"244,690,000","255,129,000","255,166,000","203,498,000","604,000","967,000","1,329,000","1,692,000","2,054,000","2,417,000",
		NonCurrentDeferredAssets,"7,205,000","7,425,000","7,256,000","6,451,000","6,067,000","6,195,000","5,607,000","4,103,000","3,876,000","3,500,000","2,922,000"
		OtherNonCurrentAssets,"1,678,000","1,696,000","1,921,000","1,752,000","1,618,000","1,311,000","1,363,000","1,322,000","745,000","929,000","681,000"
TotalLiabilitiesNetMinorityInterest,"429,735,000","474,652,000","536,236,000","454,383,000","84,662,000","79,208,000","74,773,000","386,979,000","148,187,000","332,789,000","296,383,000"
