name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991
			ChangeInReceivables,"-4,140,000","3,746,000","-190,000","-3,671,000","-4,025,000","5,394,000","-2,817,000","-5,974,000","10,592,000","3,673,000","2,585,000","-1,938,000","-2,630,000","2,093,000","3,556,000","-4,541,000","-3,291,000","3,844,000","1,606,000","-2,539,000","-4,343,000","3,865,000","4,406,000","-1,089,000","-1,714,000","173,000","2,103,000","-1,268,000","-1,415,000","480,000","2,968,000","-1,992,000","-1,246,000","154,000","1,252,000","-1,430,000","-1,255,000","62,000","397,000","-1,916,000","-878,000","-848,000","662,000","-335,000","-1,038,000","514,000","621,000","-825,000","-820,000","986,000","2,493,000","591,000","872,000","2,743,000","2,643,000","-15,109,000","-14,658,000","-11,822,000","-18,936,000","-19,708,000","-16,349,000","-14,701,000","-11,702,000","-704,000","-565,000","242,000","51,000","549,000","-808,000","544,000","15,000","-319,000","-643,000","353,000","-112,000","-264,000","-545,000","368,000","233,000","-771,000","-530,000","711,000","35,000","-108,000","-280,000","264,000","430,000","80,000","-147,000","365,000","138,000","-200,000","-300,000","200,000","-100,000","-300,000",,,"-100,000","-300,000",,,,,,,,,,,,"-100,000",,,"-100,000",,,,,,,,,,
				ChangesInAccountReceivables,"-4,140,000","3,746,000","-190,000","-3,671,000","-4,025,000","5,394,000","-2,817,000","-5,974,000","10,592,000","3,673,000","2,585,000","-1,938,000","-2,630,000","2,093,000","3,556,000","-4,541,000","-3,291,000","3,844,000","1,606,000","-2,539,000","-4,343,000","3,865,000","4,406,000","-1,089,000","-1,714,000","173,000","2,103,000","-1,268,000","-1,415,000","480,000","2,968,000","-1,992,000","-1,246,000","154,000","1,252,000","-1,430,000","-1,255,000","62,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"-21,373,000","7,075,000","-1,414,000","-16,419,000","-10,615,000","1,442,000","2,546,000","5,485,000","14,192,000","6,951,000","6,200,000","-4,819,000","-1,413,000","5,874,000","94,000","-5,704,000","1,216,000","7,715,000","10,987,000","-3,382,000","1,792,000","6,796,000","305,000","-5,523,000","-1,213,000","1,812,000","1,906,000","-4,342,000","-1,322,000","2,354,000","2,184,000","-3,759,000","-1,594,000","1,805,000","2,847,000","-102,000","-4,920,000","975,000","1,641,000","-3,156,000","-1,529,000","267,000","4,216,000","-1,800,000","-1,939,000","-32,000","-1,056,000","-2,530,000","-6,732,000","6,443,000","8,154,000","-12,961,000","-6,089,000","3,752,000","5,735,000","-2,266,000","346,000","788,000","-115,000","-1,048,000","294,000","-1,867,000","-610,000","-1,518,000","-258,000","450,000","-151,000","-1,097,000","-869,000","554,000","175,000","-610,000","-1,406,000","1,121,000","-577,000","-1,763,000","-918,000","1,318,000",,,"-489,000","1,869,000","257,000","-641,000","2,032,000","3,039,000","1,159,000","-193,000","-429,000","1,031,000","-354,000","-2,200,000",,,"-2,200,000","-1,200,000","800,000","-400,000","-800,000","-500,000","600,000","400,000","-1,700,000","-1,100,000",,,,"200,000","500,000","-600,000","-1,400,000","-400,000",,,"-600,000","-500,000","-500,000","0","-400,000",,,,,,
			ChangeInPrepaidAssets,"1,061,000","-1,165,000","2,865,000","2,336,000","-2,975,000","868,000","1,325,000","-196,000","-84,000","355,000","-1,625,000","68,000","-268,000","776,000","691,000","1,814,000","1,350,000","-3,174,000","5,883,000","-4,560,000","785,000","11,594,000","3,104,000","-2,125,000","618,000","3,281,000","2,221,000","-2,190,000","-611,000","1,070,000","-739,000","-2,446,000","1,725,000","-185,000","1,995,000","-2,115,000","4,773,000","-2,623,000","6,968,000","-8,764,000","1,623,000","6,470,000","-3,023,000","-4,529,000","325,000","2,651,000","-643,000","-450,000","-659,000","2,921,000","-921,000","-2,621,000","-19,000","2,875,000","-953,000","-1,081,000","-32,000","2,759,000","-658,000","-4,144,000","62,000","-723,000","732,000","165,000","-1,512,000","1,053,000","-2,259,000","-114,000","1,141,000","-1,600,000","-102,000","-222,000","-216,000","10,000","294,000","-443,000","67,000","249,000","186,000","245,000","-841,000","451,000","-173,000","75,000","-823,000","275,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"8,351,000","-14,707,000","9,642,000","-10,210,000","23,626,000","3,122,000","-4,350,000","8,677,000","-5,461,000","9,755,000","-10,403,000","15,001,000","-11,428,000","3,447,000","-1,589,000","11,671,000","-17,324,000","25,141,000","-5,260,000","10,090,000","-6,884,000","-21,473,000","-8,443,000","-8,105,000","-1,396,000","-1,181,000","-321,000","6,681,000","-1,378,000","516,000","-8,115,000","2,992,000","2,870,000","-4,510,000","-2,015,000","13,133,000","464,000","1,514,000","-8,316,000","4,496,000","-9,060,000","1,689,000","-416,000","2,016,000","-3,728,000","5,890,000","1,158,000","1,455,000","1,327,000","-487,000","4,037,000","475,000","2,757,000","-3,344,000","-1,569,000","436,000","-3,311,000","2,917,000","5,829,000","-4,926,000","1,642,000","-3,258,000","3,192,000","1,701,000","1,379,000","-3,912,000","4,443,000","1,872,000","325,000","-1,552,000","2,162,000","-144,000","950,000","-4,312,000","-1,176,000","1,801,000","553,000","-633,000","287,000","-797,000","1,692,000","-1,169,000","1,183,000","1,044,000","-64,000","1,346,000","-303,000","1,647,000","-260,000","462,000","152,000","400,000","0","-100,000","500,000","-400,000","700,000","-300,000","-200,000","-300,000","700,000","-800,000","700,000","400,000",,,,"400,000",,,,"-1,100,000",,,"100,000","300,000","-300,000","400,000","-500,000",,,,,,
				ChangeInPayable,"8,351,000","-14,707,000","9,642,000",,,"3,122,000",,,"-5,461,000","9,755,000","-10,403,000","15,001,000","-11,428,000","3,447,000","-1,589,000","11,671,000","-17,324,000","25,141,000","-5,260,000","10,090,000","-6,884,000","-21,473,000","-8,443,000","-8,105,000","-1,396,000","-1,181,000","-321,000","6,681,000","-1,378,000","516,000","-8,115,000","2,992,000","2,870,000","-4,510,000","-2,015,000","13,133,000","464,000","1,514,000","-8,316,000","4,496,000","-9,060,000","1,689,000","-416,000","2,016,000","-3,728,000","5,890,000","1,158,000","1,455,000","1,327,000","-487,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					ChangeInTaxPayable,,,,,,,,,,,"4,678,000","-535,000","-7,109,000","7,007,000","191,000","-3,513,000","-9,475,000","27,619,000","8,839,000","167,000","-4,996,000","7,598,000","10,882,000","-11,745,000","-1,391,000","-536,000","-243,000","-419,000","1,284,000","526,000","1,115,000","-1,308,000","-3,791,000","-4,051,000","-2,011,000","9,242,000","875,000","-596,000","-539,000","164,000","-7,908,000","-1,773,000","4,917,000","-1,182,000","-5,379,000","6,289,000","814,000","-792,000","-2,502,000","-1,033,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,,"4,678,000","-535,000","-7,109,000","7,007,000","191,000","-3,513,000","-9,475,000","27,619,000","8,839,000","167,000","-4,996,000","7,598,000","10,882,000","-11,745,000","-1,391,000","-536,000","-243,000","-419,000","1,284,000","526,000","1,115,000","-1,308,000","-3,791,000","-4,051,000","-2,011,000","9,242,000","875,000","-596,000","-539,000","164,000","-7,908,000","-1,773,000","4,917,000","-1,182,000","-5,379,000","6,289,000","814,000","-792,000","-2,502,000","-1,033,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"8,351,000","-14,707,000","9,642,000",,,"3,122,000",,,"-5,461,000","9,755,000","-10,403,000","14,899,000","-4,319,000","-3,560,000","-1,780,000","15,184,000","-7,849,000","-2,478,000","-14,099,000","9,923,000","-1,888,000","-29,071,000","-19,325,000","3,640,000","-5,000","-645,000","-78,000","7,100,000","-2,662,000","-10,000","-9,230,000","4,300,000","6,661,000","-459,000","-4,000","3,891,000","-411,000","2,110,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,"-131,292,000","-108,729,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,301,000","1,881,000","-3,661,000","-1,316,000",,"-900,000","-2,000,000","900,000","-200,000","100,000","-500,000","-900,000","-800,000",,"300,000","-200,000","-500,000","-200,000",,,,"400,000","500,000","100,000","-300,000","-300,000",,,"-300,000","300,000",,,"100,000","400,000","-300,000","-200,000","-300,000","200,000","0"
