name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
			NetIncomeContinuousOperations,"-106,101,000","40,602,000","-24,353,000","10,223,000","-132,573,000","33,447,000","37,117,000","36,460,000","29,623,000","35,217,000","39,741,000","23,286,000","83,683,000","-77,692,000","-19,383,000","35,228,000","200,789,000","62,481,000","103,969,000","15,069,000","20,536,000","18,791,000","23,170,000","25,312,000","37,466,000","-15,743,000","25,084,000","18,034,000","16,826,000","19,439,000","22,236,000","17,198,000","14,796,000","-7,321,000","12,999,000","11,821,000","-662,000","9,557,000","3,959,000","5,226,000","5,923,000","4,405,000","7,164,000","2,344,000","2,087,000","1,248,000"
		MinorityInterests,,,,,,,"0","0","0","0","0","-4,000","-6,000","-12,000","-11,000","-10,000","-2,000","-10,000","-24,000","26,000","-16,000","32,000","5,000","25,000","9,000","32,000","-17,000","27,000","9,000","11,000","14,000","6,000","5,000","18,000",,,,,,,,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,,"0",,"7,207,000","2,561,000","2,560,000","2,561,000","2,560,000","2,561,000","2,560,000","2,561,000","2,560,000","2,561,000","2,560,000","2,561,000","2,560,000","2,561,000","2,560,000","2,561,000","2,560,000","2,561,000","2,560,000","2,579,000","2,523,000","304,000",,,,,,,,
DilutedNIAvailtoComStockholders,"-106,101,000","40,602,000","-24,353,000","10,223,000","-132,573,000","33,447,000","37,117,000","36,460,000","29,623,000","35,217,000","39,741,000","23,282,000","83,677,000","-77,704,000","-19,394,000","35,218,000","193,580,000","59,910,000","101,385,000","12,534,000","17,960,000","16,262,000","20,615,000","22,776,000","34,915,000","-18,272,000","22,507,000","15,500,000","14,275,000","16,889,000","19,690,000","14,643,000","12,241,000","-9,864,000","10,439,000","9,242,000","-3,185,000","9,253,000","3,959,000","5,226,000","5,923,000","4,405,000","7,164,000","2,344,000","2,087,000","1,248,000"
BasicEPS,,"0.18","-0.11","0.05","-0.61","0.16","0.18","0.18","0.14","0.17","0.2","0.12","0.46","-0.44","-0.11","0.2","1.09","0.34","0.57","0.11","0.27","0.25","0.32","0.35","0.53","-0.28","0.35","0.24","0.24","0.29","0.36","0.31","0.28","-0.25","0.27","0.25","-0.09","0.25","0.11","0.14","0.16","0.12",,"0.07","0.08","0.05"
DilutedEPS,,"0.18","-0.11","0.05","-0.61","0.16","0.18","0.18","0.14","0.17","0.2","0.12","0.46","-0.44","-0.11","0.2","1.08","0.34","0.57","0.11","0.27","0.25","0.31","0.35","0.53","-0.28","0.34","0.24","0.24","0.28","0.35","0.31","0.28","-0.25","0.27","0.24","-0.09","0.25","0.11","0.14","0.16","0.12",,"0.07","0.08","0.05"
BasicAverageShares,,"230,859,993","227,519,771","220,865,518","216,264,207","211,450,699","208,101,883","205,791,699","205,593,653","205,395,330","197,840,180","190,650,400","181,567,464","178,385,984","178,314,638","178,317,769","178,314,750","178,294,605","178,234,481","112,149,638","65,438,739","65,354,649","65,286,722","65,312,288","65,303,057","65,248,203","65,172,799","65,160,290","59,323,799","59,185,225","55,232,721","47,359,949","43,655,292","38,968,403","38,050,301","37,358,334","37,357,112","37,286,121","37,106,473","37,178,162","37,147,942","37,035,970",,"32,986,657","25,154,284","25,136,140"
DilutedAverageShares,,"231,564,970","227,519,771","222,063,910","216,264,207","212,624,305","209,322,132","206,727,167","206,219,162","206,006,285","199,048,481","191,952,389","182,254,100","178,385,984","178,314,638","178,941,213","178,684,024","178,516,388","178,428,200","112,418,100","65,670,853","65,920,486","65,671,345","65,591,428","65,503,383","65,248,203","65,424,854","65,398,175","59,543,781","59,559,253","55,844,007","47,877,202","44,096,297","38,968,403","38,680,409","37,828,573","37,357,112","37,739,964","37,594,583","37,465,114","37,191,687","37,058,886",,"33,049,621","25,226,179","25,211,585"
TotalExpenses,"363,620,000","94,242,000","92,745,000","89,539,000","87,094,000","89,418,000","86,508,000","84,329,000","86,305,000","85,758,000","80,397,000","81,448,000","88,207,000","71,663,000","101,514,000","78,011,000","67,724,000","69,209,000","75,424,000","49,128,000","33,311,000","30,200,000","25,300,000","25,217,000","22,704,000","26,415,000","30,092,000","22,786,000","27,331,000","22,153,000","23,799,000","15,988,000","17,681,000","15,203,000","13,782,000","11,315,000","11,644,000","12,963,000","12,423,000","11,274,000","11,046,000","11,624,000","11,592,000","11,502,000","9,213,000","8,756,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-106,101,000","40,602,000","-24,353,000","10,223,000","-132,573,000","33,447,000","37,117,000","36,460,000","29,623,000","35,217,000","39,741,000","23,282,000","83,677,000","-77,704,000","-19,394,000","35,218,000","200,787,000","62,471,000","103,945,000","15,095,000","20,520,000","18,823,000","23,175,000","25,337,000","37,475,000","-15,711,000","25,067,000","18,061,000","16,835,000","19,450,000","22,250,000","17,204,000","14,801,000","-7,303,000","12,999,000","11,821,000","-662,000","9,557,000","3,959,000","5,226,000","5,923,000","4,405,000","7,164,000","2,344,000","2,087,000","1,248,000"
