name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,11/30/2003,08/31/2003,05/31/2003,02/28/2003,11/30/2002,08/31/2002,05/31/2002,02/28/2002,11/30/2001
OperatingCashFlow,"258,200,000","38,400,000","43,600,000","83,700,000","92,500,000","103,600,000","88,700,000","123,900,000","126,500,000","163,600,000","85,100,000","129,600,000","182,700,000","123,700,000","56,500,000","131,800,000","52,500,000","122,400,000","38,500,000","139,800,000","136,900,000","107,700,000","32,900,000","38,700,000","101,800,000","124,400,000","68,400,000","51,100,000","130,700,000","82,700,000","28,800,000","46,700,000","104,300,000","71,400,000","14,000,000","43,400,000","64,500,000","68,100,000","14,200,000","-14,500,000","69,400,000","65,200,000","9,900,000","27,700,000","79,500,000","52,900,000","23,400,000","5,300,000","63,500,000","49,600,000","6,400,000","41,000,000","65,309,000","31,002,000","4,323,000","-8,192,000","115,187,000","54,496,000","29,207,000","27,163,000","117,736,000","62,551,000","23,420,000","37,454,000","92,010,000","47,937,000","3,398,000","12,538,000","75,914,000","54,345,000","24,688,000","-17,860,000","63,906,000","25,653,000","19,299,000","4,396,000","70,184,000","36,167,000","39,879,000","14,115,000","48,814,000","49,017,000","29,395,000","19,615,000"
	CashFlowFromContinuingOperatingActivities,"258,200,000","38,400,000","43,600,000","83,700,000","92,500,000","103,600,000","88,700,000","123,900,000","126,500,000","163,600,000","85,100,000","129,600,000","182,700,000","123,700,000","56,500,000","131,800,000","52,500,000","122,400,000","38,500,000","139,800,000","136,900,000","107,700,000","32,900,000","38,700,000","101,800,000","124,400,000","68,400,000","51,100,000","130,700,000","82,700,000","28,800,000","46,700,000","104,300,000","71,400,000","14,000,000","43,400,000","64,500,000","68,100,000","14,200,000","-14,500,000","69,400,000","65,200,000","9,900,000","27,700,000","79,500,000","52,900,000","23,400,000","5,300,000","63,500,000","49,600,000","6,400,000","41,000,000","65,298,000","31,301,000","4,323,000","-8,192,000","111,588,000","54,497,000","29,207,000","26,511,000","117,736,000","62,551,000","23,420,000","37,454,000","92,010,000","47,937,000","3,398,000","12,538,000","75,914,000","54,345,000","24,688,000","-17,860,000","63,906,000","25,653,000","19,299,000","4,396,000","70,184,000","36,167,000","39,879,000","14,115,000","48,814,000","49,017,000","29,395,000","19,615,000"
		NetIncomeFromContinuingOperations,"366,700,000","105,700,000","75,300,000","87,600,000","98,100,000","85,700,000","62,900,000","59,600,000","73,700,000","60,400,000","57,200,000","57,000,000","96,100,000","88,400,000","66,300,000","79,600,000","108,200,000","73,000,000","96,900,000","71,500,000","90,500,000","82,200,000","67,300,000","81,700,000","82,900,000","74,000,000","65,500,000","68,400,000","60,100,000","64,500,000","46,400,000","51,100,000","54,800,000","43,800,000","32,700,000","44,500,000","44,900,000","31,700,000","24,700,000","26,100,000",,,,,"34,200,000","27,000,000","19,900,000","24,400,000","27,200,000","20,700,000","7,800,000","23,300,000","29,088,000","22,327,000","14,367,000","19,415,000","42,282,000","41,134,000","34,144,000","31,072,000","51,453,000","38,676,000","24,358,000","33,567,000","41,367,000","28,712,000","14,507,000","21,976,000","27,809,000","19,692,000","-8,437,000","13,165,000","26,766,000","18,012,000","9,519,000","12,917,000","14,289,000","15,322,000","7,681,000","10,490,000","15,361,000","14,571,000","10,558,000","11,534,000"
		OperatingGainsLosses,,"0",,,,,,,"100,000","100,000","0","100,000","300,000","200,000","0","400,000","-4,900,000","0","0","100,000","0","200,000","0","-7,100,000","200,000","0","0","-1,100,000","-700,000",,,,"200,000",,,,"-100,000",,,,"300,000","100,000","0","100,000","300,000","0",,,"400,000","-10,500,000","10,500,000","100,000","34,000","38,000","-66,000","37,000","199,000","-6,000","31,000","-47,000","-410,000","8,000","30,000","165,000","571,000","9,722,000","-10,785,000","1,533,000","-4,489,000","2,032,000","2,779,000","1,839,000","1,807,000","2,419,000","1,867,000","1,350,000","1,401,000","1,732,000","-362,000","1,156,000","-1,480,000","1,003,000","806,000","1,049,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-7,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"-2,400,000","0",,,,,,,"100,000","100,000","0","100,000","300,000","200,000","0","400,000","500,000","0","0","100,000","0","200,000","0","100,000","200,000","0","0","-1,100,000","-700,000",,,,"200,000",,,,"-100,000","-2,400,000","0","0","300,000","100,000","0","100,000","300,000","0","100,000","0","400,000","0","0","100,000","34,000","38,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"96,500,000","23,500,000","23,600,000","24,300,000","25,100,000","25,000,000","25,000,000","25,000,000","25,800,000","25,500,000","25,600,000","24,200,000","22,600,000","22,400,000","22,000,000","21,300,000","21,800,000","20,200,000","19,300,000","19,000,000","18,100,000","20,000,000","19,300,000","17,200,000","13,600,000","18,300,000","16,400,000","14,300,000","11,600,000","11,700,000","11,200,000","11,300,000","11,200,000","10,800,000","10,800,000","10,600,000","10,600,000","10,300,000","9,900,000","10,000,000","10,100,000","10,200,000","9,400,000","10,100,000","10,400,000","10,500,000","9,600,000","9,600,000","8,800,000","8,900,000","9,400,000","9,400,000","9,610,000","8,701,000","8,605,000","8,820,000","9,032,000","8,216,000","8,216,000","8,376,000","9,889,000","9,243,000","9,553,000","9,720,000","9,568,000","9,257,000","9,983,000","10,204,000","10,800,000","9,690,000","10,493,000","10,092,000","9,488,000","10,536,000","11,563,000","11,373,000","11,134,000","11,446,000","11,693,000","11,766,000","10,272,000","13,292,000","13,174,000","12,756,000"
			DepreciationAndAmortization,"96,500,000","23,500,000","23,600,000","24,300,000","25,100,000","25,000,000","25,000,000","25,000,000","25,800,000","25,500,000","25,600,000","24,200,000","22,600,000","22,400,000","22,000,000","21,300,000","21,800,000","20,200,000","19,300,000","19,000,000","18,100,000","20,000,000","19,300,000","17,200,000","13,600,000","18,300,000","16,400,000","14,300,000","11,600,000","11,700,000","11,200,000","11,300,000","11,200,000","10,800,000","10,800,000","10,600,000","10,600,000","10,300,000","9,900,000","10,000,000","10,100,000","10,200,000","9,400,000","10,100,000","10,400,000","10,500,000","9,600,000","9,600,000","8,800,000","8,900,000","9,400,000","9,400,000","9,610,000","8,701,000","8,605,000","8,820,000","9,032,000","8,216,000","8,216,000","8,376,000","9,889,000","9,243,000","9,553,000","9,720,000","9,568,000","9,257,000","9,983,000","10,204,000","10,800,000","9,690,000","10,493,000","10,092,000","9,488,000","10,536,000","11,563,000","11,373,000","11,134,000","11,446,000","11,693,000","11,766,000","10,272,000","13,292,000","13,174,000","12,756,000"
		DeferredTax,,,,,,,,,"-7,000,000","400,000","-500,000","400,000","9,100,000","-200,000","500,000","-100,000","-6,200,000","0","-31,900,000","-100,000","-4,900,000","-100,000",,,"-8,200,000","300,000","-300,000","0","2,400,000","200,000","-200,000","400,000","-900,000","-400,000","300,000","800,000","4,500,000","300,000","600,000","1,100,000","7,000,000","1,100,000","300,000","-2,200,000","11,700,000","-500,000","100,000","-1,000,000","9,400,000","-300,000","-1,600,000","-100,000","4,133,000","2,094,000","-206,000","-6,409,000","-990,000","4,716,000","-497,000","-656,000","3,777,000","-1,414,000","918,000","119,000","-614,000","670,000","578,000","839,000",,,"-462,000","474,000",,,"-1,455,000","-2,239,000","6,510,000","-1,896,000",,,,"-570,000",,
			DeferredIncomeTax,,,,,,,,,"-7,000,000","400,000","-500,000","400,000","9,100,000","-200,000","500,000","-100,000","-6,200,000","0","-31,900,000","-100,000","-4,900,000","-100,000",,,"-8,200,000","300,000","-300,000","0","2,400,000","200,000","-200,000","400,000","-900,000","-400,000","300,000","800,000","4,500,000","300,000","600,000","1,100,000","7,000,000","1,100,000","300,000","-2,200,000","11,700,000","-500,000","100,000","-1,000,000","9,400,000","-300,000","-1,600,000","-100,000","4,133,000","2,094,000","-206,000","-6,409,000","-990,000","4,716,000","-497,000","-656,000","3,777,000","-1,414,000","918,000","119,000","-614,000","670,000","578,000","839,000",,,"-462,000","474,000",,,"-1,455,000","-2,239,000","6,510,000","-1,896,000",,,,"-570,000",,
