name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989
OperatingCashFlow,"1,595,000,000","425,000,000","201,000,000","511,000,000","457,000,000","314,000,000","321,000,000","218,000,000","129,000,000","-9,000,000","101,000,000","59,000,000","54,000,000","-54,000,000","91,300,000","151,200,000","237,300,000","30,700,000","168,700,000","143,400,000","140,800,000","20,800,000","102,000,000","136,100,000","109,100,000","-4,900,000","30,500,000","1,200,000","41,500,000","-44,000,000","-22,600,000","27,500,000","15,200,000","-73,000,000","19,700,000","59,200,000","146,800,000","16,800,000","63,000,000","65,800,000","47,100,000","-64,400,000","-6,400,000","5,100,000","29,400,000","-68,400,000","2,800,000","9,400,000","67,700,000","-32,100,000","27,600,000","-9,700,000","40,600,000","2,300,000","-51,900,000","-35,500,000","53,500,000","-108,600,000","-5,000,000","5,200,000","94,400,000","-104,300,000","-9,500,000","37,200,000","107,900,000","48,200,000","138,300,000","124,400,000","185,600,000","65,700,000","57,000,000","154,900,000","303,200,000","86,400,000","282,100,000","180,000,000","95,400,000","-48,100,000","6,800,000","18,100,000","120,200,000","-56,600,000","27,400,000","47,000,000","89,000,000","-14,700,000","-2,500,000","17,400,000","14,100,000","53,500,000","123,800,000","137,500,000","200,500,000","10,800,000","-59,200,000","52,200,000","173,400,000","-43,400,000","-68,600,000","16,000,000","185,700,000","-44,900,000","-92,100,000","27,200,000","35,000,000","52,700,000","6,700,000","146,700,000","60,500,000","120,700,000","149,000,000","204,900,000","128,600,000","113,400,000","89,600,000","118,300,000","59,100,000","171,500,000","109,500,000","95,900,000","88,100,000","66,800,000","26,600,000","54,500,000","152,600,000","16,500,000","10,400,000","67,500,000","92,500,000","79,800,000","94,500,000","66,900,000","128,400,000","63,400,000"
	CashFlowFromContinuingOperatingActivities,"1,598,000,000","427,000,000","202,000,000","512,000,000","457,000,000","314,000,000","321,000,000","218,000,000","129,000,000","-9,000,000","102,000,000","60,000,000","52,000,000","-53,000,000","91,300,000","151,200,000","237,300,000","30,700,000","168,700,000","143,400,000","140,800,000","20,800,000","102,000,000","136,100,000","109,100,000","-4,900,000","30,500,000","1,200,000","41,500,000","-44,000,000","-22,600,000","27,500,000","15,200,000","-73,000,000","19,700,000","59,200,000","146,800,000","16,800,000","63,000,000","65,800,000","47,100,000","-64,400,000","-6,400,000","5,100,000","29,400,000","-68,400,000","2,800,000","9,400,000","67,700,000","-32,100,000","27,600,000","-9,700,000","40,600,000","2,300,000","-51,900,000","-35,500,000","53,500,000","-108,600,000","-5,000,000","5,200,000","94,400,000","-104,300,000","-9,500,000","37,200,000","107,900,000","48,200,000","138,300,000","124,400,000","185,600,000","65,700,000","57,000,000","154,900,000","303,200,000","86,400,000","282,100,000","180,000,000","95,400,000","-48,100,000","6,800,000","18,100,000","120,200,000","-56,600,000","27,400,000","47,000,000","89,000,000","-14,700,000","-2,500,000","17,400,000","14,100,000","53,500,000","123,800,000","137,500,000","200,500,000","10,800,000","-59,200,000","52,200,000","173,400,000","-43,400,000","-68,600,000","16,000,000","185,700,000","-44,900,000","-92,100,000","27,200,000","35,000,000","52,700,000","6,700,000","146,700,000","60,500,000","120,700,000","149,000,000","204,900,000","128,600,000","113,400,000","89,600,000","118,300,000","59,100,000","171,500,000","109,500,000","95,900,000","88,100,000","66,800,000","26,600,000","54,500,000","152,600,000","16,500,000","10,400,000","67,500,000","92,500,000","79,800,000","94,500,000","66,900,000","128,400,000","63,400,000"
		NetIncomeFromContinuingOperations,"1,536,000,000","483,000,000","191,000,000","365,000,000","497,000,000","320,000,000","256,000,000","177,000,000","31,000,000","33,000,000","-52,000,000","1,000,000","16,000,000","26,000,000","17,000,000","124,000,000","162,700,000","90,900,000","130,600,000","109,800,000","94,500,000","55,000,000","42,200,000","65,600,000","31,700,000","10,300,000","-7,600,000","-26,500,000","-19,500,000","-34,500,000","-42,900,000","-20,400,000","2,100,000","-14,200,000","-20,400,000","36,400,000","94,100,000","65,300,000","46,100,000","31,300,000","-37,300,000","-11,300,000","-57,200,000","-65,600,000","-35,400,000",,"-6,600,000","-31,700,000","22,400,000","-22,700,000","-49,200,000","-12,900,000","-29,600,000","-30,600,000","-340,500,000","-111,100,000","-80,800,000","-46,400,000","-51,500,000","-67,800,000","-23,300,000","-37,300,000","-24,600,000","9,500,000","55,100,000","83,700,000","85,200,000","168,300,000","100,300,000","101,700,000","13,700,000","108,100,000","192,400,000","106,500,000","163,700,000","124,500,000","-17,200,000","1,500,000","-42,600,000","3,300,000","-19,500,000","-3,200,000","-70,900,000","-1,600,000","-9,700,000","-89,400,000","-51,600,000","-40,900,000","21,000,000","57,700,000","35,400,000","69,300,000","84,900,000","27,200,000","15,900,000","-192,700,000","203,900,000","-25,100,000","-21,300,000","-112,400,000","-10,100,000","42,000,000","-14,700,000","-203,400,000","21,000,000","-3,600,000","26,800,000","-159,100,000","26,300,000","54,300,000","84,700,000","95,100,000","81,900,000","85,200,000","59,500,000","41,500,000","65,700,000","87,700,000","41,100,000","55,700,000","44,100,000","36,000,000","8,800,000","26,500,000","29,200,000","-8,600,000","-3,900,000","21,200,000","38,000,000","35,800,000","52,800,000","51,500,000","48,400,000","39,900,000"
		OperatingGainsLosses,"-39,000,000","-39,000,000","0",,,"11,000,000",,,,"7,000,000","92,000,000",,"1,000,000","-12,000,000","13,000,000","-31,400,000","-2,300,000","100,000","11,600,000","-2,800,000","-4,100,000","1,600,000","-2,900,000","13,300,000","700,000","1,000,000","-1,200,000","1,200,000","2,200,000","5,000,000","-1,000,000","-12,500,000","-4,400,000","5,200,000","1,300,000","300,000","-39,400,000","-6,000,000","-3,200,000","5,900,000","56,500,000","3,500,000","15,100,000","-33,200,000","6,500,000","5,800,000","-13,000,000","-5,600,000","2,800,000","3,100,000","5,800,000","6,800,000","7,700,000","4,900,000","24,000,000","19,700,000","5,500,000","3,700,000","68,100,000","7,200,000","-12,100,000","5,200,000","40,300,000","-12,800,000","-3,200,000","-6,200,000","8,100,000","8,200,000","3,800,000","-600,000","-34,600,000","-3,000,000","-15,400,000","26,500,000","-78,600,000","-62,600,000","41,200,000","-23,300,000","24,100,000","-59,400,000","14,600,000","-9,000,000","72,400,000","9,100,000","-11,800,000","13,500,000","7,100,000","-12,800,000","-56,100,000","-500,000","-12,500,000","6,600,000","-11,100,000","-58,400,000","10,000,000","306,000,000","-348,400,000","-8,400,000","85,800,000","-38,800,000","-80,800,000","-8,900,000","259,500,000","-46,700,000","-108,100,000","-14,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,"-39,000,000",,,,,,"0","0","0","0","0","0","-14,000,000",,,,,,,,,,,,,,,,,"0","0","0",,"-1,200,000","0","-35,900,000",,,"0",,,,"6,000,000",,,,"3,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"92,000,000",,,,,,,,,"7,000,000",,,"0","1,000,000","11,100,000","300,000",,"-600,000","8,600,000","700,000","-3,100,000","600,000","-9,400,000","300,000","700,000","0","600,000","900,000","500,000","100,000","1,000,000","-3,600,000",,,"600,000",,"-700,000","0","400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,"0","2,000,000","-1,600,000","500,000","100,000","-100,000","500,000","-100,000","1,500,000","200,000","-1,100,000","-200,000","-800,000","100,000","-2,700,000","1,200,000","700,000","3,600,000","-1,400,000","-2,400,000","-3,900,000","5,200,000","-2,400,000","-400,000","200,000","-300,000","-1,400,000","5,700,000","-1,200,000","300,000","1,200,000","-3,800,000","200,000",,,"200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-15,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,"0","-2,000,000","3,100,000","1,300,000","-300,000","-800,000","400,000","-200,000","-400,000","-600,000","1,200,000","0","-200,000","500,000","400,000","-2,000,000","-1,400,000","-700,000","-1,200,000","-1,400,000","-1,200,000","-600,000","-600,000","0","-4,100,000","-7,200,000","-4,300,000","-2,000,000","2,800,000","1,800,000",,,"7,400,000","3,300,000",,,,"700,000","2,200,000","2,800,000","3,400,000","2,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,"0",,,,"0","0","1,000,000","1,000,000","400,000","-33,500,000","-2,100,000","1,600,000","2,100,000","-3,200,000","-2,100,000","1,400,000","2,300,000","0","1,000,000","400,000","500,000","1,100,000","2,400,000","2,000,000","600,000","-5,100,000","700,000","600,000","3,800,000","-100,000","1,100,000","1,500,000","2,100,000","2,200,000","2,500,000","1,600,000","3,700,000","-10,400,000","400,000",,,"-8,700,000",,,,"2,900,000","2,200,000","1,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
