name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
TotalRevenue,"872,288,000","238,565,000","221,912,000","212,564,000","199,247,000","188,841,000","178,787,000","172,511,000","163,798,000","164,081,000","165,506,000","166,547,000","159,017,000","152,845,000","153,882,000","153,370,000","147,815,000","142,877,000","143,482,000","143,865,000","138,559,000","133,037,000","132,546,000","132,096,000","126,526,000","118,871,000","114,992,000","115,970,000","109,871,000","103,688,000","100,267,000","97,092,000","92,337,000","87,267,000","81,958,000","82,832,000","82,302,000","78,457,000","75,011,000","74,134,000","69,324,000","67,199,000","63,648,000","60,445,000","59,404,000","57,541,000","52,145,000","57,012,000","54,757,000","53,123,000","52,931,000","54,859,000","57,012,000","57,676,000","58,454,000","60,720,000","60,407,000","60,063,000","59,417,000","58,306,000","56,308,000","55,532,000","55,105,000","56,406,000","52,440,000","48,128,000","43,319,000","41,303,000","33,784,000","29,715,000","27,596,000","22,281,000","28,194,000","20,524,000","20,850,000","20,681,000"
	OperatingRevenue,"872,288,000","238,565,000","221,912,000","212,564,000","199,247,000","188,841,000","178,787,000","172,511,000","163,798,000","164,081,000","165,506,000","166,547,000","159,017,000","152,845,000","153,882,000","153,370,000","147,815,000","142,877,000","143,482,000","143,865,000","138,559,000","133,037,000","132,546,000","132,096,000","126,526,000","118,871,000","114,992,000","115,970,000","109,871,000","103,688,000","100,267,000","97,092,000","92,337,000","87,267,000","81,958,000","82,832,000","82,302,000","78,457,000","75,011,000","74,134,000","69,324,000","67,199,000","41,917,000","60,445,000","59,404,000","57,541,000","33,505,000","57,012,000","54,757,000","53,123,000","52,931,000","54,859,000","57,012,000","57,676,000","58,454,000","60,720,000","60,407,000","60,189,000","59,628,000","58,410,000","56,399,000","55,641,000","55,499,000","56,499,000","52,599,000","49,054,000","45,661,000","41,352,000","33,814,000","29,715,000","27,529,000","22,348,000","28,194,000","20,524,000","20,850,000","20,681,000"
CostOfRevenue,"261,443,000","70,567,000","63,060,000","64,065,000","63,751,000","61,228,000","55,448,000","57,101,000","55,345,000","55,740,000","54,729,000","53,465,000","50,120,000","51,425,000","49,829,000","48,755,000","49,528,000","48,754,000","44,661,000","47,152,000","44,821,000","44,874,000","42,216,000","41,805,000","41,607,000","40,219,000","38,234,000","39,297,000","38,210,000","37,431,000","34,709,000","33,622,000","32,080,000","32,290,000","30,276,000","30,104,000","29,955,000","30,821,000","27,794,000","29,195,000","27,645,000","27,285,000","25,106,000","24,940,000","25,085,000","25,610,000","21,775,000","24,602,000","24,421,000","22,973,000","22,154,000","23,153,000","26,002,000","0",,,,"25,389,000",,,,,,,,,,,,,,,,,,
GrossProfit,"610,845,000","167,998,000","158,852,000","148,499,000","135,496,000","127,613,000","123,339,000","115,410,000","108,453,000","108,341,000","110,777,000","113,082,000","108,897,000","101,420,000","104,053,000","104,615,000","98,287,000","94,123,000","98,821,000","96,713,000","93,738,000","88,163,000","90,330,000","90,291,000","84,919,000","78,652,000","76,758,000","76,673,000","71,661,000","66,257,000","65,558,000","63,470,000","60,257,000","54,977,000","51,682,000","52,728,000","52,347,000","47,636,000","47,217,000","44,939,000","41,679,000","39,914,000","38,542,000","35,505,000","34,319,000","31,931,000","30,370,000","32,410,000","30,336,000","30,150,000","30,777,000","31,706,000","31,010,000","57,676,000",,,,"34,674,000",,,,,,,,,,,,,,,,,,
OperatingExpense,"312,214,000","97,082,000","81,467,000","67,966,000","65,699,000","64,726,000","49,080,000","48,277,000","49,436,000","51,203,000","50,665,000","53,390,000","50,463,000","47,589,000","48,946,000","45,019,000","43,387,000","43,710,000","43,078,000","44,199,000","45,536,000","47,613,000","47,873,000","49,892,000","49,339,000","47,584,000","44,146,000","45,746,000","45,200,000","45,068,000","43,919,000","39,086,000","37,546,000","34,684,000","33,456,000","35,821,000","36,756,000","37,445,000","37,977,000","36,634,000","33,752,000","32,207,000","27,704,000","21,518,000","22,786,000","21,603,000","20,785,000","22,154,000","23,207,000","22,246,000","23,208,000","23,450,000","24,326,000","48,667,000","35,264,000","38,253,000","52,214,000","25,445,000","52,590,000","47,477,000","44,817,000","46,032,000","47,321,000","45,760,000","41,105,000","39,118,000","38,328,000","29,216,000","23,987,000","21,842,000","23,639,000","14,386,000","-17,986,000","13,528,000","13,420,000","12,827,000"
	SellingGeneralAndAdministration,"51,418,000","14,525,000","13,238,000","12,095,000","11,560,000","10,916,000","11,322,000","10,193,000","9,543,000","10,365,000","9,602,000","10,011,000","9,800,000","9,147,000","10,847,000","9,780,000","8,341,000","8,744,000","8,223,000","8,228,000","8,800,000","9,494,000","8,639,000","8,065,000","7,891,000","8,228,000","7,082,000","7,002,000","7,114,000","7,173,000","7,330,000","7,464,000","7,059,000","6,569,000","7,109,000","7,326,000","7,515,000","7,613,000","6,549,000","6,860,000","6,278,000","6,444,000","6,343,000","5,476,000","6,841,000","6,031,000","6,098,000","6,597,000","6,844,000","5,868,000","5,911,000","5,556,000","5,626,000","29,931,000","7,151,000","5,849,000","6,469,000","5,495,000","4,893,000","5,291,000","5,766,000","5,989,000","4,955,000","7,362,000","4,405,000","5,566,000","8,582,000","3,686,000","3,229,000","3,025,000","829,000","1,185,000","1,892,000","0","1,110,000","1,142,000"
		GeneralAndAdministrativeExpense,"51,418,000","14,525,000","13,238,000","12,095,000","11,560,000","10,916,000","11,322,000","10,193,000","9,543,000","10,365,000","9,602,000","10,011,000","9,800,000","9,147,000","10,847,000","9,780,000","8,341,000","8,744,000","8,223,000","8,228,000","8,800,000","9,494,000","8,639,000","8,065,000","7,891,000","8,228,000","7,082,000","7,002,000","7,114,000","7,173,000","7,330,000","7,464,000","7,059,000","6,569,000","7,109,000","7,326,000","7,515,000","7,613,000","6,549,000",,,,,,,,,,,,,,,,,,"6,469,000","5,495,000","4,893,000","5,291,000","5,766,000","5,989,000","4,955,000","7,362,000","4,405,000","5,566,000","8,582,000","3,686,000","3,229,000","3,025,000",,,"1,892,000",,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,469,000","5,495,000","5,230,000","5,291,000","5,766,000","5,989,000","4,955,000","7,362,000","4,405,000","5,566,000","8,582,000","3,686,000","3,229,000","3,025,000",,,"1,892,000",,,
			OtherGandA,"51,418,000","14,525,000","13,238,000","12,095,000","11,560,000","10,916,000","11,322,000","10,193,000","9,543,000","10,365,000","9,602,000","10,011,000","9,800,000","9,147,000","10,847,000","9,780,000","8,341,000","8,744,000","8,223,000","8,228,000","8,800,000","9,494,000","8,639,000","8,065,000","7,891,000","8,228,000","7,082,000","7,002,000","7,114,000","7,173,000","7,330,000","7,464,000","7,059,000","6,569,000","7,109,000","7,326,000","7,515,000","7,613,000","6,549,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"260,796,000","82,557,000","68,229,000","55,871,000","54,139,000","53,810,000","37,758,000","38,084,000","39,893,000","40,838,000","41,063,000","43,379,000","40,663,000","38,442,000","38,099,000","35,239,000","35,046,000","34,966,000","34,855,000","35,971,000","36,736,000","38,119,000","39,234,000","41,827,000","41,448,000","39,356,000","37,064,000","38,744,000","38,086,000","37,895,000","36,589,000","31,622,000","30,487,000","28,115,000","26,347,000","28,495,000","29,241,000","29,832,000","31,428,000","29,774,000","27,474,000","25,763,000","21,361,000","16,042,000","15,945,000","15,572,000","14,687,000","15,557,000","16,363,000","16,378,000","17,297,000","17,894,000","18,700,000","18,736,000","18,634,000","19,416,000","20,251,000","19,950,000","19,717,000","17,068,000","16,722,000","16,767,000","17,918,000","16,405,000","15,734,000","14,672,000","12,316,000","10,868,000","8,744,000","8,021,000","7,019,000","5,322,000",,"4,728,000","4,739,000","4,816,000"
