name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,12/31/2016
TotalAssets,"421,518,000","468,707,000","470,241,000","469,203,000","478,606,000","492,966,000","462,764,000","432,536,000","418,858,000","444,312,000","458,499,000","435,651,000","447,766,000","474,649,000","487,844,000","506,207,000","473,869,000","469,697,000","392,235,000","583,035,000"
	CurrentAssets,"310,649,000","355,014,000","353,617,000","352,063,000","358,175,000","370,734,000","337,359,000","304,595,000","287,681,000","308,443,000","291,646,000","375,261,000","388,890,000","417,511,000","433,259,000","452,214,000","431,046,000","425,291,000","336,231,000","527,372,000"
		CashCashEquivalentsAndShortTermInvestments,"168,580,000","154,703,000","156,460,000","168,654,000","144,961,000","157,455,000","156,191,000","149,148,000","134,752,000","113,638,000","123,570,000","130,510,000","264,411,000","280,587,000","308,350,000","342,925,000","307,095,000","260,820,000","183,519,000","343,946,000"
			CashAndCashEquivalents,"168,580,000","154,703,000","156,460,000","168,654,000","144,961,000","157,455,000","156,191,000","149,148,000","134,752,000","113,638,000","123,570,000","130,510,000","264,411,000","280,587,000","308,350,000","342,925,000","307,095,000","260,820,000","183,519,000","329,554,000"
				CashFinancial,,,,,,,,,,"48,942,000",,,,"7,751,000",,,,"5,877,000",,"5,300,000"
				CashEquivalents,,,,,,,,,,"64,696,000",,,,"272,836,000",,,,"254,943,000",,"324,254,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,"0","0","14,392,000"
		Receivables,"48,106,000","85,774,000","80,863,000","65,570,000","92,342,000","94,124,000","65,968,000","52,867,000","55,013,000","93,100,000","62,736,000","51,671,000","50,091,000","81,782,000","79,750,000","70,852,000","88,866,000","122,634,000","97,544,000","110,234,000"
			AccountsReceivable,"48,106,000","85,774,000","80,863,000","65,570,000","92,342,000","94,124,000","65,968,000","52,867,000","55,013,000","93,100,000","62,736,000","51,671,000","50,091,000","81,782,000","79,750,000","70,852,000","88,866,000","122,634,000","97,544,000","110,234,000"
				GrossAccountsReceivable,"48,476,000","85,891,000","80,984,000","65,717,000","92,492,000","94,182,000","66,006,000","52,911,000","55,035,000","93,120,000","63,647,000","53,336,000","51,756,000","82,192,000","80,436,000","71,538,000","89,558,000","123,326,000","98,246,000","110,924,000"
