name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,10/31/2009,10/31/2008
OperatingCashFlow,"197,503,000","115,642,000","15,299,000","27,778,000","38,784,000","80,672,000","10,327,000","37,335,000","57,386,000","104,130,000","-14,747,000","37,593,000","51,683,000","115,385,000","36,709,000","46,652,000","78,821,000","88,869,000","54,962,000","19,643,000","48,846,000","94,859,000","11,380,000","9,696,000","19,485,000","70,959,000","42,971,000","-4,423,000","33,845,000","84,327,000","22,152,000","22,314,000","24,680,000","-171,000","29,515,000","5,873,000","62,618,000","24,502,000","18,712,000","26,770,000","19,283,000","37,263,000","17,542,000","20,732,000","14,901,000","40,876,000","6,010,000","22,972,000","21,060,000","33,461,000","18,841,000","-1,680,000"
	CashFlowFromContinuingOperatingActivities,"197,503,000","115,642,000","15,299,000","27,778,000","38,784,000","80,672,000","10,327,000","37,335,000","57,386,000","104,130,000","-14,747,000","37,593,000","51,683,000","115,385,000","36,709,000","46,652,000","78,821,000","88,869,000","54,962,000","19,643,000","48,846,000","94,859,000","11,380,000","9,696,000","19,485,000","70,959,000","42,971,000","-4,423,000","33,845,000","84,327,000","22,152,000","22,314,000","24,680,000","-171,000","29,515,000","5,873,000","62,618,000","24,502,000","18,712,000","26,770,000","19,283,000","37,263,000","17,542,000","20,732,000","14,901,000","40,876,000","6,010,000","22,972,000","21,060,000","33,461,000","18,841,000","-1,680,000"
		NetIncomeFromContinuingOperations,"60,369,000","38,624,000","-10,523,000","7,335,000","24,933,000","25,735,000","-24,016,000","-2,992,000","3,294,000","46,845,000","1,693,000","-531,000","34,692,000","64,043,000","14,272,000","4,573,000","29,827,000","70,031,000","12,228,000","13,639,000","19,266,000","40,754,000","-1,345,000","2,037,000","8,026,000","32,882,000","-6,073,000","179,000","3,496,000","40,813,000","-846,000","13,891,000","14,343,000","15,305,000","1,036,000","6,113,000","11,305,000","15,586,000","7,599,000","10,613,000","11,891,000","17,116,000",,,,"12,701,000","7,938,000","8,971,000","12,508,000","12,815,000","10,404,000","5,827,000"
		OperatingGainsLosses,"-746,000","1,708,000","-265,000","-736,000","-1,453,000","875,000","1,966,000","1,597,000",,,,,,,,,,,,,,,,,,,,,,"2,000","-13,000","-2,000","0","-29,000","-5,000","3,000","-17,000","6,000","-3,000","-3,000","3,000","-8,000",,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,"-11,000","0",,,,,,,,,,,,,,,,,,,,,,"2,000","-13,000","-2,000","0","-29,000","-5,000","3,000","-17,000","6,000","-3,000","-3,000","3,000","-8,000",,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-746,000","1,708,000","-265,000","-736,000","-1,453,000","875,000","1,977,000","1,597,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"84,976,000","20,321,000","21,522,000","22,209,000","20,924,000","20,144,000","21,935,000","21,783,000","21,430,000","20,976,000","21,653,000","21,100,000","20,296,000","19,056,000","18,602,000","18,113,000","17,469,000","17,158,000","16,372,000","16,324,000","16,578,000","15,306,000","14,415,000","14,920,000","15,968,000","17,178,000","16,529,000","15,498,000","14,987,000","14,700,000","12,804,000","8,623,000","7,893,000","7,664,000","7,193,000","6,903,000","6,649,000","6,354,000","5,567,000","4,823,000","4,090,000","3,651,000","3,558,000","3,276,000","2,965,000","2,531,000","2,183,000","2,042,000","1,800,000","1,563,000","1,296,000","1,145,000"
			DepreciationAndAmortization,"84,976,000","20,321,000","21,522,000","22,209,000","20,924,000","20,144,000","21,935,000","21,783,000","21,430,000","20,976,000","21,653,000","21,100,000","20,296,000","19,056,000","18,602,000","18,113,000","17,469,000","17,158,000","16,372,000","16,324,000","16,578,000","15,306,000","14,415,000","14,920,000","15,968,000","17,178,000","16,529,000","15,498,000","14,987,000","14,700,000","12,804,000","8,623,000","7,893,000","7,664,000","7,193,000","6,903,000","6,649,000","6,354,000","5,567,000","4,823,000","4,090,000","3,651,000","3,558,000","3,276,000","2,965,000","2,531,000","2,183,000","2,042,000","1,800,000","1,563,000","1,296,000","1,145,000"
				Depreciation,"57,628,000","13,804,000","14,578,000","15,265,000","13,981,000","13,200,000","14,991,000","14,839,000","14,478,000","13,697,000","13,560,000","12,926,000","12,121,000","10,882,000","10,427,000","9,938,000","9,294,000","8,922,000","8,188,000","8,140,000","8,393,000","8,749,000","8,666,000","9,171,000","10,219,000","11,404,000","10,448,000","9,583,000","9,103,000","9,375,000",,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"27,348,000","6,517,000","6,944,000","6,944,000","6,943,000","6,944,000","6,944,000","6,944,000","6,952,000","7,279,000","8,093,000","8,174,000","8,175,000","8,174,000","8,175,000","8,175,000","8,175,000","8,236,000","8,184,000","8,184,000","8,185,000","6,557,000","5,749,000","5,749,000","5,749,000","5,774,000","6,081,000","5,915,000","5,884,000","5,325,000",,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"27,348,000","6,517,000","6,944,000","6,944,000","6,943,000","6,944,000","6,944,000","6,944,000","6,952,000","7,279,000","8,093,000","8,174,000","8,175,000","8,174,000","8,175,000","8,175,000","8,175,000","8,236,000","8,184,000","8,184,000","8,185,000","6,557,000","5,749,000","5,749,000","5,749,000","5,774,000","6,081,000","5,915,000","5,884,000","5,325,000",,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,,,,,,,,,,,,,,,,,,,"2,780,000",,,,"1,659,000","-390,000","1,000","0","-435,000","17,000","33,000","-21,000","463,000","0","0","0","5,193,000","82,000","-4,000","193,000","5,824,000","-32,000","0","0","144,000","0","0","107,000","-735,000","0",,,"0","0"
			DeferredIncomeTax,,,,,,,,,,,,,,,,,,,"2,780,000",,,,"1,659,000","-390,000","1,000","0","-435,000","17,000","33,000","-21,000","463,000","0","0","0","5,193,000","82,000","-4,000","193,000","5,824,000","-32,000","0","0","144,000","0","0","107,000","-735,000","0",,,"0","0"
		AmortizationOfSecurities,"1,614,000","-290,000","233,000","742,000","929,000","659,000","381,000","186,000","294,000","138,000","92,000","15,000","-84,000","-140,000","128,000","210,000","384,000","320,000","353,000","465,000","370,000","322,000","357,000","401,000","330,000","269,000","346,000","313,000","273,000","235,000","277,000","290,000","225,000","313,000","322,000","179,000","104,000","173,000","234,000","325,000","365,000","264,000","94,000","88,000",,,,,,,,
		AssetImpairmentCharge,"2,263,000","2,263,000","0","0",,,"20,620,000","31,000","1,068,000","0","457,000","17,000","4,000","100,000","570,000","177,000","175,000","0","260,000","52,000","858,000","156,000","5,000","1,000","31,000","105,000","142,000","742,000",,,"0","0","0","0","3,360,000","700,000","220,000","936,000","117,000","40,000","829,000","43,000","49,000","111,000","5,000","232,000","21,000","326,000","49,000","13,000","36,000","89,000"
		ProvisionandWriteOffofAssets,"55,595,000","15,199,000","11,871,000","12,573,000","17,362,000","2,994,000","941,000","2,345,000","3,082,000","1,316,000","21,765,000","19,241,000","21,872,000","23,573,000","16,432,000","21,541,000","23,432,000","18,385,000","18,640,000","21,067,000","19,192,000","18,246,000","16,147,000","20,427,000","23,021,000","16,766,000","16,814,000","14,914,000","16,379,000","15,187,000","12,012,000","10,196,000","7,558,000","8,481,000","9,098,000","9,596,000","13,127,000","15,429,000","20,308,000","14,385,000","14,487,000","12,806,000",,,,,,"12,270,000","13,519,000","9,099,000",,
		StockBasedCompensation,"49,040,000","14,858,000","14,308,000","11,508,000","8,366,000","17,237,000","16,901,000","11,806,000","13,602,000","11,385,000","-553,000","6,894,000","8,427,000","14,815,000","12,720,000","16,771,000","11,242,000","9,360,000","13,350,000","10,992,000","9,858,000","6,534,000","7,380,000","7,889,000","7,407,000","5,645,000","7,935,000","7,453,000","7,024,000","7,119,000","8,568,000","7,597,000","6,736,000","6,360,000","6,588,000","6,752,000","5,586,000","4,499,000","4,959,000","3,622,000","5,725,000","6,679,000","6,034,000","6,268,000","6,818,000","7,741,000","7,706,000","6,962,000","4,115,000","1,842,000","712,000","586,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,"735,000",,,,,,,,"-24,000","-148,000","-234,000","-3,038,000","-525,000","1,001,000","-2,902,000","-618,000","-229,000",,,,,,,,,,,,,,
		OtherNonCashItems,"-481,000","-583,000","17,000","43,000","42,000","42,000","42,000","43,000","42,000","42,000","81,000","-1,737,000","128,000","996,000","-9,803,000","13,898,000","399,000","398,000","-1,774,000","399,000","-7,102,000","394,000","3,383,000","384,000","-5,117,000","384,000","-300,000","384,000","483,000","-7,232,000",,,,,,,,,,"-58,965,000","27,646,000","28,654,000","-85,226,000","28,816,000","41,420,000","12,039,000",,,,,"6,508,000","5,289,000"
		ChangeInWorkingCapital,"-57,849,000","23,542,000","-24,586,000","-25,896,000","-32,319,000","12,986,000","-13,440,000","2,536,000","16,920,000","23,428,000","-66,811,000","-7,406,000","-33,652,000","-7,058,000","-15,978,000","-28,631,000","-4,107,000","-26,783,000","-7,247,000","-43,295,000","-9,439,000","12,412,000","-30,621,000","-35,973,000","-30,182,000","-2,270,000","8,013,000","-43,923,000","-13,825,000","13,524,000","-10,556,000","-18,047,000","-9,037,000","-37,740,000","-4,271,000","-21,553,000","26,266,000","-18,445,000","-25,820,000","-6,989,000","-16,724,000","-2,020,000","-20,211,000","-17,827,000","-23,675,000","5,525,000","2,547,000","24,055,000","-42,616,000","8,129,000","-115,000","-14,616,000"
			ChangeInReceivables,"-13,852,000","7,101,000","-11,548,000","-20,163,000","10,758,000","-11,515,000","-24,802,000","42,000","11,946,000","-3,363,000","-46,369,000","-25,981,000","-15,963,000","-16,739,000","-29,969,000","-24,106,000","-18,754,000","-12,626,000","-32,502,000","-27,912,000","-13,405,000","5,451,000","-38,241,000","-16,998,000","-42,432,000","16,163,000","-27,192,000","-13,498,000","-25,548,000","21,783,000","-34,235,000","-13,225,000","-3,853,000","24,834,000","-19,235,000","-17,395,000","3,568,000","-18,462,000","-28,764,000","-8,116,000","-12,849,000","-17,677,000","-23,006,000","-6,337,000","-17,000,000","-10,764,000","-19,993,000","-11,573,000","-10,817,000","-9,371,000","-7,303,000","-6,837,000"
				ChangesInAccountReceivables,"-13,852,000","7,101,000","-11,548,000","-20,163,000","10,758,000","-11,515,000","-24,802,000","42,000","11,946,000","-3,363,000","-46,369,000","-25,981,000","-15,963,000","-16,739,000","-29,969,000","-24,106,000","-18,754,000","-12,626,000","-32,502,000","-27,912,000","-13,405,000","5,451,000","-31,584,000","-16,998,000","-23,841,000","-2,428,000","-37,187,000","-13,498,000","-1,457,000","-2,308,000","-24,027,000","-9,884,000","-12,210,000","15,668,000","-8,343,000","-10,501,000","-2,802,000","-26,529,000","-20,714,000","-14,859,000","-12,849,000","-17,677,000","-26,016,000","-16,730,000","-17,000,000","-10,764,000","-19,993,000","-11,573,000","-10,817,000","-9,371,000","-7,303,000","-6,837,000"
