name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
OperatingCashFlow,"145,015,000","31,199,000","45,623,000","46,099,000","22,094,000","51,230,000","34,875,000","19,633,000","18,075,000","33,116,000","30,799,000","46,720,000","11,424,000","18,689,000","41,724,000","32,934,000","39,203,000","21,402,000","25,053,000","21,510,000","14,304,000","27,438,000","29,383,000","22,416,000","17,882,000","19,592,000","20,366,000","29,734,000","6,920,000","15,731,000","24,521,000","10,879,000","25,860,000","20,877,000","17,893,000","24,149,000","30,871,000","12,821,000","24,128,000","16,994,000","17,887,000","19,715,000","25,176,000","19,772,000","19,809,000","19,362,000","28,028,000","22,548,000","32,665,000","27,629,000","-3,143,000","16,383,000","29,419,000","14,575,000","26,936,000","12,853,000","24,202,000","-11,671,000","32,966,000","9,979,000","14,957,000","11,844,000","15,839,000","21,297,000","18,482,000","9,139,000","21,841,000","20,346,000","18,306,000","16,207,000","25,259,000","-3,671,000","5,065,000","12,570,000","15,524,000","15,904,000","8,062,000","17,785,000","16,758,000","18,624,000","6,724,000","15,434,000","23,084,000","14,205,000","9,490,000","-455,000","18,788,000","17,612,000","14,424,000","15,309,000","19,200,000","15,900,000","8,400,000","9,200,000","25,300,000","11,000,000","7,400,000","9,200,000","14,100,000","9,600,000","4,700,000","7,100,000","10,100,000","8,100,000","6,000,000","9,300,000","10,100,000","10,300,000","8,000,000","8,600,000","5,900,000","7,100,000","7,500,000","7,300,000","7,800,000","5,500,000","5,100,000","6,700,000","2,100,000","5,700,000","13,700,000","2,600,000"
	CashFlowFromContinuingOperatingActivities,"145,015,000","31,199,000","45,623,000","46,099,000","22,094,000","51,230,000","34,875,000","19,633,000","18,075,000","33,116,000","30,799,000","46,720,000","11,424,000","18,689,000","41,724,000","32,934,000","39,203,000","21,402,000","25,053,000","21,510,000","14,304,000","27,438,000","29,383,000","22,416,000","17,882,000","19,592,000","20,366,000","29,734,000","6,920,000","15,731,000","24,521,000","10,879,000","25,860,000","20,877,000","17,893,000","24,149,000","30,871,000","12,821,000","24,128,000","16,994,000","17,887,000","19,715,000","25,176,000","19,772,000","19,809,000","19,362,000","28,028,000","22,548,000","32,665,000","27,629,000","-3,143,000","16,383,000","29,419,000","14,575,000","26,936,000","12,853,000","24,202,000","-11,671,000","32,966,000","9,979,000","14,957,000","11,844,000","15,839,000","21,297,000","18,482,000","9,139,000","21,841,000","20,346,000","18,306,000","16,207,000","25,259,000","-3,671,000","5,065,000","12,570,000","15,524,000","15,904,000","8,062,000","17,785,000","16,758,000","18,624,000","6,724,000","15,434,000","23,084,000","14,205,000","9,490,000","-455,000","18,788,000","17,612,000","14,424,000","15,309,000","19,200,000","15,900,000","8,400,000","9,200,000","25,300,000","11,000,000","7,400,000","9,200,000","14,100,000","9,600,000","4,700,000","7,100,000","10,100,000","8,100,000","6,000,000","9,300,000","10,100,000","10,300,000","8,000,000","8,600,000","5,900,000","7,100,000","7,500,000","7,300,000","7,800,000","5,500,000","5,100,000","6,700,000","2,100,000","5,700,000","13,700,000","2,600,000"
		NetIncomeFromContinuingOperations,"126,213,000","27,726,000","34,776,000","34,092,000","29,619,000","39,770,000","25,683,000","19,186,000","23,851,000","4,727,000","26,820,000","26,644,000","27,280,000","24,589,000","26,998,000","25,149,000","32,081,000","23,270,000","3,981,000","21,283,000","14,013,000","15,888,000","17,914,000","17,196,000","12,007,000","12,473,000","10,061,000","12,414,000","13,447,000","14,221,000","7,729,000","12,496,000","11,928,000","12,300,000","9,259,000","15,854,000","5,816,000","10,553,000","8,735,000","9,847,000","12,321,000","11,051,000","-5,717,000","8,326,000","7,419,000","5,246,000","11,945,000","10,659,000","13,542,000","-13,168,000","2,729,000","-5,861,000","-18,619,000","1,687,000","8,889,000","10,164,000","12,913,000","11,121,000","11,648,000","12,219,000","11,488,000","10,895,000","12,398,000","15,392,000","12,226,000","12,938,000","11,783,000","12,996,000","17,838,000","15,219,000","16,564,000","-2,795,000","11,560,000","13,323,000","12,734,000","13,835,000","13,427,000","13,304,000","12,744,000","12,187,000","10,957,000","7,638,000","13,414,000","12,718,000","12,034,000","12,023,000","11,149,000","11,556,000","13,090,000","11,451,000","12,400,000","13,800,000","14,800,000","12,000,000","8,800,000","9,200,000","8,200,000","7,800,000","6,900,000","8,700,000","7,200,000","7,700,000","7,700,000","5,900,000","6,900,000","7,100,000","5,800,000","7,400,000","6,000,000","6,300,000","9,400,000","8,600,000","5,600,000","5,100,000","7,200,000","4,800,000","5,300,000","5,400,000","6,600,000","4,600,000","5,000,000","4,400,000"
		OperatingGainsLosses,"-17,729,000","-3,908,000","-5,180,000","-3,888,000","-4,753,000","-8,452,000","-6,199,000","-6,712,000","-4,251,000","-1,645,000","-2,126,000","-3,257,000","-3,070,000","-2,218,000","-5,724,000","-1,624,000","-9,049,000","-5,143,000","-6,121,000","-1,612,000","-491,000","-1,718,000","-2,969,000","-1,916,000","-590,000","218,000","223,000","-717,000","32,000","-267,000","5,969,000","-294,000","-1,757,000","-1,086,000","1,323,000","-1,310,000","1,499,000","-1,081,000","7,599,000","-2,335,000","-2,548,000","-878,000","2,477,000","3,066,000","529,000","-1,892,000","1,180,000","1,361,000","216,000","860,000","4,318,000","10,719,000","7,482,000","8,460,000","-1,745,000","7,463,000","222,000","-562,000","-566,000","-1,485,000","-495,000","554,000","-712,000","-37,000","-84,000","-152,000","13,170,000","-106,000","-5,544,000","-833,000","-216,000","-20,000","20,000","-3,981,000","-351,000","-3,623,000","-3,330,000","-2,213,000","182,000","-17,000","-842,000","179,000","287,000",,,,,,,,,"-100,000",,,,,,,,,,,,,,,,,,,,,,,"-1,300,000","-300,000","-400,000","-600,000",,"200,000","-300,000","-200,000"
			GainLossOnInvestmentSecurities,"-17,729,000","-3,908,000","-5,180,000","-3,888,000","-4,753,000","-8,452,000","-6,199,000","-6,712,000","-4,251,000","-1,645,000","-2,126,000","-3,257,000","-3,070,000","-2,218,000","-5,724,000","-1,624,000","-9,049,000","-5,143,000","-6,121,000","-1,612,000","-491,000","-1,718,000","-2,969,000","-1,916,000","-590,000","218,000","223,000","-717,000","32,000","-267,000","5,969,000","-294,000","-1,757,000","-1,086,000","1,323,000","-1,310,000","1,499,000","-1,081,000","3,230,000","-870,000","-1,089,000","567,000","3,915,000","4,477,000","1,919,000","-535,000","2,576,000","2,738,000","1,517,000","2,117,000","5,510,000","11,797,000","8,516,000","9,598,000","3,778,000","7,463,000","222,000","-562,000","-566,000","-1,485,000","-495,000","554,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"10,999,000","2,560,000","2,658,000","2,853,000","2,928,000","3,003,000","2,977,000","3,127,000","2,623,000","2,926,000","2,593,000","2,690,000","2,609,000","2,478,000","2,426,000","2,358,000","882,000","2,380,000","2,286,000","2,297,000","2,301,000","2,113,000","1,882,000","1,753,000","1,741,000","1,740,000","1,890,000","1,948,000","1,903,000","1,899,000","2,062,000","3,223,000","4,126,000","4,310,000","4,191,000","2,163,000","2,339,000","2,397,000","2,176,000","1,936,000","2,280,000","1,520,000","1,968,000","2,231,000","2,420,000","2,407,000","2,565,000","2,563,000","2,815,000","2,764,000","2,315,000","2,493,000","1,922,000","3,076,000","2,392,000","4,480,000","2,088,000","1,438,000","-979,000","2,158,000","1,967,000","2,048,000","-1,709,000","4,512,000","2,922,000","2,858,000","2,860,000","2,630,000","2,600,000","2,794,000","2,870,000","2,612,000","2,129,000","1,877,000","1,847,000","2,019,000","1,822,000","1,810,000","1,996,000","1,605,000","1,923,000","1,836,000","2,135,000","1,842,000","1,959,000","1,824,000","2,065,000","1,857,000","1,785,000","1,773,000","1,900,000","1,800,000","1,800,000","2,200,000","3,600,000","1,400,000","1,500,000","1,400,000","1,700,000","1,400,000","1,300,000","1,400,000","1,900,000","1,000,000","1,300,000","1,000,000","1,300,000","1,300,000","1,200,000","1,300,000","1,200,000","1,500,000","1,200,000","1,200,000","1,400,000","1,100,000","1,200,000","1,000,000","1,200,000","900,000","1,000,000","400,000"
			DepreciationAndAmortization,"10,999,000","2,560,000","2,658,000","2,853,000","2,928,000","3,003,000","2,977,000","3,127,000","2,623,000","2,926,000","2,593,000","2,690,000","2,609,000","2,478,000","2,426,000","2,358,000","882,000","2,380,000","2,286,000","2,297,000","2,301,000","2,113,000","1,882,000","1,753,000","1,741,000","1,740,000","1,890,000","1,948,000","1,903,000","1,899,000","2,062,000","3,223,000","4,126,000","4,310,000","4,191,000","2,163,000","2,339,000","2,397,000","2,176,000","1,936,000","2,280,000","1,520,000","1,968,000","2,231,000","2,420,000","2,407,000","2,565,000","2,563,000","2,815,000","2,764,000","2,315,000","2,493,000","1,922,000","3,076,000","2,392,000","4,480,000","2,088,000","1,438,000","-979,000","2,158,000","1,967,000","2,048,000","-1,709,000","4,512,000","2,922,000","2,858,000","2,860,000","2,630,000","2,600,000","2,794,000","2,870,000","2,612,000","2,129,000","1,877,000","1,847,000","2,019,000","1,822,000","1,810,000","1,996,000","1,605,000","1,923,000","1,836,000","2,135,000","1,842,000","1,959,000","1,824,000","2,065,000","1,857,000","1,785,000","1,773,000","1,900,000","1,800,000","1,800,000","2,200,000","3,600,000","1,400,000","1,500,000","1,400,000","1,700,000","1,400,000","1,300,000","1,400,000","1,900,000","1,000,000","1,300,000","1,000,000","1,300,000","1,300,000","1,200,000","1,300,000","1,200,000","1,500,000","1,200,000","1,200,000","1,400,000","1,100,000","1,200,000","1,000,000","1,200,000","900,000","1,000,000","400,000"
		DeferredTax,"-620,000","1,807,000","375,000","-1,806,000","-996,000","3,859,000","-3,158,000","-1,672,000","164,000","-3,551,000","-321,000","1,501,000","-331,000","1,443,000","504,000","1,501,000","371,000","1,097,000","17,414,000","-557,000","1,462,000","2,506,000","1,381,000","2,423,000","709,000","1,200,000","133,000","5,418,000","2,883,000","4,219,000","-1,345,000","1,289,000","2,272,000","2,646,000","3,263,000","5,593,000","1,070,000","2,778,000","44,000","573,000","1,263,000","671,000","-2,579,000","1,176,000","197,000","14,000","2,558,000","297,000","4,721,000","-12,247,000","-1,488,000","-8,909,000","-19,924,000","1,213,000","-4,149,000","-2,013,000","-995,000","-279,000","1,164,000","-1,384,000","-942,000","-1,312,000","-2,670,000","-537,000","-51,000","532,000","1,005,000","1,170,000","1,298,000","-3,366,000","-1,244,000","-320,000","306,000","-600,000","258,000","-168,000","-1,594,000","-731,000","-220,000","289,000","-614,000","-49,000","-757,000","74,000","-170,000","22,000","875,000","628,000","192,000","-162,000","2,300,000","-100,000","-100,000","-1,800,000","-1,900,000","100,000","300,000","100,000",,,"-300,000","700,000","800,000","-1,700,000","300,000","-100,000","1,300,000","-200,000","-500,000","300,000","900,000",,,"500,000","0","-200,000","-200,000","-800,000",,,,
			DeferredIncomeTax,"-620,000","1,807,000","375,000","-1,806,000","-996,000","3,859,000","-3,158,000","-1,672,000","164,000","-3,551,000","-321,000","1,501,000","-331,000","1,443,000","504,000","1,501,000","371,000","1,097,000","17,414,000","-557,000","1,462,000","2,506,000","1,381,000","2,423,000","709,000","1,200,000","133,000","5,418,000","2,883,000","4,219,000","-1,345,000","1,289,000","2,272,000","2,646,000","3,263,000","5,593,000","1,070,000","2,778,000","44,000","573,000","1,263,000","671,000","-2,579,000","1,176,000","197,000","14,000","2,558,000","297,000","4,721,000","-12,247,000","-1,488,000","-8,909,000","-19,924,000","1,213,000","-4,149,000","-2,013,000","-995,000","-279,000","1,164,000","-1,384,000","-942,000","-1,312,000","-2,670,000","-537,000","-51,000","532,000","1,005,000","1,170,000","1,298,000","-3,366,000","-1,244,000","-320,000","306,000","-600,000","258,000","-168,000","-1,594,000","-731,000","-220,000","289,000","-614,000","-49,000","-757,000","74,000","-170,000","22,000","875,000","628,000","192,000","-162,000","2,300,000","-100,000","-100,000","-1,800,000","-1,900,000","100,000","300,000","100,000",,,"-300,000","700,000","800,000","-1,700,000","300,000","-100,000","1,300,000","-200,000","-500,000","300,000","900,000",,,"500,000","0","-200,000","-200,000","-800,000",,,,
		AmortizationOfSecurities,,,,,,,,,,"1,310,000","1,021,000","1,167,000","920,000","784,000","740,000","789,000","779,000","775,000","847,000","903,000","915,000","867,000","1,038,000","1,222,000","1,162,000","1,102,000","781,000","861,000","710,000","441,000","623,000","610,000","462,000","538,000","265,000","-884,000","610,000","552,000","306,000","358,000","430,000","287,000",,,"287,000","173,000","904,000","-66,000","-270,000","-356,000","-711,000","-385,000","-89,000","-1,106,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
