name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
TotalRevenue,"2,126,539,000","530,738,000","591,975,000","498,727,000","505,099,000","528,273,000","556,910,000","519,878,000","504,520,000","542,208,000","501,235,000","506,000,000","471,231,000","416,454,000","477,998,000","425,507,000","438,921,000","457,463,000","430,138,000","419,360,000","410,011,000","428,229,000","403,860,000","379,505,000","402,382,000","364,826,000","363,937,000","358,970,000","357,135,000","730,565,000","837,094,000","737,902,000","686,006,000","662,017,000","802,815,000","774,834,000","886,136,000","805,423,000","865,296,000","807,586,000","852,585,000","765,892,000","800,789,000","707,622,000","752,352,000","691,277,000","705,162,000","632,765,000","688,496,000","662,388,000","688,513,000","648,997,000","732,069,000","785,053,000"
	OperatingRevenue,"2,126,539,000","530,738,000","591,975,000","498,727,000","505,099,000","528,273,000","556,910,000","519,878,000","504,520,000","542,208,000","501,235,000","506,000,000","471,231,000","416,454,000","477,998,000","425,507,000","438,921,000","457,463,000","430,138,000","419,360,000","410,011,000","428,229,000","403,860,000","379,505,000","402,382,000","364,826,000","363,937,000","358,970,000","357,135,000","730,565,000","837,094,000","737,902,000","686,006,000","662,017,000","802,815,000","774,834,000","886,136,000","805,423,000","865,296,000","807,586,000","852,585,000","765,892,000","800,789,000","707,622,000","752,352,000","691,277,000","705,162,000","632,765,000","688,496,000","662,388,000","688,513,000","648,997,000","732,069,000","785,053,000"
CostOfRevenue,"1,585,818,000","404,827,000","443,644,000","361,530,000","375,817,000","392,806,000","414,359,000","373,783,000","367,534,000","392,443,000","361,666,000","357,732,000","338,023,000","303,635,000","323,989,000","326,314,000","318,209,000","327,364,000","307,934,000","295,316,000","271,382,000","296,230,000","289,469,000","271,174,000","265,076,000","248,810,000","299,752,000","250,558,000","249,489,000","539,921,000","840,147,000","554,614,000","512,308,000","502,307,000","417,514,000","578,394,000","686,043,000","619,697,000","620,962,000","619,104,000","638,400,000","582,739,000","589,999,000","535,662,000","587,741,000","564,806,000","474,788,000","485,926,000","518,369,000","544,951,000","557,171,000","513,803,000","553,489,000","610,914,000"
GrossProfit,"540,721,000","125,911,000","148,331,000","137,197,000","129,282,000","135,467,000","142,551,000","146,095,000","136,986,000","149,765,000","139,569,000","148,268,000","133,208,000","112,819,000","154,009,000","99,193,000","120,712,000","130,099,000","122,204,000","124,044,000","138,629,000","131,999,000","114,391,000","108,331,000","137,306,000","116,016,000","64,185,000","108,412,000","107,646,000","190,644,000","-3,053,000","183,288,000","173,698,000","159,710,000","385,301,000","196,440,000","200,093,000","185,726,000","244,334,000","188,482,000","214,185,000","183,153,000","210,790,000","171,960,000","164,611,000","126,471,000","230,374,000","146,839,000","170,127,000","117,437,000","131,342,000","135,194,000","178,580,000","174,139,000"
OperatingExpense,"243,169,000","63,087,000","55,931,000","61,328,000","62,823,000","61,377,000","63,060,000","65,571,000","59,166,000","57,561,000","60,516,000","57,686,000","59,384,000","56,857,000","58,443,000","57,878,000","55,625,000","57,369,000","65,493,000","53,995,000","49,640,000","52,669,000","71,376,000","50,971,000","53,606,000","46,940,000","56,563,000","49,068,000","58,413,000","117,097,000","146,966,000","117,366,000","132,836,000","118,681,000","92,525,000","126,363,000","107,774,000","131,946,000","138,560,000","133,101,000","125,448,000","117,702,000","64,720,000","136,644,000","119,735,000","119,941,000","229,924,000","81,762,000","101,907,000","92,710,000","148,865,000","89,076,000","98,166,000","89,176,000"
	SellingGeneralAndAdministration,"232,273,000","60,134,000","54,363,000","58,458,000","59,318,000","58,261,000","60,436,000","62,638,000","55,137,000","52,958,000","58,475,000","52,561,000","54,052,000","51,683,000","54,893,000","53,919,000","51,518,000","53,762,000","63,571,000","51,398,000","48,488,000","51,150,000","70,012,000","49,225,000","52,040,000","45,209,000","55,025,000","47,550,000","54,760,000","108,751,000","137,025,000","108,987,000","101,918,000","94,685,000","66,269,000","102,576,000","106,937,000","103,600,000","109,077,000","105,208,000","107,985,000","106,023,000","111,497,000","102,002,000","97,078,000","102,633,000","112,405,000","98,708,000","101,846,000","92,723,000","114,115,000","102,279,000","98,196,000","88,969,000"
	ResearchAndDevelopment,"10,896,000","2,953,000","1,568,000","2,870,000","3,505,000","3,116,000","2,624,000","2,933,000","4,029,000","4,603,000","2,041,000","5,125,000","5,332,000","5,174,000","3,550,000","3,959,000","4,107,000","3,607,000","1,922,000","2,597,000","1,152,000","1,519,000","1,364,000","1,746,000","1,566,000","1,731,000","1,538,000","1,518,000","3,653,000","8,346,000","9,941,000","8,379,000","30,918,000","23,996,000","26,256,000","23,787,000","837,000","28,346,000","29,483,000","27,893,000","34,150,000","29,036,000","31,878,000","34,642,000","22,568,000","17,308,000",,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-14,546,000","-16,687,000","-17,357,000",,,"89,000",,,"-16,946,000","61,000","-13,000","34,750,000","-13,203,000","-30,000","207,000"
OperatingIncome,"297,552,000","62,824,000","92,400,000","75,869,000","66,459,000","74,090,000","79,491,000","80,524,000","77,820,000","92,204,000","79,053,000","90,582,000","73,824,000","55,962,000","95,566,000","41,315,000","65,087,000","72,730,000","56,711,000","70,049,000","88,989,000","79,330,000","43,015,000","57,360,000","83,700,000","69,076,000","7,622,000","59,344,000","49,233,000","73,547,000","-150,019,000","65,922,000","40,862,000","41,029,000","292,776,000","70,077,000","92,319,000","53,780,000","105,774,000","55,381,000","88,737,000","65,451,000","146,070,000","35,316,000","44,876,000","6,530,000","450,000","65,077,000","68,220,000","24,727,000","-17,523,000","46,118,000","80,414,000","84,963,000"
NetNonOperatingInterestIncomeExpense,"-35,369,000","-6,934,000","-6,986,000","-11,323,000","-10,126,000","-6,907,000","-7,416,000","-7,540,000","-7,804,000","-7,736,000","-8,059,000","-8,626,000","-9,405,000","-8,288,000","-8,330,000","-6,804,000","-7,428,000","-2,782,000","-2,964,000","-3,435,000","-3,695,000","-3,380,000","-2,949,000","-1,921,000","-1,316,000","-1,556,000","-3,320,000","28,797,000","-3,130,000","-2,189,000","-2,629,000","-2,711,000","-731,000","-480,000","-569,000","-151,000","-466,000","-486,000","-627,000","-579,000","-648,000","-390,000","-1,690,000","-523,000","-992,000","4,000","-1,315,000","-478,000","-4,415,000","-5,544,000","-6,167,000","-4,932,000","-6,030,000","-4,022,000"
