name,ttm,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,05/31/2010,02/28/2010,11/30/2009,08/31/2009,05/31/2009,02/28/2009,11/30/2008,08/31/2008,05/31/2008,02/29/2008,11/30/2007,08/31/2007,05/31/2007,02/28/2007,11/30/2006,08/31/2006,05/31/2006,02/28/2006,11/30/2005,08/31/2005,05/31/2005,02/28/2005,11/30/2004,08/31/2004,05/31/2004,02/29/2004,05/31/2003,02/28/2003
TotalRevenue,"306,063,000","73,970,000","78,280,000","76,971,000","76,842,000","71,182,000","72,770,000","70,216,000","58,332,000","69,780,000","70,003,000","66,042,000","7,450,000","86,341,000","91,503,000","85,340,000","88,317,000","83,851,000","86,706,000","85,411,000","86,914,000","85,602,000","89,029,000","88,098,000","93,569,000","87,384,000","89,234,000","83,703,000","90,897,000","86,597,000","92,149,000","87,331,000","94,065,000","88,195,000","88,616,000","83,579,000","90,032,000","81,571,000","87,007,000","83,406,000","57,690,000","51,567,000","58,099,000","54,431,000","56,223,000","54,648,000","53,372,000","51,507,000","60,277,000","52,207,000","53,459,000","50,092,000","52,820,000","49,447,000","48,464,000","44,323,000","46,752,000","40,725,000","41,497,000","37,526,000","40,855,000","26,738,000","24,369,000","20,265,000","23,592,000","19,785,000","18,707,000","16,367,000","17,332,000","15,450,000","14,402,000","13,105,000","14,119,000","11,645,000","11,235,000","6,800,000"
	OperatingRevenue,"306,063,000","73,970,000","78,280,000","76,971,000","76,842,000","71,182,000","72,770,000","70,216,000","58,332,000","69,780,000","70,003,000","66,042,000","7,450,000","86,341,000","91,503,000","85,340,000","88,317,000","83,851,000","86,706,000","85,411,000","86,914,000","85,602,000","89,029,000","88,098,000","93,569,000","87,384,000","89,234,000","83,703,000","90,897,000","86,597,000","92,149,000","87,331,000","94,065,000","88,195,000","88,616,000","83,579,000","90,032,000","81,571,000","87,007,000","83,406,000","57,690,000","51,567,000","58,099,000","54,431,000","56,223,000","54,648,000","53,372,000","51,507,000","60,277,000","52,207,000","53,459,000","50,092,000","52,820,000","49,447,000","48,464,000","44,323,000","46,752,000","40,725,000","41,497,000","37,526,000","40,855,000","26,738,000","24,369,000","20,265,000","23,592,000","19,785,000","18,707,000","16,367,000","17,332,000","15,450,000","14,402,000","13,105,000","14,119,000","11,645,000","11,235,000","6,800,000"
CostOfRevenue,"144,466,000","35,387,000","37,725,000","36,832,000","34,522,000","32,652,000","32,596,000","34,452,000","28,120,000","29,481,000","28,459,000","27,825,000","-8,283,000","39,650,000","42,394,000","40,873,000","40,850,000","38,403,000","43,975,000","44,182,000","44,579,000","41,810,000","44,019,000","43,066,000","51,745,000","43,900,000","43,400,000","40,529,000","45,340,000","48,746,000","44,493,000","41,506,000","47,251,000","42,560,000","43,686,000","41,097,000","45,790,000","40,370,000","42,919,000","43,947,000","26,522,000","22,153,000","24,868,000","22,285,000","23,797,000","22,927,000","21,836,000","21,487,000","25,320,000","21,934,000","21,852,000","19,960,000","20,127,000","19,225,000","18,771,000","16,866,000","17,439,000","15,407,000","16,042,000","15,025,000","16,807,000","10,789,000","10,125,000","8,339,000","9,985,000","8,237,000","7,861,000","6,847,000","7,576,000","6,885,000","6,338,000","6,112,000","6,599,000","5,552,000","5,402,000",
GrossProfit,"161,597,000","38,583,000","40,555,000","40,139,000","42,320,000","38,530,000","40,174,000","35,764,000","30,212,000","40,299,000","41,544,000","38,217,000","15,733,000","46,691,000","49,109,000","44,467,000","47,467,000","45,448,000","42,731,000","41,229,000","42,335,000","43,792,000","45,010,000","45,032,000","41,824,000","43,484,000","45,834,000","43,174,000","45,557,000","37,851,000","47,656,000","45,825,000","46,814,000","45,635,000","44,930,000","42,482,000","44,242,000","41,201,000","44,088,000","39,459,000","31,168,000","29,414,000","33,231,000","32,146,000","32,426,000","31,721,000","31,536,000","30,020,000","34,957,000","30,273,000","31,607,000","30,132,000","32,693,000","30,222,000","29,693,000","27,457,000","29,313,000","25,318,000","25,455,000","22,501,000","24,048,000","15,949,000","14,244,000","11,926,000","13,607,000","11,548,000","10,846,000","9,520,000","9,756,000","8,565,000","8,064,000","6,993,000","7,520,000","6,093,000","5,833,000",
OperatingExpense,"179,647,000","41,318,000","46,372,000","45,604,000","46,353,000","41,475,000","43,698,000","40,224,000","38,364,000","44,551,000","43,401,000","37,993,000","34,437,000","40,745,000","42,156,000","39,707,000","39,500,000","36,380,000","36,760,000","37,995,000","38,061,000","36,780,000","37,512,000","38,600,000","42,069,000","37,786,000","40,298,000","39,606,000","40,932,000","39,267,000","40,162,000","39,118,000","39,970,000","39,204,000","39,737,000","38,460,000","38,399,000","35,356,000","36,702,000","36,253,000","29,224,000","27,130,000","27,897,000","28,506,000","34,589,000","26,473,000","26,139,000","26,539,000","28,574,000","24,680,000","26,287,000","26,557,000","27,931,000","27,592,000","24,803,000","23,635,000","28,992,000","17,715,000","20,665,000","18,980,000","20,016,000","36,033,000","11,240,000","10,103,000","10,503,000","8,659,000","8,447,000","7,606,000","7,239,000","6,417,000","6,271,000","5,723,000","5,604,000","5,025,000","14,855,000",
	SellingGeneralAndAdministration,"128,767,000","29,143,000","33,284,000","33,389,000","32,951,000","28,618,000","29,393,000","26,262,000","26,428,000","31,137,000","31,107,000","27,833,000","26,004,000","28,193,000","29,605,000","27,929,000","28,844,000","25,732,000","26,507,000","27,458,000","28,792,000","26,469,000","27,308,000","27,656,000","30,597,000","27,085,000","28,658,000","27,986,000","27,876,000","26,272,000","28,956,000","27,390,000","28,417,000","26,931,000","27,396,000","26,491,000","26,660,000","24,566,000","25,581,000","25,442,000","21,510,000","20,236,000","20,472,000","20,620,000","19,284,000","18,899,000","18,738,000","19,030,000","20,744,000","18,107,000","19,073,000","19,436,000","20,786,000","20,577,000","18,136,000","17,422,000","16,328,000","15,134,000","15,330,000","14,681,000","16,973,000","21,785,000","9,603,000","8,476,000","9,144,000","7,213,000","6,902,000","6,087,000","5,945,000","5,391,000","5,149,000","4,595,000","4,650,000","4,159,000",,
		GeneralAndAdministrativeExpense,"36,479,000","8,727,000","9,678,000","8,943,000","9,131,000","9,011,000","9,219,000","8,557,000","8,221,000","10,203,000","10,994,000","8,453,000","8,290,000","8,780,000","9,336,000","8,496,000","7,946,000","7,723,000","7,540,000","8,056,000","8,454,000","7,000,000","7,784,000","8,168,000","7,303,000","6,784,000","8,089,000","7,427,000","7,658,000","6,917,000","7,973,000","7,323,000","6,953,000","6,231,000","6,323,000","6,528,000","6,273,000","6,046,000","6,910,000","6,899,000","4,963,000","4,434,000","4,625,000","4,312,000","3,951,000","4,346,000","4,945,000","4,586,000","4,254,000","4,075,000","4,031,000","4,077,000","4,736,000","6,926,000",,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"36,479,000","8,727,000","9,678,000","8,943,000","9,131,000","9,011,000","9,219,000","8,557,000","8,221,000","10,203,000","10,994,000","8,453,000","8,290,000","8,780,000","9,336,000","8,496,000","7,946,000","7,723,000","7,540,000","8,056,000","8,454,000","7,000,000","7,784,000","8,168,000","7,303,000","6,784,000","8,089,000","7,427,000","7,658,000","6,917,000","7,973,000","7,323,000","6,953,000","6,231,000","6,323,000","6,528,000","6,273,000","6,046,000","6,910,000","6,899,000","4,963,000","4,434,000","4,625,000","4,312,000","3,951,000","4,346,000","4,945,000","4,586,000","4,254,000","4,075,000","4,031,000","4,077,000","4,736,000","6,926,000",,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"92,288,000","20,416,000","23,606,000","24,446,000","23,820,000","19,607,000","20,174,000","17,705,000","18,207,000","20,934,000","20,113,000","19,380,000","17,714,000","19,413,000","20,269,000","19,433,000","20,898,000","18,009,000","18,967,000","19,402,000","20,338,000","19,469,000","19,524,000","19,488,000","23,294,000","20,301,000","20,569,000","20,559,000","20,218,000","19,355,000","20,983,000","20,067,000","21,464,000","20,700,000","21,073,000","19,963,000","20,387,000","18,520,000","18,671,000","18,543,000","16,547,000","15,802,000","15,847,000","16,308,000","15,333,000","14,553,000","13,793,000","14,444,000","16,490,000","14,032,000","15,042,000","15,359,000","16,050,000","13,651,000",,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"31,977,000","7,280,000","8,199,000","7,394,000","9,104,000","8,565,000","9,712,000","9,009,000","7,232,000","8,395,000","7,764,000","6,292,000","6,023,000","7,210,000","7,363,000","7,662,000","6,454,000","6,457,000","6,107,000","6,441,000","6,696,000","5,951,000","5,913,000","6,709,000","6,864,000","5,808,000","6,179,000","6,202,000","7,289,000","6,855,000","6,069,000","6,718,000","6,753,000","7,045,000","7,003,000","6,709,000","6,438,000","5,793,000","7,014,000","7,074,000","5,222,000","4,574,000","5,125,000","5,591,000","5,549,000","5,322,000","5,259,000","5,242,000","5,374,000","4,289,000","4,763,000","4,849,000","4,835,000","4,692,000","4,425,000","3,962,000","4,064,000","3,955,000","3,694,000","2,711,000","3,043,000","14,248,000","1,637,000","1,627,000","1,359,000","1,446,000","1,545,000","1,519,000","1,294,000","1,026,000","1,122,000","1,128,000","954,000","866,000","740,000",
