name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
OperatingCashFlow,"55,811,000","11,199,000","28,638,000","5,700,000","10,274,000","2,331,000","10,130,000","23,490,000"
	CashFlowFromContinuingOperatingActivities,"55,811,000","11,199,000","28,638,000","5,700,000","10,274,000","2,331,000","10,130,000","23,490,000"
		NetIncomeFromContinuingOperations,"-5,736,000","4,057,000","-3,840,000","-4,614,000","-1,339,000","11,712,000","-479,000","2,236,000"
		OperatingGainsLosses,,,"5,918,000","0","9,717,000","54,000","350,000","99,000"
			GainLossOnSaleOfPPE,"253,000","0","253,000","0","0","54,000","350,000","99,000"
		DepreciationAmortizationDepletion,"37,988,000","9,555,000","9,510,000","9,494,000","9,429,000","9,379,000","9,050,000","8,287,000"
			DepreciationAndAmortization,"37,988,000","9,555,000","9,510,000","9,494,000","9,429,000","9,379,000","9,050,000","8,287,000"
		DeferredTax,"-215,000","306,000","-4,273,000","2,378,000","1,374,000","2,764,000","542,000","-627,000"
			DeferredIncomeTax,"-215,000","306,000","-4,273,000","2,378,000","1,374,000","2,764,000","542,000","-627,000"
		ProvisionandWriteOffofAssets,,"484,000",,,,"70,000",,
		StockBasedCompensation,"13,349,000","4,087,000","7,739,000","979,000","544,000","561,000","458,000","483,000"
		OtherNonCashItems,"9,538,000","913,000","6,380,000","1,265,000","980,000","1,233,000","-351,000","928,000"
		ChangeInWorkingCapital,"-15,162,000","-8,203,000","7,204,000","-3,802,000","-10,361,000","-23,442,000","560,000","12,084,000"
			ChangeInReceivables,"1,840,000","-12,065,000","9,544,000","-19,319,000","23,680,000","-23,292,000","-910,000","-1,016,000"
				ChangesInAccountReceivables,"1,840,000","-12,065,000","9,544,000","-19,319,000","23,680,000","-23,292,000","-910,000","-1,016,000"
			ChangeInInventory,"5,220,000","1,275,000","8,193,000","19,273,000","-23,521,000","-9,394,000","-2,824,000","-4,727,000"
			ChangeInPrepaidAssets,"-10,359,000","-1,043,000","-2,979,000","-3,856,000","-2,481,000","-251,000","-166,000","-845,000"
			ChangeInPayablesAndAccruedExpense,"-7,522,000","4,358,000","-5,384,000","834,000","-7,330,000","9,727,000","4,322,000","18,144,000"
				ChangeInPayable,"3,945,000","4,896,000","3,660,000","-15,130,000","10,519,000","7,193,000","3,668,000","3,579,000"
					ChangeInAccountPayable,"3,945,000","4,896,000","3,660,000","-15,130,000","10,519,000","7,193,000","3,668,000","3,579,000"
				ChangeInAccruedExpense,"-11,467,000","-538,000","-9,044,000","15,964,000","-17,849,000","2,534,000","654,000","14,565,000"
			ChangeInOtherCurrentAssets,"-441,000","-10,000","-431,000","2,000","-2,000","396,000","-40,000","-31,000"
			ChangeInOtherCurrentLiabilities,"-3,900,000","-718,000","-1,739,000","-736,000","-707,000","-628,000","178,000","559,000"
InvestingCashFlow,"-19,995,000","-7,180,000","-9,071,000","-2,507,000","-1,237,000","-1,367,000","-147,234,000","-454,000"
	CashFlowFromContinuingInvestingActivities,"-19,995,000","-7,180,000","-9,071,000","-2,507,000","-1,237,000","-1,367,000","-147,234,000","-454,000"
		NetPPEPurchaseAndSale,"-19,995,000","-7,180,000","-9,071,000","-2,507,000","-1,237,000","-1,367,000","-828,000","-454,000"
			PurchaseOfPPE,"-19,995,000","-7,180,000","-9,071,000","-2,507,000","-1,237,000","-1,367,000","-828,000","-454,000"
FinancingCashFlow,"-9,638,000","-24,000","3,472,000","-55,000","-13,031,000","5,981,000","95,098,000","-776,000"
	CashFlowFromContinuingFinancingActivities,"-9,638,000","-24,000","3,472,000","-55,000","-13,031,000","5,981,000","95,098,000","-776,000"
		NetIssuancePaymentsOfDebt,"95,719,000","-24,000","-299,217,000","-17,000","394,977,000","-19,000","97,361,000","-776,000"
			NetLongTermDebtIssuance,"95,719,000","-24,000","-299,217,000","-17,000","394,977,000","-19,000","97,361,000","-776,000"
				LongTermDebtIssuance,,,"0","0",,,"99,015,000","0"
				LongTermDebtPayments,"-673,417,000","-24,000","-299,217,000","-17,000","-374,159,000","-19,000","-1,654,000","-776,000"
		CashDividendsPaid,,,"0","0",,,,"0"
		NetOtherFinancingCharges,,,"0","-38,000","-8,008,000","6,000,000","-2,263,000","0"
EndCashPosition,"70,149,000","70,149,000","66,154,000","43,115,000","39,977,000","43,971,000","37,026,000","79,032,000"
	ChangesInCash,"26,178,000","3,995,000","23,039,000","3,138,000","-3,994,000","6,945,000","-42,006,000","22,260,000"
	BeginningCashPosition,"43,971,000","66,154,000","43,115,000","39,977,000","43,971,000","37,026,000","79,032,000","56,772,000"
IncomeTaxPaidSupplementalData,,"37,000",,"283,000","1,947,000","6,000","839,000","249,000"
InterestPaidSupplementalData,,"5,937,000",,"6,850,000","6,893,000","4,860,000","2,619,000","4,631,000"
CapitalExpenditure,"-19,995,000","-7,180,000","-9,071,000","-2,507,000","-1,237,000","-1,367,000","-828,000","-454,000"
IssuanceOfDebt,,,"0","0",,,"99,015,000","0"
RepaymentOfDebt,"-673,417,000","-24,000","-299,217,000","-17,000","-374,159,000","-19,000","-1,654,000","-776,000"
FreeCashFlow,"35,816,000","4,019,000","19,567,000","3,193,000","9,037,000","964,000","9,302,000","23,036,000"
