name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002
TotalAssets,"9,219,800,000","9,041,676,000","7,999,279,000","8,386,164,000","8,066,580,000","7,752,859,000","7,565,490,000","7,152,569,000","7,952,550,000","6,628,560,000","7,206,999,000","6,915,215,000","6,911,994,000","4,187,149,000","4,583,758,000","4,245,158,000","4,319,414,000","4,203,939,000","4,784,914,000","4,395,311,000","4,332,724,000","4,058,296,000","4,382,206,000","3,987,666,000","3,878,367,000","3,559,336,000","4,058,427,000","3,675,858,000","3,535,028,000","3,436,198,000","3,655,532,000","3,255,483,000","3,269,437,000","3,071,487,000","3,347,895,000","3,019,471,000","2,937,875,000","2,887,807,000","3,069,581,000","2,862,940,000","3,055,146,000","2,996,452,000","2,974,632,000","2,863,383,000","2,774,210,000","2,597,536,000","2,551,856,000","2,434,604,000","2,361,251,000","2,245,333,000","2,273,615,000","2,050,425,000","2,070,939,000","1,966,524,000","2,370,183,000","2,125,999,000","2,190,561,000","2,035,635,000","2,070,605,000","1,846,151,000","1,863,036,000","1,524,265,000","1,577,785,000","1,353,137,000","1,324,428,000","1,187,789,000","1,363,536,000","1,211,834,000","1,223,157,000","1,085,048,000","1,228,187,000","1,110,638,000","706,875,000","498,531,000","549,302,000","467,971,000","434,104,000","376,226,000","435,568,000"
	CurrentAssets,"5,256,665,000","5,106,656,000","4,046,165,000","4,418,936,000","4,041,325,000","3,759,650,000","3,545,299,000","3,093,252,000","3,840,403,000","2,410,016,000","2,876,915,000","2,466,017,000","2,439,704,000","2,122,398,000","2,495,329,000","2,124,942,000","2,163,566,000","2,006,085,000","2,582,076,000","2,277,284,000","2,254,616,000","1,995,678,000","2,444,105,000","2,084,769,000","2,070,678,000","1,812,690,000","2,331,573,000","1,996,359,000","1,929,109,000","1,850,384,000","2,075,865,000","1,757,160,000","1,820,902,000","1,620,071,000","1,904,925,000","1,652,675,000","1,602,922,000","1,595,889,000","1,799,290,000","1,641,307,000","1,856,500,000","1,868,393,000","1,902,842,000","1,787,325,000","1,721,395,000","1,564,330,000","1,488,480,000","1,385,000,000","1,335,175,000","1,222,361,000","1,268,790,000","1,092,117,000","1,129,347,000","1,049,864,000","1,365,211,000","1,115,460,000","1,166,678,000","1,069,694,000","1,180,208,000","947,547,000","975,069,000","869,779,000","920,503,000","744,943,000","743,404,000","614,017,000","794,536,000","644,215,000","647,066,000","531,055,000","733,579,000","638,592,000","533,287,000","364,694,000","430,018,000","356,200,000","336,785,000","275,277,000","343,276,000"
		CashCashEquivalentsAndShortTermInvestments,"2,251,338,000","2,643,205,000","1,372,892,000","2,236,733,000","1,858,737,000","1,658,067,000","1,059,994,000","1,061,141,000","1,484,004,000","69,334,000","87,622,000","116,733,000","92,423,000","113,653,000","92,103,000","124,270,000","104,599,000","101,253,000","111,815,000","131,615,000","108,400,000","164,777,000","85,408,000","112,325,000","92,493,000","118,936,000","73,799,000","123,220,000","81,409,000","221,679,000","77,933,000","100,132,000","139,372,000","181,731,000","65,647,000","134,765,000","113,889,000","345,214,000","294,493,000","350,404,000","520,967,000","734,402,000","483,372,000","626,415,000","532,525,000","546,052,000","159,446,000","278,169,000","206,958,000","225,611,000","39,694,000","51,315,000","45,762,000","74,837,000","41,646,000","51,530,000","46,997,000","50,307,000","39,657,000","50,489,000","41,424,000","135,942,000","35,137,000","32,926,000","31,347,000","36,564,000","32,009,000","29,921,000","33,757,000","18,886,000","28,810,000","57,964,000","192,711,000","93,674,000","14,694,000","16,264,000","15,748,000","11,120,000","16,001,000"
			CashAndCashEquivalents,"2,251,338,000","2,643,205,000","1,372,892,000","2,236,733,000","1,858,737,000","1,658,067,000","1,059,994,000","1,061,141,000","1,484,004,000","69,334,000","87,622,000","116,733,000","92,423,000","113,653,000","92,103,000","124,270,000","104,599,000","101,253,000","111,815,000","131,615,000","108,400,000","164,777,000","85,408,000","112,325,000","92,493,000","118,936,000","73,799,000","123,220,000","81,409,000","221,679,000","77,933,000","100,132,000","139,372,000","181,731,000","65,647,000","134,765,000","113,889,000","345,214,000","294,493,000","350,404,000","520,967,000","734,402,000","483,372,000","626,415,000","532,525,000","546,052,000","159,446,000","278,169,000","206,958,000","225,611,000","39,694,000","51,315,000","45,762,000","74,837,000","41,646,000","51,530,000","46,997,000","50,307,000","39,657,000","50,489,000","41,424,000","135,942,000","35,137,000","32,926,000","31,347,000","36,564,000","32,009,000","29,921,000","33,757,000","18,886,000","28,810,000","37,964,000","172,778,000","93,674,000","14,694,000","16,264,000","15,748,000","11,120,000","16,001,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000","19,933,000",,,,,,
		Receivables,"77,892,000","70,241,000","90,162,000","89,425,000","69,948,000","59,545,000","82,665,000","82,013,000","157,186,000","58,935,000","87,585,000","68,485,000","56,817,000","44,105,000","67,981,000","67,555,000","71,243,000","64,540,000","161,890,000","97,756,000","87,964,000","77,506,000","153,772,000","146,645,000","114,760,000","66,827,000","105,125,000","111,405,000","69,619,000","94,585,000","98,305,000","108,576,000","73,340,000","68,054,000","116,024,000","87,411,000","49,314,000","50,362,000","59,991,000","61,549,000","46,078,000","42,451,000","98,748,000","57,239,000","49,169,000","44,028,000","92,584,000","52,444,000","45,087,000","43,855,000","61,495,000","33,619,000","34,675,000","63,441,000","117,393,000","84,114,000","75,780,000","62,035,000","69,135,000","62,514,000","73,148,000","55,358,000","79,022,000","53,091,000","41,701,000","29,365,000","61,003,000","59,293,000","60,611,000","37,813,000","64,546,000","37,407,000","17,603,000","10,417,000","25,826,000","24,518,000","20,233,000","16,391,000","17,183,000"
			AccountsReceivable,"76,253,000","68,263,000","89,479,000","88,725,000","67,145,000","53,149,000","77,212,000","74,790,000","100,895,000","53,173,000","70,463,000","64,096,000","52,382,000","37,970,000","57,559,000","63,977,000","67,225,000","60,107,000","88,979,000","86,355,000","85,918,000","75,199,000","121,189,000","144,458,000","111,973,000","61,395,000","96,406,000","106,753,000","63,871,000","80,292,000","87,944,000","102,248,000","66,479,000","60,779,000","81,389,000","84,956,000","46,064,000","34,625,000","57,212,000","53,704,000","42,025,000","38,338,000","63,568,000","55,587,000","43,474,000","34,978,000","66,321,000","45,462,000","37,649,000","35,435,000","38,302,000","31,611,000","33,213,000","57,803,000","85,872,000","84,114,000","75,780,000","62,035,000","68,841,000","62,514,000","61,474,000","39,687,000","62,922,000","53,091,000","38,792,000","29,365,000","55,366,000","41,154,000","43,295,000","30,611,000","47,940,000","37,407,000","17,603,000","10,417,000","25,826,000","24,518,000","20,233,000","16,391,000","17,183,000"
				GrossAccountsReceivable,,"71,463,000",,,,"55,849,000",,,,"56,173,000",,,,"40,970,000",,,,"63,607,000",,,,"78,399,000",,,,"64,095,000",,,,"82,992,000",,,,"63,879,000",,,,"37,325,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-3,200,000",,,,"-2,700,000",,,,"-3,000,000",,,,"-3,000,000",,,,"-3,500,000",,,,"-3,200,000",,,,"-2,700,000",,,,"-2,700,000",,,,"-3,100,000",,,,"-2,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"1,639,000","1,978,000","683,000","700,000","2,803,000","6,396,000","5,453,000","7,223,000","56,291,000","5,762,000","17,122,000","4,389,000","4,435,000","6,135,000","10,422,000","3,578,000","4,018,000","4,433,000","72,911,000","11,401,000","2,046,000","2,307,000","32,583,000","2,187,000","2,787,000","5,432,000","8,719,000","4,652,000","5,748,000","14,293,000","10,361,000","6,328,000","6,861,000","7,275,000","34,635,000","2,455,000","3,250,000","15,737,000","2,779,000","7,845,000","4,053,000","4,113,000","35,180,000","1,652,000","5,695,000","9,050,000","26,263,000","6,982,000","7,438,000","8,420,000","23,193,000","2,008,000","1,462,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,638,000","31,521,000",,,,"294,000",,"11,674,000","15,671,000","16,100,000",,"2,909,000",,"5,637,000","18,139,000","17,316,000","7,202,000","16,606,000",,,,,,,,
