name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011
				AllowanceForDoubtfulAccountsReceivable,,,,,,,,,"0",,,,,"0","0",,"-394,802","-387,976","-387,976","-387,976","-387,976","-387,976","-387,976","-387,976","-375,750","-375,570",,,,,,,,,,,,,,,,,,,
			LoansReceivable,"30,000,000","30,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,"0","588,864","588,864","588,864",,,,,,,,,,,,,,,,,,"147,708","133,058",,,,,
			OtherReceivables,"4,720,197",,,,,"74,767,226",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"0",,,,,,,,,,,
		PrepaidAssets,"65,556,513","42,606,363","239,009,002","125,153,548","131,383,128","68,047,557","13,897,222","4,936,338","908,348","800,024","209,935","242,012","309,501","464,006","550,184","574,852","184,038","92,855","108,878","128,718","226,088","428,049","153,388","177,745","146,336","338,598","114,953","124,436","149,643","438,391","340,456","653,445","579,382","752,931","321,025","445,925","30,666","40,333","57,916","75,000","112,255","3,345","4,435",,
		RestrictedCash,"20,437,284","20,437,284","9,573,684",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","0","0","53,395","94,645","0","0",,,,,
		OtherCurrentAssets,,,,,,,,,,"1,141","2,881","4,540","5,637",,,,,,"0","375,603","351,647",,"980,919","2,383,069","1,443,457","1,748,311","1,794,226","1,790,241","1,732,895","1,946,196",,,,"0",,,,,,,"6,000,000",,,,
	TotalNonCurrentAssets,"945,514,427","760,094,232","109,780,636","92,212,986","50,799,501","26,842,024","5,927,443","4,896,689","4,164,520","5,125,834","6,124,220","2,207,760","2,382,507","2,179,330","5,018,361","5,638,212","6,776,514","10,011","7,828,417","11,795,288","12,127,937","12,767,003","36,193,147","37,087,517","42,459,317","42,448,691","58,938,278","61,481,966","51,809,495","51,802,277","37,083,592","21,771,811","7,860,723","8,315,787","5,369,551","4,655,361","714,415","1,527,722","1,521,247","254,016","325,000","0","0","0","0"
		NetPPE,"334,643,949","276,242,794","93,932,227","80,151,147","41,960,893","17,424,622","4,907,247","3,858,699","3,108,736","4,052,256","5,032,847","1,098,593","1,255,546","1,034,575","3,855,812","4,457,869","5,578,377","10,011","9,803","12,213","20,414","28,329","38,389","46,977","52,793","61,297","70,680","70,738","80,659","53,828","13,026","10,806","12,223","13,640","8,056","8,889","9,722",,,,,,,,
