name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,12/31/2008
TotalAssets,"5,151,533,000","4,877,780,000","4,100,430,000","3,706,926,000","3,422,138,000","3,235,423,000","2,974,075,000","2,767,625,000","2,654,077,000","2,665,669,000","2,594,121,000","2,523,109,000","2,473,722,000","2,426,314,000","2,332,673,000","2,209,275,000","2,077,468,000","2,019,964,000","2,000,974,000","1,887,530,000","1,867,265,000","1,861,684,000","1,868,513,000","1,916,535,000","1,933,497,000","1,792,816,000","1,837,579,000","1,871,387,000","1,842,372,000","1,882,542,000","1,833,904,000","1,829,168,000","1,812,569,000","1,798,205,000","1,733,055,000","1,675,367,000","1,591,726,000","1,603,847,000","1,507,173,000","1,491,775,000","1,571,717,000","1,552,793,000","1,260,376,000","1,212,775,000","1,224,318,000","1,209,883,000","1,279,159,000","1,236,427,000","1,204,722,000","1,337,243,000","1,346,326,000","1,297,099,000","1,326,214,000"
	CurrentAssets,"2,125,401,000","1,848,464,000","1,923,572,000","1,692,533,000","1,857,607,000","1,669,733,000","1,480,336,000","1,297,106,000","1,208,721,000","1,195,829,000","1,137,431,000","1,051,710,000","1,062,795,000","1,120,769,000","1,039,957,000","930,436,000","866,845,000","818,556,000","810,149,000","697,780,000","680,694,000","683,509,000","671,433,000","698,598,000","686,256,000","661,372,000","654,368,000","746,930,000","704,528,000","730,478,000","732,263,000","717,155,000","686,530,000","654,179,000","615,960,000","611,069,000","525,195,000","522,553,000","400,772,000","358,956,000","425,924,000","383,265,000","362,522,000","301,327,000","299,994,000","272,519,000","333,005,000","276,367,000","230,650,000","345,017,000","340,069,000","275,950,000","274,997,000"
		CashCashEquivalentsAndShortTermInvestments,"206,023,000","147,339,000","423,726,000","390,086,000","744,814,000","655,128,000","513,944,000","396,734,000","307,456,000","322,883,000","216,038,000","110,367,000","161,266,000","224,482,000","174,001,000","111,714,000","146,162,000","138,472,000","128,780,000","67,071,000","57,494,000","67,272,000","54,163,000","75,641,000","69,370,000","115,857,000","46,454,000","155,575,000","150,085,000","189,761,000","173,162,000","197,959,000","173,740,000","150,147,000","116,521,000","126,598,000","54,337,000","108,023,000","57,966,000","10,307,000","91,730,000","93,126,000","138,720,000","78,746,000","89,997,000","78,583,000","128,334,000","93,109,000","66,371,000","161,307,000","134,119,000","90,826,000","81,229,000"
			CashAndCashEquivalents,"206,023,000","147,339,000","423,726,000","390,086,000","744,814,000","655,128,000","513,944,000","396,734,000","307,456,000","322,883,000","216,038,000","110,367,000","161,266,000","224,482,000","174,001,000","111,714,000","146,162,000","138,472,000","128,780,000","67,071,000","57,494,000","67,272,000","54,163,000","75,641,000","69,370,000","115,857,000","46,454,000","155,575,000","150,085,000","189,761,000","173,162,000","197,959,000","173,740,000","150,147,000","116,521,000","126,598,000","54,337,000","108,023,000","57,966,000","10,307,000","91,730,000","93,126,000","138,720,000","78,746,000","89,997,000","78,583,000","128,334,000","93,109,000","66,371,000","161,307,000","134,119,000","90,826,000","81,229,000"
		Receivables,"609,870,000","546,466,000","510,670,000","480,889,000","428,702,000","374,906,000","398,240,000","322,937,000","312,013,000","319,538,000","373,591,000","341,535,000","284,612,000","326,133,000","341,758,000","311,668,000","262,170,000","280,002,000","320,626,000","243,285,000","223,031,000","241,857,000","244,722,000","243,087,000","230,338,000","182,185,000","207,205,000","160,475,000","158,190,000","189,107,000","199,884,000","203,692,000","182,168,000","164,907,000","164,698,000","162,711,000","169,388,000","134,978,000","129,119,000","100,108,000","114,027,000","109,705,000","117,593,000","79,810,000","62,410,000","63,154,000","73,787,000","68,410,000","52,682,000","54,130,000","59,953,000","63,655,000","66,241,000"
			AccountsReceivable,"609,870,000","546,466,000","510,670,000","480,889,000","428,702,000","374,906,000","398,240,000","322,937,000","312,013,000","319,538,000","373,591,000","341,535,000","284,612,000","326,133,000","341,758,000","311,668,000","262,170,000","280,002,000","320,626,000","243,285,000","223,031,000","241,857,000","244,722,000","243,087,000","230,338,000","182,185,000","207,205,000","160,475,000","158,190,000","189,107,000","199,884,000","203,692,000","182,168,000","164,907,000","164,698,000","162,711,000","169,388,000","134,978,000",,,,"109,705,000","117,593,000",,,"63,154,000",,,,"54,130,000","59,924,000","63,626,000","66,107,000"
				GrossAccountsReceivable,,"558,491,000",,,,"386,907,000",,,,"326,506,000",,,,"331,006,000",,,,"284,807,000",,,,"247,499,000",,,,"184,679,000",,,,"191,382,000",,,,"167,565,000",,,,"136,144,000",,,,"110,494,000",,,,"63,877,000",,,,"56,111,000","60,905,000",,"67,127,000"
				AllowanceForDoubtfulAccountsReceivable,,"-12,025,000",,,,"-12,001,000",,,,"-6,968,000",,,,"-4,873,000",,,,"-4,805,000",,,,"-5,642,000",,,,"-2,494,000",,,,"-2,275,000",,,,"-2,658,000",,,,"-1,166,000",,,,"-789,000",,,,"-723,000",,,,"-1,981,000","-981,000",,"-1,020,000"
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,000","29,000","134,000"
		Inventory,"1,236,772,000","1,089,705,000","934,948,000","772,861,000","644,576,000","603,317,000","532,952,000","544,372,000","559,695,000","522,024,000","517,232,000","570,327,000","588,380,000","544,750,000","496,088,000","479,880,000","439,745,000","380,341,000","349,023,000","378,110,000","390,908,000","349,731,000","359,363,000","366,745,000","374,709,000","325,375,000","362,268,000","385,848,000","356,929,000","319,385,000","327,581,000","287,233,000","292,307,000","300,253,000","296,048,000","287,258,000","258,821,000","225,817,000","187,114,000","227,038,000","200,129,000","162,124,000","103,633,000","139,728,000","143,787,000","127,137,000","127,358,000","111,436,000","107,089,000","123,700,000","143,691,000","118,968,000","123,980,000"
			RawMaterials,"771,968,000","727,162,000","623,592,000","476,590,000","407,750,000","375,516,000","340,275,000","319,649,000","330,711,000","328,021,000","323,864,000","340,716,000","334,949,000","348,980,000","294,519,000","286,528,000","273,608,000","242,239,000","223,184,000","225,472,000","229,337,000","218,911,000","218,787,000","226,110,000","223,346,000","188,354,000","189,348,000","202,695,000","195,790,000","184,407,000","195,597,000","185,435,000","178,069,000","183,787,000","182,789,000","182,854,000","186,551,000","168,459,000","120,294,000","134,592,000","133,552,000","121,098,000","81,325,000","82,096,000","76,091,000","66,936,000","73,899,000","74,376,000","64,911,000","74,136,000","82,443,000",,"104,310,000"
			WorkInProcess,"13,316,000","10,756,000","8,808,000","5,061,000","4,086,000","6,833,000","8,817,000","5,935,000","8,026,000","10,387,000","8,815,000","7,453,000","9,020,000","6,971,000","4,101,000","6,034,000","7,543,000","2,544,000","8,251,000","4,448,000","4,093,000","2,950,000","3,014,000","4,347,000","5,836,000","2,856,000","4,246,000","5,300,000","6,831,000","8,798,000","10,065,000","8,334,000","7,863,000","9,620,000","10,064,000","10,854,000","10,274,000","8,580,000","1,126,000","835,000","1,316,000","578,000","533,000","389,000","819,000","315,000","354,000","599,000","437,000","775,000","515,000",,"1,217,000"
