name,ttm,03/31/2022,12/31/2021,03/31/2021,12/31/2020
OperatingCashFlow,"-213,597,000","-53,938,000","-80,384,000","-23,521,000","-172,243,000"
	CashFlowFromContinuingOperatingActivities,"-213,597,000","-53,938,000","-80,384,000","-23,521,000","-172,243,000"
		NetIncomeFromContinuingOperations,"-52,466,000","20,726,000","1,224,000","-26,817,000","-177,613,000"
		OperatingGainsLosses,,"-3,947,000",,,
			GainLossOnInvestmentSecurities,,"-3,947,000",,,
		DepreciationAmortizationDepletion,"1,304,000","410,000","309,000","289,000","268,000"
			DepreciationAndAmortization,"1,304,000","410,000","309,000","289,000","268,000"
				Depreciation,"1,304,000","410,000","309,000","289,000","268,000"
		StockBasedCompensation,"38,348,000","12,906,000","22,410,000","784,000","226,000"
		OtherNonCashItems,"-189,426,000","-101,931,000","-87,207,000","911,000","1,000"
		ChangeInWorkingCapital,"1,470,000","17,898,000","-8,240,000","1,312,000","4,875,000"
			ChangeInPrepaidAssets,"-38,666,000","-914,000","-20,283,000","-60,000","-1,167,000"
			ChangeInPayablesAndAccruedExpense,"40,136,000","18,812,000","12,043,000","1,372,000","6,042,000"
				ChangeInPayable,"4,990,000","-162,000","4,258,000","991,000","420,000"
					ChangeInAccountPayable,"4,990,000","-162,000","4,258,000","991,000","420,000"
				ChangeInAccruedExpense,"35,146,000","18,974,000","7,785,000","381,000","5,622,000"
InvestingCashFlow,"-4,418,000","-13,000","-4,104,000","-43,000","-1,018,000"
	CashFlowFromContinuingInvestingActivities,"-4,418,000","-13,000","-4,104,000","-43,000","-1,018,000"
		NetPPEPurchaseAndSale,"-418,000","-13,000","-104,000","-43,000","-1,018,000"
			PurchaseOfPPE,"-418,000","-13,000","-104,000","-43,000","-1,018,000"
FinancingCashFlow,"1,303,909,000","-1,323,000","1,306,560,000","71,256,000","496,919,000"
	CashFlowFromContinuingFinancingActivities,"1,303,909,000","-1,323,000","1,306,560,000","71,256,000","496,919,000"
		NetCommonStockIssuance,"708,000","40,000","295,000","0","88,000"
			CommonStockIssuance,"708,000","40,000","295,000","0","88,000"
		NetPreferredStockIssuance,"0","0","0","71,256,000","496,831,000"
			PreferredStockIssuance,"0","0","0","71,256,000","496,831,000"
		NetOtherFinancingCharges,,"-1,363,000","1,306,265,000",,
EndCashPosition,"1,623,901,000","1,623,901,000","1,679,175,000","538,007,000","490,315,000"
	ChangesInCash,"1,085,894,000","-55,274,000","1,222,072,000","47,692,000","323,658,000"
	BeginningCashPosition,"538,007,000","1,679,175,000","457,103,000","490,315,000","166,657,000"
CapitalExpenditure,"-418,000","-13,000","-104,000","-43,000","-1,018,000"
IssuanceOfCapitalStock,"708,000","40,000","295,000","71,256,000","496,919,000"
FreeCashFlow,"-214,015,000","-53,951,000","-80,488,000","-23,564,000","-173,261,000"
