name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004
TotalRevenue,"2,266,282,000","571,495,000","583,429,000","565,451,000","545,907,000","524,835,000","532,329,000","530,684,000","487,320,000","512,871,000","531,315,000","528,499,000","517,842,000","502,585,000","509,842,000","507,043,000","502,024,000","291,054,000","292,386,000","272,872,000","260,210,000","246,618,000","235,443,000","230,797,000","226,031,000","222,552,000","218,993,000","204,122,000","200,172,000","193,079,000","193,371,000","187,713,000","188,867,000","163,681,000","165,280,000","164,748,000","166,302,000","161,953,000","161,827,000","158,926,000","158,055,000","158,761,000","157,676,000","153,398,000","161,015,000","161,783,000","168,058,000","166,632,000","154,235,000","145,883,000","142,680,000","132,491,000","132,593,000","124,622,000","111,541,000","98,166,000","90,115,000","83,473,000","81,245,000","77,495,000","70,564,000","70,034,000","61,135,000","58,077,000","49,557,000","45,482,000","45,288,000","41,266,000","38,459,000","37,536,000","35,022,000","32,379,000","29,599,000"
	OperatingRevenue,"2,266,282,000","571,495,000","583,429,000","565,451,000","545,907,000","524,835,000","540,593,000","540,001,000","495,560,000","520,923,000","533,824,000","532,026,000","525,120,000","510,937,000","515,638,000","514,118,000","509,742,000","291,054,000","292,386,000","272,872,000","260,210,000","246,618,000","235,443,000","230,797,000","226,031,000","222,552,000","218,993,000","204,122,000","200,172,000","193,079,000","193,371,000","187,713,000","188,867,000","163,681,000","165,280,000","164,748,000","166,302,000","161,953,000","161,827,000","158,926,000","158,055,000","158,761,000","157,676,000","153,398,000","161,015,000","161,783,000","168,058,000","166,632,000","154,235,000","145,883,000","142,680,000","132,491,000","132,593,000","124,622,000","111,541,000","98,166,000","90,115,000","83,473,000","81,245,000","77,495,000","70,564,000","70,034,000","61,135,000","58,077,000","49,557,000","45,482,000","45,288,000","41,266,000","38,459,000","37,536,000","35,022,000","32,379,000","29,599,000"
CostOfRevenue,"1,376,725,000","350,388,000","364,603,000","343,862,000","317,872,000","310,272,000","317,243,000","305,246,000","306,712,000","321,202,000","343,267,000","334,768,000","325,860,000","320,992,000","324,539,000","322,196,000","329,646,000","188,618,000","187,426,000","172,856,000","161,158,000","154,370,000","144,089,000","140,832,000","137,128,000","135,601,000","128,940,000","120,873,000","116,639,000","114,426,000","112,792,000","113,122,000","111,527,000","97,334,000","95,241,000","97,966,000","97,009,000","93,248,000","92,441,000","91,234,000","92,218,000","89,859,000","89,359,000","87,815,000","86,216,000","88,956,000","87,535,000","88,187,000","79,482,000","74,710,000","72,792,000","69,242,000","66,588,000","62,221,000","51,417,000","47,977,000","45,559,000","41,896,000","41,901,000","39,979,000","36,081,000","35,194,000","29,708,000","30,067,000","25,014,000","24,047,000","25,154,000","22,566,000","20,994,000","19,629,000","17,834,000","16,652,000","14,852,000"
GrossProfit,"889,557,000","221,107,000","218,826,000","221,589,000","228,035,000","214,563,000","215,086,000","225,438,000","180,608,000","191,669,000","188,048,000","193,731,000","191,982,000","181,593,000","185,303,000","184,847,000","172,378,000","102,436,000","104,960,000","100,016,000","99,052,000","92,248,000","91,354,000","89,965,000","88,903,000","86,951,000","90,053,000","83,249,000","83,533,000","78,653,000","80,579,000","74,591,000","77,340,000","66,347,000","70,039,000","66,782,000","69,293,000","68,705,000","69,386,000","67,692,000","65,837,000","68,902,000","68,317,000","65,583,000","74,799,000","72,827,000","80,523,000","78,445,000","74,753,000","71,173,000","69,888,000","63,249,000","66,005,000","62,401,000","60,124,000","50,189,000","44,556,000","41,577,000","39,344,000","37,516,000","34,483,000","34,840,000","31,427,000","28,010,000","24,543,000","21,435,000","20,134,000","18,700,000","17,465,000","17,907,000","17,188,000","15,727,000","14,747,000"
OperatingExpense,"717,545,000","184,359,000","189,681,000","176,444,000","167,061,000","163,249,000","162,944,000","205,898,000","106,139,000","157,866,000","155,372,000","146,829,000","148,584,000","145,221,000","145,976,000","149,917,000","141,350,000","92,031,000","90,708,000","78,863,000","76,225,000","74,380,000","72,458,000","70,274,000","72,043,000","70,841,000","72,583,000","65,557,000","65,175,000","64,557,000","65,368,000","62,406,000","63,977,000","57,974,000","59,402,000","55,755,000","57,365,000","55,540,000","54,804,000","55,451,000","53,614,000","53,643,000","54,154,000","120,855,000","55,297,000","57,602,000","57,636,000","52,755,000","51,086,000","47,826,000","46,357,000","44,862,000","45,327,000","40,080,000","39,411,000","33,845,000","32,346,000","30,559,000","32,237,000","26,748,000","25,142,000","23,038,000","20,629,000","18,817,000","16,805,000","14,994,000","14,442,000","12,999,000","14,962,000","11,337,000","12,024,000","9,823,000","9,441,000"
	SellingGeneralAndAdministration,"696,010,000","178,742,000","183,663,000","171,086,000","162,519,000","158,250,000","162,944,000","161,463,000","150,574,000","157,866,000","155,372,000","146,829,000","148,584,000","145,221,000","145,976,000","149,917,000","141,350,000","92,031,000","89,462,000","75,669,000","73,550,000","72,011,000","69,326,000","66,999,000","68,261,000","66,240,000","68,213,000","60,748,000","60,370,000","59,298,000","61,287,000","58,432,000","59,614,000","54,612,000","55,306,000","53,047,000","54,157,000","51,623,000","51,324,000","52,464,000","50,967,000","50,882,000","115,737,000","52,656,000","52,154,000","55,040,000","55,328,000","51,056,000","49,545,000","45,767,000","45,695,000","43,790,000","43,520,000","38,897,000","39,411,000","33,845,000","32,346,000","30,559,000","32,237,000","26,748,000","25,142,000","23,038,000","20,629,000","18,817,000","16,805,000","14,994,000","18,298,000","12,999,000","11,610,000","11,337,000","13,281,000","9,612,000","9,212,000"
		GeneralAndAdministrativeExpense,"696,010,000","178,742,000","183,663,000","171,086,000","162,519,000","158,250,000","162,944,000","161,463,000","150,574,000","157,866,000","155,372,000","146,829,000","148,584,000","145,221,000","145,976,000","149,917,000","141,350,000","92,031,000","89,462,000","75,669,000","73,550,000","72,011,000","69,326,000","66,999,000","68,261,000","66,240,000","68,213,000","60,748,000","60,370,000","59,298,000","61,287,000","58,432,000","59,614,000","54,612,000","55,306,000","53,047,000","54,157,000","51,623,000","50,674,000","52,464,000","50,967,000","50,882,000",,"52,656,000","52,154,000","55,040,000","55,328,000","51,056,000","49,545,000","45,767,000","45,695,000","43,790,000","43,520,000","38,897,000",,,,,,,,,,,,,,,,,,,
			OtherGandA,"696,010,000","178,742,000","183,663,000","171,086,000","162,519,000","158,250,000","162,944,000","161,463,000","150,574,000","157,866,000","155,372,000","146,829,000","148,584,000","145,221,000","145,976,000","149,917,000","141,350,000","92,031,000","89,462,000","75,669,000","73,550,000","72,011,000","69,326,000","66,999,000","68,261,000","66,240,000","68,213,000","60,748,000","60,370,000","59,298,000","61,287,000","58,432,000","59,614,000","54,612,000","55,306,000","53,047,000","54,157,000","51,623,000","50,674,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"21,535,000","5,617,000","6,018,000","5,358,000","4,542,000","4,999,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"21,535,000","5,617,000","6,018,000","5,358,000","4,542,000","4,999,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ProvisionForDoubtfulAccounts,,,,,,,,,,,,,,,,,,,"1,246,000","3,194,000","2,675,000","2,369,000","3,132,000","3,275,000","3,782,000","4,601,000","4,370,000","4,809,000","4,805,000","5,259,000","4,081,000","3,974,000","4,363,000","3,362,000","4,096,000","2,708,000","3,208,000","3,917,000","3,480,000","2,987,000","2,647,000","2,761,000","3,417,000","3,199,000","3,143,000","2,562,000","2,308,000","1,699,000","1,541,000","2,059,000","662,000","1,072,000","1,807,000","1,183,000",,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,"44,435,000","-44,435,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"3,352,000",,,"211,000","229,000"
OperatingIncome,"172,012,000","36,748,000","29,145,000","45,145,000","60,974,000","51,314,000","52,142,000","19,540,000","74,469,000","33,803,000","32,676,000","46,902,000","43,398,000","36,372,000","39,327,000","34,930,000","31,028,000","10,405,000","14,252,000","21,153,000","22,827,000","17,868,000","18,896,000","19,691,000","16,860,000","16,110,000","17,470,000","17,692,000","18,358,000","14,096,000","15,211,000","12,185,000","13,363,000","8,373,000","10,637,000","11,027,000","11,928,000","13,165,000","14,582,000","12,241,000","12,223,000","15,259,000","14,163,000","-55,272,000","19,502,000","15,225,000","22,887,000","25,690,000","23,667,000","23,347,000","23,531,000","18,387,000","20,678,000","22,321,000","20,713,000","16,344,000","12,210,000","11,018,000","7,107,000","10,768,000","9,341,000","11,802,000","10,798,000","9,193,000","7,738,000","6,441,000","5,692,000","5,701,000","2,503,000","6,570,000","5,164,000","5,904,000","5,306,000"
NetNonOperatingInterestIncomeExpense,"-8,246,000","-4,171,000","-2,797,000","-1,135,000","-143,000","-263,000","-89,000","-431,000","-841,000","-2,768,000","-2,622,000","-2,596,000","-2,885,000","-3,052,000","-1,763,000","-3,264,000","-3,202,000","-1,450,000","-1,261,000","-995,000","-840,000","-780,000","-769,000","-816,000","-466,000","-885,000","-769,000","-434,000","-554,000","-545,000","-625,000","-643,000","-830,000","-388,000","-440,000","-430,000","-700,000","-425,000","-578,000","-405,000","-208,000","-359,000","-511,000","-217,000","-195,000","-94,000","-51,000","-33,000","-25,000","-24,000","-27,000","-20,000","-39,000","-59,000",,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"8,246,000","4,171,000","2,797,000","1,135,000","143,000","263,000","89,000","431,000","841,000","2,768,000","2,622,000","2,596,000","2,885,000","3,052,000","1,763,000","3,264,000","3,202,000","1,450,000","1,261,000","995,000","840,000","780,000","769,000","816,000","466,000","885,000","769,000","434,000","554,000","545,000","625,000","643,000","830,000","388,000","440,000","430,000","700,000","425,000","578,000","405,000","208,000","359,000","511,000","217,000","195,000","94,000","51,000","33,000","25,000","24,000","27,000","20,000","39,000","59,000",,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-1,989,000","-1,229,000","0",,"-760,000","-177,000","-1,227,000","-22,000","-600,000",,"-200,000","-197,000","-1,018,000","-6,319,000","-3,562,000",,,,"-1,070,000","177,000","-2,000","0","682,000","-142,000","-1,043,000","0","-925,000","0","0","0","-3,540,000","235,000","-109,000","33,000","59,000","54,000","65,000","65,000","726,000","-556,000","-51,000","65,000","208,000","1,396,000","4,000","172,000","94,000","90,000","593,000","29,000","76,000","51,000","84,000","-460,000","558,000","74,000","407,000","402,000","118,000","358,000","305,000","293,000","1,388,000","364,000","116,000","167,000","4,045,000","-104,000","-3,360,000","518,000","245,000",,"-307,000"
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,352,000",,,,
	SpecialIncomeCharges,"-1,989,000","-1,229,000","0","0","-760,000","-177,000","-1,227,000","-22,000","-600,000","0","-200,000","-197,000","-1,018,000","-6,319,000","-3,562,000",,,,"-1,594,000","177,000","-2,000",,"190,000","-142,000","-1,043,000",,"-1,025,000",,,,"-3,646,000",,,,"0","0",,,"437,000","-556,000","-51,000","65,000","208,000","1,396,000","4,000","172,000","94,000","90,000","593,000","29,000","76,000","51,000","84,000","-460,000","558,000","74,000","407,000","402,000","118,000","358,000","305,000","293,000","1,388,000","364,000","116,000","167,000","189,000","-104,000","-8,000","518,000",,,
		ImpairmentOfCapitalAssets,"1,989,000","1,229,000","0","0","760,000","177,000","1,227,000","22,000","600,000","0","200,000","197,000","1,018,000","6,319,000","3,562,000",,,,"1,430,000",,,,"0",,,,"1,025,000",,,,"3,646,000",,,,,"0",,,,"650,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,"-44,435,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-94,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,,,,,,,,"-83,000","177,000","-2,000",,"190,000","-142,000","-1,043,000",,,,,,,,,,,,,,"-5,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,,,,,,,,,,,,,,,,,"90,000",,,,"213,000",,,,"100,000",,,,"106,000","235,000","-109,000","33,000","59,000","54,000","65,000","65,000","81,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
