name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992
MarketCap,"1,461,383,513","1,496,086,081","1,554,749,428","2,929,243,582","2,041,395,692","3,131,405,126","6,693,280,199","589,398,082","526,665,337","426,256,778","335,435,668","46,136,949","40,109,731","42,968,694","55,638,706","80,871,736","119,964,214","157,911,685","129,595,511","152,189,245","94,506,643","54,561,085","61,829,005","117,834,309","169,170,634","172,729,644","141,741,363","269,841,837","256,797,171","370,218,299","349,356,701","580,062,991","704,078,425","582,083,794","338,133,640","263,055,788","233,346,018","201,532,916","206,550,652","172,939,095","193,298,575","230,376,026","137,771,618","148,088,396","168,877,558","212,443,043","216,358,598","128,765,671","111,752,550","234,478,623","237,928,235","257,174,387","309,667,957","219,474,568","265,630,278","328,822,730","568,589,012","606,793,270","574,333,047","684,810,924","500,451,972","478,281,600","351,911,388","351,623,000","468,805,544","694,374,364","527,126,106","424,833,684","478,111,572","385,584,396","439,249,708","593,716,521","478,381,514","795,498,420","620,035,695","602,384,224","316,426,443","242,267,641","227,652,485","226,350,140","277,818,317","668,881,836","622,703,328","609,549,367","626,549,113","1,088,244,517","1,129,094,130","1,204,404,229","567,255,990","312,984,709","239,212,463","108,072,881","72,140,905","52,092,580","49,608,684","54,692,591","76,307,405","100,191,127","66,275,090","63,997,118","39,418,354","39,110,932","47,031,352","47,411,972","58,474,805","51,994,711","42,270,998","42,400,420","31,643,200","39,009,408","31,537,299","36,985,691","38,769,062","41,462,195","47,910,167","45,973,335","34,023,674","31,720,980","50,519,195","33,064,464","32,605,235"
EnterpriseValue,"1,151,564,513","1,278,826,081","1,280,236,428","2,612,232,582","2,055,386,692","3,114,619,126","6,786,043,199","778,906,082","758,576,337","628,938,778","497,914,668","213,114,949","223,175,731","215,148,694","200,291,706","193,555,736","217,848,214","244,933,685","259,898,511","268,439,245","199,867,643","148,972,085","124,772,005","140,139,309","203,471,634","187,239,644","163,102,363","284,236,837","251,343,171","360,168,299","340,309,701","546,834,991","715,528,425","607,559,794","389,900,640","295,992,788","252,559,018","187,719,916","158,172,652","124,561,095","128,686,575","179,239,026","105,399,618","93,818,396","121,971,558","152,931,043","156,846,598","81,152,671","89,857,550","212,583,623","178,508,235","209,537,387","262,030,957","182,406,568","202,051,278","265,243,730","494,815,012","495,182,270","439,261,047","532,716,924","334,525,972","301,091,600","259,944,388","245,421,000","380,205,544","573,518,364","406,270,106","290,209,684","272,650,572","166,926,396","220,591,708","450,869,521","323,242,514","640,359,420","487,092,695","469,441,224","165,964,443","83,082,641","49,028,485","22,335,140","48,464,317","436,605,836","372,790,328","336,216,367","327,717,113","1,030,818,517","1,061,882,130","1,131,275,229","506,628,990","308,284,709","234,512,463","104,972,881","67,440,905","47,392,580","42,608,684","47,892,591","69,507,405","96,291,127","64,475,090","62,197,118","37,618,354","37,910,932","48,131,352","47,211,972","61,174,805","54,294,711","44,470,998","45,400,420","31,243,200","41,909,408","34,437,299","42,585,691","40,469,062","42,862,195","49,310,167","48,373,335","36,023,674","33,720,980","53,219,195","34,564,464","34,105,235"
PeRatio,"23.925",,,,,,,"2.5","0.606","1.036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240.903","336.326","168.559","165","160.02","80.253","80.253","97.513","98.537","113.033","141.742","83.374","84.308","63.006","116.721","94.511","111.185","116.729","125.063","144.512","92.643","205.687","191.767","305.743",,
ForwardPeRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.363","-0.415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"15.341","16.433","20.397","33.781","27.189","34.857","65.018","6.059","4.969","3.531","1.442","0.064","0.051","0.343","0.475","0.53","0.748","0.928","0.871","1.294","0.668","0.409","0.413","0.689","0.914","0.967","0.802","1.54","1.399","1.849","1.635","2.449","2.626","2.201","1.421","1.509","1.583","1.483","1.496","1.277","1.316","1.399","1.017","1.087","1.559","2.087","2.136","1.376","1.405","2.949","2.319","2.492","3.001","2.223","2.628","3.254","6.213","7.857","9.801","12.929","12.24","13.276","10.296","10.563","14.595","22.262","18.328","13.989","15.588","12.214","13.924","19.9","16.443","27.393","15.167","17.827","7.877","5.401","5.113","5.49","8.109","22.356","22.362","20.514","18.883","44.777","47.53","52.295","30.523","15.694","14.442","4.018","2.595","1.881","2.015","2.943","4.109","4.375","2.799","2.715","1.58","1.52","1.668","1.676","1.083","1.496","1.359","0.992","1.036","1.097","0.888","1.478","1.8","1.974","2.281","2.052","1.999","1.864","2.972",,
PbRatio,"2.115","2.619","2.42","4.397","7.506","9.561","34.404","6.119","10.679","6.601","4.429","0.544","0.805","0.73","0.677","0.847","1.173","1.475","1.28","1.525","0.94","0.518","0.547","0.939","1.904","1.896","1.572","2.795","2.552","3.572","3.504","5.899","16.701","21.302",,,,"32.225","14.236","11.919","7.441","6.393",,,,"13.439","13.422","6.282","110.587","175.246","7.744","14.016","15.446","19.178","5.645","6.988","8.146","6.453","4.914","5.11","3.377","2.935","4.249","3.488","3.821","3.04","2.308","1.759","1.731","1.317","1.5","2.65","1.969","3.274","3.023","2.937","1.438","1.031","0.89","0.833","0.951","2.193","1.984","1.907","1.93","14.469","14.067","14.467","8.15","21.006","16.055","7.775","5.08","3.668","3.242","3.598","5.02","6.592","4.667","4.507","2.836","2.855","3.458","3.512","4.716","4.297","3.741","3.855","2.903","3.68","2.975","3.522","3.764","4.025","4.651","4.552","3.402","3.172","5.103","3.409","3.361"
EnterprisesValueRevenueRatio,"12.949","78.053","40.265","187.458","76.636","223.222","456.143","45.821","40.505","33.312","30.615","19.302","9.826","23.345","11.263","10.823","17.989","11.759","6.731","5.605","19.296","7.296","7.339","5.726","9.37","6.551","4.871","5.524","6.078","12.593","8.167","10.05","16.572","15.874","8.775","5.366","4.703","4.424","4.35","3.517","4.334","7.421","3.363","2.702","3.914","5.346","5.586","4.119","4.761","12.816","12.213","10.265","11.384","7.978","9.301","10.136","17.733","15.649","29.247","32.339","24.699","26.451","38.037","26.89","43.787","60.155","68.35","36.459","31.189","27.302","29.202","50.802","40.065","90.844","36.516","64.123","22.81","9.335","4.763","1.63","4.052","50.976","53.248","49.95","42.996","158.758","199.115","140.235","123.207","62.456","65.142","29.992","15.327","8.171","6.763","5.841","12.638","14.59","16.532","9.424","5.878","6.215","8.444","6.557","8.267","6.961","6.445","5.821","4.222","4.709","3.514","4.135","4.818","6.123","11.207","8.638","7.831","5.269","9.503","5.959","7.751"
EnterprisesValueEBITDARatio,"-13.479","-55.392","-32.893","-149.27","-346.784","-248.177","-179.473","-86.219","-117.975","-93.843","-15.452","-7.528","103.036","-13.921","-15.545","-20.274","-19.435","-27.394","-88.131","-47.528","-15.968","-17.074","-13.445","-14.437","-24.418","-14.332","-16.853","-40.933","-54.819","-43.212","-136.835","-187.016","-135.517","-43.49","-47.112","-43.274","-66.939","-31.439","-15.366","-12.524","-15.782","-25.295","-33.407","-19.843","-22.888","-8.742","-16.863","-7.636","-7.994","-15.108","-14.02","-17.756","-20.67","-10.842","-11.428","-12.665","-20.867","-22.117","-25.907","-37.1","-21.434","-18.056","-15.009","-10.681","-21.125","-33.982","-29.444","-17.205","-15.389","-12.328","-14.288","-22.196","-19.21","-36.409","-18.97","-29.247","-11.651","-3.888","-3.157","-1.082","-3.558","-47.524","-56.646","-51.845","-85.79","-187.695","-308.239","-561.427","-276.393","-218.023","781.708","-1,049.729",,,"-213.043","-239.463","-695.074","240.728","128.95","207.324","75.237","63.185","68.759","67.446","87.393","77.564","88.942","113.501","62.486","59.871","57.395","60.837","80.938","85.724","98.62","48.373","120.079","48.173","106.438","57.607","113.684"
