name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014
TotalRevenue,"4,852,500,000","1,218,700,000","1,279,100,000","1,192,000,000","1,168,000,000","1,159,900,000","1,097,200,000","887,500,000","848,900,000","931,000,000","974,600,000","966,800,000","982,900,000","942,700,000","948,500,000","925,200,000","922,100,000","909,900,000","850,100,000","908,100,000","920,900,000","910,900,000","922,900,000","894,100,000","602,900,000","303,900,000","309,300,000","308,800,000","311,400,000","287,800,000","298,200,000","300,000,000","306,400,000"
	OperatingRevenue,"4,815,000,000","1,218,700,000","1,241,600,000","1,192,000,000","1,168,000,000","1,159,900,000","1,097,200,000","887,500,000","848,900,000","931,000,000","974,600,000","966,800,000","982,900,000","942,700,000","948,500,000","925,200,000","922,100,000","909,900,000","850,100,000","908,100,000","920,900,000","910,900,000","922,900,000","894,100,000","602,900,000","303,900,000","309,300,000","308,800,000","311,400,000","287,800,000","298,200,000","300,000,000","306,400,000"
CostOfRevenue,"1,208,500,000","302,200,000","343,100,000","291,000,000","275,700,000","280,200,000","265,800,000","189,700,000","179,700,000","210,800,000","216,500,000","218,500,000","226,400,000","227,800,000","237,300,000","218,300,000","218,400,000","215,800,000","216,300,000","213,500,000","224,500,000","221,900,000","-56,400,000","359,000,000","240,300,000","134,300,000","133,700,000","136,100,000","136,700,000","128,800,000","-81,600,000","134,200,000","135,400,000"
GrossProfit,"3,644,000,000","916,500,000","936,000,000","901,000,000","892,300,000","879,700,000","831,400,000","697,800,000","669,200,000","720,200,000","758,100,000","748,300,000","756,500,000","714,900,000","711,200,000","706,900,000","703,700,000","694,100,000","633,800,000","694,600,000","696,400,000","689,000,000","979,300,000","535,100,000","362,600,000","169,600,000","175,600,000","172,700,000","174,700,000","159,000,000","379,800,000","165,800,000","171,000,000"
OperatingExpense,"2,912,800,000","723,600,000","716,000,000","753,900,000","715,100,000","699,300,000","678,700,000","597,200,000","576,500,000","593,600,000","567,700,000","609,600,000","606,500,000","566,800,000","570,400,000","559,300,000","566,600,000","562,200,000","548,500,000","541,200,000","527,300,000","537,600,000","84,200,000","748,100,000","503,200,000","238,200,000","239,900,000","239,100,000","239,700,000","230,700,000","-91,000,000","238,000,000","242,000,000"
	SellingGeneralAndAdministration,"1,157,700,000","299,900,000","301,400,000","280,800,000","275,600,000","261,300,000","253,700,000","215,900,000","212,600,000","195,700,000","191,300,000","206,000,000","209,300,000","197,600,000","200,800,000","197,100,000","195,800,000","193,400,000","169,500,000","168,400,000","172,000,000","179,000,000","168,800,000","186,200,000","134,700,000","49,500,000","48,400,000","46,600,000","48,700,000","49,700,000","65,100,000","49,700,000","54,600,000"
		GeneralAndAdministrativeExpense,"915,200,000","234,400,000","235,500,000","223,400,000","221,900,000","208,900,000","205,900,000","177,100,000","173,200,000","195,700,000","191,300,000","206,000,000","209,300,000","197,600,000","200,800,000","197,100,000","195,800,000","193,400,000",,,,,,,,,,,,,,,
			SalariesAndWages,"715,000,000","183,200,000","179,200,000","176,000,000","176,600,000","161,400,000","154,200,000","141,900,000","136,700,000","23,800,000","12,300,000","15,100,000","15,400,000","14,700,000","13,000,000","11,600,000","8,700,000","6,500,000",,,,,,,,,,,,,,,
			OtherGandA,"200,200,000","51,200,000","56,300,000","47,400,000","45,300,000","47,500,000","51,700,000","35,200,000","36,500,000","171,900,000","179,000,000","190,900,000","193,900,000","182,900,000","187,800,000","185,500,000","187,100,000","186,900,000",,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"242,500,000","65,500,000","65,900,000","57,400,000","53,700,000","52,400,000","47,800,000","38,800,000","39,400,000",,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"935,700,000","214,100,000","211,300,000","253,500,000","254,000,000","245,900,000","253,100,000","231,600,000","216,400,000","213,500,000","205,700,000","226,000,000","222,000,000","217,300,000","215,100,000","204,800,000","207,600,000","202,300,000","207,200,000","199,700,000","192,900,000","193,900,000","208,200,000","200,700,000","126,100,000","52,300,000","55,600,000","54,300,000","54,300,000","52,200,000","58,700,000","54,100,000","52,000,000"
		DepreciationAndAmortizationInIncomeStatement,"935,700,000","214,100,000","211,300,000","253,500,000","254,000,000","245,900,000","253,100,000","231,600,000","216,400,000","213,500,000","205,700,000","226,000,000","222,000,000","217,300,000","215,100,000","204,800,000","207,600,000","202,300,000","207,200,000","199,700,000","192,900,000","193,900,000","208,200,000","200,700,000","126,100,000","52,300,000","55,600,000","54,300,000","54,300,000","52,200,000","58,700,000","54,100,000","52,000,000"
	OtherOperatingExpenses,"819,400,000","209,600,000","203,300,000","219,600,000","185,500,000","192,100,000","171,900,000","149,700,000","147,500,000","184,400,000","170,700,000","177,600,000","175,200,000","151,900,000","154,500,000","157,400,000","163,200,000","166,500,000","171,800,000","173,100,000","162,400,000","164,700,000","-292,800,000","361,200,000","242,400,000","136,400,000","135,900,000","138,200,000","136,700,000","128,800,000","-214,800,000","134,200,000","135,400,000"
OperatingIncome,"731,200,000","192,900,000","220,000,000","147,100,000","177,200,000","180,400,000","152,700,000","100,600,000","92,700,000","126,600,000","190,400,000","138,700,000","150,000,000","148,100,000","140,800,000","147,600,000","137,100,000","131,900,000","85,300,000","153,400,000","169,100,000","151,400,000","161,500,000","146,000,000","99,700,000","65,700,000","69,400,000","69,700,000","71,700,000","57,100,000","64,900,000","62,000,000","64,400,000"
