name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,09/30/2018,08/31/2018,06/30/2018,05/31/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"7,270,963,000","1,369,082,000","1,942,800,000","2,029,372,000","2,140,594,000","2,166,329,000","2,703,588,000","2,060,636,000","1,825,499,000","1,377,531,000","1,692,264,000","1,430,117,000","1,223,156,000","1,510,371,000","1,195,012,000","761,958,000","1,458,977,000","777,615,000","1,243,826,000","822,557,000","2,946,469,000","3,195,878,000","3,141,892,000","2,989,715,000","3,080,369,000","2,942,919,000","2,883,710,000","2,841,316,000","2,207,309,000","2,686,260,000","2,566,023,000","3,055,123,000","3,376,521,000","2,884,424,000","3,213,664,000","3,097,833,000","3,139,867,000","3,019,192,000","2,742,065,000","2,914,740,000","2,144,036,000","1,372,480,000","2,160,303,000","2,141,645,000","2,424,288,000","297,235,000","236,058,000","656,497,000","127,716,000","585,644,000","185,865,000","412,477,000","374,442,000","303,535,000","280,801,000","284,323,000","250,343,000","267,049,000","267,441,000","274,693,000","271,470,000","252,941,000","255,796,000","239,687,000","129,365,000","107,673,000","105,375,000","158,559,000","213,576,000","-1,093,158,000","658,172,000","607,670,000","509,908,000","487,053,000","483,756,000","477,420,000","466,073,000","344,297,000","151,816,000","90,000,000","47,209,000","38,867,000","74,181,000","95,372,000","93,356,000","30,974,000","61,494,000","151,036,000","131,794,000","248,042,000","173,555,000","136,935,000","156,955,000","137,300,000","131,300,000","139,500,000","298,600,000","153,000,000","79,100,000","149,700,000","148,700,000","146,600,000","144,300,000","343,500,000","310,600,000","365,700,000","377,800,000","378,600,000","384,500,000","429,900,000","391,000,000","376,800,000","360,700,000","375,200,000","347,300,000","325,600,000","336,100,000","339,800,000","336,100,000","372,100,000","360,100,000","378,500,000","383,500,000","383,700,000","427,300,000","411,400,000","321,400,000","169,300,000","184,500,000","159,800,000","167,700,000","198,100,000","151,700,000","141,300,000","166,600,000","191,900,000","172,200,000","224,000,000","228,300,000","210,900,000","222,800,000","84,900,000","88,800,000","96,800,000","97,600,000","22,200,000","108,400,000","117,200,000","81,700,000","134,600,000","52,700,000"
	OperatingRevenue,"6,392,247,000","1,369,082,000","1,637,500,000","1,324,961,000","1,966,289,000","1,998,887,000","2,538,626,000","1,950,312,000","1,782,746,000","1,345,912,000","1,580,269,000","1,113,668,000","1,053,908,000","1,366,165,000","1,141,181,000","709,651,000","1,162,429,000","764,034,000","1,153,805,000","775,294,000","2,790,766,000","3,027,439,000","3,022,705,000","2,855,745,000","2,753,457,000","2,821,156,000","2,719,589,000","2,697,937,000","2,148,386,000","2,569,745,000","2,410,703,000","2,902,100,000","3,252,151,000","2,748,999,000","3,028,652,000","2,980,546,000","3,006,245,000","2,977,459,000","2,569,040,000","2,759,884,000","2,024,413,000","1,372,480,000","2,160,303,000","2,139,119,000","131,101,000","-777,616,000","236,058,000","656,497,000","127,716,000","119,816,000","185,865,000","257,907,000","223,944,000","198,950,000","225,375,000","232,628,000","225,279,000","222,540,000","267,441,000","274,693,000","271,470,000","252,941,000","255,796,000","239,687,000","129,365,000","107,655,000","105,375,000","158,559,000","213,576,000","-1,093,158,000","658,172,000","607,670,000","509,908,000","487,053,000","483,756,000","477,420,000","466,073,000","344,297,000","151,816,000","90,000,000","47,209,000","38,867,000","74,181,000","95,372,000","93,356,000","30,974,000","61,494,000","151,036,000","131,794,000","248,042,000","173,555,000","136,935,000","156,955,000","137,300,000","131,300,000","139,500,000","298,600,000","153,000,000","79,100,000","149,700,000","148,700,000","146,600,000","144,300,000","343,500,000","310,600,000","365,700,000","377,800,000","378,600,000","384,500,000","429,900,000","391,000,000","376,800,000","360,700,000","375,200,000","347,300,000","325,600,000","336,100,000","339,800,000","336,100,000","372,100,000","360,100,000","378,500,000","383,500,000","383,700,000","427,300,000","411,400,000","321,400,000","169,300,000","184,500,000","159,800,000","167,700,000","198,100,000","151,700,000","141,300,000","166,600,000","191,900,000","172,200,000","224,000,000","228,300,000","210,900,000","222,800,000","84,900,000","88,800,000","96,800,000","97,600,000","22,200,000","108,400,000","117,200,000","81,700,000","134,600,000","52,700,000"
CostOfRevenue,"4,176,954,000","812,253,000","1,189,289,000","1,142,434,000","1,243,863,000","1,287,664,000","1,581,531,000","1,299,765,000","1,141,078,000","1,005,819,000","1,129,307,000","945,793,000","973,554,000","1,083,214,000","917,968,000","461,764,000","927,679,000","473,778,000","971,197,000","490,338,000","2,584,036,000","2,619,521,000","2,708,454,000","2,641,728,000","2,322,906,000","2,482,309,000","2,378,453,000","2,516,716,000","2,292,459,000","2,381,253,000","2,586,966,000","2,872,698,000","2,610,442,000","2,652,220,000","2,813,964,000","2,794,494,000","2,786,211,000","2,774,733,000","2,457,334,000","2,599,581,000","1,897,718,000","2,167,485,000","1,906,913,000","1,929,722,000","1,874,735,000","97,271,000","103,464,000","103,669,000","96,993,000","94,219,000","102,576,000","208,883,000","194,469,000","166,811,000","183,631,000","189,267,000","193,016,000","204,634,000","227,782,000","230,634,000","232,374,000","230,872,000","215,387,000","198,899,000","108,354,000","95,768,000","91,909,000","123,687,000","170,976,000","-754,468,000","480,694,000","451,448,000","374,192,000","349,478,000","343,273,000","349,626,000","348,259,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"3,094,009,000","556,829,000","753,511,000","886,938,000","896,731,000","878,665,000","1,122,057,000","760,871,000","684,421,000","371,712,000","562,957,000","484,324,000","249,602,000","427,157,000","277,044,000","300,194,000","531,298,000","303,837,000","272,629,000","332,219,000","362,433,000","576,357,000","433,438,000","347,987,000","757,463,000","460,610,000","505,257,000","324,600,000","-85,150,000","305,007,000","-20,943,000","182,425,000","766,079,000","232,204,000","399,700,000","303,339,000","353,656,000","244,459,000","284,731,000","315,159,000","246,318,000","-795,005,000","253,390,000","211,923,000","549,553,000","199,964,000","132,594,000","552,828,000","30,723,000","491,425,000","83,289,000","203,594,000","179,973,000","136,724,000","97,170,000","95,056,000","57,327,000","62,415,000","39,659,000","44,059,000","39,096,000","22,069,000","40,409,000","40,788,000","21,011,000","11,905,000","13,466,000","34,872,000","42,600,000","-338,690,000","177,478,000","156,222,000","135,716,000","137,575,000","140,483,000","127,794,000","117,814,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"1,443,945,000","368,588,000","331,194,000","428,224,000","315,939,000","381,000,000","310,704,000","333,371,000","277,232,000","289,484,000","337,308,000","333,004,000","308,622,000","265,848,000","255,040,000","203,307,000","277,473,000","198,013,000","268,467,000","192,787,000","287,879,000","294,861,000","263,468,000","237,409,000","230,792,000","277,741,000","291,851,000","237,028,000","236,865,000","279,636,000","275,485,000","211,769,000","219,423,000","298,385,000","310,458,000","232,061,000","233,911,000","257,391,000","282,214,000","269,711,000","111,068,000","-47,547,000","117,340,000","118,958,000","162,240,000","109,003,000","86,226,000","102,743,000","78,534,000","161,397,000","110,621,000","91,296,000","105,469,000","112,063,000","97,760,000","193,201,000","105,423,000","114,990,000","95,775,000","106,075,000","89,486,000","89,038,000","98,687,000","81,658,000","77,551,000","76,195,000","61,533,000","79,967,000","87,788,000","-254,890,000","185,634,000","182,303,000","169,695,000","192,627,000","183,771,000","173,044,000","178,173,000","333,002,000","94,506,000","65,045,000","54,301,000","65,738,000","70,047,000","54,239,000","61,610,000","-68,260,000","95,915,000","93,346,000","145,424,000","142,415,000","113,459,000","106,080,000","102,518,000","117,800,000","89,900,000","99,300,000","105,400,000","120,000,000","103,100,000","117,000,000","115,900,000","171,400,000","151,300,000","285,600,000","285,300,000","343,100,000","335,300,000","347,900,000","347,500,000","360,300,000","347,700,000","339,900,000","325,500,000","332,700,000","307,900,000","295,700,000","303,100,000","290,900,000","282,500,000","309,000,000","309,200,000","342,600,000","332,700,000","331,600,000","384,000,000","334,500,000","288,100,000","156,000,000","161,300,000","144,900,000","138,600,000","132,300,000","135,100,000","117,000,000","141,600,000","166,700,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,278,488,000","328,281,000","285,257,000","387,688,000","277,262,000","341,560,000","271,937,000","294,288,000","237,712,000","249,118,000","297,838,000","290,733,000","268,742,000","229,062,000","221,106,000","186,822,000","245,178,000","177,485,000","236,562,000","179,758,000","234,200,000","241,602,000","208,044,000","186,692,000","181,282,000","194,638,000","239,160,000","186,259,000","187,255,000","214,296,000","217,019,000","156,529,000","166,983,000","185,291,000","263,994,000","187,418,000","192,424,000","217,243,000","232,934,000","221,510,000","81,272,000","-6,532,000","86,968,000","78,103,000","122,744,000","88,532,000","67,558,000","84,164,000","60,772,000","141,867,000","90,807,000","69,087,000","83,665,000","93,879,000","81,445,000","177,744,000","90,146,000","100,557,000","81,012,000","92,584,000","78,040,000","76,850,000","88,516,000","74,959,000","71,371,000","70,277,000","55,678,000","70,611,000","79,373,000","-142,670,000","141,830,000","133,636,000","123,179,000","143,615,000","128,453,000","114,069,000","115,048,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,"186,822,000",,"177,485,000",,"179,758,000",,,,,,,,,,,,,,,,,,,,,,,"86,968,000","78,103,000","122,744,000","88,532,000","67,558,000","84,164,000","60,772,000","141,867,000","90,807,000","69,087,000","83,665,000","93,879,000","81,445,000","177,744,000","90,146,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,280,000","18,162,000","46,490,000","23,910,000","9,966,000","33,059,000","16,236,000","47,799,000","21,681,000","12,188,000","24,400,000","22,623,000","30,202,000","27,006,000","20,699,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,,,,,,,,,,,,,,,,"25,809,000",,"25,559,000",,"24,993,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,"161,013,000",,"151,926,000",,"154,765,000",,,,,,,,,,,,,,,,,,,,,,,"56,688,000","59,941,000","76,254,000","64,622,000","57,592,000","51,105,000","44,536,000","94,068,000","69,126,000","56,899,000","59,265,000","71,256,000","51,243,000","150,738,000","69,447,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
