name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993
TotalAssets,"2,332,250,000","2,547,568,000","2,410,432,000","2,291,255,000","2,167,705,000","2,387,850,000","2,050,348,000","1,848,566,000","1,765,118,000","1,888,351,000","1,691,659,000","1,751,056,000","1,427,206,000","1,542,451,000","1,423,968,000","1,386,720,000","1,264,379,000","1,530,963,000","1,520,288,000","1,272,858,000","1,191,780,000","1,369,305,000","1,572,601,000","1,357,745,000","1,278,068,000","1,408,151,000","1,572,666,000","1,253,498,000","1,169,933,000","1,416,841,000","1,402,003,000","1,168,613,000","1,064,204,000","1,259,729,000","1,275,938,000","1,022,115,000","917,443,000","1,068,064,000","1,256,343,000","1,025,003,000","980,371,000","1,146,196,000","1,045,679,000","795,127,000","753,930,000","808,994,000","697,178,000","634,542,000","578,921,000","599,043,000","521,427,000","478,368,000","445,953,000","483,721,000","424,132,000","377,639,000","358,988,000","370,032,000","308,965,000","264,388,000","251,103,000","249,973,000","230,718,000","217,659,000","206,839,000","209,626,000","209,759,000","183,612,000","181,393,000","176,551,000","154,720,000","141,039,000","130,620,000","121,026,000","121,570,000","120,615,000","126,963,000","122,412,000","72,894,000","74,364,000","72,237,000","85,884,000","78,504,000","79,946,000","85,140,000","77,712,000","74,081,000","74,461,000","85,052,000","73,500,000","66,500,000","78,600,000","102,000,000","84,400,000","67,800,000","77,400,000","88,500,000","74,700,000","70,600,000","67,300,000","81,200,000","74,900,000","72,600,000","73,600,000","75,700,000","74,900,000","79,500,000","64,700,000","72,700,000","62,700,000","61,100,000","62,500,000","60,600,000","51,900,000","20,300,000"
	CurrentAssets,"1,752,128,000","1,994,607,000","1,843,550,000","1,726,198,000","1,650,799,000","1,857,439,000","1,499,736,000","1,289,810,000","1,194,111,000","1,339,850,000","1,135,031,000","1,188,493,000","1,095,405,000","1,206,640,000","1,078,465,000","1,039,960,000","910,690,000","1,184,899,000","1,152,911,000","903,380,000","820,821,000","968,698,000","1,075,029,000","858,963,000","785,765,000","911,375,000","1,075,182,000","760,915,000","686,593,000","943,162,000","938,382,000","725,578,000","623,862,000","829,304,000","859,646,000","629,081,000","537,212,000","691,586,000","890,647,000","683,476,000","647,681,000","817,902,000","749,366,000","691,737,000","654,722,000","715,732,000","607,914,000","552,489,000","498,015,000","520,987,000","443,490,000","402,492,000","371,379,000","412,964,000","350,407,000","307,775,000","285,619,000","301,567,000","244,688,000","200,611,000","187,177,000","187,423,000","154,906,000","142,812,000","132,511,000","134,854,000","134,724,000","108,625,000","106,782,000","102,802,000","80,841,000","66,951,000","56,061,000","46,242,000","44,872,000","43,595,000","49,474,000","44,561,000","59,685,000","60,479,000","57,471,000","61,358,000","53,584,000","54,433,000","59,229,000","53,650,000","49,635,000","50,305,000","60,870,000","49,100,000","41,200,000","51,700,000","77,300,000","59,300,000","42,900,000","52,200,000","63,000,000","48,800,000","44,300,000","42,600,000","55,800,000","49,300,000","45,800,000","47,300,000","49,700,000","50,000,000","54,700,000","53,900,000","63,000,000","54,000,000","52,900,000","54,900,000","54,400,000","47,300,000","16,000,000"
		CashCashEquivalentsAndShortTermInvestments,"843,527,000","998,261,000","746,211,000","956,712,000","1,089,361,000","1,156,556,000","626,414,000","661,941,000","649,436,000","616,864,000","177,673,000","502,626,000","589,692,000","515,938,000","182,192,000","417,851,000","429,970,000","493,002,000","230,586,000","279,940,000","291,764,000","296,428,000","110,047,000","202,309,000","245,956,000","263,009,000","99,775,000","168,744,000","225,143,000","369,442,000","114,651,000","158,226,000","245,088,000","237,125,000","84,107,000","49,126,000","64,591,000","110,247,000","61,636,000","114,401,000","228,571,000","263,606,000","90,425,000","325,170,000","437,900,000","445,226,000","250,536,000","333,745,000","357,328,000","341,982,000","125,551,000","175,307,000","230,020,000","194,780,000","67,944,000","124,811,000","183,412,000","168,092,000","74,713,000","96,641,000","109,537,000","98,892,000","45,251,000","64,933,000","65,340,000","53,249,000","19,081,000","11,102,000","17,634,000","25,854,000","15,738,000","24,394,000","10,848,000","6,662,000","1,941,000","2,212,000","4,769,000","3,941,000","20,491,000","21,996,000","12,966,000","16,689,000","24,165,000","22,032,000","11,940,000","9,057,000","15,038,000","9,885,000","2,256,000","1,600,000","1,600,000","4,800,000","4,100,000","300,000","3,800,000","5,800,000","2,100,000","3,200,000","8,400,000","2,300,000","1,500,000","1,300,000","2,300,000","6,200,000","3,600,000","3,200,000","4,300,000","2,100,000","2,500,000","2,900,000","2,700,000","4,300,000","3,700,000","3,000,000","700,000"
			CashAndCashEquivalents,"843,527,000","998,261,000","746,211,000","956,712,000","1,089,361,000","1,156,556,000","626,414,000","661,941,000","649,436,000","616,864,000","177,673,000","502,626,000","589,692,000","515,938,000","182,192,000","417,851,000","429,970,000","493,002,000","230,586,000","279,940,000","291,764,000","296,428,000","110,047,000","202,309,000","245,956,000","263,009,000","99,775,000","168,744,000","225,143,000","369,442,000","114,651,000","158,226,000","245,088,000","237,125,000","84,107,000","49,126,000","64,591,000","110,247,000","61,636,000","114,401,000","228,571,000","263,606,000","90,425,000","325,170,000","437,900,000","445,226,000","250,536,000","333,745,000","357,328,000","315,862,000","75,612,000","108,163,000","179,073,000","176,804,000","35,087,000","79,636,000","81,065,000","54,525,000","39,308,000","30,585,000","25,303,000","34,255,000","17,141,000","9,499,000","10,552,000","50,749,000","19,081,000","11,102,000","17,634,000","10,379,000","15,738,000","24,394,000","10,848,000","6,662,000","1,941,000","2,212,000","4,769,000","3,941,000","20,491,000","21,996,000","12,966,000","16,689,000","24,165,000","22,032,000","11,940,000","9,057,000","15,038,000","9,885,000","2,256,000","1,600,000","1,600,000","4,800,000","4,100,000","300,000","3,800,000","5,800,000","2,100,000","3,200,000","8,400,000","2,300,000","1,500,000","1,300,000","2,300,000","6,200,000","3,600,000","3,200,000","4,300,000","2,100,000","2,500,000","2,900,000","2,700,000","4,300,000","3,700,000","3,000,000","700,000"
				CashFinancial,,,,,,,,,"277,258,000",,,,"217,514,000",,,,"160,994,000","132,392,000","63,720,000","45,305,000","92,772,000","139,945,000","44,735,000","24,932,000","50,381,000","80,842,000","41,416,000","57,849,000","97,243,000",,,"95,005,000","101,272,000","83,020,000","48,940,000","24,761,000",,"57,597,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,"372,178,000",,,,"372,178,000",,,,"268,976,000","360,610,000","166,866,000","234,635,000","198,992,000","156,483,000","65,312,000","177,377,000","195,575,000","182,167,000","58,359,000","110,895,000","127,900,000",,,"63,221,000","143,816,000","154,105,000","35,167,000","24,365,000",,"52,650,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","26,120,000","49,939,000","67,144,000","50,947,000","17,976,000","32,857,000","45,175,000","102,347,000","113,567,000","35,405,000","66,056,000","84,234,000","64,637,000","28,110,000","55,434,000","54,788,000","2,500,000",,,,"15,475,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"320,931,000","348,593,000","384,176,000","222,645,000","222,028,000","323,369,000","337,622,000","150,228,000","193,747,000","295,013,000","340,094,000","163,518,000","180,942,000","281,494,000","323,515,000","134,304,000","145,880,000","240,972,000","318,749,000","146,287,000","183,429,000","223,303,000","318,471,000","132,453,000","183,610,000","195,323,000","308,715,000","153,338,000","158,275,000","189,548,000","269,222,000","147,761,000","106,199,000","184,013,000","226,175,000","132,776,000","118,021,000","190,756,000","256,096,000","140,040,000","108,162,000","193,375,000","227,675,000","123,237,000","78,227,000","116,663,000","142,232,000","81,647,000","54,582,000","76,427,000","112,929,000","63,068,000","56,298,000","108,129,000","112,960,000","58,962,000","40,700,000","72,209,000","74,354,000","30,201,000","36,400,000","49,571,000","49,937,000","24,617,000","28,193,000","40,918,000","44,121,000","26,245,000","39,206,000","41,957,000","34,649,000","19,627,000","24,331,000","18,745,000","18,014,000","15,822,000","25,354,000","20,851,000","15,783,000","17,414,000","24,640,000","20,395,000","12,414,000","16,038,000","27,599,000","23,143,000","16,425,000","25,592,000","36,845,000","24,400,000","18,200,000","27,700,000","45,100,000","27,200,000","14,800,000","24,300,000","37,400,000","23,000,000","17,600,000","21,900,000","29,000,000","17,900,000","18,500,000","21,000,000","24,800,000","19,700,000","25,200,000","26,600,000","37,700,000","18,900,000","14,400,000","22,500,000","24,400,000","10,800,000","3,900,000"
			AccountsReceivable,"302,688,000","334,541,000","370,361,000","218,807,000","215,718,000","312,913,000","326,266,000","135,225,000","185,596,000","286,891,000","334,601,000","159,679,000","178,602,000","278,962,000","321,784,000","131,899,000","143,704,000","232,594,000","306,573,000","108,895,000","158,643,000","216,786,000","300,159,000","102,951,000","160,154,000","195,323,000","285,528,000","117,399,000","143,105,000","189,548,000","264,920,000","130,691,000","106,199,000","184,013,000","211,981,000","109,877,000","110,319,000","190,756,000","239,259,000","123,182,000","108,162,000","193,375,000","227,675,000","106,952,000","78,227,000","116,663,000","142,232,000","81,647,000","54,582,000","76,427,000","112,929,000","63,068,000","56,298,000","108,129,000","112,960,000","54,702,000","40,700,000","72,209,000","74,354,000","30,201,000","36,400,000","49,571,000","49,937,000","24,617,000","28,193,000","40,918,000","44,121,000","26,245,000","39,206,000","41,957,000","34,649,000","19,627,000","24,331,000","18,745,000","18,014,000","15,822,000","25,354,000","20,851,000","15,783,000","17,414,000","24,640,000","20,395,000","12,414,000","16,038,000","27,599,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"333,279,000","375,506,000","399,323,000","239,285,000","242,234,000","350,690,000","361,591,000","160,309,000","206,742,000","313,329,000","348,141,000","169,724,000","197,426,000","300,667,000","335,803,000","141,641,000","177,166,000","274,507,000","344,375,000","136,280,000","190,997,000","252,264,000","330,989,000","134,369,000","190,349,000","234,172,000","310,054,000","136,161,000","161,323,000",,,"143,211,000","121,768,000","209,081,000","228,721,000","122,351,000","125,970,000","215,842,000","258,466,000","132,457,000","121,243,000","215,067,000","243,177,000","113,689,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
