name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
	CashFromDiscontinuedOperatingActivities,"-596,000","-119,000","-201,000","-148,000","-128,000","-243,000","-197,000","-223,000","-124,000","-193,000","-194,000","-148,000","-811,000","3,610,000","2,993,000","-237,000","-258,000","-206,000","-5,276,000","-179,000","-695,000","-266,000","-659,000","-268,000","-1,057,000","-126,000","-682,000","-591,000","-237,000","-1,126,000","-1,730,000","-415,000","-364,000","-1,167,000","-1,160,000","-730,000","-808,000","-629,000","-1,322,000","1,714,000","-5,596,000","-2,595,000","-34,098,000","12,378,000","18,177,000","-5,109,000","7,197,000","0","457,000","-1,137,000","0","-3,330,000","505,000","17,183,000","-8,467,000","0",,,"-26,496,000","-5,410,000","-43,072,000","-3,374,000","838,000","-247,000","1,494,000","-798,000",,"1,462,000","3,920,000","-8,646,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvestingCashFlow,"164,798,000","-12,816,000","-10,989,000","199,482,000","-10,879,000","-20,877,000","-518,957,000","-24,265,000","-10,117,000","-284,444,000","116,000","-25,973,000","-24,096,000","-23,528,000","-118,093,000","-17,847,000","-41,023,000","-19,431,000","-774,499,000","-34,396,000","-41,874,000","-982,086,000","-16,814,000","-21,493,000","-12,096,000","-6,571,000","-46,239,000","-39,729,000","-47,060,000","-21,820,000","-36,593,000","-16,238,000","-15,815,000","-39,491,000","-277,498,000","-21,239,000","-52,587,000","-21,314,000","-343,660,000","31,941,000","-61,457,000","-15,029,000","256,818,000","-12,798,000","-10,509,000","64,337,000","95,926,000","-7,273,000","41,828,000","17,321,000","-8,924,000","6,847,000","-4,374,000","287,652,000","-11,437,000","-3,876,000","-15,929,000","-8,209,000","-1,596,636,000","-7,384,000","69,396,000","-4,971,000","-54,354,000","-10,063,000","-14,919,000","-21,172,000","-7,364,000","10,122,000","-17,316,000","70,565,000","-11,059,000","-447,582,000","9,552,000","-16,520,000","-44,175,000","-77,367,000","-23,108,000","-40,859,000","-14,267,000","-46,136,000","-34,111,000","-34,255,000","-31,341,000","-40,806,000","-33,473,000","-166,745,000","-24,643,000","-16,713,000","-44,646,000","-65,995,000","-43,300,000","-31,000,000","-50,700,000","-39,200,000","-41,400,000","-24,900,000","-20,200,000","17,400,000","-111,800,000","-31,200,000","-24,600,000","-19,900,000","-48,400,000","-5,600,000","-12,400,000","26,300,000","-10,700,000","-11,700,000","-7,000,000","-11,800,000","-11,300,000","1,900,000","-9,300,000","-5,300,000","-74,900,000","-5,500,000","-7,700,000","-43,000,000","-3,400,000","-5,200,000","-6,000,000","-14,500,000","-25,700,000","-9,300,000","-13,400,000","-4,600,000","-7,100,000","-3,100,000","-4,500,000","-4,300,000"
	CashFlowFromContinuingInvestingActivities,"164,798,000","-12,816,000","-10,989,000","199,482,000","-10,879,000","-20,877,000","-518,957,000","-24,265,000","-10,117,000","-284,444,000","116,000","-25,973,000","-24,096,000","-23,528,000","-118,093,000","-17,847,000","-41,023,000","-19,431,000","-774,499,000","-34,396,000","-41,874,000","-982,086,000","-16,814,000","-21,493,000","-12,096,000","-6,571,000","-46,239,000","-39,729,000","-47,060,000","-21,820,000","-36,593,000","-16,238,000","-15,815,000","-39,491,000","-277,498,000","-21,239,000","-52,587,000","-21,314,000","-343,660,000","32,171,000","-59,336,000","-15,029,000","257,444,000","-12,295,000","-9,517,000","64,586,000","96,342,000","-7,273,000","41,828,000","17,510,000","-8,924,000","6,917,000","-4,374,000","288,755,000","-11,437,000","-3,876,000","-15,929,000","-8,209,000","-1,578,557,000","-12,991,000","73,115,000","-4,058,000","-54,351,000","-9,866,000","-15,045,000","-21,150,000","-7,364,000","10,122,000","-17,316,000","70,565,000","-11,059,000","-447,582,000","9,552,000","-16,520,000","-44,175,000","-77,367,000","-23,108,000","-40,859,000","-14,267,000","-46,136,000","-34,111,000","-34,255,000","-31,341,000","-40,806,000","-33,473,000","-166,745,000","-24,643,000","-16,713,000","-44,646,000","-65,995,000","-43,300,000","-31,000,000","-50,700,000","-39,200,000","-41,400,000","-24,900,000","-20,200,000","17,400,000","-111,800,000","-31,200,000","-24,600,000","-19,900,000","-48,400,000","-5,600,000","-12,400,000","26,300,000","-10,700,000","-11,700,000","-7,000,000","-11,800,000","-11,300,000","1,900,000","-9,300,000","-5,300,000","-74,900,000","-5,500,000","-7,700,000","-43,000,000","-3,400,000","-5,200,000","-6,000,000","-14,500,000","-25,700,000","-9,300,000","-13,400,000","-4,600,000","-7,100,000","-3,100,000","-4,500,000","-4,300,000"
		CapitalExpenditureReported,"-65,420,000","-13,078,000","-19,528,000","-15,431,000","-17,383,000","-19,276,000","-28,325,000","-23,317,000","-19,368,000","-19,684,000","-18,898,000","-27,690,000","-32,613,000","-23,494,000","-25,044,000","-17,747,000","-22,257,000","-15,747,000","-16,926,000","-17,144,000","-23,939,000","-12,894,000","-17,223,000","-16,377,000","-11,713,000","-7,822,000","-15,882,000","-14,245,000","-16,876,000","-14,445,000","-19,351,000","-17,370,000","-18,741,000","-12,109,000","-8,940,000","-17,743,000","-21,262,000","-15,635,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetPPEPurchaseAndSale,,,,"-15,431,000","-17,383,000","-19,276,000","-28,325,000","-23,317,000","-19,368,000","-19,684,000","-18,898,000","-27,690,000","-32,613,000","-23,494,000","-25,044,000","-17,747,000","-22,257,000","-15,747,000","-16,926,000","-17,144,000","-23,939,000","-12,894,000","-17,223,000","-16,377,000","-11,713,000","-7,822,000","-15,882,000","-14,245,000","-16,876,000","-14,445,000","-19,351,000","-17,370,000","-18,741,000","-12,109,000","-8,940,000","-17,743,000","-21,262,000","-15,635,000","-19,302,000","-17,199,000","-13,864,000","-15,029,000","-17,526,000","-12,284,000","-8,833,000","-6,444,000","-9,741,000","-8,481,000","-8,156,000","-7,159,000","-8,924,000","-6,407,000","-8,058,000","-7,020,000","-10,565,000","-10,487,000","-10,106,000","-8,109,000","-7,625,000","-12,536,000","-20,450,000","-4,123,000","-20,889,000","-14,240,000","-13,903,000","-14,200,000","-5,651,000","16,169,000","-10,856,000","73,417,000","-6,041,000","6,284,000","10,006,000","-16,387,000","-26,754,000","-23,014,000","-22,631,000","-17,103,000","-9,181,000","-23,876,000","-20,164,000","-22,523,000","-24,444,000","-23,727,000","-27,140,000","-22,433,000","-20,278,000","-20,989,000","-19,592,000","-19,793,000","-33,400,000","-26,900,000","-51,200,000","-28,900,000","-26,300,000","-24,500,000","-20,400,000","16,000,000","-8,000,000","-31,600,000","-20,200,000","-14,800,000","-16,400,000","-8,000,000","-8,900,000","24,900,000","-5,100,000","-6,400,000","-7,000,000","-7,200,000","-9,200,000","900,000","-6,200,000","-4,100,000","-6,900,000","-6,800,000","-5,900,000","-4,800,000","-7,500,000","-3,500,000","-4,700,000","-3,600,000","1,500,000","-9,400,000","-8,900,000","-3,600,000","-6,300,000","-5,100,000","-3,000,000","-3,100,000"
			PurchaseOfPPE,,,,"-15,431,000","-17,383,000","-19,276,000","-28,325,000","-23,317,000","-19,368,000","-19,684,000","-18,898,000","-27,690,000","-32,613,000","-23,494,000","-25,044,000","-17,747,000","-22,257,000","-15,747,000","-16,926,000","-17,144,000","-23,939,000","-12,894,000","-17,223,000","-16,377,000","-11,713,000","-7,822,000","-15,882,000","-14,245,000","-16,876,000","-14,445,000","-19,351,000","-17,370,000","-18,741,000","-12,109,000","-8,940,000","-17,743,000","-21,262,000","-15,635,000","-19,302,000","-17,199,000","-13,864,000","-15,029,000","-17,526,000","-12,284,000","-8,833,000","-6,444,000","-9,741,000","-8,481,000","-8,156,000","-7,159,000","-8,924,000","-6,407,000","-8,058,000","-7,020,000","-10,565,000","-10,487,000","-10,106,000","-8,109,000","-7,625,000","-12,536,000","-12,270,000","-12,303,000","-20,889,000","-14,240,000","-13,903,000","-14,200,000","-24,161,000","-19,303,000","-12,884,000","-13,503,000","-11,654,000","-13,754,000","-13,787,000","-16,387,000","-26,754,000","-23,014,000","-22,631,000","-21,831,000","-20,600,000","-23,876,000","-20,164,000","-22,523,000","-24,444,000","-23,727,000","-27,140,000","-22,433,000","-20,278,000","-20,989,000","-19,592,000","-19,793,000","-33,400,000","-26,900,000","-51,200,000","-28,900,000","-26,300,000","-24,500,000","-20,400,000","-19,900,000","-8,000,000","-31,600,000","-20,200,000","-14,800,000","-16,400,000","-8,000,000","-8,900,000","-7,200,000","-10,100,000","-6,400,000","-7,000,000","-7,200,000","-9,600,000","-5,400,000","-6,200,000","-4,100,000","-6,900,000","-6,800,000","-5,900,000","-4,800,000","-7,500,000","-3,500,000","-4,700,000","-3,600,000","1,500,000","-9,400,000","-8,900,000","-3,600,000","-6,300,000","-5,100,000","-3,000,000","-3,100,000"
			SaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,180,000",,,,,"18,510,000","35,472,000","2,028,000","86,920,000","5,613,000","20,038,000",,,"0","0","0","4,728,000",,,,,,,,,,,,,,,,,"0","0","0","35,900,000",,,,,"0","0","0","32,100,000",,,,,"400,000",,,,,,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,"222,182,000","262,000","-1,327,000","224,781,000","-1,534,000","-1,601,000","-499,987,000","-948,000","-735,000","-264,760,000","9,013,000","1,717,000","187,000","-34,000","-94,597,000","-100,000","-18,766,000","-3,684,000","-757,573,000","-17,252,000","-17,935,000","-969,192,000","409,000","-5,116,000","-383,000","1,251,000","-30,357,000","-25,484,000","-30,184,000","-7,375,000","-17,242,000","1,132,000","2,926,000","-27,382,000","-268,558,000","-3,496,000","-31,325,000","-5,679,000","-324,438,000","49,450,000","-45,472,000","0","275,120,000","-11,000","-31,254,000","101,600,000","105,607,000","1,208,000","49,984,000","24,669,000","0","13,324,000","3,684,000","295,775,000","1,373,000","6,681,000",,,"-1,570,817,000","-746,000",,,"-33,057,000","2,344,000","-5,698,000","-3,366,000","0",,,,"-258,000",,,,"-19,527,000","-51,520,000","0","-22,916,000","-7,366,000","-22,056,000","-18,065,000","-9,742,000","-2,928,000","-18,713,000","-6,469,000","-142,590,000","-12,035,000","-8,132,000","-19,131,000","-48,548,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PurchaseOfBusiness,"-2,828,000","0","-336,000","-715,000","-1,777,000","-1,762,000","-500,987,000","-948,000","-735,000","-265,160,000","-2,197,000","-240,000","0","-1,025,000","-98,475,000","-100,000","-18,766,000","-3,684,000","-757,573,000","-17,252,000","-17,935,000","-975,524,000","0","-10,923,000","-3,117,000","0","-30,357,000","-25,892,000","-30,184,000","-7,375,000","-17,242,000","20,000","456,000","-29,051,000","-268,558,000","-3,496,000","-31,325,000","-5,679,000","-324,493,000",,,,,,,,"0","-1,000","0","-81,000","0","-1,189,000","567,000","-1,108,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SaleOfBusiness,"225,010,000","262,000","-991,000","225,496,000","243,000","161,000","1,000,000","0","0","400,000","11,210,000","1,957,000","187,000","991,000","3,878,000",,,"0","0","0","0","6,332,000","409,000","5,807,000","2,734,000","1,251,000","0","408,000","0","0","0","1,112,000","2,470,000","1,669,000","0","0",,,"55,000",,,,,,,"101,600,000","105,607,000","1,209,000","49,984,000","24,750,000","0","14,513,000","3,117,000","296,883,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
