name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989
OperatingCashFlow,"1,342,789,000","365,182,000","551,937,000","235,782,000","189,888,000","302,413,000","315,884,000","231,571,000","-183,384,000","-111,125,000","342,090,000","41,564,000","-66,937,000","48,357,000","297,629,000","85,089,000","-70,821,000","55,391,000","218,783,000","33,346,000","-55,285,000","77,441,000","391,102,000","39,161,000","66,568,000","20,176,000","366,935,000","21,317,000","-29,299,000","91,273,000","401,687,000","76,066,000","-28,023,000","161,859,000","328,755,000","41,282,000","-5,158,000","136,878,000","302,830,000","67,052,000","54,359,000","98,462,000","365,587,000","10,523,000","65,844,000","59,186,000","354,011,000","30,241,000","48,377,000","80,293,000","292,626,000","78,306,000","140,654,000","42,421,000","308,921,000","-68,582,000","73,133,000","36,533,000","198,558,000","19,788,000","-945,000","37,048,000","250,404,000","39,452,000","-7,884,000","78,610,000","245,387,000","123,106,000","-72,553,000","73,202,000","204,189,000","55,812,000","-43,369,000","337,429,000","178,816,000","18,068,000","94,641,000","140,581,000","295,855,000","-102,572,000","70,884,000","92,775,000","355,025,000","64,881,000","14,658,000","181,173,000","301,787,000","133,077,000","175,667,000","186,725,000","345,364,000","76,800,000","101,100,000","189,000,000","92,200,000","132,300,000","193,400,000","224,800,000","124,600,000","-74,100,000","47,400,000","149,600,000","190,900,000","-8,800,000","65,600,000","41,600,000","161,500,000","-20,200,000","128,900,000","28,900,000","188,900,000","43,500,000","101,600,000","61,300,000","218,900,000","-45,900,000","156,200,000","-14,700,000","154,200,000","28,600,000","95,600,000","81,000,000","66,000,000","-70,100,000","100,600,000","79,800,000","78,300,000","-75,800,000","47,700,000","31,600,000","57,500,000","-74,400,000","49,800,000","22,700,000"
	CashFlowFromContinuingOperatingActivities,"1,342,789,000","365,182,000","551,937,000","235,782,000","189,888,000","302,413,000","315,884,000","231,571,000","-183,384,000","-111,125,000","342,090,000","41,564,000","-66,937,000","48,357,000","297,629,000","85,089,000","-70,821,000","55,391,000","218,783,000","33,346,000","-55,285,000","77,441,000","391,102,000","39,161,000","66,568,000","20,176,000","366,935,000","21,317,000","-29,299,000","91,273,000","401,687,000","76,066,000","-28,023,000","161,859,000","328,755,000","41,282,000","-5,158,000","136,878,000","302,830,000","67,052,000","54,359,000","98,462,000","365,587,000","10,523,000","65,844,000","59,186,000","354,011,000","30,241,000","48,377,000","80,293,000","292,626,000","78,306,000","140,654,000","42,421,000","308,921,000","-68,582,000","73,133,000","36,533,000","198,558,000","19,788,000","-945,000","37,048,000","250,404,000","39,452,000","-7,884,000","78,610,000","245,387,000","123,106,000","-72,553,000","73,202,000","204,189,000","55,812,000","-43,369,000","337,429,000","178,816,000","18,068,000","94,641,000","140,581,000","295,855,000","-102,572,000","70,884,000","92,775,000","355,025,000","64,881,000","14,658,000","181,173,000","301,787,000","133,077,000","175,667,000","186,725,000","345,364,000","76,800,000","101,100,000","189,000,000","92,200,000","132,300,000","193,400,000","224,800,000","124,600,000","-74,100,000","47,400,000","149,600,000","190,900,000","-8,800,000","65,600,000","41,600,000","161,500,000","-20,200,000","128,900,000","28,900,000","188,900,000","43,500,000","101,600,000","61,300,000","218,900,000","-45,900,000","156,200,000","-14,700,000","154,200,000","28,600,000","95,600,000","81,000,000","66,000,000","-70,100,000","100,600,000","79,800,000","78,300,000","-75,800,000","47,700,000","31,600,000","57,500,000","-74,400,000","49,800,000","22,700,000"
		NetIncomeFromContinuingOperations,"955,319,000","251,093,000","321,240,000","197,330,000","185,656,000","158,247,000","67,037,000","31,850,000","-8,566,000","-161,975,000","67,688,000","5,462,000","-40,671,000","78,602,000","85,158,000","7,425,000","-2,868,000","80,548,000","157,563,000","14,539,000","-17,080,000","66,302,000","56,908,000","22,798,000","12,083,000","77,431,000","84,105,000","45,744,000","29,950,000","109,571,000","130,490,000","55,231,000","34,449,000","111,683,000","119,102,000","50,868,000","36,491,000","117,210,000","161,443,000","48,514,000","31,022,000","94,983,000",,,,"76,700,000","109,577,000","14,381,000","6,828,000","48,834,000","79,514,000","8,011,000","-26,657,000","7,663,000","-149,348,000","-56,070,000","-38,340,000","2,693,000","47,344,000","-11,341,000","-25,166,000","42,924,000","154,991,000","13,609,000","15,727,000","61,319,000","98,463,000","-2,679,000","-12,339,000","38,040,000","108,621,000","-18,688,000","-26,029,000","53,762,000","51,176,000","-15,835,000","-50,346,000","24,349,000","72,250,000","-5,102,000","-523,665,000","58,112,000","101,526,000","-40,116,000","-18,605,000","28,993,000","-51,987,000","-9,514,000","9,446,000","46,205,000","25,829,000","34,700,000","36,200,000","67,000,000","74,300,000","-50,000,000","48,000,000","63,000,000","111,400,000","44,300,000","44,300,000","58,300,000","111,100,000","31,600,000","39,500,000","56,400,000","29,200,000","51,000,000","38,600,000","48,400,000","118,900,000","50,800,000","33,800,000","48,300,000","111,300,000","42,300,000","39,300,000","48,200,000","110,400,000","44,400,000","36,500,000","45,100,000","93,400,000","39,000,000","35,700,000","38,100,000","92,300,000","32,400,000","28,700,000","29,400,000","85,500,000","24,300,000","18,700,000","19,600,000"
		OperatingGainsLosses,"-7,252,000","-7,237,000","-2,000","-4,000","-9,000","-21,843,000","-5,000","2,221,000","33,000","-19,000","-8,297,000","304,000","-4,900,000","-7,400,000","-15,000","-2,000","-17,000","82,000","-6,000","1,845,000","-23,000","-19,000","-52,000","23,000","-781,000","-95,000","-3,131,000","-9,400,000","-52,000","-43,000","293,000","-5,923,000","-50,000","-389,000","-8,000","-2,000","-24,000","-12,345,000","-10,224,000","-1,072,000","-142,000","-997,000","-108,000","-1,629,000","-2,363,000","-28,000","3,292,000","913,000","-4,122,000","-104,000","-2,434,000","-293,000","-589,000","-1,544,000","25,282,000","-3,360,000","-17,902,000","-99,000","-319,000","-5,843,000","-4,670,000","16,000","-13,000","-1,063,000","-14,335,000","-1,002,000","109,036,000","0","2,903,000","124,000","-73,322,000","107,000","5,087,000","13,580,000","26,744,000","7,557,000","23,354,000","-3,007,000","3,200,000","19,949,000","535,304,000","-348,000","22,213,000","-125,000","-1,963,000","-3,159,000","179,070,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,700,000","6,000,000","5,500,000","4,400,000"
			GainLossOnSaleOfPPE,,,,,,,,,,"-19,000",,,,,,,,,"-6,000","1,048,000","-23,000","-19,000","-52,000","23,000","-781,000","-95,000","-3,131,000","-9,400,000","-52,000","-43,000","293,000","-5,923,000","-50,000","-389,000","-8,000","-2,000","-24,000","-12,345,000","-10,224,000","-1,072,000","-142,000","-997,000",,,,"-28,000","-2,340,000","934,000","-4,122,000","-104,000","-2,434,000","-116,000","-589,000","-68,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"200,800,000","46,606,000","53,116,000","50,624,000","50,454,000","47,241,000","58,980,000","54,195,000","51,759,000","51,381,000","59,936,000","56,633,000","55,207,000","52,533,000","56,437,000","56,238,000","56,703,000","56,471,000","55,155,000","57,495,000","60,448,000","60,585,000","62,374,000","61,195,000","61,166,000","61,188,000","63,300,000","66,150,000","61,040,000","61,657,000","64,427,000","63,116,000","62,447,000","62,344,000","61,573,000","65,321,000","64,735,000","65,608,000","66,083,000","66,292,000","64,709,000","64,488,000","65,195,000","65,218,000","64,569,000","64,485,000","68,875,000","65,417,000","64,921,000","64,182,000","65,288,000","66,605,000","66,865,000","66,005,000","72,565,000","67,598,000","73,485,000","72,536,000","74,565,000","75,512,000","75,372,000","75,410,000","80,788,000","74,032,000","74,267,000","74,169,000","75,359,000","77,237,000","76,434,000","75,346,000","79,015,000","75,752,000","75,237,000","75,532,000","69,156,000","75,917,000","76,317,000","75,811,000","77,221,000","72,569,000","77,668,000","78,087,000","78,701,000","79,533,000","77,586,000","77,891,000","74,605,000","78,386,000","76,404,000","76,701,000","74,874,000","74,900,000","72,300,000","73,800,000","63,100,000","68,800,000","54,900,000","55,100,000","43,800,000","54,300,000","51,800,000","51,500,000","41,000,000","52,900,000","50,600,000","50,700,000","40,500,000","53,900,000","50,700,000","48,200,000","48,000,000","51,400,000","46,400,000","46,100,000","43,300,000","47,500,000","40,700,000","41,300,000","28,100,000","39,900,000","33,800,000","35,200,000","23,600,000","31,600,000","28,800,000","29,800,000","22,200,000","27,400,000","24,500,000","25,400,000","20,100,000","23,700,000","21,000,000","21,600,000"
			DepreciationAndAmortization,"200,800,000","46,606,000","53,116,000","50,624,000","50,454,000","47,241,000","58,980,000","54,195,000","51,759,000","51,381,000","59,936,000","56,633,000","55,207,000","52,533,000","56,437,000","56,238,000","56,703,000","56,471,000","55,155,000","57,495,000","60,448,000","60,585,000","62,374,000","61,195,000","61,166,000","61,188,000","63,300,000","66,150,000","61,040,000","61,657,000","64,427,000","63,116,000","62,447,000","62,344,000","61,573,000","65,321,000","64,735,000","65,608,000","66,083,000","66,292,000","64,709,000","64,488,000","65,195,000","65,218,000","64,569,000","64,485,000","68,875,000","65,417,000","64,921,000","64,182,000","65,288,000","66,605,000","66,865,000","66,005,000","72,565,000","67,598,000","73,485,000","72,536,000","74,565,000","75,512,000","75,372,000","75,410,000","80,788,000","74,032,000","74,267,000","74,169,000","75,359,000","77,237,000","76,434,000","75,346,000","79,015,000","75,752,000","75,237,000","75,532,000","69,156,000","75,917,000","76,317,000","75,811,000","77,221,000","72,569,000","77,668,000","78,087,000","78,701,000","79,533,000","77,586,000","77,891,000","74,605,000","78,386,000","76,404,000","76,701,000","74,874,000","74,900,000","72,300,000","73,800,000","63,100,000","68,800,000","54,900,000","55,100,000","43,800,000","54,300,000","51,800,000","51,500,000","41,000,000","52,900,000","50,600,000","50,700,000","40,500,000","53,900,000","50,700,000","48,200,000","48,000,000","51,400,000","46,400,000","46,100,000","43,300,000","47,500,000","40,700,000","41,300,000","28,100,000","39,900,000","33,800,000","35,200,000","23,600,000","31,600,000","28,800,000","29,800,000","22,200,000","27,400,000","24,500,000","25,400,000","20,100,000","23,700,000","21,000,000","21,600,000"
				Depreciation,"200,800,000","46,606,000","53,116,000","50,624,000","50,454,000","47,241,000","58,980,000","54,195,000","51,759,000","51,381,000","59,936,000","56,633,000","55,207,000","52,533,000","56,437,000","56,238,000","56,703,000","56,471,000","55,155,000","57,495,000","60,448,000","60,585,000","62,374,000","61,195,000","61,166,000","61,188,000","63,300,000","66,150,000","61,040,000","61,657,000","64,427,000","63,116,000","62,447,000","62,344,000","61,573,000","65,321,000","64,735,000","65,608,000","66,083,000","66,292,000","64,709,000","64,488,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-1,174,000","0","0","6,527,000","1,591,000","0","0","0","0","0","0","1,200,000","0","0","0","2,208,000","3,084,000","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
