name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,12/31/2010,03/31/2010
OperatingCashFlow,"28,754,000","15,008,000","3,295,000","7,974,000","2,477,000","14,810,000","2,875,000","9,252,000","3,352,000","18,371,000","22,305,000","26,651,000","3,399,000","13,381,000","7,730,000","6,338,000","-4,222,000","10,727,000","-1,355,000","7,042,000","5,501,000","13,985,000","10,235,000","9,254,000","-7,034,000","12,872,000","23,449,000","7,620,000","3,979,000","17,644,000","16,423,000","11,544,000","6,120,000","9,550,000","19,512,000","10,891,000","6,161,000","15,226,000","12,319,000","12,225,000","1,600,000","11,774,000","8,301,000","5,596,000","-20,378,000","19,444,000","1,494,000"
	CashFlowFromContinuingOperatingActivities,"28,754,000","15,008,000","3,295,000","7,974,000","2,477,000","14,810,000","2,875,000","9,252,000","3,352,000","18,371,000","22,305,000","26,651,000","3,399,000","13,381,000","7,730,000","6,338,000","-4,222,000","10,727,000","-1,355,000","7,042,000","5,501,000","13,985,000","10,235,000","9,254,000","-7,034,000","12,872,000","23,449,000","7,620,000","3,979,000","17,644,000","16,423,000","11,544,000","6,120,000","9,550,000","19,512,000","10,891,000","6,161,000","15,226,000","12,319,000","12,225,000","1,600,000","11,774,000","8,301,000","5,596,000","-20,378,000","19,444,000","1,494,000"
		NetIncomeFromContinuingOperations,"20,092,000","8,685,000","11,270,000","-730,000","867,000","-763,000","6,175,000","1,838,000","-6,085,000","-2,968,000","6,522,000","6,921,000","1,461,000","6,749,000","9,717,000","3,325,000","3,378,000","6,594,000","833,000","5,078,000","714,000","3,349,000","5,317,000","3,674,000","2,644,000","3,474,000","8,669,000","6,981,000","4,526,000","10,501,000","15,603,000","11,748,000","11,534,000","9,582,000","12,583,000","10,572,000","-6,938,000","5,649,000",,,,"6,249,000",,,,,"4,212,000"
		OperatingGainsLosses,"2,101,000","613,000","-604,000","1,720,000","372,000","794,000","3,622,000","1,686,000","1,805,000","-4,477,000","1,099,000","-111,000","909,000","2,251,000","-4,930,000","1,734,000","-2,368,000","-3,334,000",,,,,,,,,,,,,,,,"0","0","0","15,485,000",,,,,,,,,,
			GainLossOnSaleOfBusiness,"306,000","-4,000","2,000","-3,000","311,000","20,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-774,000","617,000","-606,000","-846,000","61,000","774,000","1,577,000","1,686,000","1,805,000","-4,477,000","1,099,000","-111,000","909,000","2,251,000","-4,930,000","1,734,000","-2,368,000","-3,334,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"20,205,000","4,856,000","4,972,000","5,086,000","5,291,000","5,105,000","4,974,000","4,881,000","5,762,000","7,196,000","7,123,000","7,071,000","6,885,000","6,939,000","7,200,000","7,770,000","8,056,000","7,932,000","6,944,000","4,892,000","4,652,000","4,630,000","4,448,000","4,524,000","4,230,000","4,438,000","4,647,000","4,312,000","4,012,000","3,464,000","3,545,000","3,576,000","3,558,000","3,545,000","3,557,000","3,543,000","3,533,000","3,525,000","3,450,000","3,439,000","3,417,000","3,348,000","3,285,000","3,392,000","3,946,000","4,228,000","1,201,000"
			DepreciationAndAmortization,"20,205,000","4,856,000","4,972,000","5,086,000","5,291,000","5,105,000","4,974,000","4,881,000","5,762,000","7,196,000","7,123,000","7,071,000","6,885,000","6,939,000","7,200,000","7,770,000","8,056,000","7,932,000","6,944,000","4,892,000","4,652,000","4,630,000","4,448,000","4,524,000","4,230,000","4,438,000","4,647,000","4,312,000","4,012,000","3,464,000","3,545,000","3,576,000","3,558,000","3,545,000","3,557,000","3,543,000","3,533,000","3,525,000","3,450,000","3,439,000","3,417,000","3,348,000","3,285,000","3,392,000","3,946,000","4,228,000","1,201,000"
		DeferredTax,"-1,571,000","-751,000","-882,000","-448,000","510,000","-295,000","-556,000","-1,488,000","-654,000","-308,000","-1,032,000","-1,272,000","-1,533,000","-3,005,000","599,000","-2,544,000","534,000","-3,720,000","-6,422,000","-521,000","-674,000","-596,000","-862,000","-1,099,000","-833,000","-3,744,000","-816,000","-250,000","-592,000","-1,346,000","-694,000","-1,078,000","-4,046,000","1,592,000","-151,000","-969,000","-4,901,000","1,713,000","30,000","-3,081,000","76,000","-2,591,000","-110,000","-818,000","753,000","-976,000","960,000"
			DeferredIncomeTax,"-1,571,000","-751,000","-882,000","-448,000","510,000","-295,000","-556,000","-1,488,000","-654,000","-308,000","-1,032,000","-1,272,000","-1,533,000","-3,005,000","599,000","-2,544,000","534,000","-3,720,000","-6,422,000","-521,000","-674,000","-596,000","-862,000","-1,099,000","-833,000","-3,744,000","-816,000","-250,000","-592,000","-1,346,000","-694,000","-1,078,000","-4,046,000","1,592,000","-151,000","-969,000","-4,901,000","1,713,000","30,000","-3,081,000","76,000","-2,591,000","-110,000","-818,000","753,000","-976,000","960,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,724,000","1,180,000","27,000","336,000","1,449,000","2,315,000","526,000","145,000"
		StockBasedCompensation,"3,803,000","1,104,000","275,000","1,246,000","1,178,000","807,000","430,000","1,358,000","1,133,000","1,290,000","1,328,000","1,323,000","1,019,000","1,018,000","1,041,000","1,085,000","1,004,000","892,000","895,000","947,000","785,000","744,000","837,000","915,000","906,000","985,000","890,000","999,000","875,000","993,000","930,000","816,000","556,000","631,000","662,000","544,000","366,000","472,000","475,000","336,000","58,000","57,000","58,000","58,000","6,341,000","734,000",
		OtherNonCashItems,"349,000","410,000","675,000","534,000","-1,270,000","1,521,000","-2,201,000","-1,127,000","-2,895,000","8,744,000","-1,413,000","1,905,000","-1,182,000","-1,220,000","4,587,000","-121,000","2,827,000","3,629,000","-2,172,000","-112,000","408,000","865,000","-441,000","124,000","-6,000","-326,000","1,009,000","704,000","-145,000","451,000","1,095,000","1,317,000","-566,000","-59,000","123,000","124,000","4,207,000","748,000","-10,463,000","6,987,000","6,600,000","0","4,977,000","3,814,000","-4,966,000",,
		ChangeInWorkingCapital,"-16,225,000","91,000","-12,411,000","566,000","-4,471,000","7,641,000","-9,569,000","2,104,000","4,286,000","8,894,000","8,678,000","10,814,000","-4,160,000","649,000","-10,484,000","-4,911,000","-17,653,000","-1,266,000","-6,683,000","-3,242,000","-384,000","4,993,000","936,000","1,116,000","-13,975,000","6,332,000","9,050,000","-5,126,000","-4,697,000","3,581,000","-4,056,000","-4,835,000","-4,916,000","-5,741,000","2,738,000","-2,923,000","-5,591,000","3,119,000","406,000","2,820,000","-9,731,000","4,684,000","-6,026,000","-2,299,000","-28,767,000","11,922,000","-5,025,000"
