name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"945,300,000","239,600,000","-740,700,000","557,200,000","568,300,000","526,100,000","490,400,000","493,600,000","449,100,000","547,000,000","491,700,000","521,300,000","508,300,000","537,500,000","485,000,000","524,800,000","503,600,000","575,200,000","492,300,000","510,800,000","487,700,000","503,600,000","451,800,000","491,000,000","471,800,000","492,600,000","460,200,000","485,900,000","485,100,000","495,400,000","507,100,000","537,900,000","509,800,000","569,700,000","489,100,000","514,500,000","508,700,000","540,300,000","471,700,000","499,500,000","497,000,000","545,800,000","492,400,000","455,200,000","476,200,000","460,200,000","419,800,000","412,300,000","407,300,000","4,931,000","4,007,000","3,495,000","4,200,000","4,700,000","3,500,000","2,800,000","3,300,000","3,400,000","4,200,000","2,100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","-4,000,000","1,700,000","1,000,000","16,800,000","20,800,000","28,700,000","15,800,000","18,900,000","20,600,000","28,100,000","17,200,000","18,000,000","18,400,000","26,300,000","19,000,000","22,700,000","20,500,000","28,000,000","19,900,000","22,700,000","27,800,000","36,800,000","27,800,000","25,800,000","25,700,000","40,600,000","25,500,000","26,000,000","31,100,000","33,700,000","25,000,000","25,100,000","25,700,000","40,100,000","27,000,000","26,900,000","27,900,000","32,800,000","18,600,000","22,800,000","25,400,000","32,500,000"
	OperatingRevenue,"945,300,000","239,600,000","-740,700,000","557,200,000","568,300,000","526,100,000","490,400,000","493,600,000","449,100,000","547,000,000","491,700,000","521,300,000","508,300,000","537,500,000","485,000,000","524,800,000","503,600,000","575,200,000","492,300,000","510,800,000","487,700,000","503,600,000","451,800,000","491,000,000","471,800,000","492,600,000","460,200,000","485,900,000","485,100,000","495,400,000","507,100,000","537,900,000","509,800,000","569,700,000","489,100,000","514,500,000","508,700,000","540,300,000","471,700,000","499,500,000","497,000,000","545,800,000","492,400,000","455,200,000","476,200,000","460,200,000","419,800,000","412,300,000","407,300,000","4,931,000","4,007,000","3,495,000","4,200,000","4,700,000","3,500,000","2,800,000","3,300,000","3,400,000","4,200,000","2,100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","-4,000,000","1,700,000","1,000,000","16,800,000","20,800,000","28,700,000","15,800,000","18,900,000","20,600,000","28,100,000","17,200,000","18,000,000","18,400,000","26,300,000","19,000,000","22,700,000","20,500,000","28,000,000","19,900,000","22,700,000","27,800,000","36,800,000","27,800,000","25,800,000","25,700,000","40,600,000","25,500,000","26,000,000","31,100,000","33,700,000","25,000,000","25,100,000","25,700,000","40,100,000","27,000,000","26,900,000","27,900,000","32,800,000","18,600,000","22,800,000","25,400,000","32,500,000"
CostOfRevenue,"558,600,000","137,700,000","-451,400,000","338,400,000","332,500,000","318,200,000","308,700,000","300,500,000","272,200,000","330,500,000","300,000,000","313,100,000","306,700,000","335,700,000","300,700,000","321,600,000","308,100,000","365,500,000","309,400,000","322,500,000","311,700,000","328,000,000","298,800,000","317,000,000","306,400,000","324,800,000","301,900,000","316,600,000","315,300,000","306,600,000","325,300,000","341,600,000","330,500,000","361,000,000","307,900,000","322,700,000","326,800,000","342,100,000","303,800,000","312,900,000","318,100,000","344,800,000","327,200,000","294,800,000","309,300,000","295,800,000","274,700,000","266,800,000","265,500,000","3,291,000","2,948,000","2,889,000","3,200,000","3,400,000","3,000,000","3,000,000","2,000,000","2,100,000","2,900,000",,,,,,,,,"-3,100,000","1,300,000","900,000","13,900,000","17,000,000","22,300,000","12,800,000","14,500,000","16,100,000","21,900,000","13,800,000","13,500,000","15,700,000","20,000,000","14,700,000","16,600,000","14,700,000","20,400,000","14,800,000","17,000,000","22,400,000","27,800,000","21,800,000","20,300,000",,,"18,300,000",,,,,,,,,,,,,,,
GrossProfit,"386,700,000","101,900,000","-289,300,000","218,800,000","235,800,000","207,900,000","181,700,000","193,100,000","176,900,000","216,500,000","191,700,000","208,200,000","201,600,000","201,800,000","184,300,000","203,200,000","195,500,000","209,700,000","182,900,000","188,300,000","176,000,000","175,600,000","153,000,000","174,000,000","165,400,000","167,800,000","158,300,000","169,300,000","169,800,000","188,800,000","181,800,000","196,300,000","179,300,000","208,700,000","181,200,000","191,800,000","181,900,000","198,200,000","167,900,000","186,600,000","178,900,000","201,000,000","165,200,000","160,400,000","166,900,000","164,400,000","145,100,000","145,500,000","141,800,000","1,640,000","1,059,000","606,000","1,000,000","1,300,000","500,000","-200,000","1,300,000","1,300,000","1,300,000",,,,,,,,,"-900,000","400,000","100,000","2,900,000","3,800,000","6,400,000","3,000,000","4,400,000","4,500,000","6,200,000","3,400,000","4,500,000","2,700,000","6,300,000","4,300,000","6,100,000","5,800,000","7,600,000","5,100,000","5,700,000","5,400,000","9,000,000","6,000,000","5,500,000",,,"7,200,000",,,,,,,,,,,,,,,
OperatingExpense,"255,600,000","56,900,000","-124,200,000","126,900,000","131,100,000","128,700,000","125,400,000","114,100,000","109,200,000","121,900,000","110,500,000","117,600,000","118,200,000","117,900,000","110,800,000","118,100,000","120,300,000","131,700,000","115,900,000","117,400,000","118,100,000","108,500,000","108,500,000","117,100,000","121,200,000","113,600,000","103,700,000","111,100,000","114,700,000","90,800,000","143,800,000","117,300,000","118,300,000","126,300,000","111,900,000","118,000,000","119,100,000","121,100,000","106,100,000","118,100,000","112,600,000","126,400,000","111,200,000","98,800,000","103,900,000","104,100,000","92,500,000","90,900,000","90,200,000","894,000","975,000","918,000","1,000,000","900,000","1,100,000","1,100,000","1,100,000","1,000,000","1,100,000","900,000","200,000","200,000","200,000","100,000","100,000","100,000","100,000","-1,300,000","600,000","600,000","3,600,000","3,600,000","4,000,000","3,900,000","4,100,000","4,100,000","4,100,000","4,300,000","4,400,000","4,400,000","4,900,000","5,100,000","5,700,000","5,400,000","5,600,000","5,400,000","5,900,000","8,900,000","6,600,000","6,700,000","7,300,000",,,"6,500,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"235,200,000","53,900,000","-120,100,000","117,800,000","122,000,000","119,300,000","116,400,000","105,100,000","100,200,000","112,800,000","101,700,000","108,800,000","109,500,000","109,300,000","102,400,000","109,600,000","111,800,000","122,900,000","107,300,000","109,400,000","109,900,000","100,100,000","99,900,000","106,600,000","106,600,000","99,300,000","89,100,000","96,900,000","100,400,000","76,500,000","130,200,000","103,600,000","104,800,000","113,300,000","99,200,000","105,400,000","106,600,000","108,700,000","93,700,000","104,800,000","99,600,000","113,100,000","98,500,000","86,400,000","91,400,000","91,900,000","80,100,000","78,900,000","78,200,000","762,000","841,000","833,000","800,000","800,000","1,000,000","1,000,000","1,000,000","900,000","1,000,000","700,000","200,000",,"200,000","100,000","100,000","100,000","100,000","-1,300,000","500,000","500,000","3,500,000","3,500,000","3,800,000","3,700,000","4,000,000","3,900,000","3,900,000","4,100,000","4,300,000","4,300,000","4,800,000","4,900,000","5,500,000","5,300,000","5,400,000","5,300,000","5,700,000","8,800,000","6,400,000","6,600,000","7,100,000",,,"6,300,000",,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,,,,,,,,,,,,,,,,,,"119,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,"3,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,,,,,,,,,,,"122,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
