name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
OperatingCashFlow,"1,105,000","28,666,000","-31,467,000","-10,721,000","14,627,000","-23,226,000","-13,791,000","-27,738,000","61,927,000","48,487,000","79,884,000","83,654,000","83,536,000","58,389,000","99,207,000","107,679,000","109,250,000","34,175,000","75,077,000","42,701,000","9,319,000","-47,406,000","-3,735,000","-19,441,000","5,713,000","-36,591,000","-7,284,000"
	CashFlowFromContinuingOperatingActivities,"1,105,000","28,666,000","-31,467,000","-10,721,000","14,627,000","-23,226,000","-13,791,000","-27,738,000","61,927,000","48,487,000","79,884,000","83,654,000","83,536,000","58,389,000","99,207,000","107,679,000","109,250,000","34,175,000","75,077,000","42,701,000","9,319,000","-47,406,000","-3,735,000","-19,441,000","5,713,000","-36,591,000","-7,284,000"
		NetIncomeFromContinuingOperations,"-56,129,000","8,792,000","10,854,000","-43,994,000","-31,781,000","-54,502,000","-60,206,000","-102,433,000","-112,488,000","-71,756,000","-82,928,000","3,558,000","-4,981,000","-21,806,000","6,128,000","30,779,000","30,667,000","-8,243,000","43,947,000","4,065,000","-11,898,000","-72,255,000","-38,532,000","-51,671,000","-45,691,000","-51,193,000","-25,732,000"
		OperatingGainsLosses,"-31,467,000","-5,742,000","-22,581,000","36,000","-3,180,000","329,000","-9,797,000","2,019,000","-5,338,000","-10,582,000","5,462,000","-1,496,000","-4,208,000","-2,629,000","-2,021,000","2,069,000","10,697,000","2,909,000","-1,461,000","123,000","-438,000","31,268,000","-136,000","222,000","1,174,000","1,391,000","102,000"
			GainLossOnInvestmentSecurities,"-6,338,000","-4,919,000","-1,425,000","1,169,000","-1,163,000","4,921,000","-7,278,000","5,046,000","-4,385,000","-2,620,000","1,297,000","-2,176,000","-3,878,000","-3,110,000","-4,533,000","956,000","-140,000","2,140,000","957,000","-178,000","0","184,000","0","0","1,647,000","1,391,000",
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,"211,000"
		DepreciationAmortizationDepletion,"193,459,000","55,163,000","52,764,000","44,861,000","40,671,000","45,868,000","67,400,000","73,570,000","75,260,000","85,821,000","82,081,000","68,707,000","69,886,000","71,476,000","71,403,000","68,287,000","59,404,000","60,051,000","49,964,000","46,204,000","32,739,000","30,373,000","29,032,000","28,118,000","27,721,000","16,108,000","16,462,000"
			DepreciationAndAmortization,"193,459,000","55,163,000","52,764,000","44,861,000","40,671,000","45,868,000","67,400,000","73,570,000","75,260,000","85,821,000","82,081,000","68,707,000","69,886,000","71,476,000","71,403,000","68,287,000","59,404,000","60,051,000","49,964,000","46,204,000","32,739,000","30,373,000","29,032,000","28,118,000","27,721,000","16,108,000","16,462,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,,,,"740,000","623,000","620,000","596,000","178,000","3,847,000","1,373,000","1,301,000","955,000","523,000","504,000"
		AssetImpairmentCharge,,,"0","0","0","0","0","2,681,000","0","34,327,000",,,,,,,,,,,,,"185,000",,,,"0"
		StockBasedCompensation,"27,950,000","8,476,000","7,235,000","7,350,000","4,889,000","5,203,000","4,675,000","4,748,000","9,523,000","6,880,000","13,852,000","5,488,000","5,637,000","4,000,000","5,242,000","4,811,000","4,040,000","3,073,000","3,244,000","3,263,000","2,933,000","1,138,000","159,000","-15,000","72,000","1,769,000","211,000"
		OtherNonCashItems,"-8,439,000","528,000","538,000","-210,000","-9,295,000","624,000","507,000","503,000","656,000","551,000","394,000","458,000","264,000","244,000","818,000","-13,926,000","740,000","13,877,000","620,000","596,000","292,000","3,411,000","1,373,000","1,301,000","3,608,000","-1,659,000","1,061,000"
		ChangeInWorkingCapital,"-124,269,000","-38,551,000","-80,277,000","-18,764,000","13,323,000","-20,748,000","-16,370,000","-8,826,000","94,314,000","3,246,000","48,677,000","6,939,000","16,938,000","7,104,000","17,637,000","15,659,000","3,702,000","-37,492,000","-21,237,000","-11,550,000","-14,309,000","-41,341,000","4,184,000","2,604,000","18,829,000","-3,007,000","612,000"
			ChangeInReceivables,"-177,517,000","-89,937,000","-36,351,000","-57,029,000","5,800,000","-40,955,000","-25,841,000","-15,425,000","255,182,000","-30,833,000","158,089,000","2,877,000","-3,536,000","15,136,000","35,917,000","467,000","-2,039,000","-6,860,000","-18,810,000","-17,822,000","-16,263,000","-60,152,000","-10,615,000","-10,469,000","15,671,000","-7,614,000","13,822,000"
				ChangesInAccountReceivables,,,,,,,,,,,,,,,"35,917,000","467,000","-2,039,000","-6,860,000","-18,810,000","-17,822,000","-16,263,000","-60,152,000","-10,615,000","-10,469,000","15,671,000","-7,614,000","13,822,000"
			ChangeInInventory,"-21,876,000","-14,262,000","-932,000","-5,932,000","-750,000","-2,364,000","-1,523,000","7,886,000","7,157,000","5,647,000","3,097,000","5,036,000","4,338,000","4,710,000","-6,896,000","11,789,000","-2,774,000","-4,844,000","5,942,000","-7,167,000","-8,713,000","-5,537,000","-2,425,000","-3,781,000","-388,000","15,079,000","351,000"
