name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,12/31/2012
			OtherReceivables,"5,000,000",,,"500,000","12,500,000","12,500,000",,,,,"15,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"23,011,000","23,877,000","20,883,000","15,594,000","14,164,000","10,726,000","10,185,000","7,398,000","6,476,000","6,547,000","7,533,000","11,307,000","9,433,000","10,375,000","12,095,000","12,074,000","6,649,000","5,606,000","7,027,000","7,617,000","4,365,000","2,901,000","3,448,000","2,192,000","1,843,000","1,201,000","865,000","711,000","422,000","134,000","162,000","402,000","159,000","60,000","1,133,000","241,000","173,000"
		OtherCurrentAssets,,,,,,"10,726,000","10,185,000","7,398,000","6,476,000","6,547,000",,"11,307,000",,"10,375,000","12,857,000","12,836,000",,"5,606,000",,,,"2,901,000",,,,"1,245,000","1,932,000",,"833,000","3,100,000",,"462,000",,"119,000",,,
	TotalNonCurrentAssets,"351,952,000","413,843,000","367,635,000","214,635,000","101,569,000","65,572,000","75,466,000","41,334,000","78,856,000","111,845,000","112,479,000","157,744,000","208,332,000","261,005,000","298,666,000","321,930,000","141,353,000","159,223,000","180,445,000","205,182,000","252,214,000","286,910,000","211,288,000","90,630,000","99,110,000","109,235,000","81,605,000","102,843,000","33,571,000","10,074,000","9,761,000","9,687,000","9,289,000","9,221,000","9,452,000","9,341,000","8,820,000"
		NetPPE,"59,330,000","59,970,000","24,179,000","23,132,000","22,301,000","32,282,000","19,771,000","16,239,000","16,799,000","25,185,000","13,868,000","12,128,000","11,456,000","11,813,000","9,688,000","9,401,000","8,921,000","7,088,000","6,085,000","3,861,000","3,360,000","3,105,000","3,050,000","2,508,000","2,510,000","2,310,000","2,293,000","1,804,000","1,375,000","899,000","744,000","571,000","340,000","307,000","339,000","367,000","283,000"
			GrossPPE,"59,330,000","82,798,000",,,,"49,313,000","28,122,000","24,716,000","25,676,000","37,790,000",,,,"21,239,000",,,,"15,036,000",,,,"10,650,000",,,,"9,194,000","8,989,000","8,379,000","8,028,000","7,453,000","7,233,000","7,009,000","6,750,000","6,684,000","6,685,000","6,685,000","6,562,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0","0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,,"42,494,000",,,,"31,756,000",,,,"21,579,000",,,,"16,465,000",,,,"11,026,000",,,,"6,860,000",,,,"5,440,000","5,377,000","5,175,000","4,938,000","4,367,000","4,150,000","3,928,000","3,669,000","3,603,000","3,604,000","3,604,000","3,481,000"
				OtherProperties,"59,330,000","31,730,000",,,,"10,600,000","28,122,000","24,716,000","25,676,000","9,380,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,,"8,574,000",,,,"6,957,000",,,,"6,831,000",,,,"4,774,000",,,,"4,010,000",,,,"3,790,000",,,,"3,754,000","3,612,000","3,204,000","3,090,000","3,086,000","3,083,000","3,081,000","3,081,000","3,081,000","3,081,000","3,081,000","3,081,000"
