name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018
TotalAssets,"813,149,000","1,012,792,000","781,524,000","1,081,486,000","1,093,308,000","703,588,000","787,693,000","905,227,000","989,799,000","631,679,000","640,530,000","325,540,000","401,374,000","464,941,000"
	CurrentAssets,"716,230,000","888,858,000","639,710,000","909,871,000","945,114,000","642,824,000","745,384,000","861,935,000","924,957,000","568,622,000","558,155,000","306,709,000","382,473,000","445,223,000"
		CashCashEquivalentsAndShortTermInvestments,"671,226,000","836,663,000","599,611,000","837,663,000","919,118,000","607,093,000","710,681,000","840,939,000","905,175,000","545,993,000","536,053,000","293,803,000","373,027,000","436,086,000"
			CashAndCashEquivalents,"371,550,000","393,772,000","180,347,000","378,420,000","471,176,000","356,082,000","366,967,000","540,919,000","757,049,000","363,773,000","413,973,000","293,803,000","373,027,000","436,086,000"
				CashFinancial,,,,,,,,,"86,134,000","56,037,000","57,392,000",,,
				CashEquivalents,,,,,,,,,"670,915,000","307,736,000","356,581,000",,,
			OtherShortTermInvestments,"299,676,000","442,891,000","419,264,000","459,243,000","447,942,000","251,011,000","343,714,000","300,020,000","148,126,000","182,220,000","122,080,000",,,
		Receivables,"10,983,000","19,749,000","8,172,000","45,538,000","462,000","0","8,000,000",,,,,,,
			AccountsReceivable,,,,"1,213,000",,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,"462,000","8,962,000","462,000","0","8,000,000",,,,,,,
			OtherReceivables,"10,983,000","19,749,000","7,710,000","35,363,000",,,"8,000,000",,,,,,,
		PrepaidAssets,"34,021,000","32,446,000","31,927,000","26,670,000","25,534,000","35,731,000","26,703,000","20,996,000","19,782,000","22,629,000","8,750,000","7,532,000","7,170,000","7,087,000"
		OtherCurrentAssets,,,,,,,,,,,"13,352,000","5,374,000","2,276,000","2,050,000"
	TotalNonCurrentAssets,"96,919,000","123,934,000","141,814,000","171,615,000","148,194,000","60,764,000","42,309,000","43,292,000","64,842,000","63,057,000","82,375,000","18,831,000","18,901,000","19,718,000"
		NetPPE,"31,118,000","45,973,000","44,849,000","42,236,000","35,813,000","36,833,000","25,826,000","26,038,000","24,610,000","5,625,000","2,984,000","1,865,000","1,882,000","1,575,000"
			GrossPPE,"31,118,000","45,973,000","44,849,000","42,236,000","35,813,000","36,833,000","25,826,000","26,038,000","24,610,000","5,625,000","2,984,000","1,865,000","1,882,000","1,806,000"
				Properties,,,,,,,,,,,,,,"0"
				MachineryFurnitureEquipment,,,,,,,,,,,,,,"1,655,000"
				OtherProperties,"31,118,000","45,973,000","44,849,000","42,236,000","35,813,000","36,833,000","25,826,000","26,038,000","24,610,000","5,625,000","2,984,000","1,865,000","1,882,000",
				ConstructionInProgress,,,,,,,,,,,,,,"6,000"
				Leases,,,,,,,,,,,,,,"145,000"
			AccumulatedDepreciation,,,,,,,,,,,,,,"-231,000"
		GoodwillAndOtherIntangibleAssets,"30,476,000","44,934,000","46,204,000",,,,,,,,,,,
			OtherIntangibleAssets,"30,476,000",,,,,,,,,,,,,
		InvestmentsAndAdvances,,"49,148,000","17,707,000","79,582,000","82,202,000","0","0","0","23,210,000","31,144,000","76,793,000","7,495,000","12,452,000","17,050,000"
			LongTermEquityInvestment,,,,,,,,,,"0","907,000","7,495,000","12,452,000","17,050,000"
			InvestmentinFinancialAssets,,"49,148,000","17,707,000","79,582,000","82,202,000","0","0","0","23,210,000","31,144,000","75,886,000",,,
				AvailableForSaleSecurities,,"49,148,000","17,707,000","79,582,000","82,202,000",,,,"23,210,000","31,144,000","75,886,000",,,
		OtherNonCurrentAssets,"35,325,000","33,027,000","33,054,000","49,797,000","30,179,000","23,931,000","16,483,000","17,254,000","17,022,000","26,288,000","2,598,000","9,471,000","4,567,000","1,093,000"
TotalLiabilitiesNetMinorityInterest,"1,853,836,000","1,878,371,000","1,517,398,000","1,537,111,000","1,481,402,000","595,702,000","569,306,000","577,715,000","537,728,000","155,703,000","116,263,000","593,093,000","90,713,000","566,444,000"
	CurrentLiabilities,"103,463,000","135,069,000","95,823,000","131,909,000","94,729,000","95,648,000","75,707,000","92,640,000","64,914,000","60,385,000","39,858,000","38,705,000","35,472,000","32,577,000"
		PayablesAndAccruedExpenses,"83,642,000","93,090,000","69,264,000","105,504,000","66,535,000","55,163,000","48,137,000","70,147,000","53,218,000","34,990,000","28,257,000","29,672,000","27,333,000","25,521,000"
			Payables,"10,107,000","11,884,000","12,035,000","22,329,000","10,340,000","8,945,000","9,839,000","12,835,000","13,086,000","8,852,000","10,270,000","16,065,000","12,344,000","14,506,000"
				AccountsPayable,"10,107,000","11,884,000","12,035,000","22,329,000","10,340,000","8,945,000","9,839,000","12,835,000","13,086,000","8,852,000","10,270,000","16,065,000","12,344,000","13,509,000"
				DividendsPayable,,,,,,,,,,"0","0","0","0","997,000"
