name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
OperatingCashFlow,"-5,526,000","-10,223,000","-3,232,000","6,330,000","1,599,000","-6,679,000","-10,267,000","-4,618,000","-3,097,000","-12,281,000","-23,122,000","-3,160,000","2,130,000","-15,260,000","1,534,000","3,397,000","20,689,000","10,176,000","20,865,000","17,951,000","13,483,000","10,640,000","16,680,000","2,845,000","7,280,000","-977,000","4,356,000","7,308,000","2,933,000","4,210,000","8,284,508","8,949,243","1,179,220","-1,610,971","839,186","1,728,885","-755,362","-2,098,186","-923,718","-862,302","-310,872","-1,287,939","-1,655,688","-1,089,563","-2,129,676","-1,789,844","-1,986,037","-2,270,896","-2,003,308","-1,897,252","-1,908,035","-1,750,103","-1,332,373","-2,148,150","-2,431,932","-2,643,150","-2,768","-14,224","-2,101","-4,575"
	CashFlowFromContinuingOperatingActivities,"-5,526,000","-10,223,000","-3,232,000","6,330,000","1,599,000","-6,679,000","-10,267,000","-4,618,000","-3,097,000","-12,281,000","-23,122,000","-3,160,000","2,130,000","-15,260,000","1,534,000","3,397,000","20,689,000","10,176,000","20,865,000","17,951,000","13,483,000","10,640,000","16,680,000","2,845,000","7,280,000","-977,000","4,356,000","7,308,000","2,933,000","4,210,000","8,284,508","8,949,243","1,179,220","-1,610,971","839,186","1,728,885","-755,362","-2,098,186","-923,718","-862,302","-310,872","-1,287,939","-1,655,688","-1,089,563","-2,129,676","-1,789,844","-1,986,037","-2,270,896","-2,003,308","-1,897,252","-1,908,035","-1,750,103","-1,332,373","-2,148,150","-2,431,932","-2,643,150","-2,768","-14,224","-2,101","-4,575"
		NetIncomeFromContinuingOperations,"-12,392,000","-10,489,000","2,215,000","-2,339,000","-1,779,000","-8,382,000","-16,580,000","-19,417,000","-8,466,000","-4,821,000","-7,476,000","12,379,000","-17,210,000","-13,273,000","-36,224,000","-178,000","1,804,000","4,619,000","34,874,000","17,457,000","8,069,000","4,327,000","5,481,000","3,321,000","1,975,000","1,197,000","13,378,000","6,551,000","5,430,000","4,087,000","3,832,526","3,699,705","-390,159","-922,072","-1,426,938","-307,118","-757,389","-1,620,408",,,,,,,,"-3,347,562","-2,726,657","-2,854,442","-2,696,569","-3,142,085","-4,486,577","-1,597,543","-2,871,984","-2,309,055","-3,586,350","-3,151,882","-8,082","-5,644","-8,975","-16,159"
		OperatingGainsLosses,"11,000","-15,000","26,000","0","0","236,000","1,000","8,200,000",,,"0","5,000","312,000","1,000",,,,,"5,322,000","-4,274,000",,,,,,,,,,,,,,,"28,441",,,,,,,,,,,,"0","0","0","0","-566,219","0","5,440",,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,"5,322,000","-4,274,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"11,000","-15,000","26,000","0","0","236,000","1,000","-1,000","1,000","0","0","5,000","312,000","1,000",,"0","0","0",,,,,,,,,,,,,,,,,"28,441",,,,,,,,,,,,,"0","0","0","0","0",,,,,,,,
		DepreciationAmortizationDepletion,"4,815,000","1,032,000","1,146,000","1,116,000","1,521,000","1,400,000","1,543,000","1,842,000","1,693,000","1,777,000","1,835,000","1,910,000","1,912,000","1,928,000","2,224,000","1,675,000","1,544,000","1,473,000","1,240,000","1,431,000","1,622,000","1,472,000","1,177,000","1,471,000","1,268,000","1,544,000","786,000","705,000","654,000","587,000","565,474","545,255","519,809","494,462","487,243","435,806","406,821","361,347","373,537","572,626","455,080","444,365","449,628","432,966","449,659","450,157","273,648","281,313","279,255","277,975","277,601","282,820","278,524","276,171","273,140","263,994",,,,
			DepreciationAndAmortization,"4,815,000","1,032,000","1,146,000","1,116,000","1,521,000","1,400,000","1,543,000","1,842,000","1,693,000","1,777,000","1,835,000","1,910,000","1,912,000","1,928,000","2,224,000","1,675,000","1,544,000","1,473,000","1,240,000","1,431,000","1,622,000","1,472,000","1,177,000","1,471,000","1,268,000","1,544,000","786,000","705,000","654,000","587,000","565,474","545,255","519,809","494,462","487,243","435,806","406,821","361,347","373,537","572,626","455,080","444,365","449,628","432,966","449,659","450,157","273,648","281,313","279,255","277,975","277,601","282,820","278,524","276,171","273,140","263,994",,,,
				Depreciation,"4,062,000","860,000","973,000","923,000","1,306,000","1,161,000","1,288,000","1,566,000","1,422,000","1,506,000","1,565,000","1,641,000","1,645,000","1,695,000","1,948,000","1,415,000","1,298,000","1,221,000","1,013,000","1,013,000","1,115,000","946,000","939,000","839,000","821,000","734,000","552,000","471,000","422,000","354,000","332,842","313,177","287,850","263,131","223,081","176,231","139,183","98,751","110,942","122,934","121,103","110,388","115,651","98,989","115,682","116,180","106,665","114,330","112,272","110,992","110,895","116,116","111,820","109,467","106,436","97,290",,,,
				AmortizationCashFlow,"753,000","172,000","173,000","193,000","215,000","239,000","255,000","276,000","271,000","271,000","270,000","269,000","267,000","233,000","276,000","260,000","246,000","252,000","227,000","418,000","507,000","526,000","238,000","632,000","447,000","810,000","234,000","234,000","232,000","233,000","232,632","232,078","231,959","231,331","264,162","259,575","267,638","262,596","262,595","449,692","333,977","333,977","333,977","333,977","333,977","333,977","166,983","166,983","166,983","166,983","166,706","166,704","166,704","166,704","166,704","166,704",,,,
