name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,12/31/2011
TotalAssets,"2,577,964,000","2,610,316,000","2,711,221,000","2,786,720,000","2,573,367,000","2,566,358,000","2,650,181,000","2,577,398,000","2,438,394,000","2,300,518,000","2,270,810,000","2,296,134,000","2,306,194,000","2,115,602,000","2,211,977,000","2,163,494,000","2,158,233,000","2,085,782,000","2,122,079,000","2,173,841,000","2,372,981,000","2,378,771,000","2,379,816,000","2,419,374,000","2,416,825,000","2,391,134,000","2,475,398,000","2,435,803,000","2,443,863,000","2,442,474,000","2,531,417,000","2,525,457,000","2,544,501,000","2,582,273,000","2,658,136,000","2,632,947,000","2,571,645,000","2,521,052,000","2,611,240,000","2,547,095,000"
	CurrentAssets,"524,664,000","567,396,000","681,009,000","751,562,000","532,303,000","507,437,000","562,768,000","459,328,000","293,721,000","169,149,000","151,041,000","168,321,000","172,843,000","146,567,000","241,621,000","163,096,000","153,362,000","118,775,000","147,532,000","143,816,000","136,058,000","153,692,000","150,500,000","145,318,000","143,587,000","109,057,000","225,798,000","175,604,000","150,411,000","142,204,000","221,770,000","185,937,000","198,121,000","243,059,000","316,392,000","222,563,000","177,341,000","158,633,000","252,979,000","166,855,000"
		CashCashEquivalentsAndShortTermInvestments,"380,008,000","443,707,000","553,570,000","615,791,000","430,567,000","433,909,000","488,416,000","375,683,000","192,760,000","39,946,000","50,917,000","43,601,000","51,860,000","34,073,000","125,669,000","33,452,000","39,343,000","33,178,000","52,342,000","33,834,000","33,217,000","68,958,000","55,807,000","29,234,000","41,492,000","18,971,000","119,651,000","52,931,000","43,369,000","43,906,000","115,192,000","63,006,000","61,240,000","116,841,000","210,516,000","93,936,000","59,367,000","45,675,000","142,843,000","66,663,000"
			CashAndCashEquivalents,"380,008,000","443,707,000","553,570,000","615,791,000","430,567,000","433,909,000","488,416,000","375,683,000","192,760,000","39,946,000","50,917,000","43,601,000","51,860,000","34,073,000","125,669,000","33,452,000","39,343,000","33,178,000","52,342,000","33,834,000","33,217,000","68,958,000","55,807,000","29,234,000","41,492,000","18,971,000","119,651,000","52,931,000","43,369,000","43,906,000","115,192,000","63,006,000","61,240,000","116,841,000","210,516,000","93,936,000","59,367,000","45,675,000","142,843,000","66,663,000"
		Receivables,"74,581,000","76,948,000","86,513,000","90,419,000","52,978,000","30,410,000","25,553,000","28,615,000","43,358,000","82,639,000","50,751,000","63,282,000","58,692,000","57,980,000","66,842,000","72,558,000","56,431,000","38,400,000","49,378,000","54,398,000","41,242,000","36,726,000","49,380,000","58,116,000","44,531,000","39,538,000","48,534,000","56,094,000","38,510,000","37,002,000","43,631,000","46,810,000","38,451,000","41,509,000","52,505,000","59,913,000","42,534,000","41,149,000","52,054,000","45,980,000"
			AccountsReceivable,"74,581,000","76,948,000","86,513,000","90,419,000","52,978,000","30,410,000","25,553,000","28,615,000","43,358,000","49,728,000","50,751,000","63,282,000","58,692,000","57,980,000","66,842,000","72,558,000","56,431,000","38,400,000","49,378,000","54,398,000","41,242,000","36,726,000","49,380,000","58,116,000","44,531,000","39,538,000","48,534,000","56,094,000","38,510,000","37,002,000","43,631,000","46,810,000","38,451,000","41,509,000","52,505,000","59,913,000","42,534,000","41,149,000","52,054,000","45,980,000"
			OtherReceivables,,,,,,,,,,"32,911,000",,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0",
		Inventory,"45,114,000","29,478,000","25,870,000","25,111,000","28,850,000","30,700,000","34,180,000","35,824,000","34,627,000","33,163,000","34,785,000","43,219,000","42,724,000","35,814,000","34,782,000","39,769,000","37,648,000","30,887,000","32,300,000","38,211,000","33,479,000","28,684,000","33,415,000","42,034,000","38,664,000","31,213,000","32,267,000","38,749,000","37,877,000","33,134,000","36,766,000","44,308,000","41,788,000","36,209,000","37,886,000","46,151,000","42,484,000","36,587,000","36,646,000","32,431,000"
			RawMaterials,,"506,000",,,,"629,000",,,,"218,000",,,,"217,000",,,,"217,000",,,,"290,000",,,,"290,000",,,,,,,,,,,,"0",,"33,000"
			FinishedGoods,,"28,972,000",,,,"30,071,000",,,,"32,945,000",,,,"35,597,000",,,,"30,670,000",,,,"28,394,000",,,,"30,923,000",,,,"33,134,000",,,,"36,209,000",,,,"36,587,000",,"32,398,000"
