name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001
TotalAssets,"21,143,152,000","22,073,491,000","19,730,360,000","18,458,352,000","17,248,728,000","18,039,143,000","16,347,076,000","15,700,414,000","15,680,264,000","16,197,196,000","15,040,942,000","14,719,135,000","14,693,008,000","13,456,793,000","12,977,116,000","12,535,457,000","11,907,442,000","11,483,830,000","11,652,014,000","10,606,218,000","9,927,112,000","10,779,587,000","10,776,770,000","9,922,572,000","9,835,135,000","11,017,943,000","9,555,464,000","7,460,259,000","7,625,660,000","7,647,105,000","7,529,954,000","7,471,771,000","6,843,358,000","6,998,414,000","6,177,335,000","6,348,288,000","6,887,640,000","7,809,542,000","6,768,777,000","6,576,395,000","6,539,557,000","7,219,143,000","6,415,103,000","5,282,732,000","4,792,898,000","5,121,568,000","5,075,063,000","4,931,050,000","4,867,415,000","5,039,406,000","4,475,344,000","4,418,978,000","4,657,481,000","4,726,414,000","6,411,766,000","6,439,505,000","6,308,988,000","6,242,573,000","6,483,641,000","5,950,030,000","5,598,742,000","5,944,631,000","2,594,126,000","2,397,071,000","2,485,779,000","2,815,672,000","2,380,701,000","2,241,566,000","2,000,265,000","2,271,636,000","2,007,347,000","2,219,076,000","1,919,735,000","2,213,481,000","1,967,024,000","1,561,901,000","1,196,296,000","1,324,876,000","1,254,683,000","1,351,923,000","1,221,657,000","1,359,353,000","1,219,638,000"
	CurrentAssets,"9,333,547,000","10,082,365,000","10,075,428,000","8,886,889,000","7,906,291,000","8,845,631,000","7,771,375,000","7,189,435,000","7,263,587,000","7,534,464,000","7,058,835,000","6,885,217,000","6,996,860,000","6,754,210,000","6,378,314,000","6,106,710,000","5,754,300,000","5,452,527,000","5,804,734,000","4,824,336,000","4,245,460,000","5,122,450,000","5,055,477,000","4,246,081,000","4,086,896,000","5,305,223,000","3,979,647,000","3,342,956,000","3,593,879,000","3,524,504,000","3,461,037,000","3,338,471,000","2,762,237,000","2,879,812,000","2,558,960,000","2,799,225,000","3,232,833,000","4,084,550,000","3,037,275,000","2,828,698,000","2,781,705,000","3,550,047,000","3,225,911,000","2,379,054,000","1,969,033,000","2,260,870,000","2,177,587,000","2,053,104,000","1,897,204,000","2,266,725,000","1,633,066,000","1,557,810,000","1,904,094,000","1,915,533,000","2,170,731,000","2,218,969,000","2,224,709,000","2,360,830,000","2,576,269,000","2,125,210,000","1,787,615,000","2,212,013,000","873,021,000","738,366,000","884,499,000","1,292,947,000","906,985,000","800,582,000","583,127,000","863,695,000","675,401,000","833,955,000","542,760,000","838,982,000","607,535,000","369,006,000","223,416,000","345,940,000","273,669,000","352,777,000","232,891,000","360,746,000","282,613,000"
		CashCashEquivalentsAndShortTermInvestments,"1,657,336,000","2,430,951,000","2,767,820,000","2,142,820,000","1,910,326,000","1,896,188,000","1,481,924,000","1,214,213,000","628,451,000","971,781,000","577,460,000","535,618,000","604,952,000","777,219,000","550,468,000","531,481,000","642,854,000","751,774,000","955,605,000","535,681,000","533,281,000","762,576,000","446,346,000","431,768,000","489,229,000","540,403,000","504,242,000","406,104,000","444,001,000","804,351,000","685,521,000","453,189,000","491,071,000","550,354,000","573,282,000","517,337,000","612,608,000","1,191,307,000","874,402,000","812,385,000","830,851,000","1,247,456,000","779,124,000","752,109,000","427,645,000","509,592,000","768,675,000","743,563,000","680,295,000","742,422,000","326,045,000","309,520,000","423,463,000","158,823,000","400,780,000","250,518,000","313,162,000","347,574,000","438,036,000","440,997,000","347,967,000","244,476,000","138,273,000","127,289,000","253,089,000","449,289,000","284,571,000","192,217,000","157,784,000","256,896,000","147,925,000","179,592,000","54,254,000","163,881,000","85,494,000","223,018,000","19,370,000","79,701,000","18,484,000","18,211,000","19,997,000","57,450,000","24,211,000"
			CashAndCashEquivalents,"1,657,336,000","2,430,951,000","2,767,820,000","2,142,820,000","1,910,326,000","1,896,188,000","1,481,924,000","1,214,213,000","628,451,000","971,781,000","577,460,000","535,618,000","604,952,000","777,219,000","550,468,000","531,481,000","642,854,000","751,774,000","955,605,000","535,681,000","533,281,000","762,576,000","446,346,000","431,768,000","489,229,000","540,403,000","440,357,000","336,422,000","379,028,000","740,884,000","615,358,000","381,866,000","428,237,000","491,912,000","502,621,000","485,495,000","518,700,000","1,089,297,000","776,260,000","731,202,000","703,937,000","1,093,182,000","662,594,000","752,109,000","427,645,000","506,574,000","768,675,000","743,563,000","680,295,000","741,557,000","326,045,000","309,520,000","423,463,000","158,823,000","400,780,000","250,518,000","313,162,000","342,874,000","435,207,000","438,168,000","346,348,000","244,476,000","138,273,000","127,289,000","253,089,000","449,289,000","284,571,000","192,217,000","157,784,000","256,896,000","147,925,000","179,592,000","54,254,000","163,881,000","85,494,000","223,018,000","19,370,000","79,701,000","18,484,000","18,211,000","19,997,000","57,450,000","24,211,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000,000",,,,,,,
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,018,000",,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,"63,885,000","69,682,000","64,973,000","63,467,000","70,163,000","71,323,000","62,834,000","58,442,000","70,661,000","31,842,000","93,908,000","102,010,000","98,142,000","81,183,000","126,914,000","154,274,000","116,530,000",,,"3,018,000",,,,"865,000",,,,,,,,"4,700,000","2,829,000","2,829,000","1,619,000",,,,,,,,,,,,,,,,,,,,,,
		Receivables,"6,663,846,000","6,837,043,000","6,369,076,000","5,981,172,000","5,304,207,000","6,218,071,000","5,554,651,000","5,291,882,000","5,953,664,000","5,881,659,000","5,432,904,000","5,743,942,000","5,703,463,000","5,389,763,000","5,223,387,000","4,969,870,000","4,544,753,000","4,184,951,000","4,344,422,000","3,778,828,000","3,239,686,000","3,927,275,000","4,130,115,000","3,313,707,000","3,142,636,000","4,298,178,000","2,883,815,000","2,405,431,000","2,648,311,000","2,255,232,000","2,305,467,000","2,413,023,000","1,777,099,000","1,868,034,000","1,514,799,000","1,823,038,000","2,113,286,000","2,329,010,000","1,679,721,000","1,565,059,000","1,526,331,000","1,855,432,000","1,697,240,000","1,313,190,000","1,201,661,000","1,425,600,000","1,144,723,000","1,046,461,000","969,376,000","1,253,994,000","1,007,650,000","922,174,000","1,035,445,000","962,413,000","1,061,706,000","1,124,195,000","1,194,853,000","1,337,430,000","1,409,880,000","1,067,613,000","804,628,000","984,801,000","597,330,000","490,811,000","509,954,000","739,138,000","502,362,000","493,818,000","337,634,000","532,295,000","388,183,000","515,191,000","345,299,000","553,206,000","386,428,000","292,464,000","155,990,000","229,353,000","201,556,000","279,727,000","160,511,000","263,224,000","224,109,000"
			AccountsReceivable,"5,073,224,000","5,150,473,000","4,445,790,000","4,426,189,000","4,232,561,000","4,394,954,000","3,997,998,000","4,134,789,000","4,262,264,000","4,466,674,000","4,057,751,000","4,001,003,000","3,801,474,000","3,668,591,000","3,410,744,000","3,324,522,000","3,121,520,000","3,207,285,000","2,843,126,000","2,653,346,000","2,499,115,000","2,605,602,000","2,399,161,000","2,373,157,000","2,344,825,000","2,471,740,000","2,275,025,000","1,604,620,000","1,537,100,000","1,736,229,000","1,608,628,000","1,638,197,000","1,415,383,000","1,486,489,000","1,234,000,000","1,222,364,000","1,206,144,000","1,262,823,000","1,127,992,000","1,092,964,000","1,075,495,000","1,135,371,000","997,931,000","968,585,000","889,076,000","940,167,000","1,136,146,000","1,040,189,000","720,226,000","775,929,000","913,084,000","852,669,000","625,849,000","751,940,000","835,575,000","940,900,000","950,648,000","1,081,653,000","959,017,000","903,329,000","777,478,000","880,809,000","504,430,000","473,161,000","427,399,000","483,175,000","355,882,000","320,034,000","293,844,000","394,062,000","276,343,000","295,256,000","272,574,000",,,,,,,,,,
				GrossAccountsReceivable,"5,166,891,000","5,248,061,000","4,546,679,000","4,521,373,000","4,321,533,000","4,490,487,000","4,109,775,000","4,229,157,000","4,342,807,000","4,539,399,000","4,135,044,000","4,069,994,000","3,861,589,000","3,728,939,000","3,472,755,000","3,380,275,000","3,174,480,000","3,254,074,000","2,890,722,000","2,699,567,000","2,539,401,000","2,645,071,000","2,446,642,000","2,418,842,000","2,393,603,000","2,518,346,000","2,317,438,000","1,648,680,000","1,576,946,000","1,778,060,000","1,652,249,000","1,684,075,000","1,455,744,000","1,526,751,000","1,273,380,000","1,259,281,000","1,242,417,000","1,298,315,000","1,165,413,000",,,"1,169,286,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-93,667,000","-97,588,000","-100,889,000","-95,184,000","-88,972,000","-95,533,000","-111,777,000","-94,368,000","-80,543,000","-72,725,000","-77,293,000","-68,991,000","-60,115,000","-60,348,000","-62,011,000","-55,753,000","-52,960,000","-46,789,000","-47,596,000","-46,221,000","-40,286,000","-39,469,000","-47,481,000","-45,685,000","-48,778,000","-46,606,000","-42,413,000","-44,060,000","-39,846,000","-41,831,000","-43,621,000","-45,878,000","-40,361,000","-40,262,000","-39,380,000","-36,917,000","-36,273,000","-35,492,000","-37,421,000",,,"-33,915,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,"1,194,800,000","1,303,717,000","1,409,038,000","1,117,677,000","686,317,000","1,411,170,000","1,211,886,000","765,130,000","1,273,259,000","993,058,000","987,923,000","1,365,928,000","1,548,249,000","1,342,468,000","1,598,021,000","1,488,324,000","1,161,668,000","928,038,000","1,434,910,000","1,069,889,000","685,133,000","1,276,047,000","1,642,394,000","847,712,000","724,508,000","1,767,107,000","585,860,000","750,816,000","1,080,364,000","506,294,000","638,134,000","739,616,000","310,730,000","381,545,000","227,565,000","536,319,000","850,621,000","1,048,340,000",,,,,,,,,,"260,636,000","94,643,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"43,758,000","44,104,000","182,338,000","114,417,000","71,681,000","93,756,000","62,736,000","103,067,000","88,153,000","93,915,000","38,615,000","53,764,000","58,337,000","71,684,000","54,694,000","47,752,000","61,398,000","49,628,000","66,386,000","55,593,000","55,438,000","45,626,000","88,560,000","92,838,000","73,303,000","59,331,000","22,930,000","49,995,000","30,847,000","12,709,000","58,705,000","35,210,000","50,986,000","0","53,234,000","64,355,000","56,521,000","17,847,000","85,935,000","48,414,000","32,725,000",,"9,080,000","36,356,000","26,912,000","0","61,874,000","54,204,000","154,507,000","163,032,000","133,383,000","109,991,000","133,305,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"352,064,000","338,749,000","331,910,000","322,889,000","313,648,000","318,191,000","282,031,000","288,896,000","329,988,000","328,012,000","348,615,000","323,247,000","295,403,000","307,020,000","159,928,000","109,272,000","200,167,000",,"1,434,910,000",,,,,,,,,,,,,,,"381,545,000",,,,,"465,794,000","423,681,000","418,111,000","720,061,000","690,229,000","308,249,000","285,673,000","485,433,000",,,"94,643,000","315,033,000","913,084,000",,"276,291,000","210,473,000","226,131,000","183,295,000","244,205,000","255,777,000","450,863,000","164,284,000","27,150,000","103,992,000","92,900,000","17,650,000","82,555,000","255,963,000","146,480,000","173,784,000","43,790,000","138,233,000","111,840,000","219,935,000","72,725,000",,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,"-47,596,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"-53,297,000","-47,932,000",,,"-38,817,000","-40,486,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
