name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996
OperatingCashFlow,"201,700,000","-38,800,000","100,900,000","52,400,000","87,200,000","62,600,000","165,000,000","157,900,000","125,200,000","82,100,000","46,800,000","130,200,000","34,800,000","36,200,000","75,800,000","-141,100,000","120,600,000","110,400,000","116,557,000","154,965,000","61,758,000","175,320,000","129,481,000","172,328,000","88,491,000","156,949,000","97,037,000","114,631,000","46,106,000","132,554,000","103,528,000","106,624,000","93,873,000","144,475,000","68,184,000","158,800,000","78,313,000","98,170,000","110,301,000","88,349,000","89,237,000","99,561,000","90,928,000","95,482,000","54,109,000","65,585,000","120,244,000","76,121,000","48,250,000","81,055,000","63,319,000","87,725,000","49,926,000","76,276,000","54,278,000","61,642,000","31,033,000","63,602,000","45,899,000","57,672,000","17,581,000","52,890,000","45,445,000","50,368,000","33,167,000","31,182,000","3,406,000","33,793,000","20,914,000","36,214,000","31,676,000","36,053,000","18,677,000","28,205,000","32,820,000","28,444,000","31,564,000","28,275,000","24,050,000","23,459,000","28,367,000","21,071,000","17,539,000","23,706,000","8,536,000","14,769,000","5,030,000","6,085,000","-5,058,000","4,412,000","6,000,000","3,000,000","3,100,000","-300,000","3,600,000","400,000","1,800,000","-900,000","-600,000","900,000","-200,000","-200,000","600,000"
	CashFlowFromContinuingOperatingActivities,"201,700,000","-38,800,000","100,900,000","52,400,000","87,200,000","62,600,000","165,000,000","157,900,000","125,200,000","82,100,000","46,800,000","130,200,000","34,800,000","36,200,000","75,800,000","-141,100,000","120,600,000","110,400,000","116,557,000","154,965,000","61,758,000","175,320,000","129,481,000","172,328,000","88,491,000","156,949,000","97,037,000","114,631,000","46,106,000","132,554,000","103,528,000","106,624,000","93,873,000","144,475,000","68,184,000","158,800,000","78,313,000","98,170,000","110,301,000","88,349,000","89,237,000","99,561,000","90,928,000","95,482,000","54,109,000","65,585,000","120,244,000","76,121,000","48,250,000","81,055,000","63,319,000","87,725,000","49,926,000","76,276,000","54,278,000","61,642,000","31,033,000","63,602,000","45,899,000","57,672,000","17,581,000","52,890,000","45,445,000","50,368,000","33,167,000","31,182,000","3,406,000","33,793,000","20,914,000","36,214,000","31,676,000","36,053,000","18,677,000","28,205,000","32,820,000","28,444,000","31,564,000","28,275,000","24,050,000","23,459,000","28,367,000","21,071,000","17,539,000","23,706,000","8,536,000","14,769,000","5,030,000","6,085,000","-5,058,000","4,412,000","6,000,000","3,000,000","3,100,000","-300,000","3,600,000","400,000","1,800,000","-900,000","-600,000","900,000","-200,000","-200,000","600,000"
		NetIncomeFromContinuingOperations,"-67,100,000","-14,100,000","-16,400,000","-65,900,000","29,300,000","26,200,000","49,000,000","-80,900,000","-4,100,000","-19,900,000","-219,200,000","-59,000,000","-30,200,000","-37,600,000","-319,200,000","23,500,000","27,600,000","22,500,000","89,566,000","39,069,000","-144,192,000","58,557,000","18,901,000","65,173,000","46,230,000","77,595,000","78,587,000","52,720,000","60,896,000","75,810,000","82,658,000","83,041,000","82,677,000","79,770,000","78,587,000","80,832,000","78,443,000","75,222,000","70,508,000","65,746,000","68,372,000","65,315,000","65,123,000","59,744,000","55,890,000","56,586,000","50,757,000","57,300,000","53,766,000","48,634,000","45,306,000","46,526,000","43,902,000","40,655,000","39,132,000","39,227,000","38,685,000","31,664,000","24,098,000","32,895,000","31,998,000","29,387,000","29,045,000","27,532,000","25,168,000","23,525,000","-1,026,000","23,383,000","22,982,000","21,815,000","19,059,000","21,128,000","18,867,000","19,124,000","18,407,000","17,171,000","15,522,000","14,681,000","11,434,000","12,136,000","11,523,000","10,631,000","-2,236,000","6,335,000","5,594,000","5,017,000","4,219,000","3,433,000","3,086,000","3,773,000","6,100,000","2,900,000","2,600,000","2,400,000","2,300,000","1,500,000","1,100,000","800,000","600,000","500,000","200,000","100,000","-800,000"
		OperatingGainsLosses,,"300,000","-12,600,000",,,,"-42,600,000","104,100,000","3,800,000","58,300,000","103,000,000","0",,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,"2,452,000",,,,"5,571,000","0",,,,,"40,000","22,000",,,,,"1,060,000","0","-1,075,000","-823,000",,,,"2,589,000","5,519,000","3,679,000","2,069,000","1,437,000","5,846,000","1,396,000","4,075,000","2,179,000","4,482,000","2,248,000","2,431,000","1,738,000","7,092,000","140,000","165,000","823,000","11,212,000","57,000","54,000","41,000","40,000","40,000","40,000","40,000",,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,,"-12,600,000","10,900,000","0","0","-42,600,000","104,100,000","3,800,000","58,300,000",,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,"300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"228,300,000","59,700,000","56,900,000","56,700,000","55,000,000","55,300,000","55,700,000","57,700,000","60,200,000","59,900,000","65,700,000","67,700,000","69,800,000","69,600,000","63,700,000","63,900,000","65,600,000","62,700,000","72,367,000","60,294,000","58,660,000","58,179,000","56,156,000","65,356,000","82,620,000","48,414,000","44,979,000","27,490,000","27,380,000","27,563,000","25,014,000","28,765,000","27,481,000","23,356,000","23,295,000","21,850,000","21,775,000","21,488,000","21,094,000","19,445,000","18,026,000","17,718,000","18,059,000","16,933,000","15,951,000","15,103,000","15,375,000","13,504,000","12,617,000","12,389,000","11,527,000","9,959,000","9,660,000","8,844,000","8,860,000","8,651,000","8,292,000","8,345,000","8,483,000","7,808,000","7,708,000","7,138,000","6,927,000","7,101,000","6,713,000","6,295,000","5,696,000","5,365,000","5,142,000","5,228,000","5,559,000","6,324,000","5,246,000","4,674,000","4,713,000","4,243,000","4,035,000","4,264,000","3,870,000","3,901,000","3,647,000","3,563,000","6,497,000","6,414,000","6,201,000","6,122,000","6,054,000","5,803,000","5,829,000","5,783,000","4,600,000","1,800,000","1,800,000","1,700,000","1,400,000","1,000,000","800,000","900,000","600,000","1,100,000","700,000","700,000","600,000"
			DepreciationAndAmortization,"228,300,000","59,700,000","56,900,000","56,700,000","55,000,000","55,300,000","55,700,000","57,700,000","60,200,000","59,900,000","65,700,000","67,700,000","69,800,000","69,600,000","63,700,000","63,900,000","65,600,000","62,700,000","72,367,000","60,294,000","58,660,000","58,179,000","56,156,000","65,356,000","82,620,000","48,414,000","44,979,000","27,490,000","27,380,000","27,563,000","25,014,000","28,765,000","27,481,000","23,356,000","23,295,000","21,850,000","21,775,000","21,488,000","21,094,000","19,445,000","18,026,000","17,718,000","18,059,000","16,933,000","15,951,000","15,103,000","15,375,000","13,504,000","12,617,000","12,389,000","11,527,000","9,959,000","9,660,000","8,844,000","8,860,000","8,651,000","8,292,000","8,345,000","8,483,000","7,808,000","7,708,000","7,138,000","6,927,000","7,101,000","6,713,000","6,295,000","5,696,000","5,365,000","5,142,000","5,228,000","5,559,000","6,324,000","5,246,000","4,674,000","4,713,000","4,243,000","4,035,000","4,264,000","3,870,000","3,901,000","3,647,000","3,563,000","6,497,000","6,414,000","6,201,000","6,122,000","6,054,000","5,803,000","5,829,000","5,783,000","4,600,000","1,800,000","1,800,000","1,700,000","1,400,000","1,000,000","800,000","900,000","600,000","1,100,000","700,000","700,000","600,000"
				Depreciation,"107,800,000","27,300,000","28,100,000","27,500,000","24,900,000","25,500,000","25,300,000","26,300,000","29,000,000","28,000,000","31,000,000","31,900,000","32,900,000","31,800,000","30,000,000","32,100,000","32,700,000","30,800,000","42,442,000","30,389,000","29,179,000","29,090,000","29,167,000","32,228,000","31,711,000","30,140,000","26,438,000","18,251,000","18,459,000","18,766,000","16,536,000","20,268,000","19,079,000","16,041,000","16,112,000","15,141,000","15,242,000","14,846,000","14,715,000","13,884,000","12,891,000","12,739,000","12,892,000","12,724,000","12,405,000","11,756,000","12,108,000","10,986,000","10,458,000","10,414,000","9,957,000","8,525,000","8,284,000","7,834,000","7,765,000","7,551,000","7,500,000","7,293,000","7,505,000","6,879,000","6,826,000","6,270,000","6,434,000","5,923,000","5,929,000","5,784,000","5,271,000","4,866,000","4,766,000","4,932,000","4,928,000","5,719,000","4,656,000","4,070,000","3,938,000","3,854,000","3,670,000","3,943,000","3,456,000","3,361,000","3,139,000","3,055,000",,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"120,500,000","32,400,000","28,800,000","29,200,000","30,100,000","29,800,000","30,400,000","31,400,000","31,200,000","31,900,000","34,700,000","35,800,000","36,900,000","37,800,000","33,700,000","31,800,000","32,900,000","31,900,000","29,925,000","29,905,000","29,481,000","29,089,000","26,989,000","33,128,000","50,909,000","18,274,000","18,541,000","9,239,000","8,921,000","8,797,000","8,478,000","8,497,000","8,402,000","7,315,000","7,183,000","6,709,000","6,533,000","6,642,000","6,379,000","5,561,000","5,135,000","4,979,000","5,167,000","4,209,000","3,546,000","3,347,000","3,267,000","2,518,000","2,159,000","1,975,000","1,570,000","1,434,000","1,376,000","1,010,000","1,095,000","1,100,000","792,000","1,052,000","978,000","929,000","882,000","868,000","493,000","1,178,000","784,000","511,000","425,000","499,000","376,000","296,000","631,000","605,000","590,000","604,000","775,000","389,000","365,000","321,000","414,000","540,000","508,000","508,000",,,,,,,,,,,,,,,,,,,,,
